t,timestamp,s,i,open,close,high,low,volume,n,asset
1688601600000,2023-07-06 23:59:59.999,MATIC,1d,0.67021,0.66058,0.69998,0.64819,1810811.2,3466,MATIC
1688688000000,2023-07-07 23:59:59.999,MATIC,1d,0.6599,0.67634,0.67979,0.654,970789.4,3118,MATIC
1688774400000,2023-07-08 23:59:59.999,MATIC,1d,0.67615,0.67965,0.68629,0.67073,968868.1,2988,MATIC
1688860800000,2023-07-09 23:59:59.999,MATIC,1d,0.67956,0.6882,0.70043,0.67768,1128611.4,2935,MATIC
1688947200000,2023-07-10 23:59:59.999,MATIC,1d,0.68816,0.73528,0.74889,0.67123,1361733.2,3013,MATIC
1689033600000,2023-07-11 23:59:59.999,MATIC,1d,0.73507,0.74217,0.74862,0.73136,1204594.0,2891,MATIC
1689120000000,2023-07-12 23:59:59.999,MATIC,1d,0.7427,0.72367,0.76,0.7147,1264685.9,2681,MATIC
1689206400000,2023-07-13 23:59:59.999,MATIC,1d,0.72321,0.85088,0.89243,0.7127,794931.8,2689,MATIC
1689292800000,2023-07-14 23:59:59.999,MATIC,1d,0.85065,0.80814,0.87737,0.77822,455537.3,2707,MATIC
1689379200000,2023-07-15 23:59:59.999,MATIC,1d,0.80653,0.79906,0.82599,0.79431,448598.7,2964,MATIC
1689465600000,2023-07-16 23:59:59.999,MATIC,1d,0.79934,0.76737,0.80225,0.76395,343133.7,2567,MATIC
1689552000000,2023-07-17 23:59:59.999,MATIC,1d,0.76596,0.77765,0.78912,0.75206,970412.2,2996,MATIC
1689638400000,2023-07-18 23:59:59.999,MATIC,1d,0.77827,0.7386,0.78341,0.72985,798858.2,2815,MATIC
1689724800000,2023-07-19 23:59:59.999,MATIC,1d,0.7378,0.74351,0.75687,0.72817,1159609.2,3051,MATIC
1689811200000,2023-07-20 23:59:59.999,MATIC,1d,0.74331,0.76671,0.80097,0.74235,840137.6,2924,MATIC
1689897600000,2023-07-21 23:59:59.999,MATIC,1d,0.76732,0.76914,0.78106,0.75828,578354.1,2753,MATIC
1689984000000,2023-07-22 23:59:59.999,MATIC,1d,0.76899,0.74601,0.77538,0.74018,563279.0,2789,MATIC
1690070400000,2023-07-23 23:59:59.999,MATIC,1d,0.74581,0.75654,0.76717,0.73872,572586.2,2636,MATIC
1690156800000,2023-07-24 23:59:59.999,MATIC,1d,0.75687,0.72768,0.76158,0.71178,905158.7,2903,MATIC
1690243200000,2023-07-25 23:59:59.999,MATIC,1d,0.7279,0.70734,0.72899,0.70189,803407.2,2812,MATIC
1690329600000,2023-07-26 23:59:59.999,MATIC,1d,0.70795,0.72249,0.73053,0.69634,828870.8,2979,MATIC
1690416000000,2023-07-27 23:59:59.999,MATIC,1d,0.72216,0.71669,0.73541,0.71185,1134274.3,2856,MATIC
1690502400000,2023-07-28 23:59:59.999,MATIC,1d,0.71608,0.70902,0.72118,0.70558,794423.6,2781,MATIC
1690588800000,2023-07-29 23:59:59.999,MATIC,1d,0.70835,0.71797,0.72417,0.70719,490036.1,2586,MATIC
1690675200000,2023-07-30 23:59:59.999,MATIC,1d,0.71834,0.69718,0.71909,0.68039,1048229.5,2774,MATIC
1690761600000,2023-07-31 23:59:59.999,MATIC,1d,0.69649,0.68722,0.70708,0.68123,1147505.9,2786,MATIC
1690848000000,2023-08-01 23:59:59.999,MATIC,1d,0.68739,0.70128,0.70221,0.66089,1272521.7,2853,MATIC
1690934400000,2023-08-02 23:59:59.999,MATIC,1d,0.70201,0.6801,0.70318,0.6756,1497404.4,2933,MATIC
1691020800000,2023-08-03 23:59:59.999,MATIC,1d,0.67976,0.66736,0.68466,0.66296,2944670.6,3213,MATIC
1691107200000,2023-08-04 23:59:59.999,MATIC,1d,0.66647,0.6638,0.67774,0.6582,1495605.6,2940,MATIC
1691193600000,2023-08-05 23:59:59.999,MATIC,1d,0.66453,0.66701,0.66821,0.65746,742363.3,2811,MATIC
1691280000000,2023-08-06 23:59:59.999,MATIC,1d,0.6676,0.667,0.67636,0.66309,857923.8,2724,MATIC
1691366400000,2023-08-07 23:59:59.999,MATIC,1d,0.66707,0.66628,0.68304,0.64903,1248096.7,2914,MATIC
1691452800000,2023-08-08 23:59:59.999,MATIC,1d,0.66597,0.68546,0.6977,0.66217,1550817.7,2999,MATIC
1691539200000,2023-08-09 23:59:59.999,MATIC,1d,0.6854,0.69005,0.6993,0.68032,1347136.8,2935,MATIC
1691625600000,2023-08-10 23:59:59.999,MATIC,1d,0.69006,0.68503,0.7018,0.6834,991960.8,2763,MATIC
1691712000000,2023-08-11 23:59:59.999,MATIC,1d,0.68487,0.68081,0.6884,0.67469,749170.5,2704,MATIC
1691798400000,2023-08-12 23:59:59.999,MATIC,1d,0.68069,0.68226,0.68379,0.67681,591062.4,2693,MATIC
1691884800000,2023-08-13 23:59:59.999,MATIC,1d,0.68248,0.67729,0.69095,0.67492,525592.6,2611,MATIC
1691971200000,2023-08-14 23:59:59.999,MATIC,1d,0.67658,0.67951,0.68548,0.67142,699751.6,2773,MATIC
1692057600000,2023-08-15 23:59:59.999,MATIC,1d,0.6797,0.63919,0.67979,0.62067,723152.3,2746,MATIC
1692144000000,2023-08-16 23:59:59.999,MATIC,1d,0.63818,0.62384,0.63889,0.60574,1511987.7,3064,MATIC
1692230400000,2023-08-17 23:59:59.999,MATIC,1d,0.62278,0.57217,0.62769,0.51614,2471150.5,3444,MATIC
1692316800000,2023-08-18 23:59:59.999,MATIC,1d,0.57296,0.57713,0.58443,0.56411,3386721.8,3733,MATIC
1692403200000,2023-08-19 23:59:59.999,MATIC,1d,0.57696,0.57645,0.58734,0.56993,2078775.2,3198,MATIC
1692489600000,2023-08-20 23:59:59.999,MATIC,1d,0.57633,0.57968,0.58075,0.56979,1839064.3,2908,MATIC
