t,timestamp,s,i,open,close,high,low,volume,n,asset,donchian_high_5,donchian_low_5,donchian_mid_5,donchian_high_10,donchian_low_10,donchian_mid_10,donchian_high_20,donchian_low_20,donchian_mid_20,donchian_high_30,donchian_low_30,donchian_mid_30,donchian_high_60,donchian_low_60,donchian_mid_60,donchian_high_90,donchian_low_90,donchian_mid_90,donchian_high_150,donchian_low_150,donchian_mid_150,donchian_high_250,donchian_low_250,donchian_mid_250,donchian_high_360,donchian_low_360,donchian_mid_360
1707177600000,2024-02-06 23:59:59.999,MAVIA,1d,2.7463,3.3235,3.3745,2.7423,256322.1,942,MAVIA,,,,,,,,,,,,,,,,,,,,,,,,,,,
1707264000000,2024-02-07 23:59:59.999,MAVIA,1d,3.2986,3.6765,4.0423,3.0467,1361186.7,5315,MAVIA,,,,,,,,,,,,,,,,,,,,,,,,,,,
1707350400000,2024-02-08 23:59:59.999,MAVIA,1d,3.5835,4.4012,4.8453,3.3039,611032.3,4137,MAVIA,,,,,,,,,,,,,,,,,,,,,,,,,,,
1707436800000,2024-02-09 23:59:59.999,MAVIA,1d,4.3744,5.87,6.8083,4.2047,848802.8,7200,MAVIA,,,,,,,,,,,,,,,,,,,,,,,,,,,
1707523200000,2024-02-10 23:59:59.999,MAVIA,1d,5.8897,7.9272,8.3,5.5826,806179.4,7151,MAVIA,8.3,2.7423,5.5211500000000004,,,,,,,,,,,,,,,,,,,,,,,,
1707609600000,2024-02-11 23:59:59.999,MAVIA,1d,7.9251,7.227,9.4742,6.8939,862528.0,8003,MAVIA,9.4742,3.0467,6.26045,,,,,,,,,,,,,,,,,,,,,,,,
1707696000000,2024-02-12 23:59:59.999,MAVIA,1d,7.2212,8.1922,8.7732,6.3423,728836.2,6678,MAVIA,9.4742,3.3039,6.38905,,,,,,,,,,,,,,,,,,,,,,,,
1707782400000,2024-02-13 23:59:59.999,MAVIA,1d,8.2239,8.1878,9.1523,7.5864,641893.2,7061,MAVIA,9.4742,4.2047,6.839449999999999,,,,,,,,,,,,,,,,,,,,,,,,
1707868800000,2024-02-14 23:59:59.999,MAVIA,1d,8.1893,7.3946,8.3987,6.9947,641376.7,6013,MAVIA,9.4742,5.5826,7.5283999999999995,,,,,,,,,,,,,,,,,,,,,,,,
1707955200000,2024-02-15 23:59:59.999,MAVIA,1d,7.4792,8.29,8.5901,6.7,506527.8,3811,MAVIA,9.4742,6.3423,7.90825,9.4742,2.7423,6.10825,,,,,,,,,,,,,,,,,,,,,
1708041600000,2024-02-16 23:59:59.999,MAVIA,1d,8.269,8.1909,8.7123,7.2889,403554.9,4551,MAVIA,9.1523,6.3423,7.7473,9.4742,3.0467,6.26045,,,,,,,,,,,,,,,,,,,,,
1708128000000,2024-02-17 23:59:59.999,MAVIA,1d,8.1909,9.0186,9.82,7.6174,367416.8,4056,MAVIA,9.82,6.7,8.26,9.82,3.3039,6.56195,,,,,,,,,,,,,,,,,,,,,
1708214400000,2024-02-18 23:59:59.999,MAVIA,1d,9.026,9.7523,10.742,8.7,349441.4,5211,MAVIA,10.742,6.7,8.721,10.742,4.2047,7.47335,,,,,,,,,,,,,,,,,,,,,
1708300800000,2024-02-19 23:59:59.999,MAVIA,1d,9.7775,8.5841,10.596,6.4,349025.9,5381,MAVIA,10.742,6.4,8.571000000000002,10.742,5.5826,8.1623,,,,,,,,,,,,,,,,,,,,,
1708387200000,2024-02-20 23:59:59.999,MAVIA,1d,8.5908,8.1393,8.7057,7.1781,310423.9,4866,MAVIA,10.742,6.4,8.571000000000002,10.742,6.3423,8.54215,,,,,,,,,,,,,,,,,,,,,
1708473600000,2024-02-21 23:59:59.999,MAVIA,1d,8.1851,7.3595,8.7451,6.7229,323353.2,2924,MAVIA,10.742,6.4,8.571000000000002,10.742,6.3423,8.54215,,,,,,,,,,,,,,,,,,,,,
1708560000000,2024-02-22 23:59:59.999,MAVIA,1d,7.3505,7.3091,8.11,6.7704,236064.6,2907,MAVIA,10.742,6.4,8.571000000000002,10.742,6.4,8.571000000000002,,,,,,,,,,,,,,,,,,,,,
1708646400000,2024-02-23 23:59:59.999,MAVIA,1d,7.3996,7.0074,7.4597,6.7082,190046.7,3216,MAVIA,10.596,6.4,8.498000000000001,10.742,6.4,8.571000000000002,,,,,,,,,,,,,,,,,,,,,
1708732800000,2024-02-24 23:59:59.999,MAVIA,1d,7.0222,7.4059,7.5681,6.786,157302.5,2746,MAVIA,8.7451,6.7082,7.72665,10.742,6.4,8.571000000000002,,,,,,,,,,,,,,,,,,,,,
1708819200000,2024-02-25 23:59:59.999,MAVIA,1d,7.4101,7.2108,7.7206,6.955,109613.1,3417,MAVIA,8.7451,6.7082,7.72665,10.742,6.4,8.571000000000002,10.742,2.7423,6.7421500000000005,,,,,,,,,,,,,,,,,,
1708905600000,2024-02-26 23:59:59.999,MAVIA,1d,7.2448,7.3212,7.9183,7.1212,260159.6,3740,MAVIA,8.11,6.7082,7.4091,10.742,6.4,8.571000000000002,10.742,3.0467,6.89435,,,,,,,,,,,,,,,,,,
