t,timestamp,s,i,open,close,high,low,volume,n,asset,donchian_high_5,donchian_low_5,donchian_mid_5,donchian_high_10,donchian_low_10,donchian_mid_10,donchian_high_20,donchian_low_20,donchian_mid_20,donchian_high_30,donchian_low_30,donchian_mid_30,donchian_high_60,donchian_low_60,donchian_mid_60,donchian_high_90,donchian_low_90,donchian_mid_90,donchian_high_150,donchian_low_150,donchian_mid_150,donchian_high_250,donchian_low_250,donchian_mid_250,donchian_high_360,donchian_low_360,donchian_mid_360
1688774400000,2023-07-08 23:59:59.999,MAV,1d,0.4136,0.422,0.4368,0.4061,0.0,0,MAV,,,,,,,,,,,,,,,,,,,,,,,,,,,
1688860800000,2023-07-09 23:59:59.999,MAV,1d,0.4221,0.4098,0.4384,0.4051,0.0,0,MAV,,,,,,,,,,,,,,,,,,,,,,,,,,,
1688947200000,2023-07-10 23:59:59.999,MAV,1d,0.4099,0.3697,0.4112,0.3556,0.0,0,MAV,,,,,,,,,,,,,,,,,,,,,,,,,,,
1689033600000,2023-07-11 23:59:59.999,MAV,1d,0.3697,0.3588,0.3697,0.3483,0.0,0,MAV,,,,,,,,,,,,,,,,,,,,,,,,,,,
1689120000000,2023-07-12 23:59:59.999,MAV,1d,0.3588,0.3433,0.3651,0.3283,0.0,0,MAV,0.4384,0.3283,0.38334999999999997,,,,,,,,,,,,,,,,,,,,,,,,
1689206400000,2023-07-13 23:59:59.999,MAV,1d,0.3434,0.3695,0.3767,0.3363,0.0,0,MAV,0.4384,0.3283,0.38334999999999997,,,,,,,,,,,,,,,,,,,,,,,,
1689292800000,2023-07-14 23:59:59.999,MAV,1d,0.3695,0.3643,0.389,0.3439,0.0,0,MAV,0.4112,0.3283,0.36975,,,,,,,,,,,,,,,,,,,,,,,,
1689379200000,2023-07-15 23:59:59.999,MAV,1d,0.3641,0.3669,0.3876,0.3548,0.0,0,MAV,0.389,0.3283,0.35865,,,,,,,,,,,,,,,,,,,,,,,,
1689465600000,2023-07-16 23:59:59.999,MAV,1d,0.367,0.3474,0.3755,0.342,0.0,0,MAV,0.389,0.3283,0.35865,,,,,,,,,,,,,,,,,,,,,,,,
1689552000000,2023-07-17 23:59:59.999,MAV,1d,0.3473,0.3563,0.3601,0.336,0.0,0,MAV,0.389,0.336,0.36250000000000004,0.4384,0.3283,0.38334999999999997,,,,,,,,,,,,,,,,,,,,,
1689638400000,2023-07-18 23:59:59.999,MAV,1d,0.3564,0.3369,0.3831,0.3266,0.0,0,MAV,0.389,0.3266,0.3578,0.4384,0.3266,0.3825,,,,,,,,,,,,,,,,,,,,,
1689724800000,2023-07-19 23:59:59.999,MAV,1d,0.337,0.326,0.3432,0.3204,0.0,0,MAV,0.3876,0.3204,0.354,0.4112,0.3204,0.3658,,,,,,,,,,,,,,,,,,,,,
1689811200000,2023-07-20 23:59:59.999,MAV,1d,0.326,0.3298,0.3372,0.3199,0.0,0,MAV,0.3831,0.3199,0.35150000000000003,0.389,0.3199,0.35445000000000004,,,,,,,,,,,,,,,,,,,,,
1689897600000,2023-07-21 23:59:59.999,MAV,1d,0.3299,0.3352,0.3388,0.3272,0.0,0,MAV,0.3831,0.3199,0.35150000000000003,0.389,0.3199,0.35445000000000004,,,,,,,,,,,,,,,,,,,,,
1689984000000,2023-07-22 23:59:59.999,MAV,1d,0.3351,0.3382,0.3434,0.3288,0.0,0,MAV,0.3831,0.3199,0.35150000000000003,0.389,0.3199,0.35445000000000004,,,,,,,,,,,,,,,,,,,,,
1690070400000,2023-07-23 23:59:59.999,MAV,1d,0.3382,0.3274,0.3449,0.3249,0.0,0,MAV,0.3449,0.3199,0.33240000000000003,0.389,0.3199,0.35445000000000004,,,,,,,,,,,,,,,,,,,,,
1690156800000,2023-07-24 23:59:59.999,MAV,1d,0.3275,0.2898,0.3307,0.2835,0.0,0,MAV,0.3449,0.2835,0.3142,0.3876,0.2835,0.33555,,,,,,,,,,,,,,,,,,,,,
1690243200000,2023-07-25 23:59:59.999,MAV,1d,0.2899,0.2945,0.3087,0.2851,0.0,0,MAV,0.3449,0.2835,0.3142,0.3831,0.2835,0.3333,,,,,,,,,,,,,,,,,,,,,
1690329600000,2023-07-26 23:59:59.999,MAV,1d,0.2946,0.3088,0.317,0.2942,0.0,0,MAV,0.3449,0.2835,0.3142,0.3831,0.2835,0.3333,,,,,,,,,,,,,,,,,,,,,
1690416000000,2023-07-27 23:59:59.999,MAV,1d,0.3089,0.3065,0.3173,0.2985,0.0,0,MAV,0.3449,0.2835,0.3142,0.3831,0.2835,0.3333,0.4384,0.2835,0.36095,,,,,,,,,,,,,,,,,,
1690502400000,2023-07-28 23:59:59.999,MAV,1d,0.3066,0.3049,0.3127,0.3006,0.0,0,MAV,0.3307,0.2835,0.3071,0.3449,0.2835,0.3142,0.4384,0.2835,0.36095,,,,,,,,,,,,,,,,,,
1690588800000,2023-07-29 23:59:59.999,MAV,1d,0.3049,0.3067,0.309,0.3005,0.0,0,MAV,0.3173,0.2851,0.3012,0.3449,0.2835,0.3142,0.4112,0.2835,0.34735,,,,,,,,,,,,,,,,,,
1690675200000,2023-07-30 23:59:59.999,MAV,1d,0.3068,0.2963,0.3116,0.29,0.0,0,MAV,0.3173,0.29,0.30365,0.3449,0.2835,0.3142,0.389,0.2835,0.33625,,,,,,,,,,,,,,,,,,
