t,timestamp,s,i,open,close,high,low,volume,n,asset,donchian_high_5,donchian_low_5,donchian_mid_5,donchian_high_10,donchian_low_10,donchian_mid_10,donchian_high_20,donchian_low_20,donchian_mid_20,donchian_high_30,donchian_low_30,donchian_mid_30,donchian_high_60,donchian_low_60,donchian_mid_60,donchian_high_90,donchian_low_90,donchian_mid_90,donchian_high_150,donchian_low_150,donchian_mid_150,donchian_high_250,donchian_low_250,donchian_mid_250,donchian_high_360,donchian_low_360,donchian_mid_360
1761091200000,2025-10-22 23:59:59.999,MEGA,1d,0.4,0.4266,0.6706,0.22945,34782152.0,38052,MEGA,,,,,,,,,,,,,,,,,,,,,,,,,,,
1761177600000,2025-10-23 23:59:59.999,MEGA,1d,0.42623,0.43232,0.468,0.41444,2561449.0,6031,MEGA,,,,,,,,,,,,,,,,,,,,,,,,,,,
1761264000000,2025-10-24 23:59:59.999,MEGA,1d,0.48368,0.47626,0.49,0.4612,1256332.0,2822,MEGA,,,,,,,,,,,,,,,,,,,,,,,,,,,
1761350400000,2025-10-25 23:59:59.999,MEGA,1d,0.44826,0.41316,0.45294,0.41265,1370044.0,1909,MEGA,,,,,,,,,,,,,,,,,,,,,,,,,,,
1761436800000,2025-10-26 23:59:59.999,MEGA,1d,0.43812,0.4187,0.43812,0.39321,1525136.0,2134,MEGA,0.6706,0.22945,0.450025,,,,,,,,,,,,,,,,,,,,,,,,
1761523200000,2025-10-27 23:59:59.999,MEGA,1d,0.43391,0.42576,0.449,0.42575,620219.0,1792,MEGA,0.49,0.39321,0.441605,,,,,,,,,,,,,,,,,,,,,,,,
1761609600000,2025-10-28 23:59:59.999,MEGA,1d,0.46185,0.469,0.469,0.4416,864403.0,1733,MEGA,0.49,0.39321,0.441605,,,,,,,,,,,,,,,,,,,,,,,,
1761696000000,2025-10-29 23:59:59.999,MEGA,1d,0.44262,0.44434,0.44987,0.43908,135448.0,941,MEGA,0.469,0.39321,0.43110499999999996,,,,,,,,,,,,,,,,,,,,,,,,
1761782400000,2025-10-30 23:59:59.999,MEGA,1d,0.41971,0.43353,0.43809,0.41971,216145.0,683,MEGA,0.469,0.39321,0.43110499999999996,,,,,,,,,,,,,,,,,,,,,,,,
1761868800000,2025-10-31 23:59:59.999,MEGA,1d,0.39326,0.33028,0.39377,0.25361,9030973.0,7660,MEGA,0.469,0.25361,0.361305,0.6706,0.22945,0.450025,,,,,,,,,,,,,,,,,,,,,
1761955200000,2025-11-01 23:59:59.999,MEGA,1d,0.35183,0.35196,0.36056,0.3428,284236.0,1132,MEGA,0.469,0.25361,0.361305,0.49,0.25361,0.371805,,,,,,,,,,,,,,,,,,,,,
1762041600000,2025-11-02 23:59:59.999,MEGA,1d,0.3715,0.3514,0.375,0.3514,401792.0,846,MEGA,0.44987,0.25361,0.35174,0.49,0.25361,0.371805,,,,,,,,,,,,,,,,,,,,,
1762128000000,2025-11-03 23:59:59.999,MEGA,1d,0.34179,0.34033,0.34653,0.33801,151042.0,221,MEGA,0.43809,0.25361,0.34585,0.469,0.25361,0.361305,,,,,,,,,,,,,,,,,,,,,
1762214400000,2025-11-04 23:59:59.999,MEGA,1d,0.34669,0.36385,0.36448,0.3372,678656.0,2462,MEGA,0.39377,0.25361,0.32369000000000003,0.469,0.25361,0.361305,,,,,,,,,,,,,,,,,,,,,
1762300800000,2025-11-05 23:59:59.999,MEGA,1d,0.36912,0.42764,0.42764,0.36075,814418.0,1306,MEGA,0.42764,0.3372,0.38242,0.469,0.25361,0.361305,,,,,,,,,,,,,,,,,,,,,
1762387200000,2025-11-06 23:59:59.999,MEGA,1d,0.39403,0.38607,0.41579,0.3813,428454.0,1559,MEGA,0.42764,0.3372,0.38242,0.469,0.25361,0.361305,,,,,,,,,,,,,,,,,,,,,
1762473600000,2025-11-07 23:59:59.999,MEGA,1d,0.40401,0.42876,0.42969,0.39601,339013.0,1061,MEGA,0.42969,0.3372,0.38344500000000004,0.44987,0.25361,0.35174,,,,,,,,,,,,,,,,,,,,,
1762560000000,2025-11-08 23:59:59.999,MEGA,1d,0.47743,0.49536,0.50333,0.45823,508800.0,1598,MEGA,0.50333,0.3372,0.420265,0.50333,0.25361,0.37847000000000003,,,,,,,,,,,,,,,,,,,,,
1762646400000,2025-11-09 23:59:59.999,MEGA,1d,0.51807,0.5055,0.51815,0.48234,226101.0,488,MEGA,0.51815,0.36075,0.43945,0.51815,0.25361,0.38588,,,,,,,,,,,,,,,,,,,,,
1762732800000,2025-11-10 23:59:59.999,MEGA,1d,0.50226,0.49764,0.50227,0.481,54498.0,123,MEGA,0.51815,0.3813,0.449725,0.51815,0.3372,0.427675,0.6706,0.22945,0.450025,,,,,,,,,,,,,,,,,,
1762819200000,2025-11-11 23:59:59.999,MEGA,1d,0.49904,0.5191,0.52,0.49306,90954.0,536,MEGA,0.52,0.39601,0.458005,0.52,0.3372,0.4286,0.52,0.25361,0.386805,,,,,,,,,,,,,,,,,,
1762905600000,2025-11-12 23:59:59.999,MEGA,1d,0.47804,0.47275,0.47901,0.47,46594.0,83,MEGA,0.52,0.45823,0.489115,0.52,0.3372,0.4286,0.52,0.25361,0.386805,,,,,,,,,,,,,,,,,,
1762992000000,2025-11-13 23:59:59.999,MEGA,1d,0.4392,0.44281,0.44281,0.43887,28341.0,69,MEGA,0.52,0.43887,0.479435,0.52,0.3372,0.4286,0.52,0.25361,0.386805,,,,,,,,,,,,,,,,,,
1763078400000,2025-11-14 23:59:59.999,MEGA,1d,0.44818,0.45021,0.47156,0.4409,128851.0,144,MEGA,0.52,0.43887,0.479435,0.52,0.36075,0.440375,0.52,0.25361,0.386805,,,,,,,,,,,,,,,,,,
1763164800000,2025-11-15 23:59:59.999,MEGA,1d,0.4626,0.4622,0.4751,0.45973,14272.0,99,MEGA,0.52,0.43887,0.479435,0.52,0.3813,0.45065,0.52,0.25361,0.386805,,,,,,,,,,,,,,,,,,
1763251200000,2025-11-16 23:59:59.999,MEGA,1d,0.45712,0.45788,0.46244,0.45199,11574.0,47,MEGA,0.47901,0.43887,0.45894,0.52,0.39601,0.458005,0.52,0.25361,0.386805,,,,,,,,,,,,,,,,,,
1763337600000,2025-11-17 23:59:59.999,MEGA,1d,0.42692,0.4175,0.42889,0.41523,90522.0,1592,MEGA,0.4751,0.41523,0.44516500000000003,0.52,0.41523,0.467615,0.52,0.25361,0.386805,,,,,,,,,,,,,,,,,,
1763424000000,2025-11-18 23:59:59.999,MEGA,1d,0.3891,0.38475,0.39472,0.38475,103395.0,697,MEGA,0.4751,0.38475,0.429925,0.52,0.38475,0.45237499999999997,0.52,0.25361,0.386805,,,,,,,,,,,,,,,,,,
1763510400000,2025-11-19 23:59:59.999,MEGA,1d,0.35771,0.33635,0.37379,0.33485,134925.0,889,MEGA,0.4751,0.33485,0.404975,0.52,0.33485,0.427425,0.52,0.25361,0.386805,,,,,,,,,,,,,,,,,,
1763596800000,2025-11-20 23:59:59.999,MEGA,1d,0.39833,0.35463,0.4,0.3508,236975.0,1002,MEGA,0.46244,0.33485,0.398645,0.52,0.33485,0.427425,0.52,0.33485,0.427425,0.6706,0.22945,0.450025,,,,,,,,,,,,,,,
1763683200000,2025-11-21 23:59:59.999,MEGA,1d,0.3561,0.357,0.366,0.35174,56532.0,575,MEGA,0.42889,0.33485,0.38187,0.47901,0.33485,0.40693,0.52,0.33485,0.427425,0.52,0.25361,0.386805,,,,,,,,,,,,,,,
1763769600000,2025-11-22 23:59:59.999,MEGA,1d,0.35622,0.36254,0.3779,0.35001,49604.0,233,MEGA,0.4,0.33485,0.367425,0.4751,0.33485,0.404975,0.52,0.33485,0.427425,0.52,0.25361,0.386805,,,,,,,,,,,,,,,
1763856000000,2025-11-23 23:59:59.999,MEGA,1d,0.33184,0.34192,0.34192,0.31,334095.0,448,MEGA,0.4,0.31,0.355,0.4751,0.31,0.39255,0.52,0.31,0.41500000000000004,0.52,0.25361,0.386805,,,,,,,,,,,,,,,
1763942400000,2025-11-24 23:59:59.999,MEGA,1d,0.3925,0.39378,0.39471,0.36464,94839.0,867,MEGA,0.4,0.31,0.355,0.4751,0.31,0.39255,0.52,0.31,0.41500000000000004,0.52,0.25361,0.386805,,,,,,,,,,,,,,,
1764028800000,2025-11-25 23:59:59.999,MEGA,1d,0.38979,0.3933,0.39503,0.38142,45353.0,443,MEGA,0.39503,0.31,0.352515,0.46244,0.31,0.38622,0.52,0.31,0.41500000000000004,0.52,0.25361,0.386805,,,,,,,,,,,,,,,
1764115200000,2025-11-26 23:59:59.999,MEGA,1d,0.3694,0.37229,0.3741,0.35878,51370.0,459,MEGA,0.39503,0.31,0.352515,0.42889,0.31,0.369445,0.52,0.31,0.41500000000000004,0.52,0.25361,0.386805,,,,,,,,,,,,,,,
1764201600000,2025-11-27 23:59:59.999,MEGA,1d,0.37417,0.3695,0.385,0.3695,33384.0,195,MEGA,0.39503,0.31,0.352515,0.4,0.31,0.355,0.52,0.31,0.41500000000000004,0.52,0.25361,0.386805,,,,,,,,,,,,,,,
1764288000000,2025-11-28 23:59:59.999,MEGA,1d,0.37639,0.38284,0.38746,0.37639,11720.0,99,MEGA,0.39503,0.35878,0.376905,0.4,0.31,0.355,0.52,0.31,0.41500000000000004,0.52,0.25361,0.386805,,,,,,,,,,,,,,,
1764374400000,2025-11-29 23:59:59.999,MEGA,1d,0.352,0.34282,0.35336,0.34275,80955.0,991,MEGA,0.39503,0.34275,0.36889,0.4,0.31,0.355,0.52,0.31,0.41500000000000004,0.52,0.25361,0.386805,,,,,,,,,,,,,,,
1764460800000,2025-11-30 23:59:59.999,MEGA,1d,0.3451,0.34889,0.35603,0.3403,14892.0,76,MEGA,0.38746,0.3403,0.36388,0.39503,0.31,0.352515,0.52,0.31,0.41500000000000004,0.52,0.31,0.41500000000000004,,,,,,,,,,,,,,,
1764547200000,2025-12-01 23:59:59.999,MEGA,1d,0.32305,0.31531,0.32485,0.31289,190461.0,446,MEGA,0.38746,0.31289,0.350175,0.39503,0.31,0.352515,0.47901,0.31,0.394505,0.52,0.31,0.41500000000000004,,,,,,,,,,,,,,,
1764633600000,2025-12-02 23:59:59.999,MEGA,1d,0.3274,0.32549,0.33029,0.32549,54730.0,296,MEGA,0.38746,0.31289,0.350175,0.39503,0.31,0.352515,0.4751,0.31,0.39255,0.52,0.31,0.41500000000000004,,,,,,,,,,,,,,,
1764720000000,2025-12-03 23:59:59.999,MEGA,1d,0.32849,0.32261,0.32865,0.3151,96120.0,352,MEGA,0.35603,0.31289,0.33446,0.39503,0.31289,0.35396,0.4751,0.31,0.39255,0.52,0.31,0.41500000000000004,,,,,,,,,,,,,,,
1764806400000,2025-12-04 23:59:59.999,MEGA,1d,0.29272,0.28576,0.29575,0.28558,63497.0,240,MEGA,0.35603,0.28558,0.320805,0.39503,0.28558,0.34030499999999997,0.4751,0.28558,0.38034,0.52,0.28558,0.40279,,,,,,,,,,,,,,,
1764892800000,2025-12-05 23:59:59.999,MEGA,1d,0.29248,0.2903,0.29248,0.29026,13807.0,126,MEGA,0.33029,0.28558,0.30793499999999996,0.38746,0.28558,0.33652000000000004,0.46244,0.28558,0.37401,0.52,0.28558,0.40279,,,,,,,,,,,,,,,
1764979200000,2025-12-06 23:59:59.999,MEGA,1d,0.2844,0.28603,0.28804,0.28294,12650.0,89,MEGA,0.33029,0.28294,0.30661499999999997,0.38746,0.28294,0.33520000000000005,0.42889,0.28294,0.355915,0.52,0.28294,0.40147,,,,,,,,,,,,,,,
1765065600000,2025-12-07 23:59:59.999,MEGA,1d,0.30937,0.31007,0.31274,0.30687,20537.0,164,MEGA,0.32865,0.28294,0.30579500000000004,0.38746,0.28294,0.33520000000000005,0.4,0.28294,0.34147000000000005,0.52,0.28294,0.40147,,,,,,,,,,,,,,,
