t,timestamp,s,i,open,close,high,low,volume,n,asset,donchian_high_5,donchian_low_5,donchian_mid_5,donchian_high_10,donchian_low_10,donchian_mid_10,donchian_high_20,donchian_low_20,donchian_mid_20,donchian_high_30,donchian_low_30,donchian_mid_30,donchian_high_60,donchian_low_60,donchian_mid_60,donchian_high_90,donchian_low_90,donchian_mid_90,donchian_high_150,donchian_low_150,donchian_mid_150,donchian_high_250,donchian_low_250,donchian_mid_250,donchian_high_360,donchian_low_360,donchian_mid_360
1737331200000,2025-01-20 23:59:59.999,MELANIA,1d,11.272,3.7704,16.9,3.63,59825549.1,419282,MELANIA,,,,,,,,,,,,,,,,,,,,,,,,,,,
1737417600000,2025-01-21 23:59:59.999,MELANIA,1d,3.7772,4.1692,5.1365,3.3,41329161.6,161512,MELANIA,,,,,,,,,,,,,,,,,,,,,,,,,,,
1737504000000,2025-01-22 23:59:59.999,MELANIA,1d,4.1629,3.4621,4.2576,3.3751,12112224.4,56413,MELANIA,,,,,,,,,,,,,,,,,,,,,,,,,,,
1737590400000,2025-01-23 23:59:59.999,MELANIA,1d,3.4611,2.7401,3.5043,2.54,26269742.7,71902,MELANIA,,,,,,,,,,,,,,,,,,,,,,,,,,,
1737676800000,2025-01-24 23:59:59.999,MELANIA,1d,2.7456,2.474,2.8338,2.42,12339574.8,37418,MELANIA,16.9,2.42,9.66,,,,,,,,,,,,,,,,,,,,,,,,
1737763200000,2025-01-25 23:59:59.999,MELANIA,1d,2.4711,2.7349,3.0319,2.2564,17097573.1,52823,MELANIA,5.1365,2.2564,3.69645,,,,,,,,,,,,,,,,,,,,,,,,
1737849600000,2025-01-26 23:59:59.999,MELANIA,1d,2.7349,2.3902,2.8838,2.3684,8028641.099999999,24368,MELANIA,4.2576,2.2564,3.257,,,,,,,,,,,,,,,,,,,,,,,,
1737936000000,2025-01-27 23:59:59.999,MELANIA,1d,2.3927,2.5867,2.6831,2.2725,7798670.9,23532,MELANIA,3.5043,2.2564,2.88035,,,,,,,,,,,,,,,,,,,,,,,,
1738022400000,2025-01-28 23:59:59.999,MELANIA,1d,2.5874,2.3078,2.7809,2.2558,6229503.4,21503,MELANIA,3.0319,2.2558,2.6438499999999996,,,,,,,,,,,,,,,,,,,,,,,,
1738108800000,2025-01-29 23:59:59.999,MELANIA,1d,2.3153,2.2368,2.3842,2.18,4551650.1,14304,MELANIA,3.0319,2.18,2.60595,16.9,2.18,9.54,,,,,,,,,,,,,,,,,,,,,
1738195200000,2025-01-30 23:59:59.999,MELANIA,1d,2.2363,2.1112,2.3107,2.108,4750048.4,16108,MELANIA,2.8838,2.108,2.4959,5.1365,2.108,3.62225,,,,,,,,,,,,,,,,,,,,,
1738281600000,2025-01-31 23:59:59.999,MELANIA,1d,2.1113,1.933,2.1456,1.9105,6227414.7,15495,MELANIA,2.7809,1.9105,2.3457,4.2576,1.9105,3.08405,,,,,,,,,,,,,,,,,,,,,
1738368000000,2025-02-01 23:59:59.999,MELANIA,1d,1.933,1.5661,1.97,1.5599,12594796.6,25064,MELANIA,2.7809,1.5599,2.1704,3.5043,1.5599,2.5321000000000002,,,,,,,,,,,,,,,,,,,,,
1738454400000,2025-02-02 23:59:59.999,MELANIA,1d,1.5671,1.5744,1.771,1.4509,14379131.0,29601,MELANIA,2.3842,1.4509,1.9175499999999999,3.0319,1.4509,2.2414,,,,,,,,,,,,,,,,,,,,,
1738540800000,2025-02-03 23:59:59.999,MELANIA,1d,1.578,1.4928,1.583,1.2288,14089808.8,33099,MELANIA,2.3107,1.2288,1.7697500000000002,3.0319,1.2288,2.13035,,,,,,,,,,,,,,,,,,,,,
1738627200000,2025-02-04 23:59:59.999,MELANIA,1d,1.4931,1.6347,1.77,1.3779,19852690.9,45064,MELANIA,2.1456,1.2288,1.6871999999999998,2.8838,1.2288,2.0563,,,,,,,,,,,,,,,,,,,,,
1738713600000,2025-02-05 23:59:59.999,MELANIA,1d,1.6368,1.6152,1.795,1.576,9884244.2,21338,MELANIA,1.97,1.2288,1.5994,2.7809,1.2288,2.00485,,,,,,,,,,,,,,,,,,,,,
1738800000000,2025-02-06 23:59:59.999,MELANIA,1d,1.6156,1.471,1.6312,1.4501,4048424.5,10761,MELANIA,1.795,1.2288,1.5118999999999998,2.7809,1.2288,2.00485,,,,,,,,,,,,,,,,,,,,,
1738886400000,2025-02-07 23:59:59.999,MELANIA,1d,1.4708,1.4798,1.5601,1.4352,4417953.6,10820,MELANIA,1.795,1.2288,1.5118999999999998,2.3842,1.2288,1.8064999999999998,,,,,,,,,,,,,,,,,,,,,
1738972800000,2025-02-08 23:59:59.999,MELANIA,1d,1.4792,1.4884,1.5141,1.4484,2371689.0,7778,MELANIA,1.795,1.3779,1.58645,2.3107,1.2288,1.7697500000000002,16.9,1.2288,9.0644,,,,,,,,,,,,,,,,,,
1739059200000,2025-02-09 23:59:59.999,MELANIA,1d,1.4885,1.4547,1.5263,1.3935,2684999.8,7193,MELANIA,1.795,1.3935,1.59425,2.1456,1.2288,1.6871999999999998,5.1365,1.2288,3.1826499999999998,,,,,,,,,,,,,,,,,,
1739145600000,2025-02-10 23:59:59.999,MELANIA,1d,1.4548,1.4286,1.5,1.4106,2695599.9,9178,MELANIA,1.6312,1.3935,1.51235,1.97,1.2288,1.5994,4.2576,1.2288,2.7432,,,,,,,,,,,,,,,,,,
1739232000000,2025-02-11 23:59:59.999,MELANIA,1d,1.4314,1.4037,1.4979,1.39,2544215.2,7346,MELANIA,1.5601,1.39,1.47505,1.795,1.2288,1.5118999999999998,3.5043,1.2288,2.36655,,,,,,,,,,,,,,,,,,
1739318400000,2025-02-12 23:59:59.999,MELANIA,1d,1.4033,1.4303,1.444,1.3743,2831668.6,9009,MELANIA,1.5263,1.3743,1.4503,1.795,1.2288,1.5118999999999998,3.0319,1.2288,2.13035,,,,,,,,,,,,,,,,,,
1739404800000,2025-02-13 23:59:59.999,MELANIA,1d,1.4303,1.3959,1.4784,1.3744,2654870.9,6681,MELANIA,1.5263,1.3743,1.4503,1.795,1.3743,1.58465,3.0319,1.2288,2.13035,,,,,,,,,,,,,,,,,,
1739491200000,2025-02-14 23:59:59.999,MELANIA,1d,1.3991,1.4419,1.6071,1.3963,7896643.2,18771,MELANIA,1.6071,1.3743,1.4907,1.795,1.3743,1.58465,2.8838,1.2288,2.0563,,,,,,,,,,,,,,,,,,
1739577600000,2025-02-15 23:59:59.999,MELANIA,1d,1.4426,1.3319,1.4513,1.3112,4548971.9,12416,MELANIA,1.6071,1.3112,1.45915,1.6312,1.3112,1.4712,2.7809,1.2288,2.00485,,,,,,,,,,,,,,,,,,
1739664000000,2025-02-16 23:59:59.999,MELANIA,1d,1.3319,1.2988,1.3468,1.282,3354751.7,9032,MELANIA,1.6071,1.282,1.44455,1.6071,1.282,1.44455,2.7809,1.2288,2.00485,,,,,,,,,,,,,,,,,,
