t,timestamp,s,i,open,close,high,low,volume,n,asset,donchian_high_5,donchian_low_5,donchian_mid_5,donchian_high_10,donchian_low_10,donchian_mid_10,donchian_high_20,donchian_low_20,donchian_mid_20,donchian_high_30,donchian_low_30,donchian_mid_30,donchian_high_60,donchian_low_60,donchian_mid_60,donchian_high_90,donchian_low_90,donchian_mid_90,donchian_high_150,donchian_low_150,donchian_mid_150,donchian_high_250,donchian_low_250,donchian_mid_250,donchian_high_360,donchian_low_360,donchian_mid_360
1698969600000,2023-11-03 23:59:59.999,MEME,1d,0.028862,0.026427,0.029021,0.022667,20503967.0,955,MEME,,,,,,,,,,,,,,,,,,,,,,,,,,,
1699056000000,2023-11-04 23:59:59.999,MEME,1d,0.026236,0.025159,0.026484,0.023,27600674.0,1901,MEME,,,,,,,,,,,,,,,,,,,,,,,,,,,
1699142400000,2023-11-05 23:59:59.999,MEME,1d,0.025056,0.019835,0.025088,0.019084,32936097.0,2025,MEME,,,,,,,,,,,,,,,,,,,,,,,,,,,
1699228800000,2023-11-06 23:59:59.999,MEME,1d,0.019849,0.021027,0.021343,0.01942,161434460.0,1934,MEME,,,,,,,,,,,,,,,,,,,,,,,,,,,
1699315200000,2023-11-07 23:59:59.999,MEME,1d,0.020973,0.017803,0.020973,0.016789,91075737.0,1938,MEME,0.029021,0.016789,0.022905000000000002,,,,,,,,,,,,,,,,,,,,,,,,
1699401600000,2023-11-08 23:59:59.999,MEME,1d,0.017792,0.018175,0.018996,0.017577,39084187.0,1888,MEME,0.026484,0.016789,0.0216365,,,,,,,,,,,,,,,,,,,,,,,,
1699488000000,2023-11-09 23:59:59.999,MEME,1d,0.018193,0.019421,0.0223,0.01605,91923909.0,2348,MEME,0.025088,0.01605,0.020568999999999997,,,,,,,,,,,,,,,,,,,,,,,,
1699574400000,2023-11-10 23:59:59.999,MEME,1d,0.019416,0.020976,0.021673,0.018782,37109970.0,2134,MEME,0.0223,0.01605,0.019174999999999998,,,,,,,,,,,,,,,,,,,,,,,,
1699660800000,2023-11-11 23:59:59.999,MEME,1d,0.021031,0.022272,0.024927,0.020293,21546240.0,2039,MEME,0.024927,0.01605,0.0204885,,,,,,,,,,,,,,,,,,,,,,,,
1699747200000,2023-11-12 23:59:59.999,MEME,1d,0.022277,0.021745,0.022475,0.020399,24048196.0,2012,MEME,0.024927,0.01605,0.0204885,0.029021,0.01605,0.0225355,,,,,,,,,,,,,,,,,,,,,
1699833600000,2023-11-13 23:59:59.999,MEME,1d,0.021753,0.033975,0.03661,0.021379,52525735.0,2479,MEME,0.03661,0.01605,0.02633,0.03661,0.01605,0.02633,,,,,,,,,,,,,,,,,,,,,
1699920000000,2023-11-14 23:59:59.999,MEME,1d,0.034575,0.036161,0.038288,0.029134,53506178.0,2401,MEME,0.038288,0.018782,0.028535,0.038288,0.01605,0.027169,,,,,,,,,,,,,,,,,,,,,
1700006400000,2023-11-15 23:59:59.999,MEME,1d,0.036195,0.033796,0.040936,0.033203,45039381.0,2331,MEME,0.040936,0.020293,0.0306145,0.040936,0.01605,0.028492999999999997,,,,,,,,,,,,,,,,,,,,,
1700092800000,2023-11-16 23:59:59.999,MEME,1d,0.033972,0.031087,0.036095,0.03025,47516444.0,2216,MEME,0.040936,0.020399,0.0306675,0.040936,0.01605,0.028492999999999997,,,,,,,,,,,,,,,,,,,,,
1700179200000,2023-11-17 23:59:59.999,MEME,1d,0.031028,0.029238,0.034388,0.02704,34971541.0,1959,MEME,0.040936,0.021379,0.031157499999999998,0.040936,0.01605,0.028492999999999997,,,,,,,,,,,,,,,,,,,,,
1700265600000,2023-11-18 23:59:59.999,MEME,1d,0.029223,0.026846,0.029223,0.025235,10685188.0,1853,MEME,0.040936,0.025235,0.033085500000000004,0.040936,0.01605,0.028492999999999997,,,,,,,,,,,,,,,,,,,,,
1700352000000,2023-11-19 23:59:59.999,MEME,1d,0.02682,0.030957,0.031429,0.025171,16289870.0,1797,MEME,0.040936,0.025171,0.0330535,0.040936,0.018782,0.029859,,,,,,,,,,,,,,,,,,,,,
1700438400000,2023-11-20 23:59:59.999,MEME,1d,0.030751,0.027893,0.031073,0.027458,23145626.0,1926,MEME,0.036095,0.025171,0.030633,0.040936,0.020293,0.0306145,,,,,,,,,,,,,,,,,,,,,
1700524800000,2023-11-21 23:59:59.999,MEME,1d,0.027838,0.023778,0.028288,0.023723,109568933.0,2469,MEME,0.034388,0.023723,0.0290555,0.040936,0.020399,0.0306675,,,,,,,,,,,,,,,,,,,,,
