t,timestamp,s,i,open,close,high,low,volume,n,asset
1718582400000,2024-06-17 23:59:59.999,MEW,1d,0.004423,0.004843,0.005213,0.004372,0.0,0,MEW
1718668800000,2024-06-18 23:59:59.999,MEW,1d,0.004844,0.004127,0.004929,0.003947,0.0,0,MEW
1718755200000,2024-06-19 23:59:59.999,MEW,1d,0.004128,0.004204,0.004399,0.004,0.0,0,MEW
1718841600000,2024-06-20 23:59:59.999,MEW,1d,0.004203,0.003845,0.00442,0.003822,0.0,0,MEW
1718928000000,2024-06-21 23:59:59.999,MEW,1d,0.003844,0.003782,0.003933,0.003661,0.0,0,MEW
1719014400000,2024-06-22 23:59:59.999,MEW,1d,0.003783,0.003954,0.004137,0.003684,0.0,0,MEW
1719100800000,2024-06-23 23:59:59.999,MEW,1d,0.003951,0.003627,0.004084,0.003597,0.0,0,MEW
1719187200000,2024-06-24 23:59:59.999,MEW,1d,0.003627,0.00372,0.003754,0.003389,0.0,0,MEW
1719273600000,2024-06-25 23:59:59.999,MEW,1d,0.00372,0.003945,0.004132,0.003698,0.0,0,MEW
1719360000000,2024-06-26 23:59:59.999,MEW,1d,0.003945,0.003844,0.004115,0.003817,0.0,0,MEW
1719446400000,2024-06-27 23:59:59.999,MEW,1d,0.003844,0.004367,0.004429,0.003746,0.0,0,MEW
1719532800000,2024-06-28 23:59:59.999,MEW,1d,0.004367,0.004089,0.004554,0.004069,0.0,0,MEW
1719619200000,2024-06-29 23:59:59.999,MEW,1d,0.004089,0.004173,0.004486,0.004085,0.0,0,MEW
1719705600000,2024-06-30 23:59:59.999,MEW,1d,0.004174,0.0045,0.004598,0.004037,0.0,0,MEW
1719792000000,2024-07-01 23:59:59.999,MEW,1d,0.004498,0.00465,0.004895,0.004428,0.0,0,MEW
1719878400000,2024-07-02 23:59:59.999,MEW,1d,0.00465,0.004574,0.004771,0.004385,0.0,0,MEW
1719964800000,2024-07-03 23:59:59.999,MEW,1d,0.004574,0.003999,0.0047,0.003989,0.0,0,MEW
1720051200000,2024-07-04 23:59:59.999,MEW,1d,0.003998,0.003451,0.004059,0.003408,0.0,0,MEW
1720137600000,2024-07-05 23:59:59.999,MEW,1d,0.00345,0.003385,0.003505,0.00299,0.0,0,MEW
1720224000000,2024-07-06 23:59:59.999,MEW,1d,0.003385,0.003803,0.003872,0.003341,0.0,0,MEW
1720310400000,2024-07-07 23:59:59.999,MEW,1d,0.003803,0.003353,0.003831,0.003321,0.0,0,MEW
1720396800000,2024-07-08 23:59:59.999,MEW,1d,0.003354,0.003405,0.003677,0.003163,0.0,0,MEW
1720483200000,2024-07-09 23:59:59.999,MEW,1d,0.003404,0.003512,0.003614,0.003331,0.0,0,MEW
1720569600000,2024-07-10 23:59:59.999,MEW,1d,0.003511,0.003536,0.003691,0.00342,0.0,0,MEW
1720656000000,2024-07-11 23:59:59.999,MEW,1d,0.003537,0.003278,0.003698,0.003272,0.0,0,MEW
1720742400000,2024-07-12 23:59:59.999,MEW,1d,0.003278,0.003147,0.003281,0.003071,0.0,0,MEW
1720828800000,2024-07-13 23:59:59.999,MEW,1d,0.003147,0.003182,0.003241,0.003071,0.0,0,MEW
1720915200000,2024-07-14 23:59:59.999,MEW,1d,0.003183,0.00335,0.003399,0.00318,0.0,0,MEW
1721001600000,2024-07-15 23:59:59.999,MEW,1d,0.003349,0.004057,0.004114,0.003334,0.0,0,MEW
1721088000000,2024-07-16 23:59:59.999,MEW,1d,0.004056,0.004069,0.004275,0.003729,0.0,0,MEW
1721174400000,2024-07-17 23:59:59.999,MEW,1d,0.00407,0.003841,0.00425,0.003834,0.0,0,MEW
1721260800000,2024-07-18 23:59:59.999,MEW,1d,0.003842,0.0039,0.004125,0.003715,0.0,0,MEW
1721347200000,2024-07-19 23:59:59.999,MEW,1d,0.0039,0.004285,0.00434,0.00376,0.0,0,MEW
1721433600000,2024-07-20 23:59:59.999,MEW,1d,0.004287,0.005363,0.005512,0.004251,0.0,0,MEW
1721520000000,2024-07-21 23:59:59.999,MEW,1d,0.005363,0.007427,0.007488,0.005221,0.0,0,MEW
