t,timestamp,s,i,open,close,high,low,volume,n,asset,donchian_high_5,donchian_low_5,donchian_mid_5,donchian_high_10,donchian_low_10,donchian_mid_10,donchian_high_20,donchian_low_20,donchian_mid_20,donchian_high_30,donchian_low_30,donchian_mid_30,donchian_high_60,donchian_low_60,donchian_mid_60,donchian_high_90,donchian_low_90,donchian_mid_90,donchian_high_150,donchian_low_150,donchian_mid_150,donchian_high_250,donchian_low_250,donchian_mid_250,donchian_high_360,donchian_low_360,donchian_mid_360
1688774400000,2023-07-08 23:59:59.999,MINA,1d,0.457,0.4484,0.4607,0.435,0.0,0,MINA,,,,,,,,,,,,,,,,,,,,,,,,,,,
1688860800000,2023-07-09 23:59:59.999,MINA,1d,0.4485,0.4375,0.4525,0.4357,0.0,0,MINA,,,,,,,,,,,,,,,,,,,,,,,,,,,
1688947200000,2023-07-10 23:59:59.999,MINA,1d,0.4375,0.4806,0.4921,0.4269,0.0,0,MINA,,,,,,,,,,,,,,,,,,,,,,,,,,,
1689033600000,2023-07-11 23:59:59.999,MINA,1d,0.4806,0.4525,0.521,0.4476,0.0,0,MINA,,,,,,,,,,,,,,,,,,,,,,,,,,,
1689120000000,2023-07-12 23:59:59.999,MINA,1d,0.4525,0.445,0.4558,0.4392,0.0,0,MINA,0.521,0.4269,0.47395,,,,,,,,,,,,,,,,,,,,,,,,
1689206400000,2023-07-13 23:59:59.999,MINA,1d,0.4451,0.4951,0.4986,0.439,0.0,0,MINA,0.521,0.4269,0.47395,,,,,,,,,,,,,,,,,,,,,,,,
1689292800000,2023-07-14 23:59:59.999,MINA,1d,0.4952,0.4864,0.5148,0.4597,0.0,0,MINA,0.521,0.4269,0.47395,,,,,,,,,,,,,,,,,,,,,,,,
1689379200000,2023-07-15 23:59:59.999,MINA,1d,0.4865,0.4805,0.4942,0.4755,0.0,0,MINA,0.521,0.439,0.48,,,,,,,,,,,,,,,,,,,,,,,,
1689465600000,2023-07-16 23:59:59.999,MINA,1d,0.4805,0.4699,0.4812,0.462,0.0,0,MINA,0.5148,0.439,0.4769,,,,,,,,,,,,,,,,,,,,,,,,
1689552000000,2023-07-17 23:59:59.999,MINA,1d,0.4699,0.4726,0.4832,0.4553,0.0,0,MINA,0.5148,0.439,0.4769,0.521,0.4269,0.47395,,,,,,,,,,,,,,,,,,,,,
1689638400000,2023-07-18 23:59:59.999,MINA,1d,0.4726,0.4578,0.4804,0.45,0.0,0,MINA,0.5148,0.45,0.48240000000000005,0.521,0.4269,0.47395,,,,,,,,,,,,,,,,,,,,,
1689724800000,2023-07-19 23:59:59.999,MINA,1d,0.4578,0.451,0.4634,0.4479,0.0,0,MINA,0.4942,0.4479,0.47104999999999997,0.521,0.4269,0.47395,,,,,,,,,,,,,,,,,,,,,
1689811200000,2023-07-20 23:59:59.999,MINA,1d,0.4511,0.4589,0.4652,0.4486,0.0,0,MINA,0.4832,0.4479,0.46555,0.521,0.439,0.48,,,,,,,,,,,,,,,,,,,,,
1689897600000,2023-07-21 23:59:59.999,MINA,1d,0.4588,0.4614,0.4639,0.4537,0.0,0,MINA,0.4832,0.4479,0.46555,0.5148,0.439,0.4769,,,,,,,,,,,,,,,,,,,,,
1689984000000,2023-07-22 23:59:59.999,MINA,1d,0.4614,0.4558,0.4684,0.451,0.0,0,MINA,0.4804,0.4479,0.46415,0.5148,0.439,0.4769,,,,,,,,,,,,,,,,,,,,,
1690070400000,2023-07-23 23:59:59.999,MINA,1d,0.4559,0.4615,0.4682,0.4524,0.0,0,MINA,0.4684,0.4479,0.45815,0.5148,0.4479,0.48135000000000006,,,,,,,,,,,,,,,,,,,,,
1690156800000,2023-07-24 23:59:59.999,MINA,1d,0.4616,0.4409,0.4628,0.427,0.0,0,MINA,0.4684,0.427,0.4477,0.4942,0.427,0.4606,,,,,,,,,,,,,,,,,,,,,
1690243200000,2023-07-25 23:59:59.999,MINA,1d,0.4408,0.436,0.4412,0.4316,0.0,0,MINA,0.4684,0.427,0.4477,0.4832,0.427,0.4551,,,,,,,,,,,,,,,,,,,,,
1690329600000,2023-07-26 23:59:59.999,MINA,1d,0.436,0.439,0.4466,0.4246,0.0,0,MINA,0.4684,0.4246,0.4465,0.4832,0.4246,0.45389999999999997,,,,,,,,,,,,,,,,,,,,,
1690416000000,2023-07-27 23:59:59.999,MINA,1d,0.4391,0.4431,0.4517,0.435,0.0,0,MINA,0.4682,0.4246,0.4464,0.4804,0.4246,0.4525,0.521,0.4246,0.4728,,,,,,,,,,,,,,,,,,
1690502400000,2023-07-28 23:59:59.999,MINA,1d,0.4431,0.4471,0.4504,0.4387,0.0,0,MINA,0.4628,0.4246,0.4437,0.4684,0.4246,0.4465,0.521,0.4246,0.4728,,,,,,,,,,,,,,,,,,
1690588800000,2023-07-29 23:59:59.999,MINA,1d,0.4472,0.4487,0.4501,0.4435,0.0,0,MINA,0.4517,0.4246,0.43815,0.4684,0.4246,0.4465,0.521,0.4246,0.4728,,,,,,,,,,,,,,,,,,
1690675200000,2023-07-30 23:59:59.999,MINA,1d,0.4488,0.4435,0.4527,0.431,0.0,0,MINA,0.4527,0.4246,0.43865,0.4684,0.4246,0.4465,0.521,0.4246,0.4728,,,,,,,,,,,,,,,,,,
1690761600000,2023-07-31 23:59:59.999,MINA,1d,0.4434,0.4415,0.4485,0.4347,0.0,0,MINA,0.4527,0.431,0.44184999999999997,0.4684,0.4246,0.4465,0.5148,0.4246,0.4697,,,,,,,,,,,,,,,,,,
1690848000000,2023-08-01 23:59:59.999,MINA,1d,0.4415,0.4483,0.4488,0.4246,0.0,0,MINA,0.4527,0.4246,0.43865,0.4682,0.4246,0.4464,0.5148,0.4246,0.4697,,,,,,,,,,,,,,,,,,
1690934400000,2023-08-02 23:59:59.999,MINA,1d,0.4482,0.4364,0.4492,0.4314,0.0,0,MINA,0.4527,0.4246,0.43865,0.4628,0.4246,0.4437,0.5148,0.4246,0.4697,,,,,,,,,,,,,,,,,,
1691020800000,2023-08-03 23:59:59.999,MINA,1d,0.4363,0.434,0.4397,0.4301,0.0,0,MINA,0.4527,0.4246,0.43865,0.4527,0.4246,0.43865,0.4942,0.4246,0.4594,,,,,,,,,,,,,,,,,,
1691107200000,2023-08-04 23:59:59.999,MINA,1d,0.434,0.4321,0.4372,0.425,0.0,0,MINA,0.4492,0.4246,0.43689999999999996,0.4527,0.4246,0.43865,0.4832,0.4246,0.45389999999999997,,,,,,,,,,,,,,,,,,
1691193600000,2023-08-05 23:59:59.999,MINA,1d,0.4321,0.4353,0.4359,0.4271,0.0,0,MINA,0.4492,0.4246,0.43689999999999996,0.4527,0.4246,0.43865,0.4832,0.4246,0.45389999999999997,,,,,,,,,,,,,,,,,,
1691280000000,2023-08-06 23:59:59.999,MINA,1d,0.4353,0.4363,0.4414,0.4329,0.0,0,MINA,0.4492,0.425,0.4371,0.4527,0.4246,0.43865,0.4804,0.4246,0.4525,0.521,0.4246,0.4728,,,,,,,,,,,,,,,
1691366400000,2023-08-07 23:59:59.999,MINA,1d,0.4363,0.4388,0.4423,0.4212,0.0,0,MINA,0.4423,0.4212,0.43175,0.4527,0.4212,0.43695,0.4684,0.4212,0.4448,0.521,0.4212,0.4711,,,,,,,,,,,,,,,
1691452800000,2023-08-08 23:59:59.999,MINA,1d,0.4388,0.4552,0.4594,0.4355,0.0,0,MINA,0.4594,0.4212,0.4403,0.4594,0.4212,0.4403,0.4684,0.4212,0.4448,0.521,0.4212,0.4711,,,,,,,,,,,,,,,
1691539200000,2023-08-09 23:59:59.999,MINA,1d,0.4553,0.4528,0.4652,0.4496,0.0,0,MINA,0.4652,0.4212,0.44320000000000004,0.4652,0.4212,0.44320000000000004,0.4684,0.4212,0.4448,0.521,0.4212,0.4711,,,,,,,,,,,,,,,
1691625600000,2023-08-10 23:59:59.999,MINA,1d,0.4527,0.4615,0.4677,0.4497,0.0,0,MINA,0.4677,0.4212,0.44445,0.4677,0.4212,0.44445,0.4684,0.4212,0.4448,0.5148,0.4212,0.468,,,,,,,,,,,,,,,
1691712000000,2023-08-11 23:59:59.999,MINA,1d,0.4615,0.4652,0.4702,0.4579,0.0,0,MINA,0.4702,0.4212,0.4457,0.4702,0.4212,0.4457,0.4702,0.4212,0.4457,0.5148,0.4212,0.468,,,,,,,,,,,,,,,
1691798400000,2023-08-12 23:59:59.999,MINA,1d,0.4653,0.4621,0.4668,0.4584,0.0,0,MINA,0.4702,0.4355,0.45285,0.4702,0.4212,0.4457,0.4702,0.4212,0.4457,0.5148,0.4212,0.468,,,,,,,,,,,,,,,
1691884800000,2023-08-13 23:59:59.999,MINA,1d,0.4622,0.4676,0.4727,0.46,0.0,0,MINA,0.4727,0.4496,0.46115,0.4727,0.4212,0.44695,0.4727,0.4212,0.44695,0.4942,0.4212,0.4577,,,,,,,,,,,,,,,
1691971200000,2023-08-14 23:59:59.999,MINA,1d,0.4675,0.4812,0.4852,0.4658,0.0,0,MINA,0.4852,0.4497,0.46745000000000003,0.4852,0.4212,0.45320000000000005,0.4852,0.4212,0.45320000000000005,0.4852,0.4212,0.45320000000000005,,,,,,,,,,,,,,,
1692057600000,2023-08-15 23:59:59.999,MINA,1d,0.4813,0.4574,0.4946,0.425,0.0,0,MINA,0.4946,0.425,0.4598,0.4946,0.4212,0.4579,0.4946,0.4212,0.4579,0.4946,0.4212,0.4579,,,,,,,,,,,,,,,
1692144000000,2023-08-16 23:59:59.999,MINA,1d,0.4574,0.4289,0.4592,0.4212,0.0,0,MINA,0.4946,0.4212,0.4579,0.4946,0.4212,0.4579,0.4946,0.4212,0.4579,0.4946,0.4212,0.4579,,,,,,,,,,,,,,,
1692230400000,2023-08-17 23:59:59.999,MINA,1d,0.4289,0.3973,0.4423,0.35,0.0,0,MINA,0.4946,0.35,0.4223,0.4946,0.35,0.4223,0.4946,0.35,0.4223,0.4946,0.35,0.4223,,,,,,,,,,,,,,,
1692316800000,2023-08-18 23:59:59.999,MINA,1d,0.3972,0.4107,0.4131,0.3927,0.0,0,MINA,0.4946,0.35,0.4223,0.4946,0.35,0.4223,0.4946,0.35,0.4223,0.4946,0.35,0.4223,,,,,,,,,,,,,,,
1692403200000,2023-08-19 23:59:59.999,MINA,1d,0.4106,0.4166,0.4248,0.407,0.0,0,MINA,0.4946,0.35,0.4223,0.4946,0.35,0.4223,0.4946,0.35,0.4223,0.4946,0.35,0.4223,,,,,,,,,,,,,,,
1692489600000,2023-08-20 23:59:59.999,MINA,1d,0.4165,0.4119,0.418,0.4085,0.0,0,MINA,0.4592,0.35,0.40459999999999996,0.4946,0.35,0.4223,0.4946,0.35,0.4223,0.4946,0.35,0.4223,,,,,,,,,,,,,,,
1692576000000,2023-08-21 23:59:59.999,MINA,1d,0.4119,0.4002,0.4134,0.39,0.0,0,MINA,0.4423,0.35,0.39615,0.4946,0.35,0.4223,0.4946,0.35,0.4223,0.4946,0.35,0.4223,,,,,,,,,,,,,,,
1692662400000,2023-08-22 23:59:59.999,MINA,1d,0.4003,0.4004,0.4017,0.3818,0.0,0,MINA,0.4248,0.3818,0.4033,0.4946,0.35,0.4223,0.4946,0.35,0.4223,0.4946,0.35,0.4223,,,,,,,,,,,,,,,
1692748800000,2023-08-23 23:59:59.999,MINA,1d,0.4006,0.4008,0.4113,0.3945,0.0,0,MINA,0.4248,0.3818,0.4033,0.4946,0.35,0.4223,0.4946,0.35,0.4223,0.4946,0.35,0.4223,,,,,,,,,,,,,,,
1692835200000,2023-08-24 23:59:59.999,MINA,1d,0.4009,0.393,0.4029,0.3874,0.0,0,MINA,0.418,0.3818,0.3999,0.4946,0.35,0.4223,0.4946,0.35,0.4223,0.4946,0.35,0.4223,,,,,,,,,,,,,,,
1692921600000,2023-08-25 23:59:59.999,MINA,1d,0.393,0.3945,0.3948,0.38,0.0,0,MINA,0.4134,0.38,0.3967,0.4592,0.35,0.40459999999999996,0.4946,0.35,0.4223,0.4946,0.35,0.4223,,,,,,,,,,,,,,,
1693008000000,2023-08-26 23:59:59.999,MINA,1d,0.3944,0.3915,0.3988,0.391,0.0,0,MINA,0.4113,0.38,0.39565,0.4423,0.35,0.39615,0.4946,0.35,0.4223,0.4946,0.35,0.4223,,,,,,,,,,,,,,,
1693094400000,2023-08-27 23:59:59.999,MINA,1d,0.3915,0.3895,0.3925,0.3858,0.0,0,MINA,0.4113,0.38,0.39565,0.4248,0.38,0.4024,0.4946,0.35,0.4223,0.4946,0.35,0.4223,,,,,,,,,,,,,,,
1693180800000,2023-08-28 23:59:59.999,MINA,1d,0.3893,0.3895,0.3943,0.3769,0.0,0,MINA,0.4029,0.3769,0.3899,0.4248,0.3769,0.40085000000000004,0.4946,0.35,0.4223,0.4946,0.35,0.4223,,,,,,,,,,,,,,,
1693267200000,2023-08-29 23:59:59.999,MINA,1d,0.3896,0.3983,0.4045,0.3768,0.0,0,MINA,0.4045,0.3768,0.39065000000000005,0.418,0.3768,0.3974,0.4946,0.35,0.4223,0.4946,0.35,0.4223,,,,,,,,,,,,,,,
1693353600000,2023-08-30 23:59:59.999,MINA,1d,0.3983,0.3899,0.4,0.3858,0.0,0,MINA,0.4045,0.3768,0.39065000000000005,0.4134,0.3768,0.3951,0.4946,0.35,0.4223,0.4946,0.35,0.4223,,,,,,,,,,,,,,,
1693440000000,2023-08-31 23:59:59.999,MINA,1d,0.3898,0.3754,0.3949,0.37,0.0,0,MINA,0.4045,0.37,0.38725,0.4113,0.37,0.39065,0.4946,0.35,0.4223,0.4946,0.35,0.4223,,,,,,,,,,,,,,,
1693526400000,2023-09-01 23:59:59.999,MINA,1d,0.3753,0.371,0.3796,0.364,0.0,0,MINA,0.4045,0.364,0.38425,0.4113,0.364,0.38765,0.4946,0.35,0.4223,0.4946,0.35,0.4223,,,,,,,,,,,,,,,
1693612800000,2023-09-02 23:59:59.999,MINA,1d,0.371,0.3725,0.3764,0.3675,0.0,0,MINA,0.4045,0.364,0.38425,0.4045,0.364,0.38425,0.4946,0.35,0.4223,0.4946,0.35,0.4223,,,,,,,,,,,,,,,
1693699200000,2023-09-03 23:59:59.999,MINA,1d,0.3726,0.3714,0.3771,0.3685,0.0,0,MINA,0.4,0.364,0.382,0.4045,0.364,0.38425,0.4946,0.35,0.4223,0.4946,0.35,0.4223,,,,,,,,,,,,,,,
1693785600000,2023-09-04 23:59:59.999,MINA,1d,0.3714,0.3692,0.3782,0.3633,0.0,0,MINA,0.3949,0.3633,0.3791,0.4045,0.3633,0.3839,0.4592,0.35,0.40459999999999996,0.4946,0.35,0.4223,,,,,,,,,,,,,,,
1693872000000,2023-09-05 23:59:59.999,MINA,1d,0.3692,0.3771,0.3792,0.3635,0.0,0,MINA,0.3796,0.3633,0.37145,0.4045,0.3633,0.3839,0.4423,0.35,0.39615,0.4946,0.35,0.4223,0.521,0.35,0.4355,,,,,,,,,,,,
1693958400000,2023-09-06 23:59:59.999,MINA,1d,0.377,0.3757,0.3794,0.3642,0.0,0,MINA,0.3794,0.3633,0.37135,0.4045,0.3633,0.3839,0.4248,0.3633,0.39405,0.4946,0.35,0.4223,0.521,0.35,0.4355,,,,,,,,,,,,
1694044800000,2023-09-07 23:59:59.999,MINA,1d,0.3757,0.3825,0.3864,0.3742,0.0,0,MINA,0.3864,0.3633,0.37485,0.4045,0.3633,0.3839,0.4248,0.3633,0.39405,0.4946,0.35,0.4223,0.521,0.35,0.4355,,,,,,,,,,,,
1694131200000,2023-09-08 23:59:59.999,MINA,1d,0.3827,0.3768,0.3874,0.3705,0.0,0,MINA,0.3874,0.3633,0.37535,0.4,0.3633,0.38165000000000004,0.418,0.3633,0.39065,0.4946,0.35,0.4223,0.521,0.35,0.4355,,,,,,,,,,,,
1694217600000,2023-09-09 23:59:59.999,MINA,1d,0.3768,0.3874,0.3948,0.3761,0.0,0,MINA,0.3948,0.3635,0.37915,0.3949,0.3633,0.3791,0.4134,0.3633,0.38835,0.4946,0.35,0.4223,0.5148,0.35,0.4324,,,,,,,,,,,,
1694304000000,2023-09-10 23:59:59.999,MINA,1d,0.3874,0.3766,0.3875,0.3622,0.0,0,MINA,0.3948,0.3622,0.3785,0.3948,0.3622,0.3785,0.4113,0.3622,0.38675000000000004,0.4946,0.35,0.4223,0.5148,0.35,0.4324,,,,,,,,,,,,
1694390400000,2023-09-11 23:59:59.999,MINA,1d,0.3765,0.3658,0.3781,0.355,0.0,0,MINA,0.3948,0.355,0.3749,0.3948,0.355,0.3749,0.4113,0.355,0.38315,0.4946,0.35,0.4223,0.5148,0.35,0.4324,,,,,,,,,,,,
1694476800000,2023-09-12 23:59:59.999,MINA,1d,0.3659,0.3689,0.3809,0.3648,0.0,0,MINA,0.3948,0.355,0.3749,0.3948,0.355,0.3749,0.4045,0.355,0.37975000000000003,0.4946,0.35,0.4223,0.4946,0.35,0.4223,,,,,,,,,,,,
1694563200000,2023-09-13 23:59:59.999,MINA,1d,0.3689,0.3741,0.3787,0.3636,0.0,0,MINA,0.3948,0.355,0.3749,0.3948,0.355,0.3749,0.4045,0.355,0.37975000000000003,0.4946,0.35,0.4223,0.4946,0.35,0.4223,,,,,,,,,,,,
1694649600000,2023-09-14 23:59:59.999,MINA,1d,0.374,0.3743,0.3804,0.3711,0.0,0,MINA,0.3875,0.355,0.37124999999999997,0.3948,0.355,0.3749,0.4045,0.355,0.37975000000000003,0.4592,0.35,0.40459999999999996,0.4946,0.35,0.4223,,,,,,,,,,,,
1694736000000,2023-09-15 23:59:59.999,MINA,1d,0.3743,0.3846,0.3869,0.3694,0.0,0,MINA,0.3869,0.355,0.37095,0.3948,0.355,0.3749,0.4045,0.355,0.37975000000000003,0.4423,0.35,0.39615,0.4946,0.35,0.4223,,,,,,,,,,,,
1694822400000,2023-09-16 23:59:59.999,MINA,1d,0.3845,0.3842,0.3923,0.3794,0.0,0,MINA,0.3923,0.3636,0.37795,0.3948,0.355,0.3749,0.4045,0.355,0.37975000000000003,0.4248,0.355,0.3899,0.4946,0.35,0.4223,,,,,,,,,,,,
1694908800000,2023-09-17 23:59:59.999,MINA,1d,0.3842,0.37,0.3844,0.363,0.0,0,MINA,0.3923,0.363,0.37765,0.3948,0.355,0.3749,0.4045,0.355,0.37975000000000003,0.4248,0.355,0.3899,0.4946,0.35,0.4223,,,,,,,,,,,,
1694995200000,2023-09-18 23:59:59.999,MINA,1d,0.3701,0.3793,0.3868,0.3671,0.0,0,MINA,0.3923,0.363,0.37765,0.3948,0.355,0.3749,0.4,0.355,0.3775,0.418,0.355,0.38649999999999995,0.4946,0.35,0.4223,,,,,,,,,,,,
1695081600000,2023-09-19 23:59:59.999,MINA,1d,0.3793,0.3833,0.3886,0.3783,0.0,0,MINA,0.3923,0.363,0.37765,0.3923,0.355,0.37365,0.3949,0.355,0.37495,0.4134,0.355,0.3842,0.4946,0.35,0.4223,,,,,,,,,,,,
1695168000000,2023-09-20 23:59:59.999,MINA,1d,0.3834,0.3814,0.3866,0.375,0.0,0,MINA,0.3923,0.363,0.37765,0.3923,0.355,0.37365,0.3948,0.355,0.3749,0.4113,0.355,0.38315,0.4946,0.35,0.4223,,,,,,,,,,,,
1695254400000,2023-09-21 23:59:59.999,MINA,1d,0.3816,0.3774,0.3941,0.3739,0.0,0,MINA,0.3941,0.363,0.37855,0.3941,0.363,0.37855,0.3948,0.355,0.3749,0.4113,0.355,0.38315,0.4946,0.35,0.4223,,,,,,,,,,,,
1695340800000,2023-09-22 23:59:59.999,MINA,1d,0.3775,0.3815,0.3828,0.3744,0.0,0,MINA,0.3941,0.3671,0.3806,0.3941,0.363,0.37855,0.3948,0.355,0.3749,0.4045,0.355,0.37975000000000003,0.4946,0.35,0.4223,,,,,,,,,,,,
1695427200000,2023-09-23 23:59:59.999,MINA,1d,0.3814,0.3844,0.3848,0.3782,0.0,0,MINA,0.3941,0.3739,0.384,0.3941,0.363,0.37855,0.3948,0.355,0.3749,0.4045,0.355,0.37975000000000003,0.4946,0.35,0.4223,,,,,,,,,,,,
1695513600000,2023-09-24 23:59:59.999,MINA,1d,0.3845,0.3788,0.3852,0.3746,0.0,0,MINA,0.3941,0.3739,0.384,0.3941,0.363,0.37855,0.3948,0.355,0.3749,0.4045,0.355,0.37975000000000003,0.4946,0.35,0.4223,,,,,,,,,,,,
1695600000000,2023-09-25 23:59:59.999,MINA,1d,0.3788,0.3773,0.3845,0.3728,0.0,0,MINA,0.3941,0.3728,0.38345,0.3941,0.363,0.37855,0.3948,0.355,0.3749,0.4045,0.355,0.37975000000000003,0.4946,0.35,0.4223,,,,,,,,,,,,
1695686400000,2023-09-26 23:59:59.999,MINA,1d,0.3773,0.3709,0.3793,0.364,0.0,0,MINA,0.3852,0.364,0.3746,0.3941,0.363,0.37855,0.3948,0.355,0.3749,0.4045,0.355,0.37975000000000003,0.4946,0.35,0.4223,,,,,,,,,,,,
1695772800000,2023-09-27 23:59:59.999,MINA,1d,0.3707,0.3693,0.3783,0.3645,0.0,0,MINA,0.3852,0.364,0.3746,0.3941,0.364,0.37905,0.3948,0.355,0.3749,0.4045,0.355,0.37975000000000003,0.4946,0.35,0.4223,,,,,,,,,,,,
1695859200000,2023-09-28 23:59:59.999,MINA,1d,0.3694,0.3751,0.3804,0.3684,0.0,0,MINA,0.3852,0.364,0.3746,0.3941,0.364,0.37905,0.3948,0.355,0.3749,0.4,0.355,0.3775,0.4946,0.35,0.4223,,,,,,,,,,,,
1695945600000,2023-09-29 23:59:59.999,MINA,1d,0.3751,0.3765,0.3787,0.371,0.0,0,MINA,0.3845,0.364,0.37424999999999997,0.3941,0.364,0.37905,0.3941,0.355,0.37455,0.3949,0.355,0.37495,0.4946,0.35,0.4223,,,,,,,,,,,,
1696032000000,2023-09-30 23:59:59.999,MINA,1d,0.3765,0.3803,0.3824,0.3744,0.0,0,MINA,0.3824,0.364,0.3732,0.3941,0.364,0.37905,0.3941,0.355,0.37455,0.3948,0.355,0.3749,0.4946,0.35,0.4223,,,,,,,,,,,,
1696118400000,2023-10-01 23:59:59.999,MINA,1d,0.3804,0.3939,0.3969,0.3798,0.0,0,MINA,0.3969,0.3645,0.3807,0.3969,0.364,0.38044999999999995,0.3969,0.363,0.37995,0.3969,0.355,0.37595,0.4946,0.35,0.4223,,,,,,,,,,,,
1696204800000,2023-10-02 23:59:59.999,MINA,1d,0.394,0.3803,0.3965,0.3698,0.0,0,MINA,0.3969,0.3684,0.38265,0.3969,0.364,0.38044999999999995,0.3969,0.363,0.37995,0.3969,0.355,0.37595,0.4946,0.35,0.4223,,,,,,,,,,,,
1696291200000,2023-10-03 23:59:59.999,MINA,1d,0.3805,0.3723,0.385,0.3703,0.0,0,MINA,0.3969,0.3698,0.38334999999999997,0.3969,0.364,0.38044999999999995,0.3969,0.363,0.37995,0.3969,0.355,0.37595,0.4946,0.35,0.4223,,,,,,,,,,,,
1696377600000,2023-10-04 23:59:59.999,MINA,1d,0.3722,0.3985,0.4077,0.3542,0.0,0,MINA,0.4077,0.3542,0.38095,0.4077,0.3542,0.38095,0.4077,0.3542,0.38095,0.4077,0.3542,0.38095,0.4946,0.35,0.4223,,,,,,,,,,,,
1696464000000,2023-10-05 23:59:59.999,MINA,1d,0.3986,0.3834,0.4006,0.3752,0.0,0,MINA,0.4077,0.3542,0.38095,0.4077,0.3542,0.38095,0.4077,0.3542,0.38095,0.4077,0.3542,0.38095,0.4946,0.35,0.4223,0.521,0.35,0.4355,,,,,,,,,
1696550400000,2023-10-06 23:59:59.999,MINA,1d,0.3835,0.3914,0.3959,0.3832,0.0,0,MINA,0.4077,0.3542,0.38095,0.4077,0.3542,0.38095,0.4077,0.3542,0.38095,0.4077,0.3542,0.38095,0.4946,0.35,0.4223,0.521,0.35,0.4355,,,,,,,,,
1696636800000,2023-10-07 23:59:59.999,MINA,1d,0.3914,0.3894,0.3932,0.3835,0.0,0,MINA,0.4077,0.3542,0.38095,0.4077,0.3542,0.38095,0.4077,0.3542,0.38095,0.4077,0.3542,0.38095,0.4946,0.35,0.4223,0.521,0.35,0.4355,,,,,,,,,
1696723200000,2023-10-08 23:59:59.999,MINA,1d,0.3894,0.3794,0.3908,0.3774,0.0,0,MINA,0.4077,0.3542,0.38095,0.4077,0.3542,0.38095,0.4077,0.3542,0.38095,0.4077,0.3542,0.38095,0.4946,0.35,0.4223,0.521,0.35,0.4355,,,,,,,,,
