t,timestamp,s,i,open,close,high,low,volume,n,asset,donchian_high_5,donchian_low_5,donchian_mid_5,donchian_high_10,donchian_low_10,donchian_mid_10,donchian_high_20,donchian_low_20,donchian_mid_20,donchian_high_30,donchian_low_30,donchian_mid_30,donchian_high_60,donchian_low_60,donchian_mid_60,donchian_high_90,donchian_low_90,donchian_mid_90,donchian_high_150,donchian_low_150,donchian_mid_150,donchian_high_250,donchian_low_250,donchian_mid_250,donchian_high_360,donchian_low_360,donchian_mid_360
1712275200000,2024-04-05 23:59:59.999,MNT,1d,1.391,1.3619,1.4133,1.2895,1701806.3,2300,MNT,,,,,,,,,,,,,,,,,,,,,,,,,,,
1712361600000,2024-04-06 23:59:59.999,MNT,1d,1.3598,1.3432,1.3598,1.3083,419383.8,2136,MNT,,,,,,,,,,,,,,,,,,,,,,,,,,,
1712448000000,2024-04-07 23:59:59.999,MNT,1d,1.343,1.4114,1.4272,1.3419,625418.2,2158,MNT,,,,,,,,,,,,,,,,,,,,,,,,,,,
1712534400000,2024-04-08 23:59:59.999,MNT,1d,1.41,1.4348,1.5068,1.4081,668730.2,2251,MNT,,,,,,,,,,,,,,,,,,,,,,,,,,,
1712620800000,2024-04-09 23:59:59.999,MNT,1d,1.4312,1.3619,1.4596,1.3375,891312.8,2282,MNT,1.5068,1.2895,1.39815,,,,,,,,,,,,,,,,,,,,,,,,
1712707200000,2024-04-10 23:59:59.999,MNT,1d,1.3645,1.3287,1.3645,1.2654,669662.5,1933,MNT,1.5068,1.2654,1.3860999999999999,,,,,,,,,,,,,,,,,,,,,,,,
1712793600000,2024-04-11 23:59:59.999,MNT,1d,1.3252,1.2717,1.3252,1.2693,222785.8,1943,MNT,1.5068,1.2654,1.3860999999999999,,,,,,,,,,,,,,,,,,,,,,,,
1712880000000,2024-04-12 23:59:59.999,MNT,1d,1.2774,1.1523,1.3212,1.0423,822765.6,2695,MNT,1.5068,1.0423,1.27455,,,,,,,,,,,,,,,,,,,,,,,,
1712966400000,2024-04-13 23:59:59.999,MNT,1d,1.1532,1.1166,1.2145,1.0117,622245.1,1639,MNT,1.4596,1.0117,1.2356500000000001,,,,,,,,,,,,,,,,,,,,,,,,
1713052800000,2024-04-14 23:59:59.999,MNT,1d,1.0952,1.1565,1.1679,1.0402,392688.5,1654,MNT,1.3645,1.0117,1.1881,1.5068,1.0117,1.25925,,,,,,,,,,,,,,,,,,,,,
