t,timestamp,s,i,open,close,high,low,volume,n,asset,donchian_high_5,donchian_low_5,donchian_mid_5,donchian_high_10,donchian_low_10,donchian_mid_10,donchian_high_20,donchian_low_20,donchian_mid_20,donchian_high_30,donchian_low_30,donchian_mid_30,donchian_high_60,donchian_low_60,donchian_mid_60,donchian_high_90,donchian_low_90,donchian_mid_90,donchian_high_150,donchian_low_150,donchian_mid_150,donchian_high_250,donchian_low_250,donchian_mid_250,donchian_high_360,donchian_low_360,donchian_mid_360
1759881600000,2025-10-08 23:59:59.999,MON,1d,0.11,0.13393,0.6,0.1001,210956803.0,64190,MON,,,,,,,,,,,,,,,,,,,,,,,,,,,
1759968000000,2025-10-09 23:59:59.999,MON,1d,0.13305,0.13396,0.13875,0.12116,19713926.0,7042,MON,,,,,,,,,,,,,,,,,,,,,,,,,,,
1760054400000,2025-10-10 23:59:59.999,MON,1d,0.11941,0.12892,0.12899,0.11581,4242494.0,2214,MON,,,,,,,,,,,,,,,,,,,,,,,,,,,
1760140800000,2025-10-11 23:59:59.999,MON,1d,0.083115,0.098001,0.10616,0.080714,23015365.0,3948,MON,,,,,,,,,,,,,,,,,,,,,,,,,,,
1760227200000,2025-10-12 23:59:59.999,MON,1d,0.092478,0.091552,0.09504,0.08915,2807725.0,559,MON,0.6,0.080714,0.34035699999999997,,,,,,,,,,,,,,,,,,,,,,,,
1760313600000,2025-10-13 23:59:59.999,MON,1d,0.08564,0.086594,0.088592,0.084029,2410663.0,1094,MON,0.13875,0.080714,0.109732,,,,,,,,,,,,,,,,,,,,,,,,
1760400000000,2025-10-14 23:59:59.999,MON,1d,0.080487,0.081012,0.0812,0.078166,2859779.0,778,MON,0.12899,0.078166,0.103578,,,,,,,,,,,,,,,,,,,,,,,,
1760486400000,2025-10-15 23:59:59.999,MON,1d,0.074848,0.06869,0.075309,0.068359,6125989.0,741,MON,0.10616,0.068359,0.0872595,,,,,,,,,,,,,,,,,,,,,,,,
1760572800000,2025-10-16 23:59:59.999,MON,1d,0.063677,0.061101,0.063677,0.059293,3830793.0,1129,MON,0.09504,0.059293,0.0771665,,,,,,,,,,,,,,,,,,,,,,,,
1760659200000,2025-10-17 23:59:59.999,MON,1d,0.063515,0.068947,0.075,0.062869,9916809.0,1276,MON,0.088592,0.059293,0.0739425,0.6,0.059293,0.3296465,,,,,,,,,,,,,,,,,,,,,
1760745600000,2025-10-18 23:59:59.999,MON,1d,0.06722,0.06558,0.06768,0.064707,691485.0,161,MON,0.0812,0.059293,0.07024649999999999,0.13875,0.059293,0.09902150000000001,,,,,,,,,,,,,,,,,,,,,
1760832000000,2025-10-19 23:59:59.999,MON,1d,0.063716,0.063764,0.064842,0.062826,384810.0,175,MON,0.075309,0.059293,0.067301,0.12899,0.059293,0.09414149999999999,,,,,,,,,,,,,,,,,,,,,
1760918400000,2025-10-20 23:59:59.999,MON,1d,0.06421,0.067352,0.068224,0.0631,819346.0,208,MON,0.075,0.059293,0.0671465,0.10616,0.059293,0.08272650000000001,,,,,,,,,,,,,,,,,,,,,
