t,timestamp,s,i,open,close,high,low,volume,n,asset,donchian_high_5,donchian_low_5,donchian_mid_5,donchian_high_10,donchian_low_10,donchian_mid_10,donchian_high_20,donchian_low_20,donchian_mid_20,donchian_high_30,donchian_low_30,donchian_mid_30,donchian_high_60,donchian_low_60,donchian_mid_60,donchian_high_90,donchian_low_90,donchian_mid_90,donchian_high_150,donchian_low_150,donchian_mid_150,donchian_high_250,donchian_low_250,donchian_mid_250,donchian_high_360,donchian_low_360,donchian_mid_360
1729814400000,2024-10-25 23:59:59.999,MOODENG,1d,0.14699,0.21847,0.255,0.14698,61467034.0,15625,MOODENG,,,,,,,,,,,,,,,,,,,,,,,,,,,
1729900800000,2024-10-26 23:59:59.999,MOODENG,1d,0.21733,0.25533,0.26515,0.21353,26327009.0,6580,MOODENG,,,,,,,,,,,,,,,,,,,,,,,,,,,
1729987200000,2024-10-27 23:59:59.999,MOODENG,1d,0.25756,0.20297,0.26923,0.18838,27888775.0,5869,MOODENG,,,,,,,,,,,,,,,,,,,,,,,,,,,
1730073600000,2024-10-28 23:59:59.999,MOODENG,1d,0.20296,0.20013,0.24198,0.18887,36956449.0,9430,MOODENG,,,,,,,,,,,,,,,,,,,,,,,,,,,
1730160000000,2024-10-29 23:59:59.999,MOODENG,1d,0.20008,0.23001,0.23843,0.19618,31907825.0,8704,MOODENG,0.26923,0.14698,0.208105,,,,,,,,,,,,,,,,,,,,,,,,
1730246400000,2024-10-30 23:59:59.999,MOODENG,1d,0.23044,0.2345,0.25329,0.21934,31029232.0,10682,MOODENG,0.26923,0.18838,0.228805,,,,,,,,,,,,,,,,,,,,,,,,
1730332800000,2024-10-31 23:59:59.999,MOODENG,1d,0.2345,0.20623,0.25,0.19717,32520298.0,7467,MOODENG,0.26923,0.18838,0.228805,,,,,,,,,,,,,,,,,,,,,,,,
1730419200000,2024-11-01 23:59:59.999,MOODENG,1d,0.20627,0.19854,0.21337,0.19417,21293819.0,5569,MOODENG,0.25329,0.18887,0.22108,,,,,,,,,,,,,,,,,,,,,,,,
1730505600000,2024-11-02 23:59:59.999,MOODENG,1d,0.19846,0.16244,0.20323,0.162,22749634.0,5663,MOODENG,0.25329,0.162,0.20764500000000002,,,,,,,,,,,,,,,,,,,,,,,,
1730592000000,2024-11-03 23:59:59.999,MOODENG,1d,0.16289,0.15107,0.16623,0.13925,29329472.0,5272,MOODENG,0.25329,0.13925,0.19627,0.26923,0.13925,0.20424000000000003,,,,,,,,,,,,,,,,,,,,,
1730678400000,2024-11-04 23:59:59.999,MOODENG,1d,0.15146,0.13503,0.16059,0.13261,31303724.0,5014,MOODENG,0.25,0.13261,0.191305,0.26923,0.13261,0.20092000000000002,,,,,,,,,,,,,,,,,,,,,
1730764800000,2024-11-05 23:59:59.999,MOODENG,1d,0.13463,0.14845,0.15958,0.13463,25137795.0,5374,MOODENG,0.21337,0.13261,0.17299,0.26923,0.13261,0.20092000000000002,,,,,,,,,,,,,,,,,,,,,
1730851200000,2024-11-06 23:59:59.999,MOODENG,1d,0.14845,0.22286,0.23284,0.14843,76051229.0,15184,MOODENG,0.23284,0.13261,0.182725,0.25329,0.13261,0.19295,,,,,,,,,,,,,,,,,,,,,
1730937600000,2024-11-07 23:59:59.999,MOODENG,1d,0.22341,0.28045,0.30171,0.20628,53812185.0,15313,MOODENG,0.30171,0.13261,0.21716,0.30171,0.13261,0.21716,,,,,,,,,,,,,,,,,,,,,
1731024000000,2024-11-08 23:59:59.999,MOODENG,1d,0.28115,0.32127,0.33574,0.27058,39567568.0,12797,MOODENG,0.33574,0.13261,0.234175,0.33574,0.13261,0.234175,,,,,,,,,,,,,,,,,,,,,
1731110400000,2024-11-09 23:59:59.999,MOODENG,1d,0.3219,0.31702,0.33573,0.2758,25647867.0,11038,MOODENG,0.33574,0.13463,0.23518499999999998,0.33574,0.13261,0.234175,,,,,,,,,,,,,,,,,,,,,
1731196800000,2024-11-10 23:59:59.999,MOODENG,1d,0.31681,0.41943,0.44059,0.31205,53518425.0,24752,MOODENG,0.44059,0.14843,0.29451,0.44059,0.13261,0.28659999999999997,,,,,,,,,,,,,,,,,,,,,
1731283200000,2024-11-11 23:59:59.999,MOODENG,1d,0.42132,0.37364,0.44752,0.33444,55851756.0,24708,MOODENG,0.44752,0.20628,0.32689999999999997,0.44752,0.13261,0.290065,,,,,,,,,,,,,,,,,,,,,
1731369600000,2024-11-12 23:59:59.999,MOODENG,1d,0.37338,0.34719,0.39065,0.31592,45286591.0,17659,MOODENG,0.44752,0.27058,0.35905,0.44752,0.13261,0.290065,,,,,,,,,,,,,,,,,,,,,
1731456000000,2024-11-13 23:59:59.999,MOODENG,1d,0.34683,0.33051,0.42856,0.27695,107427315.0,35463,MOODENG,0.44752,0.2758,0.36166,0.44752,0.13261,0.290065,0.44752,0.13261,0.290065,,,,,,,,,,,,,,,,,,
1731542400000,2024-11-14 23:59:59.999,MOODENG,1d,0.33058,0.4436,0.51892,0.31221,122753028.0,57067,MOODENG,0.51892,0.27695,0.39793500000000004,0.51892,0.13463,0.32677500000000004,0.51892,0.13261,0.325765,,,,,,,,,,,,,,,,,,
1731628800000,2024-11-15 23:59:59.999,MOODENG,1d,0.4436,0.62044,0.70158,0.39539,88063602.0,47044,MOODENG,0.70158,0.27695,0.48926499999999995,0.70158,0.14843,0.42500499999999997,0.70158,0.13261,0.417095,,,,,,,,,,,,,,,,,,
1731715200000,2024-11-16 23:59:59.999,MOODENG,1d,0.6208,0.57074,0.64412,0.55361,23302712.0,14458,MOODENG,0.70158,0.27695,0.48926499999999995,0.70158,0.20628,0.45393,0.70158,0.13261,0.417095,,,,,,,,,,,,,,,,,,
1731801600000,2024-11-17 23:59:59.999,MOODENG,1d,0.57151,0.61853,0.65174,0.51796,38315385.0,22005,MOODENG,0.70158,0.27695,0.48926499999999995,0.70158,0.27058,0.48607999999999996,0.70158,0.13261,0.417095,,,,,,,,,,,,,,,,,,
1731888000000,2024-11-18 23:59:59.999,MOODENG,1d,0.62084,0.54358,0.68226,0.52555,39895178.0,22631,MOODENG,0.70158,0.31221,0.506895,0.70158,0.2758,0.48868999999999996,0.70158,0.13261,0.417095,,,,,,,,,,,,,,,,,,
1731974400000,2024-11-19 23:59:59.999,MOODENG,1d,0.54314,0.49619,0.62378,0.47802,39949050.0,23764,MOODENG,0.70158,0.39539,0.548485,0.70158,0.27695,0.48926499999999995,0.70158,0.13261,0.417095,,,,,,,,,,,,,,,,,,
1732060800000,2024-11-20 23:59:59.999,MOODENG,1d,0.49553,0.4176,0.49632,0.41305,34933141.0,17474,MOODENG,0.68226,0.41305,0.547655,0.70158,0.27695,0.48926499999999995,0.70158,0.13261,0.417095,,,,,,,,,,,,,,,,,,
1732147200000,2024-11-21 23:59:59.999,MOODENG,1d,0.41762,0.44552,0.48942,0.3815,38032384.0,20903,MOODENG,0.68226,0.3815,0.53188,0.70158,0.27695,0.48926499999999995,0.70158,0.13261,0.417095,,,,,,,,,,,,,,,,,,
1732233600000,2024-11-22 23:59:59.999,MOODENG,1d,0.44553,0.40306,0.44553,0.38115,21149859.0,13022,MOODENG,0.68226,0.38115,0.531705,0.70158,0.27695,0.48926499999999995,0.70158,0.13261,0.417095,,,,,,,,,,,,,,,,,,
1732320000000,2024-11-23 23:59:59.999,MOODENG,1d,0.40328,0.36458,0.4335,0.35417,27730595.0,14538,MOODENG,0.62378,0.35417,0.488975,0.70158,0.31221,0.506895,0.70158,0.13261,0.417095,0.70158,0.13261,0.417095,,,,,,,,,,,,,,,
1732406400000,2024-11-24 23:59:59.999,MOODENG,1d,0.36527,0.39172,0.41109,0.32284,39248243.0,18317,MOODENG,0.49632,0.32284,0.40958,0.70158,0.32284,0.51221,0.70158,0.13463,0.418105,0.70158,0.13261,0.417095,,,,,,,,,,,,,,,
1732492800000,2024-11-25 23:59:59.999,MOODENG,1d,0.39216,0.34177,0.41262,0.32831,25853112.0,13012,MOODENG,0.48942,0.32284,0.40613,0.68226,0.32284,0.50255,0.70158,0.14843,0.42500499999999997,0.70158,0.13261,0.417095,,,,,,,,,,,,,,,
1732579200000,2024-11-26 23:59:59.999,MOODENG,1d,0.34151,0.34758,0.35418,0.31465,28109430.0,8774,MOODENG,0.44553,0.31465,0.38009,0.68226,0.31465,0.498455,0.70158,0.20628,0.45393,0.70158,0.13261,0.417095,,,,,,,,,,,,,,,
1732665600000,2024-11-27 23:59:59.999,MOODENG,1d,0.34646,0.37436,0.3896,0.325,16269542.0,7840,MOODENG,0.4335,0.31465,0.374075,0.68226,0.31465,0.498455,0.70158,0.27058,0.48607999999999996,0.70158,0.13261,0.417095,,,,,,,,,,,,,,,
1732752000000,2024-11-28 23:59:59.999,MOODENG,1d,0.37444,0.35916,0.39602,0.33847,13105408.0,5436,MOODENG,0.41262,0.31465,0.363635,0.62378,0.31465,0.469215,0.70158,0.2758,0.48868999999999996,0.70158,0.13261,0.417095,,,,,,,,,,,,,,,
1732838400000,2024-11-29 23:59:59.999,MOODENG,1d,0.36012,0.38921,0.40914,0.35603,21013181.0,10463,MOODENG,0.41262,0.31465,0.363635,0.49632,0.31465,0.405485,0.70158,0.27695,0.48926499999999995,0.70158,0.13261,0.417095,,,,,,,,,,,,,,,
1732924800000,2024-11-30 23:59:59.999,MOODENG,1d,0.38821,0.35696,0.38836,0.35,11111954.0,8949,MOODENG,0.40914,0.31465,0.36189499999999997,0.48942,0.31465,0.40203500000000003,0.70158,0.27695,0.48926499999999995,0.70158,0.13261,0.417095,,,,,,,,,,,,,,,
1733011200000,2024-12-01 23:59:59.999,MOODENG,1d,0.35724,0.35193,0.38064,0.33652,13784561.0,6130,MOODENG,0.40914,0.325,0.36707,0.44553,0.31465,0.38009,0.70158,0.27695,0.48926499999999995,0.70158,0.13261,0.417095,,,,,,,,,,,,,,,
1733097600000,2024-12-02 23:59:59.999,MOODENG,1d,0.3514,0.58889,0.65,0.29304,153364680.0,58470,MOODENG,0.65,0.29304,0.47152000000000005,0.65,0.29304,0.47152000000000005,0.70158,0.27695,0.48926499999999995,0.70158,0.13261,0.417095,,,,,,,,,,,,,,,
1733184000000,2024-12-03 23:59:59.999,MOODENG,1d,0.58895,0.50622,0.68176,0.49845,92442554.0,37239,MOODENG,0.68176,0.29304,0.48740000000000006,0.68176,0.29304,0.48740000000000006,0.70158,0.29304,0.49731000000000003,0.70158,0.13261,0.417095,,,,,,,,,,,,,,,
1733270400000,2024-12-04 23:59:59.999,MOODENG,1d,0.50607,0.46352,0.6379,0.45298,85498821.0,31719,MOODENG,0.68176,0.29304,0.48740000000000006,0.68176,0.29304,0.48740000000000006,0.70158,0.29304,0.49731000000000003,0.70158,0.13463,0.418105,,,,,,,,,,,,,,,
