t,timestamp,s,i,open,close,high,low,volume,n,asset,donchian_high_5,donchian_low_5,donchian_mid_5,donchian_high_10,donchian_low_10,donchian_mid_10,donchian_high_20,donchian_low_20,donchian_mid_20,donchian_high_30,donchian_low_30,donchian_mid_30,donchian_high_60,donchian_low_60,donchian_mid_60,donchian_high_90,donchian_low_90,donchian_mid_90,donchian_high_150,donchian_low_150,donchian_mid_150,donchian_high_250,donchian_low_250,donchian_mid_250,donchian_high_360,donchian_low_360,donchian_mid_360
1733702400000,2024-12-09 23:59:59.999,MOVE,1d,0.6035,0.7361,0.8547,0.6035,0.0,0,MOVE,,,,,,,,,,,,,,,,,,,,,,,,,,,
1733788800000,2024-12-10 23:59:59.999,MOVE,1d,0.7362,0.7368,1.1432,0.601,0.0,0,MOVE,,,,,,,,,,,,,,,,,,,,,,,,,,,
1733875200000,2024-12-11 23:59:59.999,MOVE,1d,0.69441,0.7545,0.75837,0.64067,3794465.0,3708,MOVE,,,,,,,,,,,,,,,,,,,,,,,,,,,
1733961600000,2024-12-12 23:59:59.999,MOVE,1d,0.74941,0.64931,0.77607,0.63665,4208516.0,4739,MOVE,,,,,,,,,,,,,,,,,,,,,,,,,,,
1734048000000,2024-12-13 23:59:59.999,MOVE,1d,0.64901,0.6202,0.64906,0.59518,2201487.0,2710,MOVE,1.1432,0.59518,0.86919,,,,,,,,,,,,,,,,,,,,,,,,
1734134400000,2024-12-14 23:59:59.999,MOVE,1d,0.62003,0.63801,0.69302,0.60598,2114595.0,2860,MOVE,1.1432,0.59518,0.86919,,,,,,,,,,,,,,,,,,,,,,,,
1734220800000,2024-12-15 23:59:59.999,MOVE,1d,0.63441,0.63394,0.64311,0.5984,1254512.0,2462,MOVE,0.77607,0.59518,0.685625,,,,,,,,,,,,,,,,,,,,,,,,
1734307200000,2024-12-16 23:59:59.999,MOVE,1d,0.63351,0.62115,0.6806,0.59301,2615752.0,3164,MOVE,0.77607,0.59301,0.68454,,,,,,,,,,,,,,,,,,,,,,,,
1734393600000,2024-12-17 23:59:59.999,MOVE,1d,0.62191,0.63508,0.65068,0.60041,2401643.0,3179,MOVE,0.69302,0.59301,0.643015,,,,,,,,,,,,,,,,,,,,,,,,
1734480000000,2024-12-18 23:59:59.999,MOVE,1d,0.63481,0.62498,0.69683,0.60636,3872115.0,4026,MOVE,0.69683,0.59301,0.6449199999999999,1.1432,0.59301,0.868105,,,,,,,,,,,,,,,,,,,,,
1734566400000,2024-12-19 23:59:59.999,MOVE,1d,0.6285,0.74559,0.78106,0.62,8779957.0,7767,MOVE,0.78106,0.59301,0.6870350000000001,1.1432,0.59301,0.868105,,,,,,,,,,,,,,,,,,,,,
1734652800000,2024-12-20 23:59:59.999,MOVE,1d,0.7545,1.0549,1.0963,0.68289,14730276.0,14274,MOVE,1.0963,0.59301,0.844655,1.0963,0.59301,0.844655,,,,,,,,,,,,,,,,,,,,,
1734739200000,2024-12-21 23:59:59.999,MOVE,1d,1.0486,0.97445,1.1264,0.9106,15360947.0,20031,MOVE,1.1264,0.60041,0.863405,1.1264,0.59301,0.859705,,,,,,,,,,,,,,,,,,,,,
1734825600000,2024-12-22 23:59:59.999,MOVE,1d,0.97428,0.82997,0.98111,0.79765,4385047.0,5528,MOVE,1.1264,0.60636,0.86638,1.1264,0.59301,0.859705,,,,,,,,,,,,,,,,,,,,,
1734912000000,2024-12-23 23:59:59.999,MOVE,1d,0.83054,0.87092,0.90163,0.71201,5336870.0,6993,MOVE,1.1264,0.62,0.8732,1.1264,0.59301,0.859705,,,,,,,,,,,,,,,,,,,,,
1734998400000,2024-12-24 23:59:59.999,MOVE,1d,0.87152,0.92159,0.92831,0.81698,5208724.0,11780,MOVE,1.1264,0.68289,0.904645,1.1264,0.59301,0.859705,,,,,,,,,,,,,,,,,,,,,
1735084800000,2024-12-25 23:59:59.999,MOVE,1d,0.9215,1.1093,1.2052,0.89535,9232698.0,15497,MOVE,1.2052,0.71201,0.958605,1.2052,0.59301,0.899105,,,,,,,,,,,,,,,,,,,,,
1735171200000,2024-12-26 23:59:59.999,MOVE,1d,1.1082,1.0794,1.2269,1.04,7669640.0,11130,MOVE,1.2269,0.71201,0.9694550000000001,1.2269,0.60041,0.9136550000000001,,,,,,,,,,,,,,,,,,,,,
1735257600000,2024-12-27 23:59:59.999,MOVE,1d,1.0811,1.1269,1.1513,1.0012,7909548.0,8980,MOVE,1.2269,0.71201,0.9694550000000001,1.2269,0.60636,0.9166300000000001,,,,,,,,,,,,,,,,,,,,,
1735344000000,2024-12-28 23:59:59.999,MOVE,1d,1.1303,1.0037,1.1346,0.96631,4373179.0,6491,MOVE,1.2269,0.81698,1.02194,1.2269,0.62,0.9234500000000001,1.2269,0.59301,0.9099550000000001,,,,,,,,,,,,,,,,,,
1735430400000,2024-12-29 23:59:59.999,MOVE,1d,1.0022,0.95906,1.0621,0.95264,5033882.0,8747,MOVE,1.2269,0.89535,1.061125,1.2269,0.68289,0.954895,1.2269,0.59301,0.9099550000000001,,,,,,,,,,,,,,,,,,
1735516800000,2024-12-30 23:59:59.999,MOVE,1d,0.96468,0.92143,0.97571,0.91061,3809122.0,9018,MOVE,1.2269,0.91061,1.0687550000000001,1.2269,0.71201,0.9694550000000001,1.2269,0.59301,0.9099550000000001,,,,,,,,,,,,,,,,,,
1735603200000,2024-12-31 23:59:59.999,MOVE,1d,0.92132,0.86013,0.92299,0.83385,4056814.0,5287,MOVE,1.1513,0.83385,0.992575,1.2269,0.71201,0.9694550000000001,1.2269,0.59301,0.9099550000000001,,,,,,,,,,,,,,,,,,
1735689600000,2025-01-01 23:59:59.999,MOVE,1d,0.85982,0.86592,0.90441,0.83258,1785944.0,3407,MOVE,1.1346,0.83258,0.98359,1.2269,0.71201,0.9694550000000001,1.2269,0.59301,0.9099550000000001,,,,,,,,,,,,,,,,,,
1735776000000,2025-01-02 23:59:59.999,MOVE,1d,0.86555,0.90978,0.92505,0.83861,2072899.0,4582,MOVE,1.0621,0.83258,0.9473400000000001,1.2269,0.81698,1.02194,1.2269,0.59301,0.9099550000000001,,,,,,,,,,,,,,,,,,
1735862400000,2025-01-03 23:59:59.999,MOVE,1d,0.90988,0.96637,0.99503,0.8815,1637552.0,3225,MOVE,0.99503,0.83258,0.913805,1.2269,0.83258,1.02974,1.2269,0.59301,0.9099550000000001,,,,,,,,,,,,,,,,,,
1735948800000,2025-01-04 23:59:59.999,MOVE,1d,0.96637,0.981,1.0367,0.94461,2993853.0,6651,MOVE,1.0367,0.83258,0.9346399999999999,1.2269,0.83258,1.02974,1.2269,0.59301,0.9099550000000001,,,,,,,,,,,,,,,,,,
1736035200000,2025-01-05 23:59:59.999,MOVE,1d,0.9823,1.1073,1.1547,0.9702,6562813.0,12382,MOVE,1.1547,0.83258,0.9936400000000001,1.1547,0.83258,0.9936400000000001,1.2269,0.60041,0.9136550000000001,,,,,,,,,,,,,,,,,,
1736121600000,2025-01-06 23:59:59.999,MOVE,1d,1.1072,1.0472,1.1516,1.021,3698480.0,7263,MOVE,1.1547,0.83861,0.9966550000000001,1.1547,0.83258,0.9936400000000001,1.2269,0.60636,0.9166300000000001,,,,,,,,,,,,,,,,,,
1736208000000,2025-01-07 23:59:59.999,MOVE,1d,1.0477,0.99038,1.1007,0.98177,3683858.0,7263,MOVE,1.1547,0.8815,1.0181,1.1547,0.83258,0.9936400000000001,1.2269,0.62,0.9234500000000001,1.2269,0.59301,0.9099550000000001,,,,,,,,,,,,,,,
1736294400000,2025-01-08 23:59:59.999,MOVE,1d,0.98946,0.90346,0.9984,0.84048,7217697.0,8547,MOVE,1.1547,0.84048,0.99759,1.1547,0.83258,0.9936400000000001,1.2269,0.68289,0.954895,1.2269,0.59301,0.9099550000000001,,,,,,,,,,,,,,,
1736380800000,2025-01-09 23:59:59.999,MOVE,1d,0.90214,0.87565,0.94199,0.82046,4051240.0,9318,MOVE,1.1547,0.82046,0.98758,1.1547,0.82046,0.98758,1.2269,0.71201,0.9694550000000001,1.2269,0.59301,0.9099550000000001,,,,,,,,,,,,,,,
1736467200000,2025-01-10 23:59:59.999,MOVE,1d,0.87521,0.87396,0.91723,0.82809,3593250.0,5556,MOVE,1.1516,0.82046,0.98603,1.1547,0.82046,0.98758,1.2269,0.71201,0.9694550000000001,1.2269,0.59301,0.9099550000000001,,,,,,,,,,,,,,,
1736553600000,2025-01-11 23:59:59.999,MOVE,1d,0.87397,0.91944,0.97513,0.8501,2281119.0,6625,MOVE,1.1007,0.82046,0.96058,1.1547,0.82046,0.98758,1.2269,0.71201,0.9694550000000001,1.2269,0.59301,0.9099550000000001,,,,,,,,,,,,,,,
1736640000000,2025-01-12 23:59:59.999,MOVE,1d,0.91787,0.87385,0.91787,0.86464,1055942.0,3730,MOVE,0.9984,0.82046,0.90943,1.1547,0.82046,0.98758,1.2269,0.81698,1.02194,1.2269,0.59301,0.9099550000000001,,,,,,,,,,,,,,,
1736726400000,2025-01-13 23:59:59.999,MOVE,1d,0.87574,0.80878,0.89027,0.76515,4909349.0,9449,MOVE,0.97513,0.76515,0.87014,1.1547,0.76515,0.959925,1.2269,0.76515,0.996025,1.2269,0.59301,0.9099550000000001,,,,,,,,,,,,,,,
1736812800000,2025-01-14 23:59:59.999,MOVE,1d,0.80898,0.84257,0.8727,0.80711,6034474.0,11646,MOVE,0.97513,0.76515,0.87014,1.1547,0.76515,0.959925,1.2269,0.76515,0.996025,1.2269,0.59301,0.9099550000000001,,,,,,,,,,,,,,,
1736899200000,2025-01-15 23:59:59.999,MOVE,1d,0.84769,0.8326,0.84769,0.79324,4453845.0,7720,MOVE,0.97513,0.76515,0.87014,1.1516,0.76515,0.958375,1.1547,0.76515,0.959925,1.2269,0.60041,0.9136550000000001,,,,,,,,,,,,,,,
1736985600000,2025-01-16 23:59:59.999,MOVE,1d,0.83213,0.82234,0.83213,0.76325,4382605.0,6575,MOVE,0.91787,0.76325,0.84056,1.1007,0.76325,0.931975,1.1547,0.76325,0.958975,1.2269,0.60636,0.9166300000000001,,,,,,,,,,,,,,,
1737072000000,2025-01-17 23:59:59.999,MOVE,1d,0.82196,0.87294,0.90756,0.80692,2263959.0,5124,MOVE,0.90756,0.76325,0.835405,0.9984,0.76325,0.880825,1.1547,0.76325,0.958975,1.2269,0.62,0.9234500000000001,,,,,,,,,,,,,,,
1737158400000,2025-01-18 23:59:59.999,MOVE,1d,0.8723,0.79634,0.90596,0.7736,2775247.0,6328,MOVE,0.90756,0.76325,0.835405,0.97513,0.76325,0.86919,1.1547,0.76325,0.958975,1.2269,0.68289,0.954895,,,,,,,,,,,,,,,
1737244800000,2025-01-19 23:59:59.999,MOVE,1d,0.79643,0.7352,0.8201,0.72004,4134657.0,6750,MOVE,0.90756,0.72004,0.8138000000000001,0.97513,0.72004,0.847585,1.1547,0.72004,0.93737,1.2269,0.71201,0.9694550000000001,,,,,,,,,,,,,,,
1737331200000,2025-01-20 23:59:59.999,MOVE,1d,0.73722,0.72837,0.79226,0.71455,2693054.0,5316,MOVE,0.90756,0.71455,0.8110550000000001,0.97513,0.71455,0.84484,1.1547,0.71455,0.934625,1.2269,0.71201,0.9694550000000001,,,,,,,,,,,,,,,
1737417600000,2025-01-21 23:59:59.999,MOVE,1d,0.72962,0.7046,0.74014,0.66904,5931925.0,9125,MOVE,0.90756,0.66904,0.7883,0.91787,0.66904,0.793455,1.1547,0.66904,0.91187,1.2269,0.66904,0.94797,,,,,,,,,,,,,,,
1737504000000,2025-01-22 23:59:59.999,MOVE,1d,0.70521,0.68225,0.71422,0.67631,1729004.0,3064,MOVE,0.90596,0.66904,0.7875,0.90756,0.66904,0.7883,1.1547,0.66904,0.91187,1.2269,0.66904,0.94797,,,,,,,,,,,,,,,
1737590400000,2025-01-23 23:59:59.999,MOVE,1d,0.68209,0.67569,0.69754,0.65559,2744910.0,4309,MOVE,0.8201,0.65559,0.7378450000000001,0.90756,0.65559,0.781575,1.1547,0.65559,0.9051450000000001,1.2269,0.65559,0.9412450000000001,,,,,,,,,,,,,,,
1737676800000,2025-01-24 23:59:59.999,MOVE,1d,0.6771,0.64416,0.7016,0.6295,1637206.0,3573,MOVE,0.79226,0.6295,0.71088,0.90756,0.6295,0.7685299999999999,1.1547,0.6295,0.8921,1.2269,0.6295,0.9282,,,,,,,,,,,,,,,
1737763200000,2025-01-25 23:59:59.999,MOVE,1d,0.64432,0.71821,0.73069,0.62951,1716782.0,4401,MOVE,0.74014,0.6295,0.68482,0.90756,0.6295,0.7685299999999999,1.1516,0.6295,0.89055,1.1547,0.6295,0.8921,,,,,,,,,,,,,,,
1737849600000,2025-01-26 23:59:59.999,MOVE,1d,0.71681,0.69255,0.72561,0.6845,1145313.0,2932,MOVE,0.73069,0.6295,0.6800949999999999,0.90756,0.6295,0.7685299999999999,1.1007,0.6295,0.8651,1.1547,0.6295,0.8921,,,,,,,,,,,,,,,
1737936000000,2025-01-27 23:59:59.999,MOVE,1d,0.69207,0.72314,0.75037,0.63153,7452299.0,7719,MOVE,0.75037,0.6295,0.689935,0.90596,0.6295,0.76773,0.9984,0.6295,0.81395,1.1547,0.6295,0.8921,,,,,,,,,,,,,,,
1738022400000,2025-01-28 23:59:59.999,MOVE,1d,0.72214,0.77936,0.89547,0.70629,35039091.0,33744,MOVE,0.89547,0.6295,0.762485,0.89547,0.6295,0.762485,0.97513,0.6295,0.802315,1.1547,0.6295,0.8921,,,,,,,,,,,,,,,
1738108800000,2025-01-29 23:59:59.999,MOVE,1d,0.77935,0.79679,0.84604,0.76076,14251390.0,16984,MOVE,0.89547,0.62951,0.76249,0.89547,0.6295,0.762485,0.97513,0.6295,0.802315,1.1547,0.6295,0.8921,,,,,,,,,,,,,,,
1738195200000,2025-01-30 23:59:59.999,MOVE,1d,0.79678,0.78888,0.84884,0.78768,8432604.0,13859,MOVE,0.89547,0.63153,0.7635000000000001,0.89547,0.6295,0.762485,0.97513,0.6295,0.802315,1.1547,0.6295,0.8921,,,,,,,,,,,,,,,
1738281600000,2025-01-31 23:59:59.999,MOVE,1d,0.78929,0.75992,0.80423,0.74822,6209965.0,8172,MOVE,0.89547,0.63153,0.7635000000000001,0.89547,0.6295,0.762485,0.91787,0.6295,0.773685,1.1547,0.6295,0.8921,,,,,,,,,,,,,,,
1738368000000,2025-02-01 23:59:59.999,MOVE,1d,0.76081,0.6783,0.76854,0.67601,3970397.0,6050,MOVE,0.89547,0.67601,0.78574,0.89547,0.6295,0.762485,0.90756,0.6295,0.7685299999999999,1.1547,0.6295,0.8921,,,,,,,,,,,,,,,
1738454400000,2025-02-02 23:59:59.999,MOVE,1d,0.67783,0.6198,0.7059,0.58646,5682049.0,6793,MOVE,0.84884,0.58646,0.71765,0.89547,0.58646,0.740965,0.90756,0.58646,0.74701,1.1547,0.58646,0.87058,,,,,,,,,,,,,,,
1738540800000,2025-02-03 23:59:59.999,MOVE,1d,0.62136,0.66894,0.67884,0.50345,6660578.0,8692,MOVE,0.84884,0.50345,0.676145,0.89547,0.50345,0.69946,0.90756,0.50345,0.705505,1.1547,0.50345,0.829075,,,,,,,,,,,,,,,
1738627200000,2025-02-04 23:59:59.999,MOVE,1d,0.66925,0.61278,0.67883,0.59769,4398258.0,5008,MOVE,0.80423,0.50345,0.65384,0.89547,0.50345,0.69946,0.90756,0.50345,0.705505,1.1516,0.50345,0.827525,,,,,,,,,,,,,,,
1738713600000,2025-02-05 23:59:59.999,MOVE,1d,0.61282,0.59213,0.64429,0.585,5461105.0,6505,MOVE,0.76854,0.50345,0.635995,0.89547,0.50345,0.69946,0.90756,0.50345,0.705505,1.1007,0.50345,0.802075,,,,,,,,,,,,,,,
1738800000000,2025-02-06 23:59:59.999,MOVE,1d,0.59211,0.61498,0.63291,0.57071,5757967.0,7091,MOVE,0.7059,0.50345,0.604675,0.89547,0.50345,0.69946,0.90596,0.50345,0.7047049999999999,0.9984,0.50345,0.750925,1.2269,0.50345,0.865175,,,,,,,,,,,,
1738886400000,2025-02-07 23:59:59.999,MOVE,1d,0.61259,0.55113,0.63443,0.53966,5294850.0,6140,MOVE,0.67884,0.50345,0.591145,0.84884,0.50345,0.676145,0.89547,0.50345,0.69946,0.97513,0.50345,0.73929,1.2269,0.50345,0.865175,,,,,,,,,,,,
1738972800000,2025-02-08 23:59:59.999,MOVE,1d,0.55089,0.56548,0.57443,0.50908,5799891.0,6600,MOVE,0.67883,0.50908,0.593955,0.84884,0.50345,0.676145,0.89547,0.50345,0.69946,0.97513,0.50345,0.73929,1.2269,0.50345,0.865175,,,,,,,,,,,,
1739059200000,2025-02-09 23:59:59.999,MOVE,1d,0.56622,0.5296,0.59168,0.50826,4538143.0,5564,MOVE,0.64429,0.50826,0.5762750000000001,0.80423,0.50345,0.65384,0.89547,0.50345,0.69946,0.97513,0.50345,0.73929,1.2269,0.50345,0.865175,,,,,,,,,,,,
1739145600000,2025-02-10 23:59:59.999,MOVE,1d,0.52935,0.55175,0.56957,0.4937,5511081.0,6508,MOVE,0.63443,0.4937,0.564065,0.76854,0.4937,0.63112,0.89547,0.4937,0.694585,0.91787,0.4937,0.705785,1.2269,0.4937,0.8603000000000001,,,,,,,,,,,,
1739232000000,2025-02-11 23:59:59.999,MOVE,1d,0.55149,0.54035,0.57934,0.53171,2771985.0,4331,MOVE,0.63443,0.4937,0.564065,0.7059,0.4937,0.5998,0.89547,0.4937,0.694585,0.90756,0.4937,0.7006300000000001,1.2269,0.4937,0.8603000000000001,,,,,,,,,,,,
1739318400000,2025-02-12 23:59:59.999,MOVE,1d,0.53795,0.5616,0.5706,0.51556,4155361.0,4619,MOVE,0.59168,0.4937,0.54269,0.67884,0.4937,0.5862700000000001,0.89547,0.4937,0.694585,0.90756,0.4937,0.7006300000000001,1.2269,0.4937,0.8603000000000001,,,,,,,,,,,,
1739404800000,2025-02-13 23:59:59.999,MOVE,1d,0.56265,0.54865,0.57398,0.52798,1862568.0,2950,MOVE,0.59168,0.4937,0.54269,0.67883,0.4937,0.586265,0.89547,0.4937,0.694585,0.90756,0.4937,0.7006300000000001,1.2269,0.4937,0.8603000000000001,,,,,,,,,,,,
1739491200000,2025-02-14 23:59:59.999,MOVE,1d,0.55137,0.5816,0.61419,0.54321,3457127.0,5468,MOVE,0.61419,0.4937,0.553945,0.64429,0.4937,0.568995,0.89547,0.4937,0.694585,0.90756,0.4937,0.7006300000000001,1.2269,0.4937,0.8603000000000001,,,,,,,,,,,,
1739577600000,2025-02-15 23:59:59.999,MOVE,1d,0.58163,0.55692,0.60489,0.54841,2140910.0,3564,MOVE,0.61419,0.51556,0.564875,0.63443,0.4937,0.564065,0.89547,0.4937,0.694585,0.90756,0.4937,0.7006300000000001,1.2269,0.4937,0.8603000000000001,,,,,,,,,,,,
1739664000000,2025-02-16 23:59:59.999,MOVE,1d,0.55688,0.54681,0.56429,0.536,1915629.0,4383,MOVE,0.61419,0.51556,0.564875,0.63443,0.4937,0.564065,0.89547,0.4937,0.694585,0.90596,0.4937,0.69983,1.2269,0.4937,0.8603000000000001,,,,,,,,,,,,
1739750400000,2025-02-17 23:59:59.999,MOVE,1d,0.54664,0.54932,0.56363,0.5294,2069182.0,3678,MOVE,0.61419,0.52798,0.5710850000000001,0.61419,0.4937,0.553945,0.84884,0.4937,0.67127,0.89547,0.4937,0.694585,1.2269,0.4937,0.8603000000000001,,,,,,,,,,,,
1739836800000,2025-02-18 23:59:59.999,MOVE,1d,0.54954,0.51456,0.55069,0.48984,2179079.0,4232,MOVE,0.61419,0.48984,0.552015,0.61419,0.48984,0.552015,0.84884,0.48984,0.66934,0.89547,0.48984,0.692655,1.2269,0.48984,0.8583700000000001,,,,,,,,,,,,
1739923200000,2025-02-19 23:59:59.999,MOVE,1d,0.51377,0.49105,0.51975,0.48374,3660313.0,4999,MOVE,0.60489,0.48374,0.544315,0.61419,0.48374,0.548965,0.80423,0.48374,0.643985,0.89547,0.48374,0.689605,1.2269,0.48374,0.8553200000000001,,,,,,,,,,,,
1740009600000,2025-02-20 23:59:59.999,MOVE,1d,0.49084,0.50041,0.50405,0.46116,4649799.0,6191,MOVE,0.56429,0.46116,0.512725,0.61419,0.46116,0.537675,0.76854,0.46116,0.61485,0.89547,0.46116,0.678315,1.2269,0.46116,0.8440300000000001,,,,,,,,,,,,
1740096000000,2025-02-21 23:59:59.999,MOVE,1d,0.5004,0.48371,0.5496,0.47925,9184807.0,9856,MOVE,0.56363,0.46116,0.5123949999999999,0.61419,0.46116,0.537675,0.7059,0.46116,0.58353,0.89547,0.46116,0.678315,1.2269,0.46116,0.8440300000000001,,,,,,,,,,,,
1740182400000,2025-02-22 23:59:59.999,MOVE,1d,0.484,0.49803,0.50892,0.47365,4591835.0,5957,MOVE,0.55069,0.46116,0.505925,0.61419,0.46116,0.537675,0.67884,0.46116,0.5700000000000001,0.89547,0.46116,0.678315,1.2269,0.46116,0.8440300000000001,,,,,,,,,,,,
1740268800000,2025-02-23 23:59:59.999,MOVE,1d,0.49779,0.48933,0.51068,0.47617,3364623.0,5763,MOVE,0.5496,0.46116,0.5053799999999999,0.61419,0.46116,0.537675,0.67883,0.46116,0.569995,0.89547,0.46116,0.678315,1.2269,0.46116,0.8440300000000001,,,,,,,,,,,,
1740355200000,2025-02-24 23:59:59.999,MOVE,1d,0.48932,0.41895,0.49354,0.40753,6412377.0,8398,MOVE,0.5496,0.40753,0.478565,0.60489,0.40753,0.50621,0.64429,0.40753,0.52591,0.89547,0.40753,0.6515,1.1547,0.40753,0.781115,,,,,,,,,,,,
1740441600000,2025-02-25 23:59:59.999,MOVE,1d,0.41974,0.42546,0.42951,0.38651,6588201.0,6325,MOVE,0.5496,0.38651,0.468055,0.56429,0.38651,0.4754,0.63443,0.38651,0.51047,0.89547,0.38651,0.64099,1.1547,0.38651,0.770605,,,,,,,,,,,,
1740528000000,2025-02-26 23:59:59.999,MOVE,1d,0.4262,0.45737,0.46477,0.41995,4491807.0,5730,MOVE,0.51068,0.38651,0.448595,0.56363,0.38651,0.47507,0.63443,0.38651,0.51047,0.89547,0.38651,0.64099,1.1547,0.38651,0.770605,,,,,,,,,,,,
1740614400000,2025-02-27 23:59:59.999,MOVE,1d,0.45803,0.45958,0.47864,0.4456,2219256.0,3543,MOVE,0.51068,0.38651,0.448595,0.55069,0.38651,0.4686,0.61419,0.38651,0.5003500000000001,0.84884,0.38651,0.617675,1.1547,0.38651,0.770605,,,,,,,,,,,,
1740700800000,2025-02-28 23:59:59.999,MOVE,1d,0.45959,0.44303,0.46225,0.41349,1750255.0,3714,MOVE,0.49354,0.38651,0.440025,0.5496,0.38651,0.468055,0.61419,0.38651,0.5003500000000001,0.84884,0.38651,0.617675,1.1547,0.38651,0.770605,,,,,,,,,,,,
1740787200000,2025-03-01 23:59:59.999,MOVE,1d,0.44417,0.44502,0.45605,0.42745,1181332.0,2501,MOVE,0.47864,0.38651,0.43257500000000004,0.5496,0.38651,0.468055,0.61419,0.38651,0.5003500000000001,0.80423,0.38651,0.59537,1.1547,0.38651,0.770605,,,,,,,,,,,,
1740873600000,2025-03-02 23:59:59.999,MOVE,1d,0.44519,0.52864,0.55628,0.43731,10744140.0,9693,MOVE,0.55628,0.41349,0.484885,0.55628,0.38651,0.471395,0.61419,0.38651,0.5003500000000001,0.76854,0.38651,0.5775250000000001,1.1547,0.38651,0.770605,,,,,,,,,,,,
1740960000000,2025-03-03 23:59:59.999,MOVE,1d,0.53,0.42164,0.53139,0.40843,11055249.0,10443,MOVE,0.55628,0.40843,0.482355,0.55628,0.38651,0.471395,0.61419,0.38651,0.5003500000000001,0.7059,0.38651,0.546205,1.1547,0.38651,0.770605,,,,,,,,,,,,
