t,timestamp,s,i,open,close,high,low,volume,n,asset,donchian_high_5,donchian_low_5,donchian_mid_5,donchian_high_10,donchian_low_10,donchian_mid_10,donchian_high_20,donchian_low_20,donchian_mid_20,donchian_high_30,donchian_low_30,donchian_mid_30,donchian_high_60,donchian_low_60,donchian_mid_60,donchian_high_90,donchian_low_90,donchian_mid_90,donchian_high_150,donchian_low_150,donchian_mid_150,donchian_high_250,donchian_low_250,donchian_mid_250,donchian_high_360,donchian_low_360,donchian_mid_360
1725580800000,2024-09-06 23:59:59.999,NEIROETH,1d,0.1565,0.1372,0.1707,0.118,0.0,0,NEIROETH,,,,,,,,,,,,,,,,,,,,,,,,,,,
1725667200000,2024-09-07 23:59:59.999,NEIROETH,1d,0.1371,0.1285,0.181,0.1204,0.0,0,NEIROETH,,,,,,,,,,,,,,,,,,,,,,,,,,,
1725753600000,2024-09-08 23:59:59.999,NEIROETH,1d,0.1286,0.1507,0.1657,0.1222,0.0,0,NEIROETH,,,,,,,,,,,,,,,,,,,,,,,,,,,
1725840000000,2024-09-09 23:59:59.999,NEIROETH,1d,0.1508,0.1726,0.1886,0.1489,0.0,0,NEIROETH,,,,,,,,,,,,,,,,,,,,,,,,,,,
1725926400000,2024-09-10 23:59:59.999,NEIROETH,1d,0.1727,0.1835,0.2065,0.1652,0.0,0,NEIROETH,0.2065,0.118,0.16225,,,,,,,,,,,,,,,,,,,,,,,,
1726012800000,2024-09-11 23:59:59.999,NEIROETH,1d,0.1834,0.1655,0.1909,0.1617,0.0,0,NEIROETH,0.2065,0.1204,0.16344999999999998,,,,,,,,,,,,,,,,,,,,,,,,
1726099200000,2024-09-12 23:59:59.999,NEIROETH,1d,0.1654,0.1667,0.1695,0.1551,0.0,0,NEIROETH,0.2065,0.1222,0.16435,,,,,,,,,,,,,,,,,,,,,,,,
1726185600000,2024-09-13 23:59:59.999,NEIROETH,1d,0.1666,0.1692,0.1748,0.1571,0.0,0,NEIROETH,0.2065,0.1489,0.1777,,,,,,,,,,,,,,,,,,,,,,,,
1726272000000,2024-09-14 23:59:59.999,NEIROETH,1d,0.1692,0.1498,0.1779,0.1483,0.0,0,NEIROETH,0.2065,0.1483,0.1774,,,,,,,,,,,,,,,,,,,,,,,,
1726358400000,2024-09-15 23:59:59.999,NEIROETH,1d,0.1498,0.1301,0.1531,0.1254,0.0,0,NEIROETH,0.1909,0.1254,0.15815,0.2065,0.118,0.16225,,,,,,,,,,,,,,,,,,,,,
