t,timestamp,s,i,open,close,high,low,volume,n,asset,donchian_high_5,donchian_low_5,donchian_mid_5,donchian_high_10,donchian_low_10,donchian_mid_10,donchian_high_20,donchian_low_20,donchian_mid_20,donchian_high_30,donchian_low_30,donchian_mid_30,donchian_high_60,donchian_low_60,donchian_mid_60,donchian_high_90,donchian_low_90,donchian_mid_90,donchian_high_150,donchian_low_150,donchian_mid_150,donchian_high_250,donchian_low_250,donchian_mid_250,donchian_high_360,donchian_low_360,donchian_mid_360
1688774400000,2023-07-08 23:59:59.999,NEO,1d,9.065,8.945,9.166,8.76,0.0,0,NEO,,,,,,,,,,,,,,,,,,,,,,,,,,,
1688860800000,2023-07-09 23:59:59.999,NEO,1d,8.945,8.934,9.118,8.887,0.0,0,NEO,,,,,,,,,,,,,,,,,,,,,,,,,,,
1688947200000,2023-07-10 23:59:59.999,NEO,1d,8.935,8.957,9.114,8.647,0.0,0,NEO,,,,,,,,,,,,,,,,,,,,,,,,,,,
1689033600000,2023-07-11 23:59:59.999,NEO,1d,8.958,9.152,9.169,8.827,0.0,0,NEO,,,,,,,,,,,,,,,,,,,,,,,,,,,
1689120000000,2023-07-12 23:59:59.999,NEO,1d,9.152,9.095,9.214,8.877,0.0,0,NEO,9.214,8.647,8.9305,,,,,,,,,,,,,,,,,,,,,,,,
1689206400000,2023-07-13 23:59:59.999,NEO,1d,9.095,9.621,9.654,8.919,0.0,0,NEO,9.654,8.647,9.150500000000001,,,,,,,,,,,,,,,,,,,,,,,,
1689292800000,2023-07-14 23:59:59.999,NEO,1d,9.623,9.247,9.812,8.97,0.0,0,NEO,9.812,8.647,9.2295,,,,,,,,,,,,,,,,,,,,,,,,
1689379200000,2023-07-15 23:59:59.999,NEO,1d,9.248,9.329,9.48,9.138,0.0,0,NEO,9.812,8.827,9.3195,,,,,,,,,,,,,,,,,,,,,,,,
1689465600000,2023-07-16 23:59:59.999,NEO,1d,9.328,9.086,9.369,9.023,0.0,0,NEO,9.812,8.877,9.3445,,,,,,,,,,,,,,,,,,,,,,,,
1689552000000,2023-07-17 23:59:59.999,NEO,1d,9.084,9.103,9.273,8.832,0.0,0,NEO,9.812,8.832,9.322,9.812,8.647,9.2295,,,,,,,,,,,,,,,,,,,,,
1689638400000,2023-07-18 23:59:59.999,NEO,1d,9.104,8.954,9.215,8.778,0.0,0,NEO,9.812,8.778,9.295,9.812,8.647,9.2295,,,,,,,,,,,,,,,,,,,,,
1689724800000,2023-07-19 23:59:59.999,NEO,1d,8.955,8.919,9.138,8.869,0.0,0,NEO,9.48,8.778,9.129000000000001,9.812,8.647,9.2295,,,,,,,,,,,,,,,,,,,,,
1689811200000,2023-07-20 23:59:59.999,NEO,1d,8.92,9.107,9.356,8.893,0.0,0,NEO,9.369,8.778,9.0735,9.812,8.778,9.295,,,,,,,,,,,,,,,,,,,,,
1689897600000,2023-07-21 23:59:59.999,NEO,1d,9.106,9.2,9.252,9.006,0.0,0,NEO,9.356,8.778,9.067,9.812,8.778,9.295,,,,,,,,,,,,,,,,,,,,,
1689984000000,2023-07-22 23:59:59.999,NEO,1d,9.2,9.142,9.684,9.06,0.0,0,NEO,9.684,8.778,9.231,9.812,8.778,9.295,,,,,,,,,,,,,,,,,,,,,
1690070400000,2023-07-23 23:59:59.999,NEO,1d,9.142,9.077,9.193,9.031,0.0,0,NEO,9.684,8.869,9.276499999999999,9.812,8.778,9.295,,,,,,,,,,,,,,,,,,,,,
1690156800000,2023-07-24 23:59:59.999,NEO,1d,9.079,8.677,9.099,8.488,0.0,0,NEO,9.684,8.488,9.085999999999999,9.684,8.488,9.085999999999999,,,,,,,,,,,,,,,,,,,,,
1690243200000,2023-07-25 23:59:59.999,NEO,1d,8.678,8.644,8.697,8.546,0.0,0,NEO,9.684,8.488,9.085999999999999,9.684,8.488,9.085999999999999,,,,,,,,,,,,,,,,,,,,,
1690329600000,2023-07-26 23:59:59.999,NEO,1d,8.644,8.747,8.839,8.383,0.0,0,NEO,9.684,8.383,9.0335,9.684,8.383,9.0335,,,,,,,,,,,,,,,,,,,,,
1690416000000,2023-07-27 23:59:59.999,NEO,1d,8.747,8.746,8.844,8.613,0.0,0,NEO,9.193,8.383,8.788,9.684,8.383,9.0335,9.812,8.383,9.0975,,,,,,,,,,,,,,,,,,
1690502400000,2023-07-28 23:59:59.999,NEO,1d,8.746,8.755,8.811,8.645,0.0,0,NEO,9.099,8.383,8.741,9.684,8.383,9.0335,9.812,8.383,9.0975,,,,,,,,,,,,,,,,,,
