t,timestamp,s,i,open,close,high,low,volume,n,asset,donchian_high_5,donchian_low_5,donchian_mid_5,donchian_high_10,donchian_low_10,donchian_mid_10,donchian_high_20,donchian_low_20,donchian_mid_20,donchian_high_30,donchian_low_30,donchian_mid_30,donchian_high_60,donchian_low_60,donchian_mid_60,donchian_high_90,donchian_low_90,donchian_mid_90,donchian_high_150,donchian_low_150,donchian_mid_150,donchian_high_250,donchian_low_250,donchian_mid_250,donchian_high_360,donchian_low_360,donchian_mid_360
1701302400000,2023-11-30 23:59:59.999,NFTI,1d,6.4523,5.761,6.4534,5.4818,10497.4,192,NFTI,,,,,,,,,,,,,,,,,,,,,,,,,,,
1701388800000,2023-12-01 23:59:59.999,NFTI,1d,5.7409,5.9653,6.0387,5.7409,1440.8,123,NFTI,,,,,,,,,,,,,,,,,,,,,,,,,,,
1701475200000,2023-12-02 23:59:59.999,NFTI,1d,5.9817,6.2061,6.2372,5.9736,8224.8,121,NFTI,,,,,,,,,,,,,,,,,,,,,,,,,,,
1701561600000,2023-12-03 23:59:59.999,NFTI,1d,6.2264,6.3075,6.375,6.1766,13945.5,165,NFTI,,,,,,,,,,,,,,,,,,,,,,,,,,,
1701648000000,2023-12-04 23:59:59.999,NFTI,1d,6.311,7.3066,7.6768,6.2959,19984.7,145,NFTI,7.6768,5.4818,6.5793,,,,,,,,,,,,,,,,,,,,,,,,
1701734400000,2023-12-05 23:59:59.999,NFTI,1d,7.3683,7.1973,7.3974,6.9,10031.8,88,NFTI,7.6768,5.7409,6.70885,,,,,,,,,,,,,,,,,,,,,,,,
1701820800000,2023-12-06 23:59:59.999,NFTI,1d,7.271,6.7415,7.271,6.7415,5514.5,34,NFTI,7.6768,5.9736,6.825200000000001,,,,,,,,,,,,,,,,,,,,,,,,
1701907200000,2023-12-07 23:59:59.999,NFTI,1d,6.6616,7.694,7.8252,6.5687,3262.8,62,NFTI,7.8252,6.1766,7.0009,,,,,,,,,,,,,,,,,,,,,,,,
1701993600000,2023-12-08 23:59:59.999,NFTI,1d,7.8498,7.7244,7.9258,7.5463,3575.4,38,NFTI,7.9258,6.2959,7.110849999999999,,,,,,,,,,,,,,,,,,,,,,,,
1702080000000,2023-12-09 23:59:59.999,NFTI,1d,7.5761,7.7531,7.7531,7.4292,2232.0,45,NFTI,7.9258,6.5687,7.247249999999999,7.9258,5.4818,6.703799999999999,,,,,,,,,,,,,,,,,,,,,
1702166400000,2023-12-10 23:59:59.999,NFTI,1d,7.7411,7.7346,7.8389,7.6377,1595.2,35,NFTI,7.9258,6.5687,7.247249999999999,7.9258,5.7409,6.833349999999999,,,,,,,,,,,,,,,,,,,,,
1702252800000,2023-12-11 23:59:59.999,NFTI,1d,7.7346,6.9686,7.7372,6.9686,905.5,32,NFTI,7.9258,6.5687,7.247249999999999,7.9258,5.9736,6.9497,,,,,,,,,,,,,,,,,,,,,
1702339200000,2023-12-12 23:59:59.999,NFTI,1d,7.147,6.7639,7.1847,6.7639,1928.8,57,NFTI,7.9258,6.7639,7.344849999999999,7.9258,6.1766,7.0512,,,,,,,,,,,,,,,,,,,,,
1702425600000,2023-12-13 23:59:59.999,NFTI,1d,6.7968,7.079,7.1238,6.6718,2195.9,39,NFTI,7.8389,6.6718,7.25535,7.9258,6.2959,7.110849999999999,,,,,,,,,,,,,,,,,,,,,
1702512000000,2023-12-14 23:59:59.999,NFTI,1d,7.0728,7.1366,7.1366,7.0314,217.0,7,NFTI,7.8389,6.6718,7.25535,7.9258,6.5687,7.247249999999999,,,,,,,,,,,,,,,,,,,,,
1702598400000,2023-12-15 23:59:59.999,NFTI,1d,7.1626,6.6137,7.1626,6.6137,1774.6,88,NFTI,7.7372,6.6137,7.17545,7.9258,6.5687,7.247249999999999,,,,,,,,,,,,,,,,,,,,,
1702684800000,2023-12-16 23:59:59.999,NFTI,1d,6.6676,6.5276,6.6917,6.4716,689.1,119,NFTI,7.1847,6.4716,6.82815,7.9258,6.4716,7.1987,,,,,,,,,,,,,,,,,,,,,
1702771200000,2023-12-17 23:59:59.999,NFTI,1d,6.5314,6.3707,6.5451,6.3245,2008.7,80,NFTI,7.1626,6.3245,6.74355,7.9258,6.3245,7.12515,,,,,,,,,,,,,,,,,,,,,
1702857600000,2023-12-18 23:59:59.999,NFTI,1d,6.2756,6.2666,6.3328,5.9285,3422.1,108,NFTI,7.1626,5.9285,6.54555,7.8389,5.9285,6.883699999999999,,,,,,,,,,,,,,,,,,,,,
1702944000000,2023-12-19 23:59:59.999,NFTI,1d,6.1972,6.3293,6.4428,6.1884,529.1,127,NFTI,7.1626,5.9285,6.54555,7.8389,5.9285,6.883699999999999,7.9258,5.4818,6.703799999999999,,,,,,,,,,,,,,,,,,
1703030400000,2023-12-20 23:59:59.999,NFTI,1d,6.3135,6.3908,6.651,6.301,375.7,113,NFTI,6.6917,5.9285,6.3101,7.7372,5.9285,6.83285,7.9258,5.7409,6.833349999999999,,,,,,,,,,,,,,,,,,
1703116800000,2023-12-21 23:59:59.999,NFTI,1d,6.3966,6.708,6.8031,6.3878,836.6,83,NFTI,6.8031,5.9285,6.3658,7.1847,5.9285,6.5565999999999995,7.9258,5.9285,6.927149999999999,,,,,,,,,,,,,,,,,,
1703203200000,2023-12-22 23:59:59.999,NFTI,1d,6.6956,6.8061,6.9083,6.6649,580.6,99,NFTI,6.9083,5.9285,6.4184,7.1626,5.9285,6.54555,7.9258,5.9285,6.927149999999999,,,,,,,,,,,,,,,,,,
1703289600000,2023-12-23 23:59:59.999,NFTI,1d,6.778,6.6134,6.8144,6.4848,376.5,103,NFTI,6.9083,6.1884,6.548349999999999,7.1626,5.9285,6.54555,7.9258,5.9285,6.927149999999999,,,,,,,,,,,,,,,,,,
1703376000000,2023-12-24 23:59:59.999,NFTI,1d,6.5836,6.5987,6.6923,6.5234,339.3,101,NFTI,6.9083,6.301,6.6046499999999995,7.1626,5.9285,6.54555,7.9258,5.9285,6.927149999999999,,,,,,,,,,,,,,,,,,
