t,timestamp,s,i,open,close,high,low,volume,n,asset,donchian_high_5,donchian_low_5,donchian_mid_5,donchian_high_10,donchian_low_10,donchian_mid_10,donchian_high_20,donchian_low_20,donchian_mid_20,donchian_high_30,donchian_low_30,donchian_mid_30,donchian_high_60,donchian_low_60,donchian_mid_60,donchian_high_90,donchian_low_90,donchian_mid_90,donchian_high_150,donchian_low_150,donchian_mid_150,donchian_high_250,donchian_low_250,donchian_mid_250,donchian_high_360,donchian_low_360,donchian_mid_360
1715817600000,2024-05-16 23:59:59.999,NOT,1d,0.007361,0.007551,0.008099,0.00592,0.0,0,NOT,,,,,,,,,,,,,,,,,,,,,,,,,,,
1715904000000,2024-05-17 23:59:59.999,NOT,1d,0.007004,0.006926,0.007346,0.006307,575391532.0,3967,NOT,,,,,,,,,,,,,,,,,,,,,,,,,,,
1715990400000,2024-05-18 23:59:59.999,NOT,1d,0.006954,0.006615,0.007218,0.006466,260203372.0,5080,NOT,,,,,,,,,,,,,,,,,,,,,,,,,,,
1716076800000,2024-05-19 23:59:59.999,NOT,1d,0.006602,0.005541,0.006748,0.005511,117148402.0,2369,NOT,,,,,,,,,,,,,,,,,,,,,,,,,,,
1716163200000,2024-05-20 23:59:59.999,NOT,1d,0.005527,0.005689,0.005778,0.005072,161235528.0,2217,NOT,0.008099,0.005072,0.0065855,,,,,,,,,,,,,,,,,,,,,,,,
1716249600000,2024-05-21 23:59:59.999,NOT,1d,0.005687,0.005637,0.006219,0.005318,221488957.0,3172,NOT,0.007346,0.005072,0.006209,,,,,,,,,,,,,,,,,,,,,,,,
1716336000000,2024-05-22 23:59:59.999,NOT,1d,0.005639,0.005313,0.005724,0.005173,192991214.0,2969,NOT,0.007218,0.005072,0.006144999999999999,,,,,,,,,,,,,,,,,,,,,,,,
1716422400000,2024-05-23 23:59:59.999,NOT,1d,0.005315,0.004885,0.005416,0.004474,114738727.0,2750,NOT,0.006748,0.004474,0.005611,,,,,,,,,,,,,,,,,,,,,,,,
1716508800000,2024-05-24 23:59:59.999,NOT,1d,0.004884,0.004842,0.004933,0.004585,66004948.0,2245,NOT,0.006219,0.004474,0.0053465,,,,,,,,,,,,,,,,,,,,,,,,
1716595200000,2024-05-25 23:59:59.999,NOT,1d,0.004839,0.005323,0.005719,0.00469,202703297.0,3483,NOT,0.006219,0.004474,0.0053465,0.008099,0.004474,0.0062865,,,,,,,,,,,,,,,,,,,,,
1716681600000,2024-05-26 23:59:59.999,NOT,1d,0.005309,0.005428,0.005526,0.004936,144364709.0,2705,NOT,0.005724,0.004474,0.005098999999999999,0.007346,0.004474,0.00591,,,,,,,,,,,,,,,,,,,,,
1716768000000,2024-05-27 23:59:59.999,NOT,1d,0.00542,0.008607,0.00876,0.005289,692815899.0,7483,NOT,0.00876,0.004474,0.006617,0.00876,0.004474,0.006617,,,,,,,,,,,,,,,,,,,,,
1716854400000,2024-05-28 23:59:59.999,NOT,1d,0.008624,0.009265,0.009935,0.007515,992780468.0,12207,NOT,0.009935,0.004585,0.007259999999999999,0.009935,0.004474,0.007204499999999999,,,,,,,,,,,,,,,,,,,,,
1716940800000,2024-05-29 23:59:59.999,NOT,1d,0.009245,0.01047,0.010763,0.00859,781889853.0,9017,NOT,0.010763,0.00469,0.0077265,0.010763,0.004474,0.0076185,,,,,,,,,,,,,,,,,,,,,
1717027200000,2024-05-30 23:59:59.999,NOT,1d,0.010362,0.012601,0.01326,0.010263,773574181.0,10517,NOT,0.01326,0.004936,0.009098,0.01326,0.004474,0.008867,,,,,,,,,,,,,,,,,,,,,
1717113600000,2024-05-31 23:59:59.999,NOT,1d,0.012602,0.011677,0.012936,0.011282,371839538.0,5724,NOT,0.01326,0.005289,0.0092745,0.01326,0.004474,0.008867,,,,,,,,,,,,,,,,,,,,,
1717200000000,2024-06-01 23:59:59.999,NOT,1d,0.01168,0.01586,0.016638,0.01168,439820461.0,6863,NOT,0.016638,0.007515,0.0120765,0.016638,0.004474,0.010556,,,,,,,,,,,,,,,,,,,,,
1717286400000,2024-06-02 23:59:59.999,NOT,1d,0.01586,0.022614,0.029327,0.015342,1018072444.0,23864,NOT,0.029327,0.00859,0.0189585,0.029327,0.004585,0.016956,,,,,,,,,,,,,,,,,,,,,
1717372800000,2024-06-03 23:59:59.999,NOT,1d,0.022818,0.021523,0.025352,0.019948,695130218.0,17163,NOT,0.029327,0.010263,0.019795,0.029327,0.00469,0.0170085,,,,,,,,,,,,,,,,,,,,,
1717459200000,2024-06-04 23:59:59.999,NOT,1d,0.021529,0.022726,0.026671,0.021527,375031242.0,10360,NOT,0.029327,0.011282,0.0203045,0.029327,0.004936,0.0171315,0.029327,0.004474,0.0169005,,,,,,,,,,,,,,,,,,
1717545600000,2024-06-05 23:59:59.999,NOT,1d,0.022818,0.021709,0.02321,0.020261,276974040.0,6534,NOT,0.029327,0.01168,0.0205035,0.029327,0.005289,0.017308,0.029327,0.004474,0.0169005,,,,,,,,,,,,,,,,,,
1717632000000,2024-06-06 23:59:59.999,NOT,1d,0.021689,0.021276,0.023,0.020731,206493914.0,4530,NOT,0.029327,0.015342,0.0223345,0.029327,0.007515,0.018421,0.029327,0.004474,0.0169005,,,,,,,,,,,,,,,,,,
1717718400000,2024-06-07 23:59:59.999,NOT,1d,0.021342,0.018964,0.0225,0.017197,269779745.0,7056,NOT,0.026671,0.017197,0.021934000000000002,0.029327,0.00859,0.0189585,0.029327,0.004474,0.0169005,,,,,,,,,,,,,,,,,,
1717804800000,2024-06-08 23:59:59.999,NOT,1d,0.018961,0.018572,0.020656,0.018051,132104803.0,4051,NOT,0.026671,0.017197,0.021934000000000002,0.029327,0.010263,0.019795,0.029327,0.004474,0.0169005,,,,,,,,,,,,,,,,,,
1717891200000,2024-06-09 23:59:59.999,NOT,1d,0.018556,0.019189,0.019504,0.017161,143512278.0,3835,NOT,0.02321,0.017161,0.020185500000000002,0.029327,0.011282,0.0203045,0.029327,0.004474,0.0169005,,,,,,,,,,,,,,,,,,
1717977600000,2024-06-10 23:59:59.999,NOT,1d,0.019171,0.017706,0.019764,0.017557,159774734.0,4148,NOT,0.023,0.017161,0.0200805,0.029327,0.01168,0.0205035,0.029327,0.004474,0.0169005,,,,,,,,,,,,,,,,,,
1718064000000,2024-06-11 23:59:59.999,NOT,1d,0.017708,0.015943,0.017975,0.014955,254549768.0,5564,NOT,0.0225,0.014955,0.0187275,0.029327,0.014955,0.022141,0.029327,0.004474,0.0169005,,,,,,,,,,,,,,,,,,
1718150400000,2024-06-12 23:59:59.999,NOT,1d,0.015904,0.018221,0.019246,0.015299,234670899.0,5998,NOT,0.020656,0.014955,0.017805500000000002,0.026671,0.014955,0.020812999999999998,0.029327,0.004585,0.016956,,,,,,,,,,,,,,,,,,
1718236800000,2024-06-13 23:59:59.999,NOT,1d,0.018239,0.017192,0.018755,0.016752,133448658.0,3856,NOT,0.019764,0.014955,0.0173595,0.026671,0.014955,0.020812999999999998,0.029327,0.00469,0.0170085,,,,,,,,,,,,,,,,,,
1718323200000,2024-06-14 23:59:59.999,NOT,1d,0.017262,0.019793,0.021589,0.016887,239786791.0,6693,NOT,0.021589,0.014955,0.018272,0.02321,0.014955,0.019082500000000002,0.029327,0.004936,0.0171315,0.029327,0.004474,0.0169005,,,,,,,,,,,,,,,
1718409600000,2024-06-15 23:59:59.999,NOT,1d,0.019787,0.021043,0.021815,0.018892,172435404.0,5745,NOT,0.021815,0.014955,0.018385,0.023,0.014955,0.0189775,0.029327,0.005289,0.017308,0.029327,0.004474,0.0169005,,,,,,,,,,,,,,,
1718496000000,2024-06-16 23:59:59.999,NOT,1d,0.021012,0.020062,0.021073,0.019541,92326755.0,3089,NOT,0.021815,0.015299,0.018557,0.0225,0.014955,0.0187275,0.029327,0.007515,0.018421,0.029327,0.004474,0.0169005,,,,,,,,,,,,,,,
1718582400000,2024-06-17 23:59:59.999,NOT,1d,0.020071,0.016937,0.020782,0.016561,227255233.0,5767,NOT,0.021815,0.016561,0.019188,0.021815,0.014955,0.018385,0.029327,0.00859,0.0189585,0.029327,0.004474,0.0169005,,,,,,,,,,,,,,,
1718668800000,2024-06-18 23:59:59.999,NOT,1d,0.016938,0.015727,0.016997,0.014391,193328454.0,5175,NOT,0.021815,0.014391,0.018103,0.021815,0.014391,0.018103,0.029327,0.010263,0.019795,0.029327,0.004474,0.0169005,,,,,,,,,,,,,,,
1718755200000,2024-06-19 23:59:59.999,NOT,1d,0.015712,0.015195,0.016321,0.01497,204495185.0,3857,NOT,0.021815,0.014391,0.018103,0.021815,0.014391,0.018103,0.029327,0.011282,0.0203045,0.029327,0.004474,0.0169005,,,,,,,,,,,,,,,
