t,timestamp,s,i,open,close,high,low,volume,n,asset,donchian_high_5,donchian_low_5,donchian_mid_5,donchian_high_10,donchian_low_10,donchian_mid_10,donchian_high_20,donchian_low_20,donchian_mid_20,donchian_high_30,donchian_low_30,donchian_mid_30,donchian_high_60,donchian_low_60,donchian_mid_60,donchian_high_90,donchian_low_90,donchian_mid_90,donchian_high_150,donchian_low_150,donchian_mid_150,donchian_high_250,donchian_low_250,donchian_mid_250,donchian_high_360,donchian_low_360,donchian_mid_360
1747267200000,2025-05-15 23:59:59.999,NXPC,1d,2.9952,2.622,3.6318,2.4113,14780825.0,63943,NXPC,,,,,,,,,,,,,,,,,,,,,,,,,,,
1747353600000,2025-05-16 23:59:59.999,NXPC,1d,2.6194,2.5537,2.9692,2.4679,10064255.0,61573,NXPC,,,,,,,,,,,,,,,,,,,,,,,,,,,
1747440000000,2025-05-17 23:59:59.999,NXPC,1d,2.5516,2.2726,2.62,2.1273,4798073.0,26332,NXPC,,,,,,,,,,,,,,,,,,,,,,,,,,,
1747526400000,2025-05-18 23:59:59.999,NXPC,1d,2.2719,2.2911,2.3753,2.1334,2084353.0,9512,NXPC,,,,,,,,,,,,,,,,,,,,,,,,,,,
1747612800000,2025-05-19 23:59:59.999,NXPC,1d,2.2873,1.9859,2.3699,1.8864,3137321.0,13110,NXPC,3.6318,1.8864,2.7591,,,,,,,,,,,,,,,,,,,,,,,,
1747699200000,2025-05-20 23:59:59.999,NXPC,1d,1.9862,1.8974,2.0441,1.7731,4221837.0,19331,NXPC,2.9692,1.7731,2.37115,,,,,,,,,,,,,,,,,,,,,,,,
1747785600000,2025-05-21 23:59:59.999,NXPC,1d,1.8969,1.8613,1.9904,1.797,2894949.0,9335,NXPC,2.62,1.7731,2.1965500000000002,,,,,,,,,,,,,,,,,,,,,,,,
1747872000000,2025-05-22 23:59:59.999,NXPC,1d,1.8597,1.9048,1.9332,1.7859,2466192.0,7815,NXPC,2.3753,1.7731,2.0742000000000003,,,,,,,,,,,,,,,,,,,,,,,,
1747958400000,2025-05-23 23:59:59.999,NXPC,1d,1.9047,1.9694,2.1613,1.858,6053707.0,17148,NXPC,2.3699,1.7731,2.0715,,,,,,,,,,,,,,,,,,,,,,,,
1748044800000,2025-05-24 23:59:59.999,NXPC,1d,1.9732,2.1514,2.2691,1.9686,1912029.0,10379,NXPC,2.2691,1.7731,2.0210999999999997,3.6318,1.7731,2.70245,,,,,,,,,,,,,,,,,,,,,
1748131200000,2025-05-25 23:59:59.999,NXPC,1d,2.1563,2.0539,2.2732,1.9845,2559710.0,9203,NXPC,2.2732,1.7859,2.02955,2.9692,1.7731,2.37115,,,,,,,,,,,,,,,,,,,,,
1748217600000,2025-05-26 23:59:59.999,NXPC,1d,2.0535,1.9095,2.0832,1.8658,1869849.0,5657,NXPC,2.2732,1.7859,2.02955,2.62,1.7731,2.1965500000000002,,,,,,,,,,,,,,,,,,,,,
1748304000000,2025-05-27 23:59:59.999,NXPC,1d,1.9118,1.9688,1.9844,1.8247,1653332.0,6253,NXPC,2.2732,1.8247,2.04895,2.3753,1.7731,2.0742000000000003,,,,,,,,,,,,,,,,,,,,,
1748390400000,2025-05-28 23:59:59.999,NXPC,1d,1.9679,1.805,2.043,1.7553,2971459.0,7705,NXPC,2.2732,1.7553,2.01425,2.3699,1.7553,2.0625999999999998,,,,,,,,,,,,,,,,,,,,,
1748476800000,2025-05-29 23:59:59.999,NXPC,1d,1.7986,1.6697,1.8558,1.6584,3003683.0,9099,NXPC,2.2732,1.6584,1.9658000000000002,2.2732,1.6584,1.9658000000000002,,,,,,,,,,,,,,,,,,,,,
1748563200000,2025-05-30 23:59:59.999,NXPC,1d,1.6652,1.4466,1.6664,1.4364,1288343.0,5374,NXPC,2.0832,1.4364,1.7598,2.2732,1.4364,1.8548,,,,,,,,,,,,,,,,,,,,,
1748649600000,2025-05-31 23:59:59.999,NXPC,1d,1.4467,1.34,1.5235,1.3163,1092671.0,5244,NXPC,2.043,1.3163,1.67965,2.2732,1.3163,1.79475,,,,,,,,,,,,,,,,,,,,,
1748736000000,2025-06-01 23:59:59.999,NXPC,1d,1.342,1.3799,1.4189,1.2912,938757.0,4048,NXPC,2.043,1.2912,1.6671,2.2732,1.2912,1.7822,,,,,,,,,,,,,,,,,,,,,
1748822400000,2025-06-02 23:59:59.999,NXPC,1d,1.3823,1.3429,1.3823,1.2698,811394.0,2783,NXPC,1.8558,1.2698,1.5628,2.2732,1.2698,1.7715,,,,,,,,,,,,,,,,,,,,,
1748908800000,2025-06-03 23:59:59.999,NXPC,1d,1.342,1.5394,1.5645,1.3347,1802184.0,7830,NXPC,1.6664,1.2698,1.4681000000000002,2.2732,1.2698,1.7715,3.6318,1.2698,2.4508,,,,,,,,,,,,,,,,,,
1748995200000,2025-06-04 23:59:59.999,NXPC,1d,1.5423,1.3631,1.5672,1.3488,980716.0,6123,NXPC,1.5672,1.2698,1.4184999999999999,2.0832,1.2698,1.6765,2.9692,1.2698,2.1195,,,,,,,,,,,,,,,,,,
1749081600000,2025-06-05 23:59:59.999,NXPC,1d,1.3641,1.1874,1.3893,1.1699,2464132.0,9983,NXPC,1.5672,1.1699,1.36855,2.043,1.1699,1.6064500000000002,2.62,1.1699,1.8949500000000001,,,,,,,,,,,,,,,,,,
1749168000000,2025-06-06 23:59:59.999,NXPC,1d,1.1877,1.2109,1.3144,1.1871,1100786.0,3962,NXPC,1.5672,1.1699,1.36855,2.043,1.1699,1.6064500000000002,2.3753,1.1699,1.7726000000000002,,,,,,,,,,,,,,,,,,
1749254400000,2025-06-07 23:59:59.999,NXPC,1d,1.2091,1.315,1.3439,1.1961,595421.0,3094,NXPC,1.5672,1.1699,1.36855,1.8558,1.1699,1.5128499999999998,2.3699,1.1699,1.7698999999999998,,,,,,,,,,,,,,,,,,
1749340800000,2025-06-08 23:59:59.999,NXPC,1d,1.3148,1.2556,1.3501,1.2531,744893.0,3111,NXPC,1.5672,1.1699,1.36855,1.6664,1.1699,1.41815,2.2732,1.1699,1.7215500000000001,,,,,,,,,,,,,,,,,,
1749427200000,2025-06-09 23:59:59.999,NXPC,1d,1.2554,1.4319,1.444,1.2484,1337302.0,6865,NXPC,1.444,1.1699,1.30695,1.5672,1.1699,1.36855,2.2732,1.1699,1.7215500000000001,,,,,,,,,,,,,,,,,,
1749513600000,2025-06-10 23:59:59.999,NXPC,1d,1.4442,1.3802,1.4442,1.332,969316.0,3830,NXPC,1.4442,1.1871,1.31565,1.5672,1.1699,1.36855,2.2732,1.1699,1.7215500000000001,,,,,,,,,,,,,,,,,,
1749600000000,2025-06-11 23:59:59.999,NXPC,1d,1.3803,1.3219,1.431,1.308,650220.0,2521,NXPC,1.4442,1.1961,1.32015,1.5672,1.1699,1.36855,2.2732,1.1699,1.7215500000000001,,,,,,,,,,,,,,,,,,
1749686400000,2025-06-12 23:59:59.999,NXPC,1d,1.3221,1.4497,1.4599,1.2667,1953168.0,7169,NXPC,1.4599,1.2484,1.35415,1.5672,1.1699,1.36855,2.2732,1.1699,1.7215500000000001,,,,,,,,,,,,,,,,,,
1749772800000,2025-06-13 23:59:59.999,NXPC,1d,1.447,1.3149,1.5861,1.2559,6411253.0,19948,NXPC,1.5861,1.2484,1.4172500000000001,1.5861,1.1699,1.3780000000000001,2.2732,1.1699,1.7215500000000001,3.6318,1.1699,2.40085,,,,,,,,,,,,,,,
1749859200000,2025-06-14 23:59:59.999,NXPC,1d,1.3147,1.2415,1.3147,1.2128,915462.0,3285,NXPC,1.5861,1.2128,1.39945,1.5861,1.1699,1.3780000000000001,2.0832,1.1699,1.62655,2.9692,1.1699,2.06955,,,,,,,,,,,,,,,
1749945600000,2025-06-15 23:59:59.999,NXPC,1d,1.2435,1.2372,1.282,1.2154,498519.0,3428,NXPC,1.5861,1.2128,1.39945,1.5861,1.1871,1.3866,2.043,1.1699,1.6064500000000002,2.62,1.1699,1.8949500000000001,,,,,,,,,,,,,,,
