t,timestamp,s,i,open,close,high,low,volume,n,asset,donchian_high_5,donchian_low_5,donchian_mid_5,donchian_high_10,donchian_low_10,donchian_mid_10,donchian_high_20,donchian_low_20,donchian_mid_20,donchian_high_30,donchian_low_30,donchian_mid_30,donchian_high_60,donchian_low_60,donchian_mid_60,donchian_high_90,donchian_low_90,donchian_mid_90,donchian_high_150,donchian_low_150,donchian_mid_150,donchian_high_250,donchian_low_250,donchian_mid_250,donchian_high_360,donchian_low_360,donchian_mid_360
1707782400000,2024-02-13 23:59:59.999,OM,1d,0.3,0.285,0.3,0.265,0.0,0,OM,,,,,,,,,,,,,,,,,,,,,,,,,,,
1707868800000,2024-02-14 23:59:59.999,OM,1d,0.28502,0.28152,0.296,0.27559,0.0,0,OM,,,,,,,,,,,,,,,,,,,,,,,,,,,
1707955200000,2024-02-15 23:59:59.999,OM,1d,0.28152,0.26325,0.29346,0.25508,0.0,0,OM,,,,,,,,,,,,,,,,,,,,,,,,,,,
1708041600000,2024-02-16 23:59:59.999,OM,1d,0.26329,0.24286,0.27446,0.24107,0.0,0,OM,,,,,,,,,,,,,,,,,,,,,,,,,,,
1708128000000,2024-02-17 23:59:59.999,OM,1d,0.24294,0.24816,0.24958,0.23,0.0,0,OM,0.3,0.23,0.265,,,,,,,,,,,,,,,,,,,,,,,,
1708214400000,2024-02-18 23:59:59.999,OM,1d,0.24815,0.23962,0.25678,0.233,0.0,0,OM,0.296,0.23,0.263,,,,,,,,,,,,,,,,,,,,,,,,
1708300800000,2024-02-19 23:59:59.999,OM,1d,0.23966,0.2323,0.2481,0.22563,0.0,0,OM,0.29346,0.22563,0.259545,,,,,,,,,,,,,,,,,,,,,,,,
1708387200000,2024-02-20 23:59:59.999,OM,1d,0.23231,0.22023,0.2448,0.2046,0.0,0,OM,0.27446,0.2046,0.23953,,,,,,,,,,,,,,,,,,,,,,,,
1708473600000,2024-02-21 23:59:59.999,OM,1d,0.22031,0.21817,0.22579,0.20632,0.0,0,OM,0.25678,0.2046,0.23069,,,,,,,,,,,,,,,,,,,,,,,,
1708560000000,2024-02-22 23:59:59.999,OM,1d,0.21817,0.21567,0.22331,0.20849,0.0,0,OM,0.25678,0.2046,0.23069,0.3,0.2046,0.25229999999999997,,,,,,,,,,,,,,,,,,,,,
1708646400000,2024-02-23 23:59:59.999,OM,1d,0.2155,0.21531,0.24663,0.21101,0.0,0,OM,0.2481,0.2046,0.22635,0.296,0.2046,0.25029999999999997,,,,,,,,,,,,,,,,,,,,,
1708732800000,2024-02-24 23:59:59.999,OM,1d,0.21536,0.22069,0.22205,0.2054,0.0,0,OM,0.24663,0.2046,0.225615,0.29346,0.2046,0.24903,,,,,,,,,,,,,,,,,,,,,
1708819200000,2024-02-25 23:59:59.999,OM,1d,0.22069,0.21401,0.222,0.20807,0.0,0,OM,0.24663,0.2054,0.226015,0.27446,0.2046,0.23953,,,,,,,,,,,,,,,,,,,,,
1708905600000,2024-02-26 23:59:59.999,OM,1d,0.21398,0.22273,0.22504,0.21021,0.0,0,OM,0.24663,0.2054,0.226015,0.25678,0.2046,0.23069,,,,,,,,,,,,,,,,,,,,,
1708992000000,2024-02-27 23:59:59.999,OM,1d,0.22273,0.22577,0.2308,0.2113,0.0,0,OM,0.24663,0.2054,0.226015,0.25678,0.2046,0.23069,,,,,,,,,,,,,,,,,,,,,
1709078400000,2024-02-28 23:59:59.999,OM,1d,0.22577,0.24734,0.2782,0.22015,0.0,0,OM,0.2782,0.2054,0.24180000000000001,0.2782,0.2046,0.2414,,,,,,,,,,,,,,,,,,,,,
1709164800000,2024-02-29 23:59:59.999,OM,1d,0.24739,0.25833,0.26317,0.234,0.0,0,OM,0.2782,0.20807,0.243135,0.2782,0.2046,0.2414,,,,,,,,,,,,,,,,,,,,,
1709251200000,2024-03-01 23:59:59.999,OM,1d,0.25841,0.27087,0.295,0.25301,0.0,0,OM,0.295,0.21021,0.25260499999999997,0.295,0.2054,0.2502,,,,,,,,,,,,,,,,,,,,,
1709337600000,2024-03-02 23:59:59.999,OM,1d,0.27088,0.27246,0.27735,0.25829,0.0,0,OM,0.295,0.2113,0.25315,0.295,0.2054,0.2502,,,,,,,,,,,,,,,,,,,,,
1709424000000,2024-03-03 23:59:59.999,OM,1d,0.27235,0.27906,0.28212,0.25728,0.0,0,OM,0.295,0.22015,0.257575,0.295,0.2054,0.2502,0.3,0.2046,0.25229999999999997,,,,,,,,,,,,,,,,,,
1709510400000,2024-03-04 23:59:59.999,OM,1d,0.27916,0.32637,0.38,0.27063,0.0,0,OM,0.38,0.234,0.307,0.38,0.2054,0.2927,0.38,0.2046,0.2923,,,,,,,,,,,,,,,,,,
1709596800000,2024-03-05 23:59:59.999,OM,1d,0.32646,0.30801,0.34805,0.23901,0.0,0,OM,0.38,0.23901,0.30950500000000003,0.38,0.20807,0.294035,0.38,0.2046,0.2923,,,,,,,,,,,,,,,,,,
1709683200000,2024-03-06 23:59:59.999,OM,1d,0.30807,0.31129,0.32036,0.29393,0.0,0,OM,0.38,0.23901,0.30950500000000003,0.38,0.21021,0.295105,0.38,0.2046,0.2923,,,,,,,,,,,,,,,,,,
1709769600000,2024-03-07 23:59:59.999,OM,1d,0.31126,0.30529,0.31319,0.29658,0.0,0,OM,0.38,0.23901,0.30950500000000003,0.38,0.2113,0.29564999999999997,0.38,0.2046,0.2923,,,,,,,,,,,,,,,,,,
1709856000000,2024-03-08 23:59:59.999,OM,1d,0.30536,0.30018,0.32256,0.28832,0.0,0,OM,0.38,0.23901,0.30950500000000003,0.38,0.22015,0.300075,0.38,0.2046,0.2923,,,,,,,,,,,,,,,,,,
1709942400000,2024-03-09 23:59:59.999,OM,1d,0.30014,0.30469,0.3073,0.2949,0.0,0,OM,0.34805,0.23901,0.29353,0.38,0.234,0.307,0.38,0.2046,0.2923,,,,,,,,,,,,,,,,,,
1710028800000,2024-03-10 23:59:59.999,OM,1d,0.3047,0.30402,0.31441,0.2869,0.0,0,OM,0.32256,0.2869,0.30473,0.38,0.23901,0.30950500000000003,0.38,0.2046,0.2923,,,,,,,,,,,,,,,,,,
