t,timestamp,s,i,open,close,high,low,volume,n,asset,donchian_high_5,donchian_low_5,donchian_mid_5,donchian_high_10,donchian_low_10,donchian_mid_10,donchian_high_20,donchian_low_20,donchian_mid_20,donchian_high_30,donchian_low_30,donchian_mid_30,donchian_high_60,donchian_low_60,donchian_mid_60,donchian_high_90,donchian_low_90,donchian_mid_90,donchian_high_150,donchian_low_150,donchian_mid_150,donchian_high_250,donchian_low_250,donchian_mid_250,donchian_high_360,donchian_low_360,donchian_mid_360
1705708800000,2024-01-20 23:59:59.999,ONDO,1d,0.19611,0.20698,0.20716,0.18726,15195396.0,1547,ONDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
1705795200000,2024-01-21 23:59:59.999,ONDO,1d,0.20686,0.28355,0.29627,0.18776,45336594.0,7964,ONDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
1705881600000,2024-01-22 23:59:59.999,ONDO,1d,0.28252,0.24559,0.32484,0.242,50600800.0,11880,ONDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
1705968000000,2024-01-23 23:59:59.999,ONDO,1d,0.24482,0.25161,0.26487,0.19955,36285631.0,6261,ONDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
1706054400000,2024-01-24 23:59:59.999,ONDO,1d,0.25084,0.25763,0.25864,0.22948,19303967.0,3907,ONDO,0.32484,0.18726,0.25605,,,,,,,,,,,,,,,,,,,,,,,,
1706140800000,2024-01-25 23:59:59.999,ONDO,1d,0.25659,0.22346,0.26581,0.214,25624338.0,5380,ONDO,0.32484,0.18776,0.25630000000000003,,,,,,,,,,,,,,,,,,,,,,,,
1706227200000,2024-01-26 23:59:59.999,ONDO,1d,0.22353,0.22773,0.2391,0.20814,14824384.0,3984,ONDO,0.32484,0.19955,0.262195,,,,,,,,,,,,,,,,,,,,,,,,
1706313600000,2024-01-27 23:59:59.999,ONDO,1d,0.22764,0.26406,0.27702,0.22169,18970005.0,4243,ONDO,0.27702,0.19955,0.238285,,,,,,,,,,,,,,,,,,,,,,,,
1706400000000,2024-01-28 23:59:59.999,ONDO,1d,0.26427,0.25664,0.29423,0.24249,14171317.0,3851,ONDO,0.29423,0.20814,0.251185,,,,,,,,,,,,,,,,,,,,,,,,
1706486400000,2024-01-29 23:59:59.999,ONDO,1d,0.25616,0.26696,0.28053,0.24264,13604107.0,3630,ONDO,0.29423,0.20814,0.251185,0.32484,0.18726,0.25605,,,,,,,,,,,,,,,,,,,,,
1706572800000,2024-01-30 23:59:59.999,ONDO,1d,0.26762,0.23966,0.27414,0.23569,10478890.0,3133,ONDO,0.29423,0.20814,0.251185,0.32484,0.18776,0.25630000000000003,,,,,,,,,,,,,,,,,,,,,
1706659200000,2024-01-31 23:59:59.999,ONDO,1d,0.23979,0.21593,0.24,0.21,12784635.0,3597,ONDO,0.29423,0.21,0.252115,0.32484,0.19955,0.262195,,,,,,,,,,,,,,,,,,,,,
1706745600000,2024-02-01 23:59:59.999,ONDO,1d,0.21657,0.20921,0.22041,0.1971,12396206.0,3167,ONDO,0.29423,0.1971,0.245665,0.29423,0.1971,0.245665,,,,,,,,,,,,,,,,,,,,,
1706832000000,2024-02-02 23:59:59.999,ONDO,1d,0.20959,0.22189,0.22712,0.20463,13095385.0,3857,ONDO,0.28053,0.1971,0.238815,0.29423,0.1971,0.245665,,,,,,,,,,,,,,,,,,,,,
1706918400000,2024-02-03 23:59:59.999,ONDO,1d,0.22225,0.20749,0.22349,0.20616,5548107.0,2884,ONDO,0.27414,0.1971,0.23562,0.29423,0.1971,0.245665,,,,,,,,,,,,,,,,,,,,,
1707004800000,2024-02-04 23:59:59.999,ONDO,1d,0.20732,0.20687,0.21804,0.20051,4255916.0,3095,ONDO,0.24,0.1971,0.21855,0.29423,0.1971,0.245665,,,,,,,,,,,,,,,,,,,,,
1707091200000,2024-02-05 23:59:59.999,ONDO,1d,0.20712,0.21337,0.23088,0.20299,13794862.0,3529,ONDO,0.23088,0.1971,0.21399,0.29423,0.1971,0.245665,,,,,,,,,,,,,,,,,,,,,
1707177600000,2024-02-06 23:59:59.999,ONDO,1d,0.21343,0.22341,0.23739,0.21027,19166406.0,4774,ONDO,0.23739,0.20051,0.21894999999999998,0.29423,0.1971,0.245665,,,,,,,,,,,,,,,,,,,,,
1707264000000,2024-02-07 23:59:59.999,ONDO,1d,0.22398,0.24212,0.24458,0.21891,15477446.0,4753,ONDO,0.24458,0.20051,0.222545,0.28053,0.1971,0.238815,,,,,,,,,,,,,,,,,,,,,
1707350400000,2024-02-08 23:59:59.999,ONDO,1d,0.24148,0.22834,0.24931,0.225,13346864.0,3576,ONDO,0.24931,0.20051,0.22491,0.27414,0.1971,0.23562,0.32484,0.18726,0.25605,,,,,,,,,,,,,,,,,,
1707436800000,2024-02-09 23:59:59.999,ONDO,1d,0.22848,0.22269,0.24027,0.22067,13054388.0,3625,ONDO,0.24931,0.20299,0.22615000000000002,0.24931,0.1971,0.223205,0.32484,0.18776,0.25630000000000003,,,,,,,,,,,,,,,,,,
1707523200000,2024-02-10 23:59:59.999,ONDO,1d,0.22353,0.2232,0.23052,0.21956,7546255.0,2858,ONDO,0.24931,0.21027,0.22979,0.24931,0.1971,0.223205,0.32484,0.1971,0.26097000000000004,,,,,,,,,,,,,,,,,,
1707609600000,2024-02-11 23:59:59.999,ONDO,1d,0.22389,0.24115,0.2458,0.22389,11438870.0,3367,ONDO,0.24931,0.21891,0.23410999999999998,0.24931,0.20051,0.22491,0.29423,0.1971,0.245665,,,,,,,,,,,,,,,,,,
1707696000000,2024-02-12 23:59:59.999,ONDO,1d,0.24098,0.24313,0.24852,0.22223,19630074.0,5049,ONDO,0.24931,0.21956,0.234435,0.24931,0.20051,0.22491,0.29423,0.1971,0.245665,,,,,,,,,,,,,,,,,,
1707782400000,2024-02-13 23:59:59.999,ONDO,1d,0.24301,0.25042,0.26467,0.23521,26584670.0,6337,ONDO,0.26467,0.21956,0.24211500000000002,0.26467,0.20051,0.23259000000000002,0.29423,0.1971,0.245665,,,,,,,,,,,,,,,,,,
1707868800000,2024-02-14 23:59:59.999,ONDO,1d,0.25047,0.28669,0.28806,0.24592,22909368.0,6192,ONDO,0.28806,0.21956,0.25381,0.28806,0.20299,0.245525,0.29423,0.1971,0.245665,,,,,,,,,,,,,,,,,,
1707955200000,2024-02-15 23:59:59.999,ONDO,1d,0.28671,0.26094,0.3101,0.25101,27573104.0,6755,ONDO,0.3101,0.22223,0.266165,0.3101,0.21027,0.260185,0.3101,0.1971,0.2536,,,,,,,,,,,,,,,,,,
1708041600000,2024-02-16 23:59:59.999,ONDO,1d,0.2609,0.26204,0.27473,0.24435,14977443.0,4939,ONDO,0.3101,0.22223,0.266165,0.3101,0.21891,0.264505,0.3101,0.1971,0.2536,,,,,,,,,,,,,,,,,,
1708128000000,2024-02-17 23:59:59.999,ONDO,1d,0.26183,0.25279,0.26717,0.23478,7190134.0,3985,ONDO,0.3101,0.23478,0.27244,0.3101,0.21956,0.26483,0.3101,0.1971,0.2536,,,,,,,,,,,,,,,,,,
1708214400000,2024-02-18 23:59:59.999,ONDO,1d,0.25241,0.26911,0.28278,0.24928,12715914.0,4993,ONDO,0.3101,0.23478,0.27244,0.3101,0.21956,0.26483,0.3101,0.1971,0.2536,0.32484,0.18726,0.25605,,,,,,,,,,,,,,,
1708300800000,2024-02-19 23:59:59.999,ONDO,1d,0.26975,0.34825,0.35491,0.26679,22033769.0,7333,ONDO,0.35491,0.23478,0.294845,0.35491,0.21956,0.287235,0.35491,0.1971,0.276005,0.35491,0.18776,0.271335,,,,,,,,,,,,,,,
1708387200000,2024-02-20 23:59:59.999,ONDO,1d,0.34911,0.34496,0.36536,0.31,21401731.0,7568,ONDO,0.36536,0.23478,0.30007,0.36536,0.22223,0.29379500000000003,0.36536,0.1971,0.28123,0.36536,0.1971,0.28123,,,,,,,,,,,,,,,
1708473600000,2024-02-21 23:59:59.999,ONDO,1d,0.34403,0.37074,0.38103,0.3008,17081435.0,6685,ONDO,0.38103,0.23478,0.307905,0.38103,0.22223,0.30163,0.38103,0.20051,0.29077,0.38103,0.1971,0.289065,,,,,,,,,,,,,,,
1708560000000,2024-02-22 23:59:59.999,ONDO,1d,0.36903,0.43402,0.4648,0.34946,22359674.0,12203,ONDO,0.4648,0.24928,0.35704,0.4648,0.23478,0.34979,0.4648,0.20051,0.332655,0.4648,0.1971,0.33094999999999997,,,,,,,,,,,,,,,
1708646400000,2024-02-23 23:59:59.999,ONDO,1d,0.43416,0.4127,0.45606,0.38114,30492934.0,14104,ONDO,0.4648,0.26679,0.365795,0.4648,0.23478,0.34979,0.4648,0.20051,0.332655,0.4648,0.1971,0.33094999999999997,,,,,,,,,,,,,,,
1708732800000,2024-02-24 23:59:59.999,ONDO,1d,0.41294,0.42011,0.43959,0.39049,16399858.0,6937,ONDO,0.4648,0.3008,0.38280000000000003,0.4648,0.23478,0.34979,0.4648,0.20299,0.333895,0.4648,0.1971,0.33094999999999997,,,,,,,,,,,,,,,
1708819200000,2024-02-25 23:59:59.999,ONDO,1d,0.41945,0.42044,0.46377,0.41216,13359589.0,8365,ONDO,0.4648,0.3008,0.38280000000000003,0.4648,0.23478,0.34979,0.4648,0.21027,0.33753500000000003,0.4648,0.1971,0.33094999999999997,,,,,,,,,,,,,,,
1708905600000,2024-02-26 23:59:59.999,ONDO,1d,0.42092,0.42948,0.44351,0.39651,15410359.0,8099,ONDO,0.4648,0.34946,0.40713,0.4648,0.23478,0.34979,0.4648,0.21891,0.341855,0.4648,0.1971,0.33094999999999997,,,,,,,,,,,,,,,
1708992000000,2024-02-27 23:59:59.999,ONDO,1d,0.43058,0.44245,0.48014,0.41419,17992950.0,9486,ONDO,0.48014,0.38114,0.43064,0.48014,0.24928,0.36471,0.48014,0.21956,0.34985,0.48014,0.1971,0.33862000000000003,,,,,,,,,,,,,,,
1709078400000,2024-02-28 23:59:59.999,ONDO,1d,0.44292,0.40623,0.44545,0.25691,28278563.0,14216,ONDO,0.48014,0.25691,0.368525,0.48014,0.25691,0.368525,0.48014,0.21956,0.34985,0.48014,0.1971,0.33862000000000003,,,,,,,,,,,,,,,
1709164800000,2024-02-29 23:59:59.999,ONDO,1d,0.4067,0.43075,0.4901,0.35533,19743020.0,12278,ONDO,0.4901,0.25691,0.373505,0.4901,0.25691,0.373505,0.4901,0.21956,0.35483,0.4901,0.1971,0.3436,,,,,,,,,,,,,,,
1709251200000,2024-03-01 23:59:59.999,ONDO,1d,0.43086,0.50526,0.5412,0.42461,29794322.0,12935,ONDO,0.5412,0.25691,0.39905500000000005,0.5412,0.25691,0.39905500000000005,0.5412,0.22223,0.381715,0.5412,0.1971,0.36915,,,,,,,,,,,,,,,
1709337600000,2024-03-02 23:59:59.999,ONDO,1d,0.50582,0.48873,0.52644,0.47085,11283758.0,6449,ONDO,0.5412,0.25691,0.39905500000000005,0.5412,0.25691,0.39905500000000005,0.5412,0.22223,0.381715,0.5412,0.20051,0.370855,,,,,,,,,,,,,,,
1709424000000,2024-03-03 23:59:59.999,ONDO,1d,0.48904,0.50299,0.54325,0.44,9495452.0,5743,ONDO,0.54325,0.25691,0.40008,0.54325,0.25691,0.40008,0.54325,0.23478,0.389015,0.54325,0.20051,0.37188,,,,,,,,,,,,,,,
1709510400000,2024-03-04 23:59:59.999,ONDO,1d,0.50193,0.48814,0.54213,0.47,12151288.0,6986,ONDO,0.54325,0.35533,0.44928999999999997,0.54325,0.25691,0.40008,0.54325,0.23478,0.389015,0.54325,0.20051,0.37188,,,,,,,,,,,,,,,
1709596800000,2024-03-05 23:59:59.999,ONDO,1d,0.48981,0.51414,0.52587,0.40124,20903579.0,11913,ONDO,0.54325,0.40124,0.472245,0.54325,0.25691,0.40008,0.54325,0.23478,0.389015,0.54325,0.20299,0.37312,,,,,,,,,,,,,,,
1709683200000,2024-03-06 23:59:59.999,ONDO,1d,0.51636,0.57616,0.5789,0.47764,15264515.0,6840,ONDO,0.5789,0.40124,0.49007,0.5789,0.25691,0.41790499999999997,0.5789,0.23478,0.40684,0.5789,0.21027,0.39458499999999996,,,,,,,,,,,,,,,
1709769600000,2024-03-07 23:59:59.999,ONDO,1d,0.57864,0.60313,0.61182,0.55266,7621142.0,5877,ONDO,0.61182,0.40124,0.50653,0.61182,0.25691,0.434365,0.61182,0.23478,0.4233,0.61182,0.21891,0.415365,,,,,,,,,,,,,,,
