t,timestamp,s,i,open,close,high,low,volume,n,asset
1688601600000,2023-07-06 23:59:59.999,OP,1d,1.2333,1.1854,1.2797,1.1828,764402.2,2987,OP
1688688000000,2023-07-07 23:59:59.999,OP,1d,1.1843,1.2251,1.2259,1.1718,378866.5,2841,OP
1688774400000,2023-07-08 23:59:59.999,OP,1d,1.226,1.2158,1.2357,1.1895,280823.3,2598,OP
1688860800000,2023-07-09 23:59:59.999,OP,1d,1.2159,1.2133,1.2295,1.2011,243280.8,2621,OP
1688947200000,2023-07-10 23:59:59.999,OP,1d,1.2135,1.1994,1.2262,1.1563,449706.2,2675,OP
1689033600000,2023-07-11 23:59:59.999,OP,1d,1.1993,1.2243,1.2438,1.1905,352146.4,2647,OP
1689120000000,2023-07-12 23:59:59.999,OP,1d,1.2234,1.2159,1.2699,1.191,298912.7,2551,OP
1689206400000,2023-07-13 23:59:59.999,OP,1d,1.2161,1.3726,1.4269,1.2062,351902.0,2561,OP
1689292800000,2023-07-14 23:59:59.999,OP,1d,1.3731,1.4568,1.6369,1.3628,1117411.3,2945,OP
1689379200000,2023-07-15 23:59:59.999,OP,1d,1.4508,1.4599,1.5498,1.4375,968942.3,3043,OP
1689465600000,2023-07-16 23:59:59.999,OP,1d,1.4586,1.4916,1.514,1.4034,275576.2,2648,OP
1689552000000,2023-07-17 23:59:59.999,OP,1d,1.4868,1.4815,1.5463,1.4138,270661.4,2635,OP
1689638400000,2023-07-18 23:59:59.999,OP,1d,1.4838,1.4303,1.5586,1.4131,272238.2,2690,OP
1689724800000,2023-07-19 23:59:59.999,OP,1d,1.4306,1.5652,1.6327,1.4186,540984.9,2788,OP
1689811200000,2023-07-20 23:59:59.999,OP,1d,1.5653,1.5347,1.6069,1.5112,264037.7,2805,OP
1689897600000,2023-07-21 23:59:59.999,OP,1d,1.5316,1.5085,1.5569,1.5011,251258.5,2610,OP
1689984000000,2023-07-22 23:59:59.999,OP,1d,1.5088,1.5676,1.5897,1.5073,195577.8,2644,OP
1690070400000,2023-07-23 23:59:59.999,OP,1d,1.5675,1.5812,1.6488,1.5397,245477.5,2635,OP
1690156800000,2023-07-24 23:59:59.999,OP,1d,1.5823,1.5085,1.5868,1.4937,312510.6,2594,OP
1690243200000,2023-07-25 23:59:59.999,OP,1d,1.5087,1.45,1.5224,1.4442,169620.9,2650,OP
1690329600000,2023-07-26 23:59:59.999,OP,1d,1.4498,1.5132,1.544,1.427,413825.1,2811,OP
1690416000000,2023-07-27 23:59:59.999,OP,1d,1.5126,1.4969,1.5679,1.4888,565667.4,2677,OP
1690502400000,2023-07-28 23:59:59.999,OP,1d,1.4947,1.4768,1.5054,1.4616,323825.5,2613,OP
1690588800000,2023-07-29 23:59:59.999,OP,1d,1.4754,1.5088,1.517,1.4735,248382.6,2612,OP
1690675200000,2023-07-30 23:59:59.999,OP,1d,1.5091,1.62,1.6313,1.4962,700812.3,2937,OP
1690761600000,2023-07-31 23:59:59.999,OP,1d,1.619,1.6144,1.7488,1.6056,448355.5,2590,OP
1690848000000,2023-08-01 23:59:59.999,OP,1d,1.6132,1.6506,1.6543,1.5554,587770.6,3007,OP
1690934400000,2023-08-02 23:59:59.999,OP,1d,1.6514,1.6378,1.6773,1.6073,338751.8,2604,OP
1691020800000,2023-08-03 23:59:59.999,OP,1d,1.636,1.7145,1.7488,1.636,705211.0,3150,OP
1691107200000,2023-08-04 23:59:59.999,OP,1d,1.7133,1.6851,1.7506,1.6754,415945.8,2899,OP
1691193600000,2023-08-05 23:59:59.999,OP,1d,1.6856,1.688,1.7221,1.6521,322360.9,2640,OP
1691280000000,2023-08-06 23:59:59.999,OP,1d,1.689,1.7019,1.7286,1.6726,525945.7,2852,OP
1691366400000,2023-08-07 23:59:59.999,OP,1d,1.7025,1.7982,1.8061,1.6752,533539.5,2956,OP
1691452800000,2023-08-08 23:59:59.999,OP,1d,1.8,1.6797,1.8277,1.6637,576459.4,2902,OP
1691539200000,2023-08-09 23:59:59.999,OP,1d,1.6792,1.5508,1.7042,1.5224,781223.1,3161,OP
1691625600000,2023-08-10 23:59:59.999,OP,1d,1.5516,1.58,1.6006,1.5472,317890.1,2781,OP
1691712000000,2023-08-11 23:59:59.999,OP,1d,1.58,1.5882,1.605,1.5736,376273.6,2697,OP
1691798400000,2023-08-12 23:59:59.999,OP,1d,1.5888,1.5504,1.5983,1.5393,241241.9,2636,OP
1691884800000,2023-08-13 23:59:59.999,OP,1d,1.5504,1.539,1.5657,1.5258,161857.2,2540,OP
1691971200000,2023-08-14 23:59:59.999,OP,1d,1.5369,1.5298,1.5764,1.5061,216299.8,2635,OP
1692057600000,2023-08-15 23:59:59.999,OP,1d,1.5306,1.4702,1.5359,1.3979,216967.5,2631,OP
1692144000000,2023-08-16 23:59:59.999,OP,1d,1.4699,1.4105,1.4906,1.3725,467503.3,2788,OP
