t,timestamp,s,i,open,close,high,low,volume,n,asset
1697155200000,2023-10-13 23:59:59.999,ORBS,1d,0.03202,0.030865,0.032047,0.030345,1769250.0,372,ORBS
1697241600000,2023-10-14 23:59:59.999,ORBS,1d,0.030764,0.03763,0.039849,0.02933,13256535.0,2052,ORBS
1697328000000,2023-10-15 23:59:59.999,ORBS,1d,0.037622,0.037848,0.050302,0.037216,4368754.0,1756,ORBS
1697414400000,2023-10-16 23:59:59.999,ORBS,1d,0.037894,0.036427,0.041576,0.03408,3022365.0,1859,ORBS
1697500800000,2023-10-17 23:59:59.999,ORBS,1d,0.036437,0.059658,0.062146,0.036276,2118650.0,1636,ORBS
1697587200000,2023-10-18 23:59:59.999,ORBS,1d,0.059492,0.040966,0.07089,0.035324,3755529.0,1519,ORBS
1697673600000,2023-10-19 23:59:59.999,ORBS,1d,0.041414,0.043747,0.048645,0.036026,8345388.0,1800,ORBS
1697760000000,2023-10-20 23:59:59.999,ORBS,1d,0.04379,0.042685,0.045554,0.040459,3670468.0,1932,ORBS
1697846400000,2023-10-21 23:59:59.999,ORBS,1d,0.04259,0.044678,0.045849,0.04054,6881770.0,1923,ORBS
1697932800000,2023-10-22 23:59:59.999,ORBS,1d,0.04531,0.048124,0.050882,0.043771,12881081.0,2218,ORBS
1698019200000,2023-10-23 23:59:59.999,ORBS,1d,0.04826,0.047429,0.049668,0.044421,15659132.0,1869,ORBS
1698105600000,2023-10-24 23:59:59.999,ORBS,1d,0.047409,0.042222,0.048392,0.040932,21314671.0,2365,ORBS
1698192000000,2023-10-25 23:59:59.999,ORBS,1d,0.042179,0.03939,0.043157,0.038082,38925095.0,2850,ORBS
1698278400000,2023-10-26 23:59:59.999,ORBS,1d,0.039054,0.040358,0.043024,0.037584,29621913.0,2721,ORBS
1698364800000,2023-10-27 23:59:59.999,ORBS,1d,0.040395,0.03974,0.040674,0.038343,29234088.0,2603,ORBS
1698451200000,2023-10-28 23:59:59.999,ORBS,1d,0.039711,0.040782,0.04097,0.039294,14227684.0,2150,ORBS
1698537600000,2023-10-29 23:59:59.999,ORBS,1d,0.040876,0.041261,0.041301,0.039407,13369742.0,2184,ORBS
1698624000000,2023-10-30 23:59:59.999,ORBS,1d,0.041296,0.048516,0.048742,0.040655,12807877.0,2139,ORBS
1698710400000,2023-10-31 23:59:59.999,ORBS,1d,0.048634,0.044518,0.050805,0.041949,15769879.0,2429,ORBS
1698796800000,2023-11-01 23:59:59.999,ORBS,1d,0.044519,0.043127,0.044869,0.040548,16299746.0,2203,ORBS
1698883200000,2023-11-02 23:59:59.999,ORBS,1d,0.043127,0.04074,0.043184,0.039457,16900378.0,2234,ORBS
1698969600000,2023-11-03 23:59:59.999,ORBS,1d,0.040674,0.040312,0.040695,0.038202,17582292.0,2326,ORBS
