t,timestamp,s,i,open,close,high,low,volume,n,asset
1699315200000,2023-11-07 23:59:59.999,ORDI,1d,10.984,13.553,14.081,10.984,83374.33,694,ORDI
1699401600000,2023-11-08 23:59:59.999,ORDI,1d,13.551,12.591,14.479,11.813,196364.77,1734,ORDI
1699488000000,2023-11-09 23:59:59.999,ORDI,1d,12.609,19.273,19.822,12.139,212477.16,1953,ORDI
1699574400000,2023-11-10 23:59:59.999,ORDI,1d,19.303,19.828,21.855,17.449,74796.02,1738,ORDI
1699660800000,2023-11-11 23:59:59.999,ORDI,1d,19.84,18.859,22.618,16.429,75216.9,1609,ORDI
1699747200000,2023-11-12 23:59:59.999,ORDI,1d,19.227,21.718,23.82,17.674,83424.44,1696,ORDI
1699833600000,2023-11-13 23:59:59.999,ORDI,1d,21.724,19.849,24.074,19.73,43003.87,1670,ORDI
1699920000000,2023-11-14 23:59:59.999,ORDI,1d,19.817,21.981,22.711,18.138,58044.1,2133,ORDI
1700006400000,2023-11-15 23:59:59.999,ORDI,1d,22.014,24.653,24.966,21.15,42386.87,2058,ORDI
1700092800000,2023-11-16 23:59:59.999,ORDI,1d,24.877,24.208,27.765,23.558,110670.05,2175,ORDI
1700179200000,2023-11-17 23:59:59.999,ORDI,1d,24.171,25.698,25.96,22.375,76779.14,1950,ORDI
1700265600000,2023-11-18 23:59:59.999,ORDI,1d,25.67,24.099,26.46,23.115,68479.3,1800,ORDI
1700352000000,2023-11-19 23:59:59.999,ORDI,1d,24.053,23.265,24.212,21.391,98631.25,1837,ORDI
1700438400000,2023-11-20 23:59:59.999,ORDI,1d,23.253,21.571,23.878,21.539,96572.67,1987,ORDI
1700524800000,2023-11-21 23:59:59.999,ORDI,1d,21.546,19.115,22.22,18.494,317231.52,2591,ORDI
1700611200000,2023-11-22 23:59:59.999,ORDI,1d,19.112,22.368,22.623,19.058,92536.3,1906,ORDI
1700697600000,2023-11-23 23:59:59.999,ORDI,1d,22.365,21.979,23.8,21.522,53166.32,1746,ORDI
1700784000000,2023-11-24 23:59:59.999,ORDI,1d,21.996,20.957,22.504,20.411,76068.19,2067,ORDI
1700870400000,2023-11-25 23:59:59.999,ORDI,1d,20.878,22.2,22.2,20.564,41424.5,1990,ORDI
1700956800000,2023-11-26 23:59:59.999,ORDI,1d,22.188,20.18,22.364,19.337,100140.77,2311,ORDI
1701043200000,2023-11-27 23:59:59.999,ORDI,1d,20.193,19.558,20.414,18.48,135655.45,2258,ORDI
1701129600000,2023-11-28 23:59:59.999,ORDI,1d,19.591,20.374,20.752,19.214,92597.17,2200,ORDI
1701216000000,2023-11-29 23:59:59.999,ORDI,1d,20.354,19.545,21.582,19.206,67098.33,2142,ORDI
1701302400000,2023-11-30 23:59:59.999,ORDI,1d,19.551,20.485,20.862,19.198,54177.93,2153,ORDI
1701388800000,2023-12-01 23:59:59.999,ORDI,1d,20.51,21.886,22.014,20.201,71791.44,2222,ORDI
1701475200000,2023-12-02 23:59:59.999,ORDI,1d,21.901,32.02,33.294,21.901,193149.46,4004,ORDI
1701561600000,2023-12-03 23:59:59.999,ORDI,1d,32.059,37.745,38.407,31.042,191899.36,3430,ORDI
1701648000000,2023-12-04 23:59:59.999,ORDI,1d,37.862,52.286,54.821,36.795,233803.85,4936,ORDI
1701734400000,2023-12-05 23:59:59.999,ORDI,1d,52.348,61.112,65.884,46.703,176947.49,4586,ORDI
1701820800000,2023-12-06 23:59:59.999,ORDI,1d,61.277,54.049,69.787,41.057,296647.65,9324,ORDI
1701907200000,2023-12-07 23:59:59.999,ORDI,1d,54.006,50.743,58.877,47.697,244280.7,8367,ORDI
1701993600000,2023-12-08 23:59:59.999,ORDI,1d,50.917,51.279,54.298,46.41,146224.71,3708,ORDI
1702080000000,2023-12-09 23:59:59.999,ORDI,1d,51.245,50.943,56.702,50.751,150361.05,3246,ORDI
1702166400000,2023-12-10 23:59:59.999,ORDI,1d,50.93,51.693,53.446,48.837,75907.46,2265,ORDI
1702252800000,2023-12-11 23:59:59.999,ORDI,1d,51.693,46.809,53.217,44.686,343734.67,4941,ORDI
1702339200000,2023-12-12 23:59:59.999,ORDI,1d,46.792,51.816,57.877,46.497,230684.76,4658,ORDI
1702425600000,2023-12-13 23:59:59.999,ORDI,1d,51.611,50.92,52.492,45.943,131654.12,3718,ORDI
1702512000000,2023-12-14 23:59:59.999,ORDI,1d,50.914,64.319,68.029,50.784,258760.23,8236,ORDI
1702598400000,2023-12-15 23:59:59.999,ORDI,1d,64.461,51.358,67.596,50.903,162943.19,4961,ORDI
1702684800000,2023-12-16 23:59:59.999,ORDI,1d,51.367,52.341,55.129,49.265,110342.71,3415,ORDI
1702771200000,2023-12-17 23:59:59.999,ORDI,1d,52.258,49.143,53.458,47.75,105424.57,2785,ORDI
1702857600000,2023-12-18 23:59:59.999,ORDI,1d,49.183,51.304,52.454,45.198,140822.9,4108,ORDI
1702944000000,2023-12-19 23:59:59.999,ORDI,1d,51.237,49.466,54.796,48.398,114274.95,3976,ORDI
1703030400000,2023-12-20 23:59:59.999,ORDI,1d,49.457,53.81,55.113,49.213,112190.76,3753,ORDI
1703116800000,2023-12-21 23:59:59.999,ORDI,1d,53.569,52.853,59.369,50.733,131867.58,3962,ORDI
1703203200000,2023-12-22 23:59:59.999,ORDI,1d,52.954,52.117,54.816,50.223,70101.99,2517,ORDI
1703289600000,2023-12-23 23:59:59.999,ORDI,1d,52.033,51.408,53.933,48.398,48581.28,2635,ORDI
1703376000000,2023-12-24 23:59:59.999,ORDI,1d,51.393,52.308,58.049,50.25,74291.74,3318,ORDI
1703462400000,2023-12-25 23:59:59.999,ORDI,1d,52.339,75.388,78.21,51.63,82822.89,7538,ORDI
1703548800000,2023-12-26 23:59:59.999,ORDI,1d,75.272,68.252,83.179,62.072,111045.42,8241,ORDI
1703635200000,2023-12-27 23:59:59.999,ORDI,1d,68.297,71.411,75.309,65.67,91882.64,4688,ORDI
1703721600000,2023-12-28 23:59:59.999,ORDI,1d,71.343,70.624,76.75,66.469,62084.8,3860,ORDI
1703808000000,2023-12-29 23:59:59.999,ORDI,1d,70.9,76.539,83.291,68.818,86249.63,5294,ORDI
1703894400000,2023-12-30 23:59:59.999,ORDI,1d,76.541,79.085,84.124,74.066,72380.16,4895,ORDI
1703980800000,2023-12-31 23:59:59.999,ORDI,1d,79.108,78.465,84.493,76.641,53500.05,3116,ORDI
1704067200000,2024-01-01 23:59:59.999,ORDI,1d,78.512,78.178,81.665,74.254,55506.19,3205,ORDI
1704153600000,2024-01-02 23:59:59.999,ORDI,1d,78.031,83.31,92.116,77.875,150497.74,7071,ORDI
