t,timestamp,s,i,open,close,high,low,volume,n,asset
1688601600000,2023-07-06 23:59:59.999,OX,1d,0.031783,0.02834,0.033637,0.028335,0.0,0,OX
1688688000000,2023-07-07 23:59:59.999,OX,1d,0.02834,0.028108,0.029317,0.026871,0.0,0,OX
1688774400000,2023-07-08 23:59:59.999,OX,1d,0.028108,0.028008,0.028691,0.026954,0.0,0,OX
1688860800000,2023-07-09 23:59:59.999,OX,1d,0.028008,0.027846,0.029002,0.027236,0.0,0,OX
1688947200000,2023-07-10 23:59:59.999,OX,1d,0.027846,0.028546,0.029331,0.0274,0.0,0,OX
1689033600000,2023-07-11 23:59:59.999,OX,1d,0.028546,0.028002,0.028793,0.027111,0.0,0,OX
1689120000000,2023-07-12 23:59:59.999,OX,1d,0.028002,0.028066,0.029251,0.027393,0.0,0,OX
1689206400000,2023-07-13 23:59:59.999,OX,1d,0.028066,0.031484,0.035241,0.026931,0.0,0,OX
1689292800000,2023-07-14 23:59:59.999,OX,1d,0.031484,0.029849,0.032603,0.028651,0.0,0,OX
1689379200000,2023-07-15 23:59:59.999,OX,1d,0.029849,0.029625,0.03048,0.029018,0.0,0,OX
1689465600000,2023-07-16 23:59:59.999,OX,1d,0.029625,0.029594,0.030842,0.029333,0.0,0,OX
1689552000000,2023-07-17 23:59:59.999,OX,1d,0.029594,0.032376,0.034353,0.028828,0.0,0,OX
1689638400000,2023-07-18 23:59:59.999,OX,1d,0.032376,0.039841,0.043753,0.031633,0.0,0,OX
1689724800000,2023-07-19 23:59:59.999,OX,1d,0.039841,0.044614,0.047346,0.039022,0.0,0,OX
1689811200000,2023-07-20 23:59:59.999,OX,1d,0.044614,0.040169,0.0467,0.038513,0.0,0,OX
1689897600000,2023-07-21 23:59:59.999,OX,1d,0.040169,0.03826,0.043786,0.037746,0.0,0,OX
1689984000000,2023-07-22 23:59:59.999,OX,1d,0.03826,0.035767,0.039947,0.034463,0.0,0,OX
1690070400000,2023-07-23 23:59:59.999,OX,1d,0.035767,0.037124,0.039406,0.034474,0.0,0,OX
1690156800000,2023-07-24 23:59:59.999,OX,1d,0.037123,0.034589,0.0379,0.032541,0.0,0,OX
1690243200000,2023-07-25 23:59:59.999,OX,1d,0.034589,0.037278,0.038311,0.0335,0.0,0,OX
1690329600000,2023-07-26 23:59:59.999,OX,1d,0.037278,0.040365,0.044939,0.03671,0.0,0,OX
1690416000000,2023-07-27 23:59:59.999,OX,1d,0.040365,0.040768,0.045099,0.038531,0.0,0,OX
1690502400000,2023-07-28 23:59:59.999,OX,1d,0.040768,0.04221,0.043712,0.039343,0.0,0,OX
1690588800000,2023-07-29 23:59:59.999,OX,1d,0.04221,0.039662,0.043319,0.039396,0.0,0,OX
1690675200000,2023-07-30 23:59:59.999,OX,1d,0.039662,0.04156,0.050127,0.034823,0.0,0,OX
1690761600000,2023-07-31 23:59:59.999,OX,1d,0.041561,0.045101,0.057215,0.040576,0.0,0,OX
1690848000000,2023-08-01 23:59:59.999,OX,1d,0.045101,0.050235,0.052244,0.042516,0.0,0,OX
1690934400000,2023-08-02 23:59:59.999,OX,1d,0.050235,0.05474,0.062864,0.046247,0.0,0,OX
1691020800000,2023-08-03 23:59:59.999,OX,1d,0.05474,0.06125,0.092239,0.052642,0.0,0,OX
1691107200000,2023-08-04 23:59:59.999,OX,1d,0.06125,0.063042,0.069563,0.059156,0.0,0,OX
1691193600000,2023-08-05 23:59:59.999,OX,1d,0.063042,0.06551,0.069145,0.058756,0.0,0,OX
1691280000000,2023-08-06 23:59:59.999,OX,1d,0.06551,0.064545,0.076259,0.058781,0.0,0,OX
1691366400000,2023-08-07 23:59:59.999,OX,1d,0.064546,0.062355,0.072564,0.054429,0.0,0,OX
1691452800000,2023-08-08 23:59:59.999,OX,1d,0.062355,0.066119,0.072708,0.058056,0.0,0,OX
1691539200000,2023-08-09 23:59:59.999,OX,1d,0.066119,0.077303,0.083198,0.064283,0.0,0,OX
1691625600000,2023-08-10 23:59:59.999,OX,1d,0.077303,0.073333,0.081832,0.06639,0.0,0,OX
1691712000000,2023-08-11 23:59:59.999,OX,1d,0.073334,0.069173,0.075311,0.063236,0.0,0,OX
1691798400000,2023-08-12 23:59:59.999,OX,1d,0.069173,0.062889,0.071498,0.061705,0.0,0,OX
1691884800000,2023-08-13 23:59:59.999,OX,1d,0.062889,0.065941,0.067728,0.056205,0.0,0,OX
1691971200000,2023-08-14 23:59:59.999,OX,1d,0.065941,0.066449,0.067131,0.056269,0.0,0,OX
1692057600000,2023-08-15 23:59:59.999,OX,1d,0.066449,0.069834,0.073937,0.060068,0.0,0,OX
1692144000000,2023-08-16 23:59:59.999,OX,1d,0.069833,0.061198,0.071311,0.058236,0.0,0,OX
1692230400000,2023-08-17 23:59:59.999,OX,1d,0.05633,0.066681,0.067656,0.055998,111290.0,18,OX
1692316800000,2023-08-18 23:59:59.999,OX,1d,0.070775,0.0568,0.070781,0.0568,98773.0,74,OX
1692403200000,2023-08-19 23:59:59.999,OX,1d,0.055782,0.058956,0.062572,0.055782,151316.0,87,OX
1692489600000,2023-08-20 23:59:59.999,OX,1d,0.058909,0.060652,0.06249,0.058389,84522.0,62,OX
1692576000000,2023-08-21 23:59:59.999,OX,1d,0.058337,0.056232,0.058337,0.056164,13719.0,6,OX
1692662400000,2023-08-22 23:59:59.999,OX,1d,0.057034,0.051722,0.057148,0.046606,346958.0,19,OX
1692748800000,2023-08-23 23:59:59.999,OX,1d,0.053335,0.053011,0.053574,0.050924,211020.0,12,OX
1692835200000,2023-08-24 23:59:59.999,OX,1d,0.050277,0.050284,0.050284,0.050277,6500.0,2,OX
1692921600000,2023-08-25 23:59:59.999,OX,1d,0.0455,0.044352,0.049137,0.043806,420533.0,35,OX
1693008000000,2023-08-26 23:59:59.999,OX,1d,0.044491,0.053613,0.053613,0.043439,195602.0,96,OX
1693094400000,2023-08-27 23:59:59.999,OX,1d,0.053429,0.05251,0.054362,0.048874,242000.0,127,OX
