t,timestamp,s,i,open,close,high,low,volume,n,asset,donchian_high_5,donchian_low_5,donchian_mid_5,donchian_high_10,donchian_low_10,donchian_mid_10,donchian_high_20,donchian_low_20,donchian_mid_20,donchian_high_30,donchian_low_30,donchian_mid_30,donchian_high_60,donchian_low_60,donchian_mid_60,donchian_high_90,donchian_low_90,donchian_mid_90,donchian_high_150,donchian_low_150,donchian_mid_150,donchian_high_250,donchian_low_250,donchian_mid_250,donchian_high_360,donchian_low_360,donchian_mid_360
1706832000000,2024-02-02 23:59:59.999,PANDORA,1d,213.4,561.3,1419.7,210.1,0.0,0,PANDORA,,,,,,,,,,,,,,,,,,,,,,,,,,,
1706918400000,2024-02-03 23:59:59.999,PANDORA,1d,561.3,1152.1,1169.7,358.6,0.0,0,PANDORA,,,,,,,,,,,,,,,,,,,,,,,,,,,
1707004800000,2024-02-04 23:59:59.999,PANDORA,1d,1152.1,1590.5,1609.9,910.7,0.0,0,PANDORA,,,,,,,,,,,,,,,,,,,,,,,,,,,
1707091200000,2024-02-05 23:59:59.999,PANDORA,1d,1590.5,4414.7,5162.9,1532.8,0.0,0,PANDORA,,,,,,,,,,,,,,,,,,,,,,,,,,,
1707177600000,2024-02-06 23:59:59.999,PANDORA,1d,4414.7,7754.7,9912.5,4320.0,0.0,0,PANDORA,9912.5,210.1,5061.3,,,,,,,,,,,,,,,,,,,,,,,,
1707264000000,2024-02-07 23:59:59.999,PANDORA,1d,7754.7,14964.2,18924.5,7521.6,0.0,0,PANDORA,18924.5,358.6,9641.55,,,,,,,,,,,,,,,,,,,,,,,,
1707350400000,2024-02-08 23:59:59.999,PANDORA,1d,14964.2,25441.6,27929.7,14320.9,0.0,0,PANDORA,27929.7,910.7,14420.2,,,,,,,,,,,,,,,,,,,,,,,,
1707436800000,2024-02-09 23:59:59.999,PANDORA,1d,25583.0,22022.0,27111.0,21757.0,12.31165,411,PANDORA,27929.7,1532.8,14731.25,,,,,,,,,,,,,,,,,,,,,,,,
1707523200000,2024-02-10 23:59:59.999,PANDORA,1d,21873.0,22903.0,31811.0,12222.0,47.27694,1112,PANDORA,31811.0,4320.0,18065.5,,,,,,,,,,,,,,,,,,,,,,,,
1707609600000,2024-02-11 23:59:59.999,PANDORA,1d,22837.0,16000.0,25636.0,15615.0,14.74464,449,PANDORA,31811.0,7521.6,19666.3,31811.0,210.1,16010.55,,,,,,,,,,,,,,,,,,,,,
1707696000000,2024-02-12 23:59:59.999,PANDORA,1d,16100.0,24200.0,25500.0,13509.0,43.15413,1026,PANDORA,31811.0,12222.0,22016.5,31811.0,358.6,16084.8,,,,,,,,,,,,,,,,,,,,,
1707782400000,2024-02-13 23:59:59.999,PANDORA,1d,23823.0,22379.0,27185.0,18400.0,22.67271,556,PANDORA,31811.0,12222.0,22016.5,31811.0,910.7,16360.85,,,,,,,,,,,,,,,,,,,,,
1707868800000,2024-02-14 23:59:59.999,PANDORA,1d,22708.0,18000.0,23923.0,14800.0,21.85593,661,PANDORA,31811.0,12222.0,22016.5,31811.0,1532.8,16671.9,,,,,,,,,,,,,,,,,,,,,
1707955200000,2024-02-15 23:59:59.999,PANDORA,1d,17580.0,18244.0,20503.0,16270.0,2.92196,116,PANDORA,27185.0,13509.0,20347.0,31811.0,4320.0,18065.5,,,,,,,,,,,,,,,,,,,,,
1708041600000,2024-02-16 23:59:59.999,PANDORA,1d,16841.0,13712.0,17639.0,13536.0,12.88671,366,PANDORA,27185.0,13509.0,20347.0,31811.0,7521.6,19666.3,,,,,,,,,,,,,,,,,,,,,
1708128000000,2024-02-17 23:59:59.999,PANDORA,1d,14667.0,15269.0,16035.0,13500.0,2.23956,119,PANDORA,27185.0,13500.0,20342.5,31811.0,12222.0,22016.5,,,,,,,,,,,,,,,,,,,,,
1708214400000,2024-02-18 23:59:59.999,PANDORA,1d,15100.0,11820.0,15243.0,10868.0,16.56389,369,PANDORA,23923.0,10868.0,17395.5,31811.0,10868.0,21339.5,,,,,,,,,,,,,,,,,,,,,
1708300800000,2024-02-19 23:59:59.999,PANDORA,1d,11520.0,13627.0,15326.0,11464.0,18.8729,461,PANDORA,20503.0,10868.0,15685.5,31811.0,10868.0,21339.5,,,,,,,,,,,,,,,,,,,,,
1708387200000,2024-02-20 23:59:59.999,PANDORA,1d,13404.0,17500.0,18274.0,13402.0,31.53961,507,PANDORA,18274.0,10868.0,14571.0,27185.0,10868.0,19026.5,,,,,,,,,,,,,,,,,,,,,
