t,timestamp,s,i,open,close,high,low,volume,n,asset
1690502400000,2023-07-28 23:59:59.999,PENDLE,1d,0.7638,0.8151,0.8465,0.7493,0.0,0,PENDLE
1690588800000,2023-07-29 23:59:59.999,PENDLE,1d,0.815,0.741,0.8185,0.7272,0.0,0,PENDLE
1690675200000,2023-07-30 23:59:59.999,PENDLE,1d,0.7409,0.7075,0.7533,0.6817,0.0,0,PENDLE
1690761600000,2023-07-31 23:59:59.999,PENDLE,1d,0.7076,0.7257,0.7346,0.7066,0.0,0,PENDLE
1690848000000,2023-08-01 23:59:59.999,PENDLE,1d,0.7257,0.7428,0.748,0.6778,0.0,0,PENDLE
1690934400000,2023-08-02 23:59:59.999,PENDLE,1d,0.7429,0.7109,0.7472,0.7008,0.0,0,PENDLE
1691020800000,2023-08-03 23:59:59.999,PENDLE,1d,0.711,0.7039,0.7199,0.6969,0.0,0,PENDLE
1691107200000,2023-08-04 23:59:59.999,PENDLE,1d,0.7039,0.7024,0.7179,0.6905,0.0,0,PENDLE
1691193600000,2023-08-05 23:59:59.999,PENDLE,1d,0.7024,0.7058,0.714,0.6938,0.0,0,PENDLE
1691280000000,2023-08-06 23:59:59.999,PENDLE,1d,0.7058,0.7369,0.7525,0.7049,0.0,0,PENDLE
1691366400000,2023-08-07 23:59:59.999,PENDLE,1d,0.7369,0.7218,0.7511,0.6946,0.0,0,PENDLE
1691452800000,2023-08-08 23:59:59.999,PENDLE,1d,0.7221,0.7272,0.7309,0.7063,0.0,0,PENDLE
1691539200000,2023-08-09 23:59:59.999,PENDLE,1d,0.7273,0.7029,0.732,0.6934,0.0,0,PENDLE
1691625600000,2023-08-10 23:59:59.999,PENDLE,1d,0.7024,0.7012,0.7065,0.6884,0.0,0,PENDLE
1691712000000,2023-08-11 23:59:59.999,PENDLE,1d,0.7012,0.6978,0.7064,0.6904,0.0,0,PENDLE
1691798400000,2023-08-12 23:59:59.999,PENDLE,1d,0.6976,0.6972,0.7051,0.6928,0.0,0,PENDLE
1691884800000,2023-08-13 23:59:59.999,PENDLE,1d,0.6972,0.7108,0.72,0.6937,0.0,0,PENDLE
1691971200000,2023-08-14 23:59:59.999,PENDLE,1d,0.7109,0.7149,0.7305,0.7054,0.0,0,PENDLE
1692057600000,2023-08-15 23:59:59.999,PENDLE,1d,0.7149,0.6276,0.72,0.5877,0.0,0,PENDLE
1692144000000,2023-08-16 23:59:59.999,PENDLE,1d,0.6276,0.5973,0.636,0.58,0.0,0,PENDLE
1692230400000,2023-08-17 23:59:59.999,PENDLE,1d,0.5973,0.5156,0.6053,0.4627,0.0,0,PENDLE
1692316800000,2023-08-18 23:59:59.999,PENDLE,1d,0.5156,0.5414,0.5489,0.5156,0.0,0,PENDLE
1692403200000,2023-08-19 23:59:59.999,PENDLE,1d,0.5415,0.5496,0.5578,0.5333,0.0,0,PENDLE
1692489600000,2023-08-20 23:59:59.999,PENDLE,1d,0.5497,0.5547,0.5693,0.5275,0.0,0,PENDLE
1692576000000,2023-08-21 23:59:59.999,PENDLE,1d,0.5547,0.5388,0.5559,0.5166,0.0,0,PENDLE
1692662400000,2023-08-22 23:59:59.999,PENDLE,1d,0.5387,0.5337,0.543,0.5075,0.0,0,PENDLE
1692748800000,2023-08-23 23:59:59.999,PENDLE,1d,0.5336,0.5895,0.6621,0.5293,0.0,0,PENDLE
1692835200000,2023-08-24 23:59:59.999,PENDLE,1d,0.5896,0.5878,0.6118,0.567,0.0,0,PENDLE
1692921600000,2023-08-25 23:59:59.999,PENDLE,1d,0.5878,0.6075,0.6141,0.5707,0.0,0,PENDLE
1693008000000,2023-08-26 23:59:59.999,PENDLE,1d,0.6076,0.6,0.63,0.595,0.0,0,PENDLE
1693094400000,2023-08-27 23:59:59.999,PENDLE,1d,0.6,0.621,0.6279,0.5903,0.0,0,PENDLE
1693180800000,2023-08-28 23:59:59.999,PENDLE,1d,0.621,0.6115,0.6308,0.6051,0.0,0,PENDLE
1693267200000,2023-08-29 23:59:59.999,PENDLE,1d,0.6113,0.682,0.708,0.58,0.0,0,PENDLE
1693353600000,2023-08-30 23:59:59.999,PENDLE,1d,0.6825,0.6783,0.705,0.6551,0.0,0,PENDLE
1693440000000,2023-08-31 23:59:59.999,PENDLE,1d,0.6784,0.6316,0.6882,0.6261,0.0,0,PENDLE
1693526400000,2023-09-01 23:59:59.999,PENDLE,1d,0.6315,0.6581,0.6742,0.6239,0.0,0,PENDLE
1693612800000,2023-09-02 23:59:59.999,PENDLE,1d,0.6581,0.6088,0.6931,0.5944,0.0,0,PENDLE
1693699200000,2023-09-03 23:59:59.999,PENDLE,1d,0.6087,0.6114,0.6259,0.6004,0.0,0,PENDLE
1693785600000,2023-09-04 23:59:59.999,PENDLE,1d,0.6114,0.6129,0.6347,0.6041,0.0,0,PENDLE
1693872000000,2023-09-05 23:59:59.999,PENDLE,1d,0.6129,0.6039,0.6164,0.5906,0.0,0,PENDLE
1693958400000,2023-09-06 23:59:59.999,PENDLE,1d,0.6039,0.6078,0.6175,0.5835,0.0,0,PENDLE
1694044800000,2023-09-07 23:59:59.999,PENDLE,1d,0.6078,0.6067,0.6088,0.5835,0.0,0,PENDLE
1694131200000,2023-09-08 23:59:59.999,PENDLE,1d,0.6068,0.5925,0.614,0.5805,0.0,0,PENDLE
1694217600000,2023-09-09 23:59:59.999,PENDLE,1d,0.5929,0.6202,0.6316,0.5929,0.0,0,PENDLE
1694304000000,2023-09-10 23:59:59.999,PENDLE,1d,0.6205,0.5833,0.6206,0.5543,0.0,0,PENDLE
1694390400000,2023-09-11 23:59:59.999,PENDLE,1d,0.5833,0.5431,0.5858,0.5217,0.0,0,PENDLE
1694476800000,2023-09-12 23:59:59.999,PENDLE,1d,0.5431,0.5536,0.58,0.5431,0.0,0,PENDLE
1694563200000,2023-09-13 23:59:59.999,PENDLE,1d,0.5537,0.5614,0.5736,0.5457,0.0,0,PENDLE
1694649600000,2023-09-14 23:59:59.999,PENDLE,1d,0.5615,0.575,0.5854,0.561,0.0,0,PENDLE
1694736000000,2023-09-15 23:59:59.999,PENDLE,1d,0.575,0.607,0.6185,0.5709,0.0,0,PENDLE
1694822400000,2023-09-16 23:59:59.999,PENDLE,1d,0.6066,0.6238,0.6409,0.605,0.0,0,PENDLE
1694908800000,2023-09-17 23:59:59.999,PENDLE,1d,0.6234,0.5954,0.6247,0.585,0.0,0,PENDLE
1694995200000,2023-09-18 23:59:59.999,PENDLE,1d,0.5951,0.604,0.6201,0.5833,0.0,0,PENDLE
1695081600000,2023-09-19 23:59:59.999,PENDLE,1d,0.6037,0.6464,0.6546,0.5966,0.0,0,PENDLE
1695168000000,2023-09-20 23:59:59.999,PENDLE,1d,0.6464,0.6675,0.672,0.6319,0.0,0,PENDLE
1695254400000,2023-09-21 23:59:59.999,PENDLE,1d,0.6673,0.6475,0.6804,0.6396,0.0,0,PENDLE
1695340800000,2023-09-22 23:59:59.999,PENDLE,1d,0.6472,0.6654,0.6656,0.635,0.0,0,PENDLE
1695427200000,2023-09-23 23:59:59.999,PENDLE,1d,0.6653,0.6329,0.6699,0.6241,0.0,0,PENDLE
1695513600000,2023-09-24 23:59:59.999,PENDLE,1d,0.6328,0.6185,0.6361,0.6137,0.0,0,PENDLE
1695600000000,2023-09-25 23:59:59.999,PENDLE,1d,0.6185,0.6226,0.6264,0.6089,0.0,0,PENDLE
1695686400000,2023-09-26 23:59:59.999,PENDLE,1d,0.6226,0.6261,0.6315,0.6129,0.0,0,PENDLE
1695772800000,2023-09-27 23:59:59.999,PENDLE,1d,0.6261,0.6311,0.6477,0.6209,0.0,0,PENDLE
1695859200000,2023-09-28 23:59:59.999,PENDLE,1d,0.6315,0.7108,0.7199,0.6291,0.0,0,PENDLE
1695945600000,2023-09-29 23:59:59.999,PENDLE,1d,0.7109,0.7251,0.744,0.6951,0.0,0,PENDLE
1696032000000,2023-09-30 23:59:59.999,PENDLE,1d,0.7251,0.7203,0.7647,0.7063,0.0,0,PENDLE
1696118400000,2023-10-01 23:59:59.999,PENDLE,1d,0.7208,0.7636,0.7697,0.7185,0.0,0,PENDLE
1696204800000,2023-10-02 23:59:59.999,PENDLE,1d,0.7637,0.7159,0.7779,0.7045,0.0,0,PENDLE
1696291200000,2023-10-03 23:59:59.999,PENDLE,1d,0.716,0.6725,0.7223,0.6664,0.0,0,PENDLE
1696377600000,2023-10-04 23:59:59.999,PENDLE,1d,0.6725,0.6822,0.6976,0.642,0.0,0,PENDLE
1696464000000,2023-10-05 23:59:59.999,PENDLE,1d,0.6821,0.6598,0.6888,0.6585,0.0,0,PENDLE
1696550400000,2023-10-06 23:59:59.999,PENDLE,1d,0.66,0.6771,0.686,0.6517,0.0,0,PENDLE
1696636800000,2023-10-07 23:59:59.999,PENDLE,1d,0.6771,0.6783,0.6857,0.6636,0.0,0,PENDLE
1696723200000,2023-10-08 23:59:59.999,PENDLE,1d,0.6784,0.6796,0.6869,0.6645,0.0,0,PENDLE
