t,timestamp,s,i,open,close,high,low,volume,n,asset
1698105600000,2023-10-24 23:59:59.999,POLYX,1d,0.26471,0.25878,0.27557,0.24418,2502520.0,1018,POLYX
1698192000000,2023-10-25 23:59:59.999,POLYX,1d,0.25696,0.21138,0.31505,0.18833,6171607.0,2858,POLYX
1698278400000,2023-10-26 23:59:59.999,POLYX,1d,0.21141,0.26159,0.26468,0.21026,6751593.0,3363,POLYX
1698364800000,2023-10-27 23:59:59.999,POLYX,1d,0.26136,0.23803,0.28337,0.19015,4730988.0,2662,POLYX
1698451200000,2023-10-28 23:59:59.999,POLYX,1d,0.2388,0.27302,0.2802,0.22347,2474168.0,2219,POLYX
1698537600000,2023-10-29 23:59:59.999,POLYX,1d,0.27318,0.29117,0.3041,0.25755,1466855.0,2119,POLYX
1698624000000,2023-10-30 23:59:59.999,POLYX,1d,0.29139,0.40129,0.42805,0.29139,2110456.0,2477,POLYX
1698710400000,2023-10-31 23:59:59.999,POLYX,1d,0.40217,0.2495,0.42245,0.24129,3752438.0,3347,POLYX
1698796800000,2023-11-01 23:59:59.999,POLYX,1d,0.24873,0.23513,0.25388,0.22048,2938228.0,2325,POLYX
1698883200000,2023-11-02 23:59:59.999,POLYX,1d,0.23491,0.21966,0.23496,0.21086,3295763.0,1850,POLYX
1698969600000,2023-11-03 23:59:59.999,POLYX,1d,0.21901,0.23094,0.23392,0.20858,3585493.0,2395,POLYX
1699056000000,2023-11-04 23:59:59.999,POLYX,1d,0.23143,0.2331,0.2407,0.22402,3685468.0,2510,POLYX
1699142400000,2023-11-05 23:59:59.999,POLYX,1d,0.23282,0.22012,0.23282,0.21587,3924752.0,2585,POLYX
1699228800000,2023-11-06 23:59:59.999,POLYX,1d,0.22,0.21665,0.22024,0.20641,8527268.0,2456,POLYX
1699315200000,2023-11-07 23:59:59.999,POLYX,1d,0.21646,0.21019,0.21646,0.20352,4602824.0,2210,POLYX
1699401600000,2023-11-08 23:59:59.999,POLYX,1d,0.20995,0.22103,0.22547,0.2097,1451268.0,2040,POLYX
1699488000000,2023-11-09 23:59:59.999,POLYX,1d,0.22106,0.21049,0.22806,0.17856,3238419.0,2333,POLYX
1699574400000,2023-11-10 23:59:59.999,POLYX,1d,0.21075,0.21794,0.22189,0.20594,753609.0,2106,POLYX
1699660800000,2023-11-11 23:59:59.999,POLYX,1d,0.2178,0.21711,0.22218,0.21082,421501.0,2024,POLYX
1699747200000,2023-11-12 23:59:59.999,POLYX,1d,0.21732,0.21334,0.21739,0.20749,513726.0,2078,POLYX
1699833600000,2023-11-13 23:59:59.999,POLYX,1d,0.21361,0.20793,0.2179,0.20497,693371.0,2079,POLYX
1699920000000,2023-11-14 23:59:59.999,POLYX,1d,0.2078,0.20321,0.20957,0.19049,692060.0,2055,POLYX
1700006400000,2023-11-15 23:59:59.999,POLYX,1d,0.2095,0.2119,0.2128,0.20608,324172.0,1966,POLYX
1700092800000,2023-11-16 23:59:59.999,POLYX,1d,0.21179,0.21125,0.21481,0.20393,546276.0,1948,POLYX
1700179200000,2023-11-17 23:59:59.999,POLYX,1d,0.21144,0.20871,0.2215,0.19706,817837.0,1979,POLYX
1700265600000,2023-11-18 23:59:59.999,POLYX,1d,0.20833,0.20292,0.20833,0.19224,755494.0,2022,POLYX
1700352000000,2023-11-19 23:59:59.999,POLYX,1d,0.20286,0.2099,0.21051,0.19725,703427.0,2013,POLYX
1700438400000,2023-11-20 23:59:59.999,POLYX,1d,0.20983,0.20696,0.21205,0.20372,1112867.0,2076,POLYX
1700524800000,2023-11-21 23:59:59.999,POLYX,1d,0.20688,0.18222,0.20763,0.18222,4867478.0,2256,POLYX
1700611200000,2023-11-22 23:59:59.999,POLYX,1d,0.1816,0.19406,0.19528,0.1816,666915.0,2016,POLYX
1700697600000,2023-11-23 23:59:59.999,POLYX,1d,0.19412,0.19652,0.19832,0.19022,753644.0,2064,POLYX
1700784000000,2023-11-24 23:59:59.999,POLYX,1d,0.19639,0.19979,0.20517,0.19552,1454795.0,2038,POLYX
1700870400000,2023-11-25 23:59:59.999,POLYX,1d,0.19963,0.20105,0.20209,0.1969,551510.0,2033,POLYX
1700956800000,2023-11-26 23:59:59.999,POLYX,1d,0.20103,0.19644,0.20162,0.19153,873291.0,2049,POLYX
1701043200000,2023-11-27 23:59:59.999,POLYX,1d,0.19658,0.18938,0.19769,0.18541,940776.0,1971,POLYX
1701129600000,2023-11-28 23:59:59.999,POLYX,1d,0.18944,0.20062,0.20237,0.18671,974719.0,2027,POLYX
1701216000000,2023-11-29 23:59:59.999,POLYX,1d,0.20066,0.20111,0.20567,0.19686,799217.0,2023,POLYX
1701302400000,2023-11-30 23:59:59.999,POLYX,1d,0.2015,0.19742,0.2015,0.19449,592256.0,1880,POLYX
1701388800000,2023-12-01 23:59:59.999,POLYX,1d,0.19752,0.19781,0.20027,0.1954,583522.0,1977,POLYX
1701475200000,2023-12-02 23:59:59.999,POLYX,1d,0.19787,0.20574,0.20858,0.19706,1277929.0,2065,POLYX
1701561600000,2023-12-03 23:59:59.999,POLYX,1d,0.2054,0.22117,0.22513,0.20474,1983672.0,1946,POLYX
1701648000000,2023-12-04 23:59:59.999,POLYX,1d,0.22044,0.22334,0.22949,0.20788,3841482.0,2220,POLYX
1701734400000,2023-12-05 23:59:59.999,POLYX,1d,0.22257,0.21515,0.22331,0.21045,1997816.0,2112,POLYX
1701820800000,2023-12-06 23:59:59.999,POLYX,1d,0.21511,0.20758,0.21905,0.2035,2983587.0,2052,POLYX
1701907200000,2023-12-07 23:59:59.999,POLYX,1d,0.2075,0.21125,0.2147,0.20209,2552621.0,2173,POLYX
1701993600000,2023-12-08 23:59:59.999,POLYX,1d,0.21159,0.21411,0.21545,0.20737,1015325.0,2038,POLYX
1702080000000,2023-12-09 23:59:59.999,POLYX,1d,0.21431,0.21162,0.21766,0.2097,4468631.0,2303,POLYX
1702166400000,2023-12-10 23:59:59.999,POLYX,1d,0.21207,0.21142,0.21696,0.20584,961919.0,1966,POLYX
1702252800000,2023-12-11 23:59:59.999,POLYX,1d,0.21173,0.19414,0.21206,0.18676,14499859.0,2871,POLYX
1702339200000,2023-12-12 23:59:59.999,POLYX,1d,0.19409,0.19423,0.19661,0.18894,870984.0,1866,POLYX
1702425600000,2023-12-13 23:59:59.999,POLYX,1d,0.19447,0.19576,0.19726,0.18228,2538597.0,2103,POLYX
1702512000000,2023-12-14 23:59:59.999,POLYX,1d,0.19549,0.19851,0.19982,0.19158,2977520.0,2136,POLYX
1702598400000,2023-12-15 23:59:59.999,POLYX,1d,0.19865,0.18981,0.20188,0.18923,900751.0,1885,POLYX
1702684800000,2023-12-16 23:59:59.999,POLYX,1d,0.19013,0.19362,0.19622,0.18742,651857.0,1998,POLYX
1702771200000,2023-12-17 23:59:59.999,POLYX,1d,0.19366,0.18952,0.195,0.18836,1428803.0,2071,POLYX
1702857600000,2023-12-18 23:59:59.999,POLYX,1d,0.18987,0.18588,0.19114,0.17355,3352733.0,2173,POLYX
1702944000000,2023-12-19 23:59:59.999,POLYX,1d,0.18584,0.18924,0.19359,0.18543,1427819.0,1971,POLYX
1703030400000,2023-12-20 23:59:59.999,POLYX,1d,0.18915,0.19249,0.19532,0.18807,1709956.0,2041,POLYX
1703116800000,2023-12-21 23:59:59.999,POLYX,1d,0.19298,0.19264,0.196,0.19072,1435278.0,2030,POLYX
1703203200000,2023-12-22 23:59:59.999,POLYX,1d,0.19307,0.19654,0.19701,0.18981,1374437.0,1979,POLYX
1703289600000,2023-12-23 23:59:59.999,POLYX,1d,0.19662,0.19887,0.20032,0.19132,1974550.0,2099,POLYX
1703376000000,2023-12-24 23:59:59.999,POLYX,1d,0.19927,0.1939,0.19982,0.19087,1076748.0,1998,POLYX
1703462400000,2023-12-25 23:59:59.999,POLYX,1d,0.19438,0.19905,0.20141,0.19204,1327313.0,2119,POLYX
1703548800000,2023-12-26 23:59:59.999,POLYX,1d,0.19904,0.19786,0.20561,0.18791,2545699.0,2187,POLYX
1703635200000,2023-12-27 23:59:59.999,POLYX,1d,0.19828,0.19952,0.20105,0.19005,1509390.0,2070,POLYX
1703721600000,2023-12-28 23:59:59.999,POLYX,1d,0.19937,0.19346,0.20175,0.19143,565293.0,1919,POLYX
1703808000000,2023-12-29 23:59:59.999,POLYX,1d,0.1933,0.18981,0.19553,0.18635,889737.0,1912,POLYX
1703894400000,2023-12-30 23:59:59.999,POLYX,1d,0.18962,0.18855,0.19129,0.18524,668589.0,1856,POLYX
1703980800000,2023-12-31 23:59:59.999,POLYX,1d,0.18847,0.1907,0.1964,0.18672,1060430.0,1979,POLYX
1704067200000,2024-01-01 23:59:59.999,POLYX,1d,0.19064,0.19514,0.19546,0.18636,815005.0,1878,POLYX
1704153600000,2024-01-02 23:59:59.999,POLYX,1d,0.19523,0.19392,0.1995,0.19193,755895.0,1907,POLYX
1704240000000,2024-01-03 23:59:59.999,POLYX,1d,0.19387,0.18315,0.19905,0.15951,3682054.0,2325,POLYX
1704326400000,2024-01-04 23:59:59.999,POLYX,1d,0.18272,0.18273,0.18645,0.17657,983858.0,1991,POLYX
1704412800000,2024-01-05 23:59:59.999,POLYX,1d,0.18291,0.20369,0.20839,0.17553,3895236.0,2383,POLYX
1704499200000,2024-01-06 23:59:59.999,POLYX,1d,0.20361,0.22142,0.23151,0.19689,5480063.0,2749,POLYX
1704585600000,2024-01-07 23:59:59.999,POLYX,1d,0.22104,0.18758,0.23758,0.18577,3495736.0,2572,POLYX
1704672000000,2024-01-08 23:59:59.999,POLYX,1d,0.18795,0.18382,0.18795,0.16558,1621392.0,2057,POLYX
1704758400000,2024-01-09 23:59:59.999,POLYX,1d,0.18363,0.17043,0.18725,0.16495,1386796.0,2159,POLYX
1704844800000,2024-01-10 23:59:59.999,POLYX,1d,0.17041,0.17593,0.17983,0.16201,1633322.0,2000,POLYX
1704931200000,2024-01-11 23:59:59.999,POLYX,1d,0.17624,0.17828,0.18292,0.17299,1307332.0,1953,POLYX
1705017600000,2024-01-12 23:59:59.999,POLYX,1d,0.17813,0.16802,0.18068,0.16313,727051.0,1885,POLYX
1705104000000,2024-01-13 23:59:59.999,POLYX,1d,0.16841,0.17271,0.17403,0.16404,561801.0,2010,POLYX
1705190400000,2024-01-14 23:59:59.999,POLYX,1d,0.17282,0.16652,0.17436,0.16593,596488.0,1941,POLYX
1705276800000,2024-01-15 23:59:59.999,POLYX,1d,0.16681,0.16794,0.17256,0.16649,1153675.0,1959,POLYX
1705363200000,2024-01-16 23:59:59.999,POLYX,1d,0.16799,0.17287,0.17411,0.16777,822400.0,1958,POLYX
1705449600000,2024-01-17 23:59:59.999,POLYX,1d,0.17317,0.17044,0.17375,0.1683,1111482.0,1913,POLYX
1705536000000,2024-01-18 23:59:59.999,POLYX,1d,0.17044,0.16287,0.17152,0.15987,1369254.0,2133,POLYX
1705622400000,2024-01-19 23:59:59.999,POLYX,1d,0.16286,0.16617,0.16771,0.15613,1843765.0,2151,POLYX
1705708800000,2024-01-20 23:59:59.999,POLYX,1d,0.16613,0.16744,0.16755,0.16374,1351108.0,2095,POLYX
1705795200000,2024-01-21 23:59:59.999,POLYX,1d,0.16735,0.16498,0.16855,0.16488,1202002.0,2120,POLYX
