t,timestamp,s,i,open,close,high,low,volume,n,asset,donchian_high_5,donchian_low_5,donchian_mid_5,donchian_high_10,donchian_low_10,donchian_mid_10,donchian_high_20,donchian_low_20,donchian_mid_20,donchian_high_30,donchian_low_30,donchian_mid_30,donchian_high_60,donchian_low_60,donchian_mid_60,donchian_high_90,donchian_low_90,donchian_mid_90,donchian_high_150,donchian_low_150,donchian_mid_150,donchian_high_250,donchian_low_250,donchian_mid_250,donchian_high_360,donchian_low_360,donchian_mid_360
1726185600000,2024-09-13 23:59:59.999,POL,1d,0.4078,0.4106,0.4462,0.4049,0.0,0,POL,,,,,,,,,,,,,,,,,,,,,,,,,,,
1726272000000,2024-09-14 23:59:59.999,POL,1d,0.4105,0.4053,0.4241,0.3937,0.0,0,POL,,,,,,,,,,,,,,,,,,,,,,,,,,,
1726358400000,2024-09-15 23:59:59.999,POL,1d,0.4053,0.3887,0.4081,0.386,0.0,0,POL,,,,,,,,,,,,,,,,,,,,,,,,,,,
1726444800000,2024-09-16 23:59:59.999,POL,1d,0.3886,0.3755,0.3921,0.3716,0.0,0,POL,,,,,,,,,,,,,,,,,,,,,,,,,,,
1726531200000,2024-09-17 23:59:59.999,POL,1d,0.38411,0.3809,0.39009,0.37798,460538.0,1454,POL,0.4462,0.3716,0.4089,,,,,,,,,,,,,,,,,,,,,,,,
1726617600000,2024-09-18 23:59:59.999,POL,1d,0.38111,0.38947,0.38947,0.37201,3623277.0,2167,POL,0.4241,0.3716,0.39785,,,,,,,,,,,,,,,,,,,,,,,,
1726704000000,2024-09-19 23:59:59.999,POL,1d,0.39014,0.39884,0.40205,0.38875,2067938.0,2059,POL,0.4081,0.3716,0.38985000000000003,,,,,,,,,,,,,,,,,,,,,,,,
1726790400000,2024-09-20 23:59:59.999,POL,1d,0.39946,0.40075,0.40982,0.39308,555877.0,2033,POL,0.40982,0.3716,0.39071,,,,,,,,,,,,,,,,,,,,,,,,
1726876800000,2024-09-21 23:59:59.999,POL,1d,0.40143,0.41166,0.41186,0.39585,331093.0,2040,POL,0.41186,0.37201,0.39193500000000003,,,,,,,,,,,,,,,,,,,,,,,,
1726963200000,2024-09-22 23:59:59.999,POL,1d,0.41101,0.40086,0.41101,0.39239,660092.0,2068,POL,0.41186,0.37201,0.39193500000000003,0.4462,0.3716,0.4089,,,,,,,,,,,,,,,,,,,,,
1727049600000,2024-09-23 23:59:59.999,POL,1d,0.40074,0.40619,0.4087,0.39441,923786.0,2342,POL,0.41186,0.38875,0.400305,0.4241,0.3716,0.39785,,,,,,,,,,,,,,,,,,,,,
1727136000000,2024-09-24 23:59:59.999,POL,1d,0.4062,0.40925,0.40998,0.39911,879764.0,2162,POL,0.41186,0.39239,0.402125,0.41186,0.3716,0.39173,,,,,,,,,,,,,,,,,,,,,
1727222400000,2024-09-25 23:59:59.999,POL,1d,0.40927,0.40954,0.4193,0.40443,917827.0,2211,POL,0.4193,0.39239,0.405845,0.4193,0.3716,0.39544999999999997,,,,,,,,,,,,,,,,,,,,,
1727308800000,2024-09-26 23:59:59.999,POL,1d,0.40984,0.42588,0.43253,0.40304,1552966.0,2212,POL,0.43253,0.39239,0.41246000000000005,0.43253,0.37201,0.40227,,,,,,,,,,,,,,,,,,,,,
1727395200000,2024-09-27 23:59:59.999,POL,1d,0.42583,0.43402,0.43846,0.42386,584007.0,2063,POL,0.43846,0.39441,0.416435,0.43846,0.37201,0.405235,,,,,,,,,,,,,,,,,,,,,
1727481600000,2024-09-28 23:59:59.999,POL,1d,0.43393,0.42434,0.43815,0.4177,804321.0,2231,POL,0.43846,0.39911,0.418785,0.43846,0.38875,0.413605,,,,,,,,,,,,,,,,,,,,,
