t,timestamp,s,i,open,close,high,low,volume,n,asset,donchian_high_5,donchian_low_5,donchian_mid_5,donchian_high_10,donchian_low_10,donchian_mid_10,donchian_high_20,donchian_low_20,donchian_mid_20,donchian_high_30,donchian_low_30,donchian_mid_30,donchian_high_60,donchian_low_60,donchian_mid_60,donchian_high_90,donchian_low_90,donchian_mid_90,donchian_high_150,donchian_low_150,donchian_mid_150,donchian_high_250,donchian_low_250,donchian_mid_250,donchian_high_360,donchian_low_360,donchian_mid_360
1788134400000,2026-08-31 23:59:59.999,PONS,1d,0.33777,0.34032,0.36818,0.301,16817330.0,12410,PONS,,,,,,,,,,,,,,,,,,,,,,,,,,,
1788220800000,2026-09-01 23:59:59.999,PONS,1d,0.40052,0.46903,0.47636,0.38,28075158.0,34262,PONS,,,,,,,,,,,,,,,,,,,,,,,,,,,
1788307200000,2026-09-02 23:59:59.999,PONS,1d,0.44317,0.42249,0.45043,0.40365,17405051.0,48368,PONS,,,,,,,,,,,,,,,,,,,,,,,,,,,
1788393600000,2026-09-03 23:59:59.999,PONS,1d,0.45854,0.50045,0.52855,0.45671,35426726.0,52924,PONS,,,,,,,,,,,,,,,,,,,,,,,,,,,
1788480000000,2026-09-04 23:59:59.999,PONS,1d,0.69827,0.6812,0.72732,0.65354,7793311.0,15405,PONS,0.72732,0.301,0.51416,,,,,,,,,,,,,,,,,,,,,,,,
1788566400000,2026-09-05 23:59:59.999,PONS,1d,0.70498,0.6896,0.71983,0.62801,24813256.0,50653,PONS,0.72732,0.38,0.55366,,,,,,,,,,,,,,,,,,,,,,,,
1788652800000,2026-09-06 23:59:59.999,PONS,1d,0.91707,0.91147,0.96667,0.86,44339436.0,96921,PONS,0.96667,0.40365,0.68516,,,,,,,,,,,,,,,,,,,,,,,,
1788739200000,2026-09-07 23:59:59.999,PONS,1d,0.84922,0.75073,0.85151,0.73113,35295300.0,58495,PONS,0.96667,0.45671,0.71169,,,,,,,,,,,,,,,,,,,,,,,,
1788825600000,2026-09-08 23:59:59.999,PONS,1d,0.72094,0.69173,0.7599,0.66822,21489346.0,35181,PONS,0.96667,0.62801,0.7973399999999999,,,,,,,,,,,,,,,,,,,,,,,,
1788912000000,2026-09-09 23:59:59.999,PONS,1d,0.78694,0.77602,0.79845,0.7381,12432457.0,32350,PONS,0.96667,0.62801,0.7973399999999999,0.96667,0.301,0.633835,,,,,,,,,,,,,,,,,,,,,
1788998400000,2026-09-10 23:59:59.999,PONS,1d,0.68124,0.6476,0.68245,0.61116,26164681.0,46568,PONS,0.96667,0.61116,0.788915,0.96667,0.38,0.673335,,,,,,,,,,,,,,,,,,,,,
1789084800000,2026-09-11 23:59:59.999,PONS,1d,0.56742,0.63589,0.64592,0.56742,28309979.0,42546,PONS,0.85151,0.56742,0.709465,0.96667,0.40365,0.68516,,,,,,,,,,,,,,,,,,,,,
1789171200000,2026-09-12 23:59:59.999,PONS,1d,0.58905,0.59402,0.61592,0.57905,7551871.0,15311,PONS,0.79845,0.56742,0.6829350000000001,0.96667,0.45671,0.71169,,,,,,,,,,,,,,,,,,,,,
