t,timestamp,s,i,open,close,high,low,volume,n,asset
1714262400000,2024-04-28 23:59:59.999,POPCAT,1d,0.47573,0.45064,0.50429,0.43933,3742537.0,2741,POPCAT
1714348800000,2024-04-29 23:59:59.999,POPCAT,1d,0.45752,0.44951,0.48236,0.36484,4618838.0,3450,POPCAT
1714435200000,2024-04-30 23:59:59.999,POPCAT,1d,0.43775,0.38237,0.46196,0.32017,4173283.0,4344,POPCAT
1714521600000,2024-05-01 23:59:59.999,POPCAT,1d,0.38666,0.47432,0.49149,0.33739,4903672.0,4842,POPCAT
1714608000000,2024-05-02 23:59:59.999,POPCAT,1d,0.47271,0.59346,0.66575,0.44256,7412792.0,6043,POPCAT
1714694400000,2024-05-03 23:59:59.999,POPCAT,1d,0.59838,0.58952,0.61928,0.51914,4780337.0,5483,POPCAT
1714780800000,2024-05-04 23:59:59.999,POPCAT,1d,0.5894,0.65282,0.73183,0.57481,4115541.0,6649,POPCAT
1714867200000,2024-05-05 23:59:59.999,POPCAT,1d,0.66,0.61819,0.6618,0.50181,7480275.0,7340,POPCAT
1714953600000,2024-05-06 23:59:59.999,POPCAT,1d,0.61938,0.54822,0.6613,0.5373,4231490.0,5498,POPCAT
1715040000000,2024-05-07 23:59:59.999,POPCAT,1d,0.54832,0.48436,0.5996,0.48283,3509718.0,3944,POPCAT
1715126400000,2024-05-08 23:59:59.999,POPCAT,1d,0.48473,0.45142,0.51401,0.42954,4859940.0,4495,POPCAT
1715212800000,2024-05-09 23:59:59.999,POPCAT,1d,0.4506,0.54094,0.57193,0.42669,7671594.0,6807,POPCAT
1715299200000,2024-05-10 23:59:59.999,POPCAT,1d,0.53946,0.46218,0.58683,0.456,7178184.0,6953,POPCAT
1715385600000,2024-05-11 23:59:59.999,POPCAT,1d,0.46346,0.41631,0.48,0.41111,4434851.0,5009,POPCAT
1715472000000,2024-05-12 23:59:59.999,POPCAT,1d,0.41589,0.41673,0.44399,0.40157,1781591.0,3382,POPCAT
