t,timestamp,s,i,open,close,high,low,volume,n,asset
1744329600000,2025-04-11 23:59:59.999,PROMPT,1d,0.1636,0.3722,0.4448,0.1636,0.0,0,PROMPT
1744416000000,2025-04-12 23:59:59.999,PROMPT,1d,0.4052,0.47987,0.62148,0.39507,62196182.0,37347,PROMPT
1744502400000,2025-04-13 23:59:59.999,PROMPT,1d,0.47973,0.42997,0.5386,0.41569,35851127.0,29963,PROMPT
1744588800000,2025-04-14 23:59:59.999,PROMPT,1d,0.4309,0.34463,0.47965,0.34314,18926894.0,13872,PROMPT
1744675200000,2025-04-15 23:59:59.999,PROMPT,1d,0.34452,0.2879,0.34774,0.27139,19315335.0,14616,PROMPT
1744761600000,2025-04-16 23:59:59.999,PROMPT,1d,0.28797,0.28311,0.32374,0.26577,14056275.0,9276,PROMPT
1744848000000,2025-04-17 23:59:59.999,PROMPT,1d,0.28305,0.23929,0.2915,0.235,9371703.0,6482,PROMPT
1744934400000,2025-04-18 23:59:59.999,PROMPT,1d,0.23939,0.22669,0.24644,0.2127,7393077.0,6171,PROMPT
1745020800000,2025-04-19 23:59:59.999,PROMPT,1d,0.22676,0.23021,0.2366,0.21202,6320369.0,5864,PROMPT
1745107200000,2025-04-20 23:59:59.999,PROMPT,1d,0.2359,0.25858,0.28644,0.22685,8223222.0,6187,PROMPT
1745193600000,2025-04-21 23:59:59.999,PROMPT,1d,0.25858,0.24039,0.28245,0.23468,14456853.0,9776,PROMPT
1745280000000,2025-04-22 23:59:59.999,PROMPT,1d,0.23997,0.25464,0.26502,0.22174,15860531.0,8728,PROMPT
1745366400000,2025-04-23 23:59:59.999,PROMPT,1d,0.25434,0.28049,0.34119,0.24999,37382602.0,20712,PROMPT
1745452800000,2025-04-24 23:59:59.999,PROMPT,1d,0.27943,0.30637,0.34247,0.26812,23884879.0,12856,PROMPT
1745539200000,2025-04-25 23:59:59.999,PROMPT,1d,0.30619,0.33722,0.363,0.29169,13095269.0,10680,PROMPT
1745625600000,2025-04-26 23:59:59.999,PROMPT,1d,0.33665,0.37,0.39614,0.33279,13790229.0,9208,PROMPT
1745712000000,2025-04-27 23:59:59.999,PROMPT,1d,0.37212,0.32549,0.37617,0.3151,11544968.0,8993,PROMPT
1745798400000,2025-04-28 23:59:59.999,PROMPT,1d,0.32572,0.33306,0.35249,0.30946,11054690.0,8625,PROMPT
1745884800000,2025-04-29 23:59:59.999,PROMPT,1d,0.33317,0.35808,0.37233,0.315,6248728.0,7329,PROMPT
1745971200000,2025-04-30 23:59:59.999,PROMPT,1d,0.35812,0.3933,0.44253,0.35666,12253748.0,15717,PROMPT
1746057600000,2025-05-01 23:59:59.999,PROMPT,1d,0.39332,0.37828,0.39729,0.37026,3949428.0,4486,PROMPT
1746144000000,2025-05-02 23:59:59.999,PROMPT,1d,0.37764,0.35304,0.38636,0.33792,5406111.0,6018,PROMPT
1746230400000,2025-05-03 23:59:59.999,PROMPT,1d,0.35217,0.33143,0.35332,0.33006,3784411.0,4568,PROMPT
1746316800000,2025-05-04 23:59:59.999,PROMPT,1d,0.33143,0.30225,0.33261,0.28393,24729996.0,14623,PROMPT
1746403200000,2025-05-05 23:59:59.999,PROMPT,1d,0.30202,0.29723,0.32485,0.2924,7286075.0,7084,PROMPT
1746489600000,2025-05-06 23:59:59.999,PROMPT,1d,0.29696,0.28638,0.30568,0.27286,9962697.0,8322,PROMPT
1746576000000,2025-05-07 23:59:59.999,PROMPT,1d,0.28621,0.28009,0.29559,0.26074,4613581.0,5122,PROMPT
1746662400000,2025-05-08 23:59:59.999,PROMPT,1d,0.28,0.33947,0.34811,0.27644,8571183.0,6377,PROMPT
1746748800000,2025-05-09 23:59:59.999,PROMPT,1d,0.34027,0.35,0.366,0.33286,5593423.0,5215,PROMPT
1746835200000,2025-05-10 23:59:59.999,PROMPT,1d,0.35013,0.34343,0.36593,0.32049,4593579.0,5116,PROMPT
1746921600000,2025-05-11 23:59:59.999,PROMPT,1d,0.34228,0.36149,0.39309,0.32923,10372773.0,8378,PROMPT
1747008000000,2025-05-12 23:59:59.999,PROMPT,1d,0.36152,0.32736,0.36939,0.308,12281066.0,11139,PROMPT
1747094400000,2025-05-13 23:59:59.999,PROMPT,1d,0.32648,0.32023,0.32961,0.29658,8517072.0,6559,PROMPT
1747180800000,2025-05-14 23:59:59.999,PROMPT,1d,0.3202,0.29165,0.34758,0.28872,14462724.0,6855,PROMPT
1747267200000,2025-05-15 23:59:59.999,PROMPT,1d,0.29177,0.25883,0.301,0.25,12516545.0,6579,PROMPT
1747353600000,2025-05-16 23:59:59.999,PROMPT,1d,0.25938,0.25345,0.27137,0.25,3671226.0,3927,PROMPT
1747440000000,2025-05-17 23:59:59.999,PROMPT,1d,0.25448,0.24946,0.26374,0.23796,8117147.0,5047,PROMPT
1747526400000,2025-05-18 23:59:59.999,PROMPT,1d,0.24947,0.28541,0.28646,0.24768,5455555.0,6600,PROMPT
