t,timestamp,s,i,open,close,high,low,volume,n,asset,donchian_high_5,donchian_low_5,donchian_mid_5,donchian_high_10,donchian_low_10,donchian_mid_10,donchian_high_20,donchian_low_20,donchian_mid_20,donchian_high_30,donchian_low_30,donchian_mid_30,donchian_high_60,donchian_low_60,donchian_mid_60,donchian_high_90,donchian_low_90,donchian_mid_90,donchian_high_150,donchian_low_150,donchian_mid_150,donchian_high_250,donchian_low_250,donchian_mid_250,donchian_high_360,donchian_low_360,donchian_mid_360
1730678400000,2024-11-04 23:59:59.999,PURR,1d,0.1827,0.18291,0.19894,0.17631,10654864.0,4379,PURR,,,,,,,,,,,,,,,,,,,,,,,,,,,
1730764800000,2024-11-05 23:59:59.999,PURR,1d,0.18271,0.1844,0.19025,0.17906,5532879.0,2625,PURR,,,,,,,,,,,,,,,,,,,,,,,,,,,
1730851200000,2024-11-06 23:59:59.999,PURR,1d,0.18445,0.21964,0.225,0.18274,13782167.0,5204,PURR,,,,,,,,,,,,,,,,,,,,,,,,,,,
1730937600000,2024-11-07 23:59:59.999,PURR,1d,0.2199,0.21107,0.23571,0.20349,12063801.0,6066,PURR,,,,,,,,,,,,,,,,,,,,,,,,,,,
1731024000000,2024-11-08 23:59:59.999,PURR,1d,0.21092,0.22314,0.23953,0.201,8243233.0,4114,PURR,0.23953,0.17631,0.20792,,,,,,,,,,,,,,,,,,,,,,,,
1731110400000,2024-11-09 23:59:59.999,PURR,1d,0.22263,0.22228,0.25443,0.219,10839197.0,6547,PURR,0.25443,0.17906,0.216745,,,,,,,,,,,,,,,,,,,,,,,,
1731196800000,2024-11-10 23:59:59.999,PURR,1d,0.222,0.22845,0.24883,0.222,9999781.0,7023,PURR,0.25443,0.18274,0.218585,,,,,,,,,,,,,,,,,,,,,,,,
1731283200000,2024-11-11 23:59:59.999,PURR,1d,0.22815,0.22114,0.243,0.21714,9388771.0,5527,PURR,0.25443,0.201,0.227715,,,,,,,,,,,,,,,,,,,,,,,,
1731369600000,2024-11-12 23:59:59.999,PURR,1d,0.22126,0.22937,0.23155,0.20564,8227104.0,4125,PURR,0.25443,0.201,0.227715,,,,,,,,,,,,,,,,,,,,,,,,
1731456000000,2024-11-13 23:59:59.999,PURR,1d,0.22118,0.21638,0.24,0.21268,9355924.0,4328,PURR,0.25443,0.20564,0.230035,0.25443,0.17631,0.21537,,,,,,,,,,,,,,,,,,,,,
1731542400000,2024-11-14 23:59:59.999,PURR,1d,0.21611,0.232,0.26628,0.21594,23892034.0,9830,PURR,0.26628,0.20564,0.23596,0.26628,0.17906,0.22267,,,,,,,,,,,,,,,,,,,,,
1731628800000,2024-11-15 23:59:59.999,PURR,1d,0.23292,0.23967,0.26016,0.22571,23378922.0,9738,PURR,0.26628,0.20564,0.23596,0.26628,0.18274,0.22451000000000002,,,,,,,,,,,,,,,,,,,,,
1731715200000,2024-11-16 23:59:59.999,PURR,1d,0.24092,0.22626,0.24792,0.21,21256064.0,12179,PURR,0.26628,0.20564,0.23596,0.26628,0.201,0.23364000000000001,,,,,,,,,,,,,,,,,,,,,
1731801600000,2024-11-17 23:59:59.999,PURR,1d,0.22581,0.22727,0.24651,0.21675,3937691.0,4085,PURR,0.26628,0.21,0.23814000000000002,0.26628,0.201,0.23364000000000001,,,,,,,,,,,,,,,,,,,,,
1731888000000,2024-11-18 23:59:59.999,PURR,1d,0.22666,0.2236,0.24384,0.2115,6553416.0,4925,PURR,0.26628,0.21,0.23814000000000002,0.26628,0.20564,0.23596,,,,,,,,,,,,,,,,,,,,,
1731974400000,2024-11-19 23:59:59.999,PURR,1d,0.22122,0.22519,0.2284,0.21,4643397.0,5871,PURR,0.26016,0.21,0.23508,0.26628,0.20564,0.23596,,,,,,,,,,,,,,,,,,,,,
