t,timestamp,s,i,open,close,high,low,volume,n,asset
1688601600000,2023-07-06 23:59:59.999,RDNT,1d,0.2792,0.2638,0.2894,0.2632,0.0,0,RDNT
1688688000000,2023-07-07 23:59:59.999,RDNT,1d,0.2638,0.2744,0.2756,0.2606,0.0,0,RDNT
1688774400000,2023-07-08 23:59:59.999,RDNT,1d,0.2744,0.2696,0.2752,0.2642,0.0,0,RDNT
1688860800000,2023-07-09 23:59:59.999,RDNT,1d,0.2697,0.2736,0.276,0.2687,0.0,0,RDNT
1688947200000,2023-07-10 23:59:59.999,RDNT,1d,0.2735,0.2866,0.2953,0.2677,0.0,0,RDNT
1689033600000,2023-07-11 23:59:59.999,RDNT,1d,0.2867,0.2853,0.2898,0.2818,0.0,0,RDNT
1689120000000,2023-07-12 23:59:59.999,RDNT,1d,0.2854,0.2798,0.2901,0.2745,0.0,0,RDNT
1689206400000,2023-07-13 23:59:59.999,RDNT,1d,0.2798,0.2957,0.299,0.2756,0.0,0,RDNT
1689292800000,2023-07-14 23:59:59.999,RDNT,1d,0.2958,0.2944,0.3171,0.2849,0.0,0,RDNT
1689379200000,2023-07-15 23:59:59.999,RDNT,1d,0.2944,0.2948,0.3045,0.2893,0.0,0,RDNT
1689465600000,2023-07-16 23:59:59.999,RDNT,1d,0.2948,0.2831,0.2978,0.282,0.0,0,RDNT
1689552000000,2023-07-17 23:59:59.999,RDNT,1d,0.2832,0.2785,0.29,0.2628,0.0,0,RDNT
1689638400000,2023-07-18 23:59:59.999,RDNT,1d,0.2786,0.2843,0.2946,0.2754,0.0,0,RDNT
1689724800000,2023-07-19 23:59:59.999,RDNT,1d,0.2844,0.2799,0.289,0.2768,0.0,0,RDNT
1689811200000,2023-07-20 23:59:59.999,RDNT,1d,0.2799,0.308,0.3239,0.2783,0.0,0,RDNT
1689897600000,2023-07-21 23:59:59.999,RDNT,1d,0.308,0.3043,0.3218,0.2984,0.0,0,RDNT
1689984000000,2023-07-22 23:59:59.999,RDNT,1d,0.3044,0.307,0.317,0.3007,0.0,0,RDNT
1690070400000,2023-07-23 23:59:59.999,RDNT,1d,0.307,0.3295,0.3324,0.3025,0.0,0,RDNT
1690156800000,2023-07-24 23:59:59.999,RDNT,1d,0.3295,0.3003,0.3331,0.2941,0.0,0,RDNT
1690243200000,2023-07-25 23:59:59.999,RDNT,1d,0.3003,0.2954,0.3052,0.293,0.0,0,RDNT
1690329600000,2023-07-26 23:59:59.999,RDNT,1d,0.2953,0.3037,0.3055,0.2894,0.0,0,RDNT
1690416000000,2023-07-27 23:59:59.999,RDNT,1d,0.3037,0.3035,0.3149,0.3,0.0,0,RDNT
1690502400000,2023-07-28 23:59:59.999,RDNT,1d,0.3035,0.3029,0.3062,0.2995,0.0,0,RDNT
1690588800000,2023-07-29 23:59:59.999,RDNT,1d,0.303,0.304,0.3047,0.2992,0.0,0,RDNT
1690675200000,2023-07-30 23:59:59.999,RDNT,1d,0.3041,0.3011,0.3096,0.2958,0.0,0,RDNT
1690761600000,2023-07-31 23:59:59.999,RDNT,1d,0.3011,0.2962,0.3053,0.2951,0.0,0,RDNT
1690848000000,2023-08-01 23:59:59.999,RDNT,1d,0.296,0.298,0.2999,0.2817,0.0,0,RDNT
1690934400000,2023-08-02 23:59:59.999,RDNT,1d,0.2981,0.2908,0.3,0.2872,0.0,0,RDNT
1691020800000,2023-08-03 23:59:59.999,RDNT,1d,0.2907,0.2911,0.2966,0.2884,0.0,0,RDNT
1691107200000,2023-08-04 23:59:59.999,RDNT,1d,0.2911,0.2891,0.2969,0.2874,0.0,0,RDNT
1691193600000,2023-08-05 23:59:59.999,RDNT,1d,0.2891,0.2819,0.2902,0.2802,0.0,0,RDNT
1691280000000,2023-08-06 23:59:59.999,RDNT,1d,0.2819,0.2914,0.2919,0.2808,0.0,0,RDNT
1691366400000,2023-08-07 23:59:59.999,RDNT,1d,0.2914,0.2877,0.2971,0.2813,0.0,0,RDNT
1691452800000,2023-08-08 23:59:59.999,RDNT,1d,0.2877,0.2962,0.3022,0.2871,0.0,0,RDNT
1691539200000,2023-08-09 23:59:59.999,RDNT,1d,0.2962,0.2923,0.2976,0.2874,0.0,0,RDNT
1691625600000,2023-08-10 23:59:59.999,RDNT,1d,0.2922,0.2842,0.2936,0.2833,0.0,0,RDNT
1691712000000,2023-08-11 23:59:59.999,RDNT,1d,0.2842,0.2826,0.2853,0.2772,0.0,0,RDNT
1691798400000,2023-08-12 23:59:59.999,RDNT,1d,0.2826,0.2876,0.2888,0.2824,0.0,0,RDNT
1691884800000,2023-08-13 23:59:59.999,RDNT,1d,0.2877,0.2867,0.2924,0.286,0.0,0,RDNT
1691971200000,2023-08-14 23:59:59.999,RDNT,1d,0.2865,0.2923,0.2962,0.2853,0.0,0,RDNT
1692057600000,2023-08-15 23:59:59.999,RDNT,1d,0.2924,0.2796,0.2977,0.262,0.0,0,RDNT
1692144000000,2023-08-16 23:59:59.999,RDNT,1d,0.2796,0.2672,0.2836,0.2589,0.0,0,RDNT
1692230400000,2023-08-17 23:59:59.999,RDNT,1d,0.2673,0.24,0.2766,0.2035,0.0,0,RDNT
1692316800000,2023-08-18 23:59:59.999,RDNT,1d,0.24,0.2467,0.2501,0.2384,0.0,0,RDNT
1692403200000,2023-08-19 23:59:59.999,RDNT,1d,0.2467,0.2498,0.2523,0.2451,0.0,0,RDNT
1692489600000,2023-08-20 23:59:59.999,RDNT,1d,0.2498,0.2481,0.2518,0.2461,0.0,0,RDNT
1692576000000,2023-08-21 23:59:59.999,RDNT,1d,0.2482,0.2339,0.2507,0.2209,0.0,0,RDNT
1692662400000,2023-08-22 23:59:59.999,RDNT,1d,0.2338,0.2325,0.2357,0.2146,0.0,0,RDNT
1692748800000,2023-08-23 23:59:59.999,RDNT,1d,0.2324,0.2409,0.2451,0.2324,0.0,0,RDNT
1692835200000,2023-08-24 23:59:59.999,RDNT,1d,0.2409,0.2372,0.245,0.2335,0.0,0,RDNT
1692921600000,2023-08-25 23:59:59.999,RDNT,1d,0.2373,0.2339,0.2392,0.228,0.0,0,RDNT
1693008000000,2023-08-26 23:59:59.999,RDNT,1d,0.234,0.2327,0.2371,0.2323,0.0,0,RDNT
1693094400000,2023-08-27 23:59:59.999,RDNT,1d,0.2328,0.2339,0.2359,0.2308,0.0,0,RDNT
1693180800000,2023-08-28 23:59:59.999,RDNT,1d,0.2339,0.2347,0.2358,0.2293,0.0,0,RDNT
1693267200000,2023-08-29 23:59:59.999,RDNT,1d,0.2346,0.2406,0.2468,0.2294,0.0,0,RDNT
1693353600000,2023-08-30 23:59:59.999,RDNT,1d,0.2407,0.2325,0.2416,0.228,0.0,0,RDNT
1693440000000,2023-08-31 23:59:59.999,RDNT,1d,0.2326,0.2301,0.2378,0.224,0.0,0,RDNT
1693526400000,2023-09-01 23:59:59.999,RDNT,1d,0.2301,0.2248,0.2322,0.2224,0.0,0,RDNT
1693612800000,2023-09-02 23:59:59.999,RDNT,1d,0.2248,0.2231,0.228,0.221,0.0,0,RDNT
1693699200000,2023-09-03 23:59:59.999,RDNT,1d,0.2232,0.221,0.2242,0.2179,0.0,0,RDNT
