t,timestamp,s,i,open,close,high,low,volume,n,asset,donchian_high_5,donchian_low_5,donchian_mid_5,donchian_high_10,donchian_low_10,donchian_mid_10,donchian_high_20,donchian_low_20,donchian_mid_20,donchian_high_30,donchian_low_30,donchian_mid_30,donchian_high_60,donchian_low_60,donchian_mid_60,donchian_high_90,donchian_low_90,donchian_mid_90,donchian_high_150,donchian_low_150,donchian_mid_150,donchian_high_250,donchian_low_250,donchian_mid_250,donchian_high_360,donchian_low_360,donchian_mid_360
1696982400000,2023-10-11 23:59:59.999,REQ,1d,0.094017,0.0999,0.10608,0.086634,3472440.0,1017,REQ,,,,,,,,,,,,,,,,,,,,,,,,,,,
1697068800000,2023-10-12 23:59:59.999,REQ,1d,0.10007,0.093977,0.10014,0.086552,5811099.0,2098,REQ,,,,,,,,,,,,,,,,,,,,,,,,,,,
1697155200000,2023-10-13 23:59:59.999,REQ,1d,0.094057,0.076206,0.094089,0.07479,3341131.0,1885,REQ,,,,,,,,,,,,,,,,,,,,,,,,,,,
1697241600000,2023-10-14 23:59:59.999,REQ,1d,0.075842,0.075495,0.079438,0.0732,3554155.0,1999,REQ,,,,,,,,,,,,,,,,,,,,,,,,,,,
1697328000000,2023-10-15 23:59:59.999,REQ,1d,0.075478,0.0732,0.079283,0.072502,2096588.0,1835,REQ,0.10608,0.072502,0.089291,,,,,,,,,,,,,,,,,,,,,,,,
1697414400000,2023-10-16 23:59:59.999,REQ,1d,0.073214,0.07253,0.075398,0.07108,1684405.0,2046,REQ,0.10014,0.07108,0.08561,,,,,,,,,,,,,,,,,,,,,,,,
1697500800000,2023-10-17 23:59:59.999,REQ,1d,0.072437,0.068376,0.073169,0.067896,1153949.0,2012,REQ,0.094089,0.067896,0.0809925,,,,,,,,,,,,,,,,,,,,,,,,
1697587200000,2023-10-18 23:59:59.999,REQ,1d,0.068323,0.068414,0.076324,0.067041,2301355.0,2063,REQ,0.079438,0.067041,0.0732395,,,,,,,,,,,,,,,,,,,,,,,,
1697673600000,2023-10-19 23:59:59.999,REQ,1d,0.068236,0.066649,0.068236,0.064154,1772121.0,2054,REQ,0.079283,0.064154,0.0717185,,,,,,,,,,,,,,,,,,,,,,,,
1697760000000,2023-10-20 23:59:59.999,REQ,1d,0.06668,0.070153,0.077066,0.065815,1742548.0,2043,REQ,0.077066,0.064154,0.07061,0.10608,0.064154,0.085117,,,,,,,,,,,,,,,,,,,,,
1697846400000,2023-10-21 23:59:59.999,REQ,1d,0.070078,0.069542,0.070444,0.068738,2016118.0,2087,REQ,0.077066,0.064154,0.07061,0.10014,0.064154,0.082147,,,,,,,,,,,,,,,,,,,,,
1697932800000,2023-10-22 23:59:59.999,REQ,1d,0.06954,0.068398,0.070067,0.067409,3410307.0,2136,REQ,0.077066,0.064154,0.07061,0.094089,0.064154,0.07912150000000001,,,,,,,,,,,,,,,,,,,,,
1698019200000,2023-10-23 23:59:59.999,REQ,1d,0.068366,0.072553,0.072869,0.068227,6182737.0,1815,REQ,0.077066,0.064154,0.07061,0.079438,0.064154,0.071796,,,,,,,,,,,,,,,,,,,,,
1698105600000,2023-10-24 23:59:59.999,REQ,1d,0.07253,0.071777,0.074436,0.070518,5570405.0,2173,REQ,0.077066,0.065815,0.07144049999999999,0.079283,0.064154,0.0717185,,,,,,,,,,,,,,,,,,,,,
1698192000000,2023-10-25 23:59:59.999,REQ,1d,0.071811,0.071668,0.073823,0.069992,5028292.0,2153,REQ,0.074436,0.067409,0.0709225,0.077066,0.064154,0.07061,,,,,,,,,,,,,,,,,,,,,
1698278400000,2023-10-26 23:59:59.999,REQ,1d,0.071662,0.071145,0.0737,0.069846,5126568.0,2153,REQ,0.074436,0.067409,0.0709225,0.077066,0.064154,0.07061,,,,,,,,,,,,,,,,,,,,,
1698364800000,2023-10-27 23:59:59.999,REQ,1d,0.071136,0.070792,0.071386,0.070054,3208711.0,2063,REQ,0.074436,0.068227,0.07133149999999999,0.077066,0.064154,0.07061,,,,,,,,,,,,,,,,,,,,,
1698451200000,2023-10-28 23:59:59.999,REQ,1d,0.070736,0.072148,0.073086,0.070686,1310590.0,2019,REQ,0.074436,0.069846,0.07214100000000001,0.077066,0.064154,0.07061,,,,,,,,,,,,,,,,,,,,,
1698537600000,2023-10-29 23:59:59.999,REQ,1d,0.072113,0.074201,0.074277,0.071124,2819569.0,2080,REQ,0.074277,0.069846,0.0720615,0.077066,0.065815,0.07144049999999999,,,,,,,,,,,,,,,,,,,,,
1698624000000,2023-10-30 23:59:59.999,REQ,1d,0.074159,0.074696,0.075562,0.072731,2707480.0,2079,REQ,0.075562,0.069846,0.072704,0.075562,0.067409,0.07148550000000001,0.10608,0.064154,0.085117,,,,,,,,,,,,,,,,,,
1698710400000,2023-10-31 23:59:59.999,REQ,1d,0.074609,0.074258,0.076834,0.07161,4199978.0,1928,REQ,0.076834,0.070054,0.07344400000000001,0.076834,0.067409,0.0721215,0.10014,0.064154,0.082147,,,,,,,,,,,,,,,,,,
1698796800000,2023-11-01 23:59:59.999,REQ,1d,0.074166,0.074813,0.075217,0.071714,2763755.0,1971,REQ,0.076834,0.070686,0.07375999999999999,0.076834,0.068227,0.0725305,0.094089,0.064154,0.07912150000000001,,,,,,,,,,,,,,,,,,
1698883200000,2023-11-02 23:59:59.999,REQ,1d,0.074797,0.073341,0.075433,0.071853,2545639.0,1421,REQ,0.076834,0.071124,0.073979,0.076834,0.069846,0.07334,0.079438,0.064154,0.071796,,,,,,,,,,,,,,,,,,
1698969600000,2023-11-03 23:59:59.999,REQ,1d,0.073343,0.07395,0.074441,0.071453,2187189.0,2003,REQ,0.076834,0.071453,0.0741435,0.076834,0.069846,0.07334,0.079283,0.064154,0.0717185,,,,,,,,,,,,,,,,,,
1699056000000,2023-11-04 23:59:59.999,REQ,1d,0.073968,0.074609,0.074761,0.073456,2548993.0,1974,REQ,0.076834,0.071453,0.0741435,0.076834,0.069846,0.07334,0.077066,0.064154,0.07061,,,,,,,,,,,,,,,,,,
1699142400000,2023-11-05 23:59:59.999,REQ,1d,0.074658,0.075665,0.07675,0.074192,3130942.0,2023,REQ,0.07675,0.071453,0.0741015,0.076834,0.070054,0.07344400000000001,0.077066,0.064154,0.07061,,,,,,,,,,,,,,,,,,
1699228800000,2023-11-06 23:59:59.999,REQ,1d,0.075624,0.076972,0.077158,0.073996,6296699.0,2186,REQ,0.077158,0.071453,0.0743055,0.077158,0.070686,0.073922,0.077158,0.064154,0.070656,,,,,,,,,,,,,,,,,,
1699315200000,2023-11-07 23:59:59.999,REQ,1d,0.076949,0.075423,0.077058,0.073949,4808531.0,1976,REQ,0.077158,0.071453,0.0743055,0.077158,0.071124,0.07414100000000001,0.077158,0.064154,0.070656,,,,,,,,,,,,,,,,,,
1699401600000,2023-11-08 23:59:59.999,REQ,1d,0.075626,0.079725,0.0824,0.075309,544485.0,1735,REQ,0.0824,0.073456,0.077928,0.0824,0.071453,0.07692650000000001,0.0824,0.065815,0.07410749999999999,,,,,,,,,,,,,,,,,,
1699488000000,2023-11-09 23:59:59.999,REQ,1d,0.079726,0.079151,0.082414,0.076594,2140920.0,1761,REQ,0.082414,0.073949,0.0781815,0.082414,0.071453,0.0769335,0.082414,0.067409,0.07491149999999999,0.10608,0.064154,0.085117,,,,,,,,,,,,,,,
1699574400000,2023-11-10 23:59:59.999,REQ,1d,0.07909,0.084778,0.087546,0.078938,497945.0,1552,REQ,0.087546,0.073949,0.0807475,0.087546,0.071453,0.0794995,0.087546,0.067409,0.0774775,0.10014,0.064154,0.082147,,,,,,,,,,,,,,,
1699660800000,2023-11-11 23:59:59.999,REQ,1d,0.084669,0.086303,0.088969,0.083096,598319.0,1734,REQ,0.088969,0.073949,0.081459,0.088969,0.071453,0.080211,0.088969,0.068227,0.078598,0.094089,0.064154,0.07912150000000001,,,,,,,,,,,,,,,
1699747200000,2023-11-12 23:59:59.999,REQ,1d,0.086164,0.087689,0.092673,0.083791,755181.0,1848,REQ,0.092673,0.075309,0.08399100000000001,0.092673,0.071453,0.082063,0.092673,0.069846,0.08125950000000001,0.092673,0.064154,0.0784135,,,,,,,,,,,,,,,
1699833600000,2023-11-13 23:59:59.999,REQ,1d,0.087765,0.081097,0.088221,0.081097,396235.0,1509,REQ,0.092673,0.076594,0.0846335,0.092673,0.073456,0.0830645,0.092673,0.069846,0.08125950000000001,0.092673,0.064154,0.0784135,,,,,,,,,,,,,,,
1699920000000,2023-11-14 23:59:59.999,REQ,1d,0.081038,0.079539,0.082447,0.077042,659329.0,1894,REQ,0.092673,0.077042,0.0848575,0.092673,0.073949,0.083311,0.092673,0.069846,0.08125950000000001,0.092673,0.064154,0.0784135,,,,,,,,,,,,,,,
1700006400000,2023-11-15 23:59:59.999,REQ,1d,0.079416,0.082911,0.083418,0.079274,583122.0,1709,REQ,0.092673,0.077042,0.0848575,0.092673,0.073949,0.083311,0.092673,0.070054,0.0813635,0.092673,0.064154,0.0784135,,,,,,,,,,,,,,,
1700092800000,2023-11-16 23:59:59.999,REQ,1d,0.082732,0.08111,0.086271,0.078875,915531.0,1763,REQ,0.092673,0.077042,0.0848575,0.092673,0.073949,0.083311,0.092673,0.070686,0.0816795,0.092673,0.064154,0.0784135,,,,,,,,,,,,,,,
