t,timestamp,s,i,open,close,high,low,volume,n,asset,donchian_high_5,donchian_low_5,donchian_mid_5,donchian_high_10,donchian_low_10,donchian_mid_10,donchian_high_20,donchian_low_20,donchian_mid_20,donchian_high_30,donchian_low_30,donchian_mid_30,donchian_high_60,donchian_low_60,donchian_mid_60,donchian_high_90,donchian_low_90,donchian_mid_90,donchian_high_150,donchian_low_150,donchian_mid_150,donchian_high_250,donchian_low_250,donchian_mid_250,donchian_high_360,donchian_low_360,donchian_mid_360
1688774400000,2023-07-08 23:59:59.999,RLB,1d,0.060187,0.059514,0.072947,0.051963,0.0,0,RLB,,,,,,,,,,,,,,,,,,,,,,,,,,,
1688860800000,2023-07-09 23:59:59.999,RLB,1d,0.059514,0.06003,0.065854,0.055743,0.0,0,RLB,,,,,,,,,,,,,,,,,,,,,,,,,,,
1688947200000,2023-07-10 23:59:59.999,RLB,1d,0.06003,0.055566,0.060998,0.049902,0.0,0,RLB,,,,,,,,,,,,,,,,,,,,,,,,,,,
1689033600000,2023-07-11 23:59:59.999,RLB,1d,0.055566,0.058,0.060667,0.049234,0.0,0,RLB,,,,,,,,,,,,,,,,,,,,,,,,,,,
1689120000000,2023-07-12 23:59:59.999,RLB,1d,0.058,0.072495,0.088642,0.055785,0.0,0,RLB,0.088642,0.049234,0.068938,,,,,,,,,,,,,,,,,,,,,,,,
1689206400000,2023-07-13 23:59:59.999,RLB,1d,0.072496,0.080042,0.088658,0.068998,0.0,0,RLB,0.088658,0.049234,0.06894600000000001,,,,,,,,,,,,,,,,,,,,,,,,
1689292800000,2023-07-14 23:59:59.999,RLB,1d,0.080041,0.07611,0.087124,0.064976,0.0,0,RLB,0.088658,0.049234,0.06894600000000001,,,,,,,,,,,,,,,,,,,,,,,,
1689379200000,2023-07-15 23:59:59.999,RLB,1d,0.07611,0.086105,0.092254,0.075186,0.0,0,RLB,0.092254,0.049234,0.070744,,,,,,,,,,,,,,,,,,,,,,,,
1689465600000,2023-07-16 23:59:59.999,RLB,1d,0.086105,0.081642,0.099178,0.078177,0.0,0,RLB,0.099178,0.055785,0.07748150000000001,,,,,,,,,,,,,,,,,,,,,,,,
1689552000000,2023-07-17 23:59:59.999,RLB,1d,0.081642,0.122023,0.125286,0.07925,0.0,0,RLB,0.125286,0.064976,0.09513100000000001,0.125286,0.049234,0.08726,,,,,,,,,,,,,,,,,,,,,
1689638400000,2023-07-18 23:59:59.999,RLB,1d,0.122023,0.117656,0.135552,0.099899,0.0,0,RLB,0.135552,0.064976,0.100264,0.135552,0.049234,0.092393,,,,,,,,,,,,,,,,,,,,,
