t,timestamp,s,i,open,close,high,low,volume,n,asset
1688601600000,2023-07-06 23:59:59.999,RNDR,1d,1.9606,1.9145,2.0746,1.9076,276097.2,3445,RNDR
1688688000000,2023-07-07 23:59:59.999,RNDR,1d,1.9109,1.9479,1.964,1.8909,208335.4,3279,RNDR
1688774400000,2023-07-08 23:59:59.999,RNDR,1d,1.9483,1.9446,1.9869,1.9068,135443.9,2772,RNDR
1688860800000,2023-07-09 23:59:59.999,RNDR,1d,1.9451,1.9204,1.9722,1.9152,128656.2,2647,RNDR
1688947200000,2023-07-10 23:59:59.999,RNDR,1d,1.9194,1.9078,1.9568,1.842,209865.6,2765,RNDR
1689033600000,2023-07-11 23:59:59.999,RNDR,1d,1.9089,1.9914,2.0087,1.8901,163637.4,2745,RNDR
1689120000000,2023-07-12 23:59:59.999,RNDR,1d,1.994,1.937,2.0393,1.9162,181293.2,2661,RNDR
1689206400000,2023-07-13 23:59:59.999,RNDR,1d,1.936,2.1259,2.1452,1.9087,140134.7,2670,RNDR
1689292800000,2023-07-14 23:59:59.999,RNDR,1d,2.1315,2.0339,2.2399,1.9756,313300.8,3041,RNDR
1689379200000,2023-07-15 23:59:59.999,RNDR,1d,2.0302,2.027,2.0596,1.9758,263040.9,3018,RNDR
1689465600000,2023-07-16 23:59:59.999,RNDR,1d,2.0266,1.9406,2.0399,1.9308,130306.3,2674,RNDR
1689552000000,2023-07-17 23:59:59.999,RNDR,1d,1.9348,1.9663,1.9882,1.8896,124953.8,2689,RNDR
1689638400000,2023-07-18 23:59:59.999,RNDR,1d,1.9649,1.8799,2.0089,1.8483,136525.3,2710,RNDR
1689724800000,2023-07-19 23:59:59.999,RNDR,1d,1.8801,1.8624,1.9188,1.8374,142453.0,2694,RNDR
1689811200000,2023-07-20 23:59:59.999,RNDR,1d,1.8626,1.8688,1.9439,1.8363,129570.8,2744,RNDR
1689897600000,2023-07-21 23:59:59.999,RNDR,1d,1.8695,1.8827,1.9149,1.8527,128970.0,2758,RNDR
1689984000000,2023-07-22 23:59:59.999,RNDR,1d,1.8847,1.8313,1.8994,1.8107,108983.3,2605,RNDR
1690070400000,2023-07-23 23:59:59.999,RNDR,1d,1.8321,1.8551,1.8864,1.8096,115815.6,2619,RNDR
1690156800000,2023-07-24 23:59:59.999,RNDR,1d,1.8562,1.7487,1.8628,1.7176,130704.3,2698,RNDR
1690243200000,2023-07-25 23:59:59.999,RNDR,1d,1.749,1.7711,1.8109,1.7409,142611.6,2721,RNDR
1690329600000,2023-07-26 23:59:59.999,RNDR,1d,1.7703,1.7614,1.7866,1.726,176918.1,2826,RNDR
1690416000000,2023-07-27 23:59:59.999,RNDR,1d,1.7605,1.7665,1.8076,1.741,186518.5,2674,RNDR
1690502400000,2023-07-28 23:59:59.999,RNDR,1d,1.766,1.8065,1.8195,1.7598,129437.1,2552,RNDR
1690588800000,2023-07-29 23:59:59.999,RNDR,1d,1.8082,1.8058,1.8273,1.7853,115421.2,2595,RNDR
1690675200000,2023-07-30 23:59:59.999,RNDR,1d,1.8059,1.7853,1.8166,1.7548,151412.9,2563,RNDR
1690761600000,2023-07-31 23:59:59.999,RNDR,1d,1.7849,1.7501,1.8172,1.7334,139667.8,2640,RNDR
1690848000000,2023-08-01 23:59:59.999,RNDR,1d,1.7498,1.7936,1.7944,1.6988,143937.8,2595,RNDR
1690934400000,2023-08-02 23:59:59.999,RNDR,1d,1.7933,1.7643,1.8059,1.7519,131429.6,2509,RNDR
1691020800000,2023-08-03 23:59:59.999,RNDR,1d,1.7643,1.7662,1.789,1.7433,374805.3,3130,RNDR
1691107200000,2023-08-04 23:59:59.999,RNDR,1d,1.766,1.7325,1.7828,1.7149,177736.0,2677,RNDR
1691193600000,2023-08-05 23:59:59.999,RNDR,1d,1.7318,1.6151,1.7318,1.6014,250952.6,2727,RNDR
1691280000000,2023-08-06 23:59:59.999,RNDR,1d,1.6143,1.6246,1.6754,1.6063,220104.0,2666,RNDR
1691366400000,2023-08-07 23:59:59.999,RNDR,1d,1.6248,1.5936,1.6608,1.533,262352.2,2708,RNDR
1691452800000,2023-08-08 23:59:59.999,RNDR,1d,1.5886,1.6278,1.6513,1.5711,234403.2,2720,RNDR
1691539200000,2023-08-09 23:59:59.999,RNDR,1d,1.6301,1.6643,1.7118,1.628,271105.0,2665,RNDR
1691625600000,2023-08-10 23:59:59.999,RNDR,1d,1.6655,1.6881,1.734,1.6579,222133.3,2747,RNDR
1691712000000,2023-08-11 23:59:59.999,RNDR,1d,1.688,1.6791,1.7199,1.6634,156112.3,2632,RNDR
1691798400000,2023-08-12 23:59:59.999,RNDR,1d,1.68,1.6702,1.7011,1.6654,149592.8,2595,RNDR
1691884800000,2023-08-13 23:59:59.999,RNDR,1d,1.6712,1.6523,1.6952,1.6402,155052.5,2622,RNDR
1691971200000,2023-08-14 23:59:59.999,RNDR,1d,1.6521,1.7186,1.7652,1.6403,179716.0,2655,RNDR
1692057600000,2023-08-15 23:59:59.999,RNDR,1d,1.7178,1.6246,1.7394,1.5859,193920.4,2668,RNDR
1692144000000,2023-08-16 23:59:59.999,RNDR,1d,1.623,1.5687,1.6317,1.536,348923.9,3014,RNDR
1692230400000,2023-08-17 23:59:59.999,RNDR,1d,1.567,1.4391,1.6069,1.2453,531072.7,3363,RNDR
1692316800000,2023-08-18 23:59:59.999,RNDR,1d,1.4357,1.4224,1.4628,1.4008,445019.6,3054,RNDR
1692403200000,2023-08-19 23:59:59.999,RNDR,1d,1.4208,1.4174,1.4456,1.3968,188631.2,2766,RNDR
1692489600000,2023-08-20 23:59:59.999,RNDR,1d,1.4175,1.4282,1.4455,1.4066,193819.9,2565,RNDR
1692576000000,2023-08-21 23:59:59.999,RNDR,1d,1.4281,1.3846,1.4418,1.3217,296546.4,2356,RNDR
1692662400000,2023-08-22 23:59:59.999,RNDR,1d,1.3841,1.3893,1.4132,1.3277,249352.0,2493,RNDR
1692748800000,2023-08-23 23:59:59.999,RNDR,1d,1.3904,1.4522,1.4772,1.3576,224513.1,2338,RNDR
1692835200000,2023-08-24 23:59:59.999,RNDR,1d,1.4483,1.4642,1.5436,1.4335,236680.6,2358,RNDR
1692921600000,2023-08-25 23:59:59.999,RNDR,1d,1.4625,1.4752,1.4872,1.4227,192237.1,2335,RNDR
1693008000000,2023-08-26 23:59:59.999,RNDR,1d,1.4756,1.4203,1.5003,1.4132,112941.5,2270,RNDR
1693094400000,2023-08-27 23:59:59.999,RNDR,1d,1.42,1.4096,1.4292,1.3955,65010.8,1995,RNDR
1693180800000,2023-08-28 23:59:59.999,RNDR,1d,1.4096,1.4027,1.4178,1.3704,70135.4,1875,RNDR
1693267200000,2023-08-29 23:59:59.999,RNDR,1d,1.4037,1.4785,1.4912,1.3615,134068.6,1747,RNDR
1693353600000,2023-08-30 23:59:59.999,RNDR,1d,1.4829,1.4469,1.4918,1.4215,52947.1,1640,RNDR
1693440000000,2023-08-31 23:59:59.999,RNDR,1d,1.4452,1.3698,1.4501,1.3483,69613.6,1918,RNDR
1693526400000,2023-09-01 23:59:59.999,RNDR,1d,1.3685,1.3401,1.3799,1.2933,109598.5,2036,RNDR
1693612800000,2023-09-02 23:59:59.999,RNDR,1d,1.3396,1.3392,1.3439,1.3108,299086.6,2378,RNDR
1693699200000,2023-09-03 23:59:59.999,RNDR,1d,1.3371,1.357,1.3642,1.3243,85926.4,2087,RNDR
1693785600000,2023-09-04 23:59:59.999,RNDR,1d,1.3575,1.3512,1.3948,1.33,88610.7,2054,RNDR
1693872000000,2023-09-05 23:59:59.999,RNDR,1d,1.3506,1.3593,1.3673,1.3315,76227.9,2042,RNDR
1693958400000,2023-09-06 23:59:59.999,RNDR,1d,1.3608,1.3974,1.3986,1.3508,136243.3,2045,RNDR
1694044800000,2023-09-07 23:59:59.999,RNDR,1d,1.3938,1.4856,1.4861,1.3868,260217.7,2041,RNDR
1694131200000,2023-09-08 23:59:59.999,RNDR,1d,1.4849,1.4567,1.5114,1.4278,109360.9,1975,RNDR
1694217600000,2023-09-09 23:59:59.999,RNDR,1d,1.4557,1.4977,1.4978,1.439,174361.9,2109,RNDR
1694304000000,2023-09-10 23:59:59.999,RNDR,1d,1.4969,1.478,1.5183,1.4424,169281.7,2062,RNDR
1694390400000,2023-09-11 23:59:59.999,RNDR,1d,1.4786,1.4505,1.519,1.3868,278539.5,2088,RNDR
1694476800000,2023-09-12 23:59:59.999,RNDR,1d,1.4534,1.4953,1.5815,1.4534,392735.7,2069,RNDR
1694563200000,2023-09-13 23:59:59.999,RNDR,1d,1.4968,1.5207,1.5481,1.4571,189454.3,2097,RNDR
1694649600000,2023-09-14 23:59:59.999,RNDR,1d,1.5219,1.5325,1.5643,1.5012,205376.6,2071,RNDR
1694736000000,2023-09-15 23:59:59.999,RNDR,1d,1.5341,1.6043,1.6182,1.5114,146594.0,2034,RNDR
1694822400000,2023-09-16 23:59:59.999,RNDR,1d,1.6097,1.6139,1.6265,1.5721,145245.5,2045,RNDR
1694908800000,2023-09-17 23:59:59.999,RNDR,1d,1.6156,1.5682,1.6156,1.5419,100566.3,1973,RNDR
1694995200000,2023-09-18 23:59:59.999,RNDR,1d,1.5667,1.5704,1.6355,1.5357,199716.8,2163,RNDR
1695081600000,2023-09-19 23:59:59.999,RNDR,1d,1.5726,1.6013,1.6257,1.5574,122943.7,1995,RNDR
1695168000000,2023-09-20 23:59:59.999,RNDR,1d,1.6052,1.6207,1.6322,1.5789,150331.9,2000,RNDR
1695254400000,2023-09-21 23:59:59.999,RNDR,1d,1.6208,1.5992,1.6594,1.5918,373371.4,1999,RNDR
1695340800000,2023-09-22 23:59:59.999,RNDR,1d,1.5994,1.6026,1.651,1.5638,81284.0,1957,RNDR
1695427200000,2023-09-23 23:59:59.999,RNDR,1d,1.6025,1.5708,1.6119,1.5425,55235.4,2027,RNDR
1695513600000,2023-09-24 23:59:59.999,RNDR,1d,1.5686,1.5506,1.5734,1.537,49567.9,2066,RNDR
1695600000000,2023-09-25 23:59:59.999,RNDR,1d,1.5499,1.4846,1.5649,1.4796,125135.2,2040,RNDR
1695686400000,2023-09-26 23:59:59.999,RNDR,1d,1.4851,1.4878,1.5135,1.4626,122016.1,1995,RNDR
1695772800000,2023-09-27 23:59:59.999,RNDR,1d,1.4861,1.4872,1.5145,1.465,153456.5,2044,RNDR
1695859200000,2023-09-28 23:59:59.999,RNDR,1d,1.4837,1.5187,1.5495,1.4806,82941.6,1990,RNDR
1695945600000,2023-09-29 23:59:59.999,RNDR,1d,1.5202,1.5378,1.5525,1.5084,94282.3,1994,RNDR
1696032000000,2023-09-30 23:59:59.999,RNDR,1d,1.5373,1.5342,1.5502,1.5166,88675.0,2084,RNDR
1696118400000,2023-10-01 23:59:59.999,RNDR,1d,1.5356,1.6906,1.732,1.5327,84940.1,2008,RNDR
1696204800000,2023-10-02 23:59:59.999,RNDR,1d,1.6932,1.692,1.7993,1.6795,207310.0,1991,RNDR
1696291200000,2023-10-03 23:59:59.999,RNDR,1d,1.6946,1.6659,1.7845,1.6536,267002.7,1969,RNDR
1696377600000,2023-10-04 23:59:59.999,RNDR,1d,1.663,1.7246,1.7433,1.6199,215866.8,2233,RNDR
1696464000000,2023-10-05 23:59:59.999,RNDR,1d,1.7227,1.7274,1.7575,1.6665,129370.0,2242,RNDR
1696550400000,2023-10-06 23:59:59.999,RNDR,1d,1.7282,1.8217,1.8399,1.7199,302892.0,2193,RNDR
1696636800000,2023-10-07 23:59:59.999,RNDR,1d,1.8244,1.8324,1.8908,1.7917,108796.9,2119,RNDR
1696723200000,2023-10-08 23:59:59.999,RNDR,1d,1.8267,1.8301,1.8585,1.8073,68856.2,2019,RNDR
1696809600000,2023-10-09 23:59:59.999,RNDR,1d,1.8301,1.758,1.848,1.7324,147222.3,2034,RNDR
1696896000000,2023-10-10 23:59:59.999,RNDR,1d,1.7608,1.7934,1.8158,1.6976,123993.8,2080,RNDR
1696982400000,2023-10-11 23:59:59.999,RNDR,1d,1.794,1.7946,1.8466,1.7438,200342.6,2055,RNDR
1697068800000,2023-10-12 23:59:59.999,RNDR,1d,1.7945,1.7178,1.8066,1.7104,118798.3,2000,RNDR
1697155200000,2023-10-13 23:59:59.999,RNDR,1d,1.7155,1.7483,1.7767,1.7073,243143.5,2023,RNDR
1697241600000,2023-10-14 23:59:59.999,RNDR,1d,1.7488,1.7367,1.7648,1.7166,180145.1,2213,RNDR
1697328000000,2023-10-15 23:59:59.999,RNDR,1d,1.7377,1.7274,1.762,1.7087,297101.4,2272,RNDR
1697414400000,2023-10-16 23:59:59.999,RNDR,1d,1.7276,1.8351,1.9726,1.7209,183829.8,2122,RNDR
1697500800000,2023-10-17 23:59:59.999,RNDR,1d,1.8356,1.8687,1.9113,1.8228,71301.5,2014,RNDR
1697587200000,2023-10-18 23:59:59.999,RNDR,1d,1.8692,1.9296,1.948,1.8655,102819.4,1965,RNDR
1697673600000,2023-10-19 23:59:59.999,RNDR,1d,1.9281,1.9259,1.972,1.8931,154513.9,1910,RNDR
1697760000000,2023-10-20 23:59:59.999,RNDR,1d,1.9232,1.9545,1.9959,1.9207,108056.0,2058,RNDR
1697846400000,2023-10-21 23:59:59.999,RNDR,1d,1.9547,1.9775,2.033,1.9382,124534.0,1972,RNDR
1697932800000,2023-10-22 23:59:59.999,RNDR,1d,1.9773,1.958,2.0422,1.9222,229196.9,2084,RNDR
1698019200000,2023-10-23 23:59:59.999,RNDR,1d,1.9585,2.0875,2.1479,1.9471,388282.5,1800,RNDR
1698105600000,2023-10-24 23:59:59.999,RNDR,1d,2.0913,2.0338,2.1927,2.0266,444871.1,2176,RNDR
1698192000000,2023-10-25 23:59:59.999,RNDR,1d,2.0394,2.0795,2.1328,2.0086,577708.0,2206,RNDR
1698278400000,2023-10-26 23:59:59.999,RNDR,1d,2.0801,2.1544,2.1935,2.0672,523576.6,2221,RNDR
1698364800000,2023-10-27 23:59:59.999,RNDR,1d,2.1548,2.2635,2.2719,2.1084,425686.6,2200,RNDR
1698451200000,2023-10-28 23:59:59.999,RNDR,1d,2.2624,2.3976,2.4619,2.2524,126358.9,1947,RNDR
1698537600000,2023-10-29 23:59:59.999,RNDR,1d,2.398,2.5526,2.6498,2.385,283857.3,1965,RNDR
1698624000000,2023-10-30 23:59:59.999,RNDR,1d,2.5535,2.489,2.6802,2.4365,231305.0,1901,RNDR
