t,timestamp,s,i,open,close,high,low,volume,n,asset,donchian_high_5,donchian_low_5,donchian_mid_5,donchian_high_10,donchian_low_10,donchian_mid_10,donchian_high_20,donchian_low_20,donchian_mid_20,donchian_high_30,donchian_low_30,donchian_mid_30,donchian_high_60,donchian_low_60,donchian_mid_60,donchian_high_90,donchian_low_90,donchian_mid_90,donchian_high_150,donchian_low_150,donchian_mid_150,donchian_high_250,donchian_low_250,donchian_mid_250,donchian_high_360,donchian_low_360,donchian_mid_360
1688774400000,2023-07-08 23:59:59.999,RUNE,1d,1.011,1.005,1.02,0.988,0.0,0,RUNE,,,,,,,,,,,,,,,,,,,,,,,,,,,
1688860800000,2023-07-09 23:59:59.999,RUNE,1d,1.005,0.997,1.015,0.992,0.0,0,RUNE,,,,,,,,,,,,,,,,,,,,,,,,,,,
1688947200000,2023-07-10 23:59:59.999,RUNE,1d,0.997,1.013,1.024,0.971,0.0,0,RUNE,,,,,,,,,,,,,,,,,,,,,,,,,,,
1689033600000,2023-07-11 23:59:59.999,RUNE,1d,1.014,0.991,1.02,0.98,0.0,0,RUNE,,,,,,,,,,,,,,,,,,,,,,,,,,,
1689120000000,2023-07-12 23:59:59.999,RUNE,1d,0.991,0.981,1.006,0.969,0.0,0,RUNE,1.024,0.969,0.9964999999999999,,,,,,,,,,,,,,,,,,,,,,,,
1689206400000,2023-07-13 23:59:59.999,RUNE,1d,0.98,1.068,1.07,0.967,0.0,0,RUNE,1.07,0.967,1.0185,,,,,,,,,,,,,,,,,,,,,,,,
1689292800000,2023-07-14 23:59:59.999,RUNE,1d,1.069,1.03,1.088,0.99,0.0,0,RUNE,1.088,0.967,1.0275,,,,,,,,,,,,,,,,,,,,,,,,
1689379200000,2023-07-15 23:59:59.999,RUNE,1d,1.031,1.035,1.04,1.014,0.0,0,RUNE,1.088,0.967,1.0275,,,,,,,,,,,,,,,,,,,,,,,,
1689465600000,2023-07-16 23:59:59.999,RUNE,1d,1.036,1.013,1.04,1.006,0.0,0,RUNE,1.088,0.967,1.0275,,,,,,,,,,,,,,,,,,,,,,,,
1689552000000,2023-07-17 23:59:59.999,RUNE,1d,1.012,1.013,1.033,0.99,0.0,0,RUNE,1.088,0.967,1.0275,1.088,0.967,1.0275,,,,,,,,,,,,,,,,,,,,,
1689638400000,2023-07-18 23:59:59.999,RUNE,1d,1.013,0.987,1.023,0.97,0.0,0,RUNE,1.088,0.97,1.029,1.088,0.967,1.0275,,,,,,,,,,,,,,,,,,,,,
1689724800000,2023-07-19 23:59:59.999,RUNE,1d,0.986,0.995,1.008,0.984,0.0,0,RUNE,1.04,0.97,1.005,1.088,0.967,1.0275,,,,,,,,,,,,,,,,,,,,,
