t,timestamp,s,i,open,close,high,low,volume,n,asset,donchian_high_5,donchian_low_5,donchian_mid_5,donchian_high_10,donchian_low_10,donchian_mid_10,donchian_high_20,donchian_low_20,donchian_mid_20,donchian_high_30,donchian_low_30,donchian_mid_30,donchian_high_60,donchian_low_60,donchian_mid_60,donchian_high_90,donchian_low_90,donchian_mid_90,donchian_high_150,donchian_low_150,donchian_mid_150,donchian_high_250,donchian_low_250,donchian_mid_250,donchian_high_360,donchian_low_360,donchian_mid_360
1712620800000,2024-04-09 23:59:59.999,SAGA,1d,6.61,6.5606,7.635,6.052,0.0,0,SAGA,,,,,,,,,,,,,,,,,,,,,,,,,,,
1712707200000,2024-04-10 23:59:59.999,SAGA,1d,6.5628,6.1244,6.7355,5.5798,0.0,0,SAGA,,,,,,,,,,,,,,,,,,,,,,,,,,,
1712793600000,2024-04-11 23:59:59.999,SAGA,1d,6.1244,5.1031,6.1264,4.9742,0.0,0,SAGA,,,,,,,,,,,,,,,,,,,,,,,,,,,
1712880000000,2024-04-12 23:59:59.999,SAGA,1d,5.1046,4.1012,5.3317,3.42,0.0,0,SAGA,,,,,,,,,,,,,,,,,,,,,,,,,,,
1712966400000,2024-04-13 23:59:59.999,SAGA,1d,4.1031,3.91,4.3818,3.3,0.0,0,SAGA,7.635,3.3,5.467499999999999,,,,,,,,,,,,,,,,,,,,,,,,
1713052800000,2024-04-14 23:59:59.999,SAGA,1d,3.9085,4.4416,4.5851,3.6777,0.0,0,SAGA,6.7355,3.3,5.0177499999999995,,,,,,,,,,,,,,,,,,,,,,,,
1713139200000,2024-04-15 23:59:59.999,SAGA,1d,4.4414,3.9883,4.4433,3.7847,0.0,0,SAGA,6.1264,3.3,4.7132000000000005,,,,,,,,,,,,,,,,,,,,,,,,
1713225600000,2024-04-16 23:59:59.999,SAGA,1d,3.9883,4.017,4.336,3.7052,0.0,0,SAGA,5.3317,3.3,4.315849999999999,,,,,,,,,,,,,,,,,,,,,,,,
1713312000000,2024-04-17 23:59:59.999,SAGA,1d,4.0169,3.479,4.0887,3.32,0.0,0,SAGA,4.5851,3.3,3.9425499999999998,,,,,,,,,,,,,,,,,,,,,,,,
1713398400000,2024-04-18 23:59:59.999,SAGA,1d,3.4781,3.3883,3.5071,3.0914,0.0,0,SAGA,4.5851,3.0914,3.83825,7.635,3.0914,5.3632,,,,,,,,,,,,,,,,,,,,,
1713484800000,2024-04-19 23:59:59.999,SAGA,1d,3.3879,4.3162,4.3999,3.0313,0.0,0,SAGA,4.4433,3.0313,3.7373,6.7355,3.0313,4.8834,,,,,,,,,,,,,,,,,,,,,
1713571200000,2024-04-20 23:59:59.999,SAGA,1d,4.3162,4.6058,4.888,4.1125,0.0,0,SAGA,4.888,3.0313,3.95965,6.1264,3.0313,4.57885,,,,,,,,,,,,,,,,,,,,,
1713657600000,2024-04-21 23:59:59.999,SAGA,1d,4.4487,4.3134,4.4941,4.243,333771.1,1906,SAGA,4.888,3.0313,3.95965,5.3317,3.0313,4.1815,,,,,,,,,,,,,,,,,,,,,
1713744000000,2024-04-22 23:59:59.999,SAGA,1d,4.3177,4.1811,4.4949,4.0481,290220.5,2176,SAGA,4.888,3.0313,3.95965,4.888,3.0313,3.95965,,,,,,,,,,,,,,,,,,,,,
1713830400000,2024-04-23 23:59:59.999,SAGA,1d,4.1673,4.0368,4.419,3.9848,382724.3,2392,SAGA,4.888,3.0313,3.95965,4.888,3.0313,3.95965,,,,,,,,,,,,,,,,,,,,,
1713916800000,2024-04-24 23:59:59.999,SAGA,1d,4.0371,3.8349,4.1186,3.7794,338994.7,2400,SAGA,4.888,3.7794,4.3337,4.888,3.0313,3.95965,,,,,,,,,,,,,,,,,,,,,
1714003200000,2024-04-25 23:59:59.999,SAGA,1d,3.8453,3.7832,3.9515,3.6557,248249.2,2217,SAGA,4.4949,3.6557,4.0753,4.888,3.0313,3.95965,,,,,,,,,,,,,,,,,,,,,
1714089600000,2024-04-26 23:59:59.999,SAGA,1d,3.781,3.6225,3.8425,3.58,271153.9,2285,SAGA,4.4949,3.58,4.03745,4.888,3.0313,3.95965,,,,,,,,,,,,,,,,,,,,,
1714176000000,2024-04-27 23:59:59.999,SAGA,1d,3.6278,3.7491,3.8451,3.4284,367310.9,2535,SAGA,4.419,3.4284,3.9236999999999997,4.888,3.0313,3.95965,,,,,,,,,,,,,,,,,,,,,
1714262400000,2024-04-28 23:59:59.999,SAGA,1d,3.7478,3.6918,4.0265,3.6597,423318.3,2543,SAGA,4.1186,3.4284,3.7735,4.888,3.0313,3.95965,7.635,3.0313,5.33315,,,,,,,,,,,,,,,,,,
1714348800000,2024-04-29 23:59:59.999,SAGA,1d,3.6925,3.6076,3.7175,3.4851,250448.6,2230,SAGA,4.0265,3.4284,3.72745,4.888,3.4284,4.1582,6.7355,3.0313,4.8834,,,,,,,,,,,,,,,,,,
1714435200000,2024-04-30 23:59:59.999,SAGA,1d,3.6073,3.2146,3.6615,3.1547,303479.3,2725,SAGA,4.0265,3.1547,3.5906000000000002,4.4949,3.1547,3.8248,6.1264,3.0313,4.57885,,,,,,,,,,,,,,,,,,
1714521600000,2024-05-01 23:59:59.999,SAGA,1d,3.2199,3.2062,3.2923,2.8392,496124.4,2910,SAGA,4.0265,2.8392,3.43285,4.4949,2.8392,3.66705,5.3317,2.8392,4.08545,,,,,,,,,,,,,,,,,,
1714608000000,2024-05-02 23:59:59.999,SAGA,1d,3.2038,3.21,3.2714,3.0624,176882.4,2187,SAGA,4.0265,2.8392,3.43285,4.419,2.8392,3.6290999999999998,4.888,2.8392,3.8636,,,,,,,,,,,,,,,,,,
1714694400000,2024-05-03 23:59:59.999,SAGA,1d,3.2151,3.4153,3.4647,3.1769,150812.9,2179,SAGA,3.7175,2.8392,3.2783499999999997,4.1186,2.8392,3.4789,4.888,2.8392,3.8636,,,,,,,,,,,,,,,,,,
1714780800000,2024-05-04 23:59:59.999,SAGA,1d,3.4123,3.3586,3.5261,3.295,72229.6,2014,SAGA,3.6615,2.8392,3.25035,4.0265,2.8392,3.43285,4.888,2.8392,3.8636,,,,,,,,,,,,,,,,,,
1714867200000,2024-05-05 23:59:59.999,SAGA,1d,3.3616,3.365,3.5195,3.2401,125175.8,2094,SAGA,3.5261,2.8392,3.1826499999999998,4.0265,2.8392,3.43285,4.888,2.8392,3.8636,,,,,,,,,,,,,,,,,,
1714953600000,2024-05-06 23:59:59.999,SAGA,1d,3.3677,3.1624,3.5241,3.1601,196055.1,2218,SAGA,3.5261,3.0624,3.29425,4.0265,2.8392,3.43285,4.888,2.8392,3.8636,,,,,,,,,,,,,,,,,,
1715040000000,2024-05-07 23:59:59.999,SAGA,1d,3.1605,2.9335,3.2397,2.9143,200545.0,2276,SAGA,3.5261,2.9143,3.2202,4.0265,2.8392,3.43285,4.888,2.8392,3.8636,,,,,,,,,,,,,,,,,,
1715126400000,2024-05-08 23:59:59.999,SAGA,1d,2.9274,2.8177,2.9793,2.7609,239209.8,2369,SAGA,3.5261,2.7609,3.1435,3.7175,2.7609,3.2392,4.888,2.7609,3.8244499999999997,7.635,2.7609,5.19795,,,,,,,,,,,,,,,
1715212800000,2024-05-09 23:59:59.999,SAGA,1d,2.8187,2.9147,2.9363,2.7937,120223.5,2241,SAGA,3.5241,2.7609,3.1425,3.6615,2.7609,3.2112,4.888,2.7609,3.8244499999999997,6.7355,2.7609,4.7482,,,,,,,,,,,,,,,
1715299200000,2024-05-10 23:59:59.999,SAGA,1d,2.9121,2.7501,2.9426,2.7021,251327.6,2329,SAGA,3.5241,2.7021,3.1131,3.5261,2.7021,3.1141,4.4949,2.7021,3.5985000000000005,6.1264,2.7021,4.41425,,,,,,,,,,,,,,,
1715385600000,2024-05-11 23:59:59.999,SAGA,1d,2.7503,2.7899,2.8836,2.7176,124726.5,2167,SAGA,3.2397,2.7021,2.9709000000000003,3.5261,2.7021,3.1141,4.4949,2.7021,3.5985000000000005,5.3317,2.7021,4.0169,,,,,,,,,,,,,,,
1715472000000,2024-05-12 23:59:59.999,SAGA,1d,2.7877,2.8189,2.9357,2.7605,142441.6,2290,SAGA,2.9793,2.7021,2.8407,3.5261,2.7021,3.1141,4.419,2.7021,3.56055,4.888,2.7021,3.79505,,,,,,,,,,,,,,,
1715558400000,2024-05-13 23:59:59.999,SAGA,1d,2.8197,2.4238,2.8413,2.3688,369354.4,2754,SAGA,2.9426,2.3688,2.6557,3.5261,2.3688,2.94745,4.1186,2.3688,3.2436999999999996,4.888,2.3688,3.6284,,,,,,,,,,,,,,,
1715644800000,2024-05-14 23:59:59.999,SAGA,1d,2.4169,2.2285,2.4294,2.1643,454248.2,2870,SAGA,2.9426,2.1643,2.5534499999999998,3.5241,2.1643,2.8442,4.0265,2.1643,3.0954,4.888,2.1643,3.52615,,,,,,,,,,,,,,,
1715731200000,2024-05-15 23:59:59.999,SAGA,1d,2.2297,2.2513,2.3076,2.0964,356225.8,2597,SAGA,2.9357,2.0964,2.51605,3.5241,2.0964,2.81025,4.0265,2.0964,3.0614500000000002,4.888,2.0964,3.4922,,,,,,,,,,,,,,,
1715817600000,2024-05-16 23:59:59.999,SAGA,1d,2.2534,2.1502,2.3688,2.0658,334043.4,2622,SAGA,2.9357,2.0658,2.50075,3.2397,2.0658,2.65275,4.0265,2.0658,3.04615,4.888,2.0658,3.4768999999999997,,,,,,,,,,,,,,,
1715904000000,2024-05-17 23:59:59.999,SAGA,1d,2.1506,2.2075,2.293,2.0956,263540.6,2390,SAGA,2.8413,2.0658,2.45355,2.9793,2.0658,2.52255,4.0265,2.0658,3.04615,4.888,2.0658,3.4768999999999997,,,,,,,,,,,,,,,
1715990400000,2024-05-18 23:59:59.999,SAGA,1d,2.2075,2.2521,2.4,2.1249,309834.6,2466,SAGA,2.4294,2.0658,2.2476,2.9426,2.0658,2.5042,3.7175,2.0658,2.89165,4.888,2.0658,3.4768999999999997,,,,,,,,,,,,,,,
1716076800000,2024-05-19 23:59:59.999,SAGA,1d,2.2517,2.0704,2.2607,2.059,341633.5,2201,SAGA,2.4,2.059,2.2295,2.9426,2.059,2.5008,3.6615,2.059,2.86025,4.888,2.059,3.4735,,,,,,,,,,,,,,,
1716163200000,2024-05-20 23:59:59.999,SAGA,1d,2.0701,2.3157,2.3449,1.9421,657857.6,2576,SAGA,2.4,1.9421,2.17105,2.9357,1.9421,2.4389000000000003,3.5261,1.9421,2.7340999999999998,4.4949,1.9421,3.2185,,,,,,,,,,,,,,,
1716249600000,2024-05-21 23:59:59.999,SAGA,1d,2.3097,2.3607,2.4093,2.2519,494653.6,2889,SAGA,2.4093,1.9421,2.1757,2.9357,1.9421,2.4389000000000003,3.5261,1.9421,2.7340999999999998,4.4949,1.9421,3.2185,,,,,,,,,,,,,,,
1716336000000,2024-05-22 23:59:59.999,SAGA,1d,2.36,2.2561,2.4065,2.1351,435459.9,2763,SAGA,2.4093,1.9421,2.1757,2.8413,1.9421,2.3917,3.5261,1.9421,2.7340999999999998,4.419,1.9421,3.1805499999999998,,,,,,,,,,,,,,,
1716422400000,2024-05-23 23:59:59.999,SAGA,1d,2.2565,2.2609,2.3732,2.0935,670695.9,3460,SAGA,2.4093,1.9421,2.1757,2.4294,1.9421,2.1857499999999996,3.5261,1.9421,2.7340999999999998,4.1186,1.9421,3.03035,,,,,,,,,,,,,,,
1716508800000,2024-05-24 23:59:59.999,SAGA,1d,2.2623,2.439,2.631,2.2307,528189.9,2574,SAGA,2.631,1.9421,2.28655,2.631,1.9421,2.28655,3.5241,1.9421,2.7331,4.0265,1.9421,2.9843,,,,,,,,,,,,,,,
1716595200000,2024-05-25 23:59:59.999,SAGA,1d,2.4391,2.4841,2.5392,2.3378,327404.5,2302,SAGA,2.631,2.0935,2.36225,2.631,1.9421,2.28655,3.5241,1.9421,2.7331,4.0265,1.9421,2.9843,,,,,,,,,,,,,,,
1716681600000,2024-05-26 23:59:59.999,SAGA,1d,2.4771,2.5223,2.6032,2.3555,286947.0,2193,SAGA,2.631,2.0935,2.36225,2.631,1.9421,2.28655,3.2397,1.9421,2.5909,4.0265,1.9421,2.9843,,,,,,,,,,,,,,,
1716768000000,2024-05-27 23:59:59.999,SAGA,1d,2.525,2.7659,2.8262,2.5125,449226.2,2640,SAGA,2.8262,2.0935,2.4598500000000003,2.8262,1.9421,2.38415,2.9793,1.9421,2.4607,4.0265,1.9421,2.9843,,,,,,,,,,,,,,,
