t,timestamp,s,i,open,close,high,low,volume,n,asset,donchian_high_5,donchian_low_5,donchian_mid_5,donchian_high_10,donchian_low_10,donchian_mid_10,donchian_high_20,donchian_low_20,donchian_mid_20,donchian_high_30,donchian_low_30,donchian_mid_30,donchian_high_60,donchian_low_60,donchian_mid_60,donchian_high_90,donchian_low_90,donchian_mid_90,donchian_high_150,donchian_low_150,donchian_mid_150,donchian_high_250,donchian_low_250,donchian_mid_250,donchian_high_360,donchian_low_360,donchian_mid_360
1688774400000,2023-07-08 23:59:59.999,SAND,1d,0.419,0.4152,0.4217,0.4069,0.0,0,SAND,,,,,,,,,,,,,,,,,,,,,,,,,,,
1688860800000,2023-07-09 23:59:59.999,SAND,1d,0.4153,0.4122,0.4197,0.4102,0.0,0,SAND,,,,,,,,,,,,,,,,,,,,,,,,,,,
1688947200000,2023-07-10 23:59:59.999,SAND,1d,0.4122,0.4171,0.4258,0.3958,0.0,0,SAND,,,,,,,,,,,,,,,,,,,,,,,,,,,
1689033600000,2023-07-11 23:59:59.999,SAND,1d,0.417,0.4238,0.4271,0.4123,0.0,0,SAND,,,,,,,,,,,,,,,,,,,,,,,,,,,
1689120000000,2023-07-12 23:59:59.999,SAND,1d,0.4238,0.4227,0.4338,0.4188,0.0,0,SAND,0.4338,0.3958,0.4148,,,,,,,,,,,,,,,,,,,,,,,,
1689206400000,2023-07-13 23:59:59.999,SAND,1d,0.4228,0.4803,0.4815,0.4161,0.0,0,SAND,0.4815,0.3958,0.43865,,,,,,,,,,,,,,,,,,,,,,,,
1689292800000,2023-07-14 23:59:59.999,SAND,1d,0.4802,0.4502,0.4862,0.4313,0.0,0,SAND,0.4862,0.3958,0.441,,,,,,,,,,,,,,,,,,,,,,,,
1689379200000,2023-07-15 23:59:59.999,SAND,1d,0.4501,0.4531,0.4617,0.4424,0.0,0,SAND,0.4862,0.4123,0.44925000000000004,,,,,,,,,,,,,,,,,,,,,,,,
1689465600000,2023-07-16 23:59:59.999,SAND,1d,0.453,0.4412,0.4583,0.4364,0.0,0,SAND,0.4862,0.4161,0.45115000000000005,,,,,,,,,,,,,,,,,,,,,,,,
1689552000000,2023-07-17 23:59:59.999,SAND,1d,0.4411,0.4513,0.4545,0.4322,0.0,0,SAND,0.4862,0.4161,0.45115000000000005,0.4862,0.3958,0.441,,,,,,,,,,,,,,,,,,,,,
