t,timestamp,s,i,open,close,high,low,volume,n,asset,donchian_high_5,donchian_low_5,donchian_mid_5,donchian_high_10,donchian_low_10,donchian_mid_10,donchian_high_20,donchian_low_20,donchian_mid_20,donchian_high_30,donchian_low_30,donchian_mid_30,donchian_high_60,donchian_low_60,donchian_mid_60,donchian_high_90,donchian_low_90,donchian_mid_90,donchian_high_150,donchian_low_150,donchian_mid_150,donchian_high_250,donchian_low_250,donchian_mid_250,donchian_high_360,donchian_low_360,donchian_mid_360
1728432000000,2024-10-09 23:59:59.999,SCR,1d,2.0206,1.4499,2.0206,1.3749,105880.2,700,SCR,,,,,,,,,,,,,,,,,,,,,,,,,,,
1728518400000,2024-10-10 23:59:59.999,SCR,1d,1.45,1.54,1.5754,1.4455,30094.5,225,SCR,,,,,,,,,,,,,,,,,,,,,,,,,,,
1728604800000,2024-10-11 23:59:59.999,SCR,1d,1.566,1.2122,1.619,1.1,485405.1,1072,SCR,,,,,,,,,,,,,,,,,,,,,,,,,,,
1728691200000,2024-10-12 23:59:59.999,SCR,1d,1.2122,1.2549,1.2863,1.1528,220458.4,371,SCR,,,,,,,,,,,,,,,,,,,,,,,,,,,
1728777600000,2024-10-13 23:59:59.999,SCR,1d,1.2516,1.2338,1.3388,1.1645,568681.3,640,SCR,2.0206,1.1,1.5603,,,,,,,,,,,,,,,,,,,,,,,,
1728864000000,2024-10-14 23:59:59.999,SCR,1d,1.2103,1.262,1.2799,1.2103,67442.6,122,SCR,1.619,1.1,1.3595000000000002,,,,,,,,,,,,,,,,,,,,,,,,
1728950400000,2024-10-15 23:59:59.999,SCR,1d,1.2622,1.38,1.49,1.262,96084.1,192,SCR,1.619,1.1,1.3595000000000002,,,,,,,,,,,,,,,,,,,,,,,,
1729036800000,2024-10-16 23:59:59.999,SCR,1d,1.3992,1.4596,1.51,1.3992,45096.1,101,SCR,1.51,1.1528,1.3314,,,,,,,,,,,,,,,,,,,,,,,,
1729123200000,2024-10-17 23:59:59.999,SCR,1d,1.4741,1.3809,1.55,1.3809,48703.9,125,SCR,1.55,1.1645,1.35725,,,,,,,,,,,,,,,,,,,,,,,,
1729209600000,2024-10-18 23:59:59.999,SCR,1d,1.3802,1.2957,1.4197,1.261,19076.7,121,SCR,1.55,1.2103,1.38015,2.0206,1.1,1.5603,,,,,,,,,,,,,,,,,,,,,
1729296000000,2024-10-19 23:59:59.999,SCR,1d,1.2829,1.377,1.3998,1.2829,10661.3,46,SCR,1.55,1.261,1.4055,1.619,1.1,1.3595000000000002,,,,,,,,,,,,,,,,,,,,,
