t,timestamp,s,i,open,close,high,low,volume,n,asset
1692662400000,2023-08-22 23:59:59.999,SHIA,1d,0.004052,0.1118,0.206739,0.003829,0.0,0,SHIA
1692748800000,2023-08-23 23:59:59.999,SHIA,1d,0.111799,0.227775,0.407193,0.097847,0.0,0,SHIA
1692835200000,2023-08-24 23:59:59.999,SHIA,1d,0.227774,0.405073,0.469766,0.19235,0.0,0,SHIA
1692921600000,2023-08-25 23:59:59.999,SHIA,1d,0.405075,0.656472,0.782508,0.364951,0.0,0,SHIA
1693008000000,2023-08-26 23:59:59.999,SHIA,1d,0.65194,0.69385,0.7785,0.64338,34015.0,102,SHIA
1693094400000,2023-08-27 23:59:59.999,SHIA,1d,0.69556,0.66189,0.71269,0.56882,58794.0,146,SHIA
1693180800000,2023-08-28 23:59:59.999,SHIA,1d,0.62072,0.46696,0.64386,0.39135,36784.0,171,SHIA
1693267200000,2023-08-29 23:59:59.999,SHIA,1d,0.49634,0.37414,0.51787,0.33833,27731.0,133,SHIA
1693353600000,2023-08-30 23:59:59.999,SHIA,1d,0.35511,0.36214,0.42927,0.32153,211466.0,168,SHIA
1693440000000,2023-08-31 23:59:59.999,SHIA,1d,0.36369,0.25647,0.37071,0.25027,189555.0,222,SHIA
1693526400000,2023-09-01 23:59:59.999,SHIA,1d,0.27594,0.27247,0.32431,0.25445,74934.0,95,SHIA
1693612800000,2023-09-02 23:59:59.999,SHIA,1d,0.27269,0.22539,0.27948,0.20494,64022.0,126,SHIA
1693699200000,2023-09-03 23:59:59.999,SHIA,1d,0.23521,0.28791,0.28791,0.21158,30952.0,86,SHIA
1693785600000,2023-09-04 23:59:59.999,SHIA,1d,0.28038,0.2647,0.29999,0.23891,56236.0,116,SHIA
1693872000000,2023-09-05 23:59:59.999,SHIA,1d,0.26423,0.2076,0.26863,0.19373,54663.0,134,SHIA
1693958400000,2023-09-06 23:59:59.999,SHIA,1d,0.19921,0.19649,0.21971,0.15719,143065.0,157,SHIA
1694044800000,2023-09-07 23:59:59.999,SHIA,1d,0.19956,0.14604,0.19956,0.13094,150382.0,156,SHIA
1694131200000,2023-09-08 23:59:59.999,SHIA,1d,0.14968,0.13642,0.15492,0.12613,145087.0,127,SHIA
1694217600000,2023-09-09 23:59:59.999,SHIA,1d,0.1361,0.13542,0.1442,0.12598,78644.0,83,SHIA
1694304000000,2023-09-10 23:59:59.999,SHIA,1d,0.1272,0.11325,0.12773,0.1132,10160.0,37,SHIA
1694390400000,2023-09-11 23:59:59.999,SHIA,1d,0.14466,0.12168,0.14466,0.10656,13781.0,54,SHIA
1694476800000,2023-09-12 23:59:59.999,SHIA,1d,0.1216,0.126,0.13264,0.1165,44121.0,126,SHIA
1694563200000,2023-09-13 23:59:59.999,SHIA,1d,0.12867,0.12428,0.13353,0.11885,22932.0,107,SHIA
1694649600000,2023-09-14 23:59:59.999,SHIA,1d,0.12428,0.12799,0.14251,0.12428,44193.0,116,SHIA
1694736000000,2023-09-15 23:59:59.999,SHIA,1d,0.12864,0.12721,0.13138,0.12369,21072.0,112,SHIA
1694822400000,2023-09-16 23:59:59.999,SHIA,1d,0.12756,0.16693,0.17635,0.12152,42721.0,121,SHIA
1694908800000,2023-09-17 23:59:59.999,SHIA,1d,0.16719,0.16288,0.20945,0.15794,120524.0,164,SHIA
1694995200000,2023-09-18 23:59:59.999,SHIA,1d,0.1623,0.15363,0.18052,0.15161,53563.0,117,SHIA
1695081600000,2023-09-19 23:59:59.999,SHIA,1d,0.15339,0.12822,0.15784,0.1263,39603.0,131,SHIA
1695168000000,2023-09-20 23:59:59.999,SHIA,1d,0.12778,0.12018,0.13671,0.12018,380227.0,173,SHIA
1695254400000,2023-09-21 23:59:59.999,SHIA,1d,0.12039,0.12018,0.12349,0.12018,848200.0,517,SHIA
1695340800000,2023-09-22 23:59:59.999,SHIA,1d,0.12018,0.11953,0.12507,0.094707,1071071.0,203,SHIA
1695427200000,2023-09-23 23:59:59.999,SHIA,1d,0.11973,0.11917,0.12574,0.11656,23313.0,106,SHIA
1695513600000,2023-09-24 23:59:59.999,SHIA,1d,0.11929,0.13119,0.13141,0.11873,18777.0,104,SHIA
1695600000000,2023-09-25 23:59:59.999,SHIA,1d,0.12981,0.12078,0.13084,0.11708,28800.0,116,SHIA
1695686400000,2023-09-26 23:59:59.999,SHIA,1d,0.12086,0.11615,0.12086,0.11479,19803.0,107,SHIA
1695772800000,2023-09-27 23:59:59.999,SHIA,1d,0.11615,0.12845,0.14413,0.11615,19289.0,115,SHIA
1695859200000,2023-09-28 23:59:59.999,SHIA,1d,0.12897,0.1458,0.15563,0.12681,199302.0,164,SHIA
1695945600000,2023-09-29 23:59:59.999,SHIA,1d,0.14451,0.14532,0.15099,0.13171,82646.0,138,SHIA
1696032000000,2023-09-30 23:59:59.999,SHIA,1d,0.14513,0.1193,0.15099,0.10754,186464.0,174,SHIA
1696118400000,2023-10-01 23:59:59.999,SHIA,1d,0.11947,0.11992,0.12703,0.11571,24864.0,126,SHIA
1696204800000,2023-10-02 23:59:59.999,SHIA,1d,0.12029,0.11743,0.12231,0.11648,24121.0,129,SHIA
1696291200000,2023-10-03 23:59:59.999,SHIA,1d,0.11744,0.12863,0.12863,0.11382,21698.0,105,SHIA
1696377600000,2023-10-04 23:59:59.999,SHIA,1d,0.12695,0.11517,0.12695,0.11417,45045.0,111,SHIA
1696464000000,2023-10-05 23:59:59.999,SHIA,1d,0.11499,0.10885,0.11503,0.10382,31856.0,134,SHIA
1696550400000,2023-10-06 23:59:59.999,SHIA,1d,0.10918,0.11753,0.11839,0.10812,22127.0,110,SHIA
1696636800000,2023-10-07 23:59:59.999,SHIA,1d,0.11795,0.11329,0.11801,0.11039,29439.0,147,SHIA
1696723200000,2023-10-08 23:59:59.999,SHIA,1d,0.11317,0.12187,0.12187,0.11213,18697.0,100,SHIA
1696809600000,2023-10-09 23:59:59.999,SHIA,1d,0.12222,0.097785,0.12245,0.093646,37347.0,121,SHIA
1696896000000,2023-10-10 23:59:59.999,SHIA,1d,0.097733,0.088077,0.099163,0.083755,30185.0,115,SHIA
1696982400000,2023-10-11 23:59:59.999,SHIA,1d,0.087788,0.085633,0.088656,0.084561,27959.0,107,SHIA
1697068800000,2023-10-12 23:59:59.999,SHIA,1d,0.085478,0.068457,0.086098,0.061521,117809.0,131,SHIA
1697155200000,2023-10-13 23:59:59.999,SHIA,1d,0.067536,0.058772,0.067649,0.056376,167139.0,144,SHIA
1697241600000,2023-10-14 23:59:59.999,SHIA,1d,0.058959,0.058084,0.061388,0.058051,83123.0,178,SHIA
1697328000000,2023-10-15 23:59:59.999,SHIA,1d,0.058155,0.070534,0.076558,0.058155,191685.0,157,SHIA
1697414400000,2023-10-16 23:59:59.999,SHIA,1d,0.07069,0.071114,0.071399,0.06888,90267.0,161,SHIA
1697500800000,2023-10-17 23:59:59.999,SHIA,1d,0.071156,0.066316,0.071524,0.064932,88123.0,184,SHIA
1697587200000,2023-10-18 23:59:59.999,SHIA,1d,0.066306,0.073098,0.073127,0.065931,79943.0,156,SHIA
1697673600000,2023-10-19 23:59:59.999,SHIA,1d,0.072665,0.056594,0.074666,0.056033,83502.0,160,SHIA
1697760000000,2023-10-20 23:59:59.999,SHIA,1d,0.056641,0.057495,0.060106,0.056093,211577.0,196,SHIA
1697846400000,2023-10-21 23:59:59.999,SHIA,1d,0.057601,0.055477,0.058134,0.052576,76435.0,158,SHIA
1697932800000,2023-10-22 23:59:59.999,SHIA,1d,0.055568,0.055521,0.057341,0.054986,105222.0,190,SHIA
1698019200000,2023-10-23 23:59:59.999,SHIA,1d,0.055674,0.059408,0.05959,0.054533,78435.0,158,SHIA
1698105600000,2023-10-24 23:59:59.999,SHIA,1d,0.05943,0.064562,0.070372,0.05943,83435.0,151,SHIA
1698192000000,2023-10-25 23:59:59.999,SHIA,1d,0.064562,0.064405,0.066984,0.062256,48646.0,150,SHIA
1698278400000,2023-10-26 23:59:59.999,SHIA,1d,0.064574,0.05918,0.064574,0.057692,66007.0,156,SHIA
