t,timestamp,s,i,open,close,high,low,volume,n,asset,donchian_high_5,donchian_low_5,donchian_mid_5,donchian_high_10,donchian_low_10,donchian_mid_10,donchian_high_20,donchian_low_20,donchian_mid_20,donchian_high_30,donchian_low_30,donchian_mid_30,donchian_high_60,donchian_low_60,donchian_mid_60,donchian_high_90,donchian_low_90,donchian_mid_90,donchian_high_150,donchian_low_150,donchian_mid_150,donchian_high_250,donchian_low_250,donchian_mid_250,donchian_high_360,donchian_low_360,donchian_mid_360
1688774400000,2023-07-08 23:59:59.999,SNX,1d,2.1022,2.0882,2.1308,2.0551,573468.1,4330,SNX,,,,,,,,,,,,,,,,,,,,,,,,,,,
1688860800000,2023-07-09 23:59:59.999,SNX,1d,2.0878,2.074,2.1165,2.0649,1204319.4,4704,SNX,,,,,,,,,,,,,,,,,,,,,,,,,,,
1688947200000,2023-07-10 23:59:59.999,SNX,1d,2.0731,2.0412,2.0904,1.978,1887659.4,6435,SNX,,,,,,,,,,,,,,,,,,,,,,,,,,,
1689033600000,2023-07-11 23:59:59.999,SNX,1d,2.0421,2.0318,2.0605,2.0039,1668168.0,5383,SNX,,,,,,,,,,,,,,,,,,,,,,,,,,,
1689120000000,2023-07-12 23:59:59.999,SNX,1d,2.0314,2.0483,2.0778,1.9969,877029.0,4142,SNX,2.1308,1.978,2.0544,,,,,,,,,,,,,,,,,,,,,,,,
1689206400000,2023-07-13 23:59:59.999,SNX,1d,2.0496,2.1909,2.1909,1.9912,788838.8,4507,SNX,2.1909,1.978,2.08445,,,,,,,,,,,,,,,,,,,,,,,,
1689292800000,2023-07-14 23:59:59.999,SNX,1d,2.1873,2.7397,3.3,2.1706,569809.7,7177,SNX,3.3,1.978,2.639,,,,,,,,,,,,,,,,,,,,,,,,
1689379200000,2023-07-15 23:59:59.999,SNX,1d,2.7343,2.8188,2.9077,2.5556,259283.2,4999,SNX,3.3,1.9912,2.6456,,,,,,,,,,,,,,,,,,,,,,,,
1689465600000,2023-07-16 23:59:59.999,SNX,1d,2.8169,2.6418,2.8808,2.6118,167319.4,4007,SNX,3.3,1.9912,2.6456,,,,,,,,,,,,,,,,,,,,,,,,
1689552000000,2023-07-17 23:59:59.999,SNX,1d,2.6369,2.6591,2.7981,2.532,276306.7,4576,SNX,3.3,1.9912,2.6456,3.3,1.978,2.639,,,,,,,,,,,,,,,,,,,,,
1689638400000,2023-07-18 23:59:59.999,SNX,1d,2.6593,2.611,2.7385,2.5801,876188.2,6234,SNX,3.3,2.1706,2.7352999999999996,3.3,1.978,2.639,,,,,,,,,,,,,,,,,,,,,
1689724800000,2023-07-19 23:59:59.999,SNX,1d,2.6078,2.7099,2.8311,2.5921,631988.0,6650,SNX,2.9077,2.532,2.71985,3.3,1.978,2.639,,,,,,,,,,,,,,,,,,,,,
1689811200000,2023-07-20 23:59:59.999,SNX,1d,2.7099,2.9084,3.1646,2.7013,446900.0,5938,SNX,3.1646,2.532,2.8483,3.3,1.9912,2.6456,,,,,,,,,,,,,,,,,,,,,
