t,timestamp,s,i,open,close,high,low,volume,n,asset,donchian_high_5,donchian_low_5,donchian_mid_5,donchian_high_10,donchian_low_10,donchian_mid_10,donchian_high_20,donchian_low_20,donchian_mid_20,donchian_high_30,donchian_low_30,donchian_mid_30,donchian_high_60,donchian_low_60,donchian_mid_60,donchian_high_90,donchian_low_90,donchian_mid_90,donchian_high_150,donchian_low_150,donchian_mid_150,donchian_high_250,donchian_low_250,donchian_mid_250,donchian_high_360,donchian_low_360,donchian_mid_360
1688774400000,2023-07-08 23:59:59.999,SOL,1d,21.482,21.812,22.468,21.291,35227.23,2919,SOL,,,,,,,,,,,,,,,,,,,,,,,,,,,
1688860800000,2023-07-09 23:59:59.999,SOL,1d,21.819,21.342,22.351,21.012,27982.71,2775,SOL,,,,,,,,,,,,,,,,,,,,,,,,,,,
1688947200000,2023-07-10 23:59:59.999,SOL,1d,21.313,21.289,21.771,20.522,37208.09,2925,SOL,,,,,,,,,,,,,,,,,,,,,,,,,,,
1689033600000,2023-07-11 23:59:59.999,SOL,1d,21.304,22.066,22.317,21.206,18108.48,2597,SOL,,,,,,,,,,,,,,,,,,,,,,,,,,,
1689120000000,2023-07-12 23:59:59.999,SOL,1d,22.069,21.939,23.012,21.764,13381.68,2500,SOL,23.012,20.522,21.767,,,,,,,,,,,,,,,,,,,,,,,,
1689206400000,2023-07-13 23:59:59.999,SOL,1d,21.947,26.021,26.525,21.471,11659.8,2356,SOL,26.525,20.522,23.5235,,,,,,,,,,,,,,,,,,,,,,,,
1689292800000,2023-07-14 23:59:59.999,SOL,1d,26.027,26.693,31.127,25.311,67168.87,3065,SOL,31.127,20.522,25.8245,,,,,,,,,,,,,,,,,,,,,,,,
1689379200000,2023-07-15 23:59:59.999,SOL,1d,26.621,27.445,29.113,26.601,44568.01,2915,SOL,31.127,21.206,26.1665,,,,,,,,,,,,,,,,,,,,,,,,
1689465600000,2023-07-16 23:59:59.999,SOL,1d,27.453,27.41,28.603,26.468,26550.27,2773,SOL,31.127,21.471,26.299,,,,,,,,,,,,,,,,,,,,,,,,
1689552000000,2023-07-17 23:59:59.999,SOL,1d,27.381,26.804,28.439,25.7,36586.25,2785,SOL,31.127,21.471,26.299,31.127,20.522,25.8245,,,,,,,,,,,,,,,,,,,,,
1689638400000,2023-07-18 23:59:59.999,SOL,1d,26.815,25.549,27.051,24.8,35503.08,2627,SOL,31.127,24.8,27.9635,31.127,20.522,25.8245,,,,,,,,,,,,,,,,,,,,,
1689724800000,2023-07-19 23:59:59.999,SOL,1d,25.508,26.292,26.971,25.368,17186.52,2693,SOL,29.113,24.8,26.9565,31.127,20.522,25.8245,,,,,,,,,,,,,,,,,,,,,
1689811200000,2023-07-20 23:59:59.999,SOL,1d,26.332,25.376,27.364,25.084,23597.27,2833,SOL,28.603,24.8,26.701500000000003,31.127,21.206,26.1665,,,,,,,,,,,,,,,,,,,,,
