t,timestamp,s,i,open,close,high,low,volume,n,asset
1748390400000,2025-05-28 23:59:59.999,SOPH,1d,0.069632,0.065616,0.070738,0.05979,259052971.0,31909,SOPH
1748476800000,2025-05-29 23:59:59.999,SOPH,1d,0.065601,0.056459,0.065603,0.055437,362793484.0,48233,SOPH
1748563200000,2025-05-30 23:59:59.999,SOPH,1d,0.056436,0.059474,0.062534,0.050051,366475991.0,41457,SOPH
1748649600000,2025-05-31 23:59:59.999,SOPH,1d,0.059493,0.049612,0.061238,0.048113,163989908.0,19429,SOPH
1748736000000,2025-06-01 23:59:59.999,SOPH,1d,0.049368,0.05327,0.055001,0.047217,125999759.0,19600,SOPH
1748822400000,2025-06-02 23:59:59.999,SOPH,1d,0.053267,0.059351,0.06411,0.049564,254663269.0,28512,SOPH
1748908800000,2025-06-03 23:59:59.999,SOPH,1d,0.058973,0.063087,0.074406,0.05888,382007518.0,36692,SOPH
1748995200000,2025-06-04 23:59:59.999,SOPH,1d,0.06316,0.055283,0.063809,0.054477,142381348.0,22150,SOPH
1749081600000,2025-06-05 23:59:59.999,SOPH,1d,0.05528,0.051815,0.060771,0.051224,168535634.0,21993,SOPH
1749168000000,2025-06-06 23:59:59.999,SOPH,1d,0.051867,0.048968,0.053591,0.047743,51963265.0,6977,SOPH
1749254400000,2025-06-07 23:59:59.999,SOPH,1d,0.048811,0.049931,0.051512,0.047726,54718530.0,6627,SOPH
1749340800000,2025-06-08 23:59:59.999,SOPH,1d,0.049924,0.050814,0.0543,0.049524,113927432.0,16807,SOPH
1749427200000,2025-06-09 23:59:59.999,SOPH,1d,0.050814,0.052018,0.052145,0.049028,43001721.0,7307,SOPH
1749513600000,2025-06-10 23:59:59.999,SOPH,1d,0.051828,0.053412,0.055001,0.051368,48280641.0,11911,SOPH
1749600000000,2025-06-11 23:59:59.999,SOPH,1d,0.053428,0.050001,0.054908,0.049284,37345002.0,4673,SOPH
1749686400000,2025-06-12 23:59:59.999,SOPH,1d,0.050021,0.047589,0.052377,0.046259,37297459.0,4719,SOPH
1749772800000,2025-06-13 23:59:59.999,SOPH,1d,0.047706,0.045155,0.047706,0.042939,41717511.0,4556,SOPH
1749859200000,2025-06-14 23:59:59.999,SOPH,1d,0.045162,0.044175,0.047352,0.043213,24539282.0,3587,SOPH
1749945600000,2025-06-15 23:59:59.999,SOPH,1d,0.044167,0.044311,0.046369,0.04356,16471262.0,4204,SOPH
1750032000000,2025-06-16 23:59:59.999,SOPH,1d,0.044316,0.041504,0.044886,0.041406,33558737.0,5783,SOPH
1750118400000,2025-06-17 23:59:59.999,SOPH,1d,0.041529,0.042732,0.044195,0.040049,46705839.0,6993,SOPH
1750204800000,2025-06-18 23:59:59.999,SOPH,1d,0.042743,0.041069,0.043468,0.038942,30006637.0,6078,SOPH
1750291200000,2025-06-19 23:59:59.999,SOPH,1d,0.041115,0.039236,0.041617,0.037567,45992868.0,6790,SOPH
1750377600000,2025-06-20 23:59:59.999,SOPH,1d,0.03927,0.036378,0.039369,0.036247,24343311.0,4884,SOPH
1750464000000,2025-06-21 23:59:59.999,SOPH,1d,0.036427,0.034446,0.038036,0.033378,44125283.0,9084,SOPH
1750550400000,2025-06-22 23:59:59.999,SOPH,1d,0.034507,0.032727,0.035604,0.031422,35060552.0,4181,SOPH
1750636800000,2025-06-23 23:59:59.999,SOPH,1d,0.032806,0.037655,0.038216,0.032195,39593195.0,7286,SOPH
1750723200000,2025-06-24 23:59:59.999,SOPH,1d,0.037585,0.035818,0.037585,0.035153,24174320.0,3313,SOPH
1750809600000,2025-06-25 23:59:59.999,SOPH,1d,0.035926,0.033789,0.035937,0.03359,19818785.0,2929,SOPH
1750896000000,2025-06-26 23:59:59.999,SOPH,1d,0.033707,0.032091,0.034109,0.031807,27779272.0,6236,SOPH
1750982400000,2025-06-27 23:59:59.999,SOPH,1d,0.032095,0.032619,0.033324,0.031762,12660996.0,3082,SOPH
1751068800000,2025-06-28 23:59:59.999,SOPH,1d,0.032631,0.033327,0.033584,0.032196,11978706.0,3965,SOPH
1751155200000,2025-06-29 23:59:59.999,SOPH,1d,0.033279,0.034547,0.034749,0.032731,10613855.0,2334,SOPH
1751241600000,2025-06-30 23:59:59.999,SOPH,1d,0.034564,0.033731,0.035294,0.033143,15301518.0,2461,SOPH
1751328000000,2025-07-01 23:59:59.999,SOPH,1d,0.033698,0.031119,0.033701,0.03084,13765019.0,2643,SOPH
1751414400000,2025-07-02 23:59:59.999,SOPH,1d,0.031098,0.032793,0.033759,0.030248,23294010.0,6755,SOPH
1751500800000,2025-07-03 23:59:59.999,SOPH,1d,0.032896,0.032299,0.033155,0.031456,25181728.0,5442,SOPH
1751587200000,2025-07-04 23:59:59.999,SOPH,1d,0.032323,0.030682,0.034042,0.030295,22849301.0,4313,SOPH
1751673600000,2025-07-05 23:59:59.999,SOPH,1d,0.030759,0.031725,0.032208,0.03044,16308654.0,2352,SOPH
