t,timestamp,s,i,open,close,high,low,volume,n,asset,donchian_high_5,donchian_low_5,donchian_mid_5,donchian_high_10,donchian_low_10,donchian_mid_10,donchian_high_20,donchian_low_20,donchian_mid_20,donchian_high_30,donchian_low_30,donchian_mid_30,donchian_high_60,donchian_low_60,donchian_mid_60,donchian_high_90,donchian_low_90,donchian_mid_90,donchian_high_150,donchian_low_150,donchian_mid_150,donchian_high_250,donchian_low_250,donchian_mid_250,donchian_high_360,donchian_low_360,donchian_mid_360
1696982400000,2023-10-11 23:59:59.999,STRAX,1d,0.7974,0.7325,0.7974,0.6906,0.0,0,STRAX,,,,,,,,,,,,,,,,,,,,,,,,,,,
1697068800000,2023-10-12 23:59:59.999,STRAX,1d,0.7328,0.761,0.7655,0.6687,0.0,0,STRAX,,,,,,,,,,,,,,,,,,,,,,,,,,,
1697155200000,2023-10-13 23:59:59.999,STRAX,1d,0.7618,0.7309,0.777,0.7073,0.0,0,STRAX,,,,,,,,,,,,,,,,,,,,,,,,,,,
1697241600000,2023-10-14 23:59:59.999,STRAX,1d,0.7309,0.7283,0.7321,0.6879,0.0,0,STRAX,,,,,,,,,,,,,,,,,,,,,,,,,,,
1697328000000,2023-10-15 23:59:59.999,STRAX,1d,0.728,0.9985,1.0098,0.7046,0.0,0,STRAX,1.0098,0.6687,0.83925,,,,,,,,,,,,,,,,,,,,,,,,
1697414400000,2023-10-16 23:59:59.999,STRAX,1d,0.998,1.0827,1.154,0.982,0.0,0,STRAX,1.154,0.6687,0.9113499999999999,,,,,,,,,,,,,,,,,,,,,,,,
1697500800000,2023-10-17 23:59:59.999,STRAX,1d,1.0825,1.0982,1.156,1.0164,0.0,0,STRAX,1.156,0.6879,0.9219499999999999,,,,,,,,,,,,,,,,,,,,,,,,
1697587200000,2023-10-18 23:59:59.999,STRAX,1d,1.0981,0.7531,1.2297,0.7142,0.0,0,STRAX,1.2297,0.6879,0.9588,,,,,,,,,,,,,,,,,,,,,,,,
1697673600000,2023-10-19 23:59:59.999,STRAX,1d,0.7535,0.6451,0.8158,0.601,0.0,0,STRAX,1.2297,0.601,0.91535,,,,,,,,,,,,,,,,,,,,,,,,
1697760000000,2023-10-20 23:59:59.999,STRAX,1d,0.645,0.6675,0.6785,0.5983,0.0,0,STRAX,1.2297,0.5983,0.914,1.2297,0.5983,0.914,,,,,,,,,,,,,,,,,,,,,
1697846400000,2023-10-21 23:59:59.999,STRAX,1d,0.6674,0.6774,0.6972,0.6458,0.0,0,STRAX,1.2297,0.5983,0.914,1.2297,0.5983,0.914,,,,,,,,,,,,,,,,,,,,,
1697932800000,2023-10-22 23:59:59.999,STRAX,1d,0.6774,0.6559,0.6863,0.635,0.0,0,STRAX,1.2297,0.5983,0.914,1.2297,0.5983,0.914,,,,,,,,,,,,,,,,,,,,,
1698019200000,2023-10-23 23:59:59.999,STRAX,1d,0.656,0.6473,0.6567,0.5983,0.0,0,STRAX,0.8158,0.5983,0.70705,1.2297,0.5983,0.914,,,,,,,,,,,,,,,,,,,,,
1698105600000,2023-10-24 23:59:59.999,STRAX,1d,0.6473,0.7458,0.7753,0.6188,0.0,0,STRAX,0.7753,0.5983,0.6868000000000001,1.2297,0.5983,0.914,,,,,,,,,,,,,,,,,,,,,
1698192000000,2023-10-25 23:59:59.999,STRAX,1d,0.7457,0.8253,0.8985,0.7203,0.0,0,STRAX,0.8985,0.5983,0.7484,1.2297,0.5983,0.914,,,,,,,,,,,,,,,,,,,,,
1698278400000,2023-10-26 23:59:59.999,STRAX,1d,0.81185,0.8366,0.84866,0.81185,372800.0,722,STRAX,0.8985,0.5983,0.7484,1.2297,0.5983,0.914,,,,,,,,,,,,,,,,,,,,,
1698364800000,2023-10-27 23:59:59.999,STRAX,1d,0.83643,0.80993,0.8459,0.79637,1015741.0,2146,STRAX,0.8985,0.5983,0.7484,1.2297,0.5983,0.914,,,,,,,,,,,,,,,,,,,,,
1698451200000,2023-10-28 23:59:59.999,STRAX,1d,0.80977,0.88223,0.8847,0.79243,360671.0,1808,STRAX,0.8985,0.6188,0.75865,0.8985,0.5983,0.7484,,,,,,,,,,,,,,,,,,,,,
1698537600000,2023-10-29 23:59:59.999,STRAX,1d,0.88312,0.87838,0.91214,0.85626,343253.0,1869,STRAX,0.91214,0.7203,0.81622,0.91214,0.5983,0.75522,,,,,,,,,,,,,,,,,,,,,
1698624000000,2023-10-30 23:59:59.999,STRAX,1d,0.87876,0.90226,0.90316,0.85236,294976.0,1821,STRAX,0.91214,0.79243,0.852285,0.91214,0.5983,0.75522,1.2297,0.5983,0.914,,,,,,,,,,,,,,,,,,
1698710400000,2023-10-31 23:59:59.999,STRAX,1d,0.89695,0.95805,1.1124,0.86486,710030.0,1705,STRAX,1.1124,0.79243,0.952415,1.1124,0.5983,0.85535,1.2297,0.5983,0.914,,,,,,,,,,,,,,,,,,
1698796800000,2023-11-01 23:59:59.999,STRAX,1d,0.97145,0.95138,1.0563,0.8962,526655.0,1737,STRAX,1.1124,0.79243,0.952415,1.1124,0.5983,0.85535,1.2297,0.5983,0.914,,,,,,,,,,,,,,,,,,
