t,timestamp,s,i,open,close,high,low,volume,n,asset,donchian_high_5,donchian_low_5,donchian_mid_5,donchian_high_10,donchian_low_10,donchian_mid_10,donchian_high_20,donchian_low_20,donchian_mid_20,donchian_high_30,donchian_low_30,donchian_mid_30,donchian_high_60,donchian_low_60,donchian_mid_60,donchian_high_90,donchian_low_90,donchian_mid_90,donchian_high_150,donchian_low_150,donchian_mid_150,donchian_high_250,donchian_low_250,donchian_mid_250,donchian_high_360,donchian_low_360,donchian_mid_360
1688774400000,2023-07-08 23:59:59.999,SUI,1d,0.66094,0.65222,0.6684,0.64146,1789903.4,3208,SUI,,,,,,,,,,,,,,,,,,,,,,,,,,,
1688860800000,2023-07-09 23:59:59.999,SUI,1d,0.65248,0.65858,0.66643,0.64941,1649939.2,3112,SUI,,,,,,,,,,,,,,,,,,,,,,,,,,,
1688947200000,2023-07-10 23:59:59.999,SUI,1d,0.65891,0.65458,0.66581,0.62799,3159183.0,3753,SUI,,,,,,,,,,,,,,,,,,,,,,,,,,,
1689033600000,2023-07-11 23:59:59.999,SUI,1d,0.65459,0.65495,0.66867,0.64208,1852732.4,3206,SUI,,,,,,,,,,,,,,,,,,,,,,,,,,,
1689120000000,2023-07-12 23:59:59.999,SUI,1d,0.65515,0.65499,0.68618,0.64478,889623.1,2751,SUI,0.68618,0.62799,0.657085,,,,,,,,,,,,,,,,,,,,,,,,
1689206400000,2023-07-13 23:59:59.999,SUI,1d,0.65501,0.69891,0.71376,0.64801,666803.8,2749,SUI,0.71376,0.62799,0.670875,,,,,,,,,,,,,,,,,,,,,,,,
1689292800000,2023-07-14 23:59:59.999,SUI,1d,0.69851,0.67992,0.76139,0.65811,1103854.9,2907,SUI,0.76139,0.62799,0.69469,,,,,,,,,,,,,,,,,,,,,,,,
1689379200000,2023-07-15 23:59:59.999,SUI,1d,0.68001,0.68282,0.69783,0.66732,620109.1,2749,SUI,0.76139,0.64208,0.701735,,,,,,,,,,,,,,,,,,,,,,,,
1689465600000,2023-07-16 23:59:59.999,SUI,1d,0.68265,0.672,0.69299,0.66239,522507.1,2698,SUI,0.76139,0.64478,0.703085,,,,,,,,,,,,,,,,,,,,,,,,
1689552000000,2023-07-17 23:59:59.999,SUI,1d,0.67052,0.71964,0.73146,0.66613,1053540.3,2985,SUI,0.76139,0.64801,0.7047,0.76139,0.62799,0.69469,,,,,,,,,,,,,,,,,,,,,
1689638400000,2023-07-18 23:59:59.999,SUI,1d,0.71977,0.73594,0.78437,0.70997,1455717.2,2872,SUI,0.78437,0.65811,0.72124,0.78437,0.62799,0.70618,,,,,,,,,,,,,,,,,,,,,
1689724800000,2023-07-19 23:59:59.999,SUI,1d,0.73632,0.70939,0.77512,0.70266,1013876.2,2848,SUI,0.78437,0.66239,0.72338,0.78437,0.62799,0.70618,,,,,,,,,,,,,,,,,,,,,
1689811200000,2023-07-20 23:59:59.999,SUI,1d,0.70962,0.68737,0.72788,0.68082,800712.4,2900,SUI,0.78437,0.66239,0.72338,0.78437,0.64208,0.713225,,,,,,,,,,,,,,,,,,,,,
1689897600000,2023-07-21 23:59:59.999,SUI,1d,0.6884,0.683,0.69587,0.67104,1485073.9,2991,SUI,0.78437,0.66613,0.72525,0.78437,0.64478,0.714575,,,,,,,,,,,,,,,,,,,,,
1689984000000,2023-07-22 23:59:59.999,SUI,1d,0.6831,0.6932,0.70451,0.68171,1026206.5,3005,SUI,0.78437,0.67104,0.727705,0.78437,0.64801,0.71619,,,,,,,,,,,,,,,,,,,,,
1690070400000,2023-07-23 23:59:59.999,SUI,1d,0.69321,0.6785,0.70333,0.67349,907660.9,2870,SUI,0.77512,0.67104,0.72308,0.78437,0.65811,0.72124,,,,,,,,,,,,,,,,,,,,,
1690156800000,2023-07-24 23:59:59.999,SUI,1d,0.67871,0.63622,0.67985,0.60612,1450322.8,3037,SUI,0.72788,0.60612,0.667,0.78437,0.60612,0.695245,,,,,,,,,,,,,,,,,,,,,
1690243200000,2023-07-25 23:59:59.999,SUI,1d,0.63585,0.63674,0.6503,0.62561,1212508.0,2982,SUI,0.70451,0.60612,0.655315,0.78437,0.60612,0.695245,,,,,,,,,,,,,,,,,,,,,
1690329600000,2023-07-26 23:59:59.999,SUI,1d,0.63654,0.63516,0.64182,0.61632,1720773.2,3007,SUI,0.70451,0.60612,0.655315,0.78437,0.60612,0.695245,,,,,,,,,,,,,,,,,,,,,
1690416000000,2023-07-27 23:59:59.999,SUI,1d,0.63382,0.62991,0.64994,0.62383,1448337.0,2810,SUI,0.70333,0.60612,0.654725,0.78437,0.60612,0.695245,0.78437,0.60612,0.695245,,,,,,,,,,,,,,,,,,
1690502400000,2023-07-28 23:59:59.999,SUI,1d,0.62991,0.63029,0.64263,0.62488,974847.4,2794,SUI,0.67985,0.60612,0.6429849999999999,0.77512,0.60612,0.69062,0.78437,0.60612,0.695245,,,,,,,,,,,,,,,,,,
1690588800000,2023-07-29 23:59:59.999,SUI,1d,0.62962,0.63844,0.64062,0.6251,808642.0,2987,SUI,0.6503,0.61632,0.63331,0.72788,0.60612,0.667,0.78437,0.60612,0.695245,,,,,,,,,,,,,,,,,,
1690675200000,2023-07-30 23:59:59.999,SUI,1d,0.63875,0.61993,0.63953,0.59589,1252242.8,2852,SUI,0.64994,0.59589,0.622915,0.70451,0.59589,0.6502,0.78437,0.59589,0.69013,,,,,,,,,,,,,,,,,,
1690761600000,2023-07-31 23:59:59.999,SUI,1d,0.61964,0.63164,0.63389,0.61344,1577329.8,2855,SUI,0.64994,0.59589,0.622915,0.70451,0.59589,0.6502,0.78437,0.59589,0.69013,,,,,,,,,,,,,,,,,,
1690848000000,2023-08-01 23:59:59.999,SUI,1d,0.63204,0.6464,0.64722,0.61112,2166097.2,3046,SUI,0.64722,0.59589,0.6215550000000001,0.70333,0.59589,0.64961,0.78437,0.59589,0.69013,,,,,,,,,,,,,,,,,,
1690934400000,2023-08-02 23:59:59.999,SUI,1d,0.64681,0.61374,0.64946,0.6083,1790815.7,3100,SUI,0.64946,0.59589,0.6226750000000001,0.67985,0.59589,0.6378699999999999,0.78437,0.59589,0.69013,,,,,,,,,,,,,,,,,,
