t,timestamp,s,i,open,close,high,low,volume,n,asset,donchian_high_5,donchian_low_5,donchian_mid_5,donchian_high_10,donchian_low_10,donchian_mid_10,donchian_high_20,donchian_low_20,donchian_mid_20,donchian_high_30,donchian_low_30,donchian_mid_30,donchian_high_60,donchian_low_60,donchian_mid_60,donchian_high_90,donchian_low_90,donchian_mid_90,donchian_high_150,donchian_low_150,donchian_mid_150,donchian_high_250,donchian_low_250,donchian_mid_250,donchian_high_360,donchian_low_360,donchian_mid_360
1700956800000,2023-11-26 23:59:59.999,SUPER,1d,0.41442,0.41642,0.41827,0.36675,613109.0,522,SUPER,,,,,,,,,,,,,,,,,,,,,,,,,,,
1701043200000,2023-11-27 23:59:59.999,SUPER,1d,0.41699,0.33903,0.41699,0.31499,664250.0,1843,SUPER,,,,,,,,,,,,,,,,,,,,,,,,,,,
1701129600000,2023-11-28 23:59:59.999,SUPER,1d,0.34111,0.40938,0.42485,0.33698,3945419.0,3605,SUPER,,,,,,,,,,,,,,,,,,,,,,,,,,,
1701216000000,2023-11-29 23:59:59.999,SUPER,1d,0.40902,0.36028,0.43,0.35973,1871966.0,3085,SUPER,,,,,,,,,,,,,,,,,,,,,,,,,,,
1701302400000,2023-11-30 23:59:59.999,SUPER,1d,0.36133,0.35699,0.36976,0.34351,861982.0,1999,SUPER,0.43,0.31499,0.372495,,,,,,,,,,,,,,,,,,,,,,,,
1701388800000,2023-12-01 23:59:59.999,SUPER,1d,0.35697,0.37471,0.37984,0.35503,784335.0,2024,SUPER,0.43,0.31499,0.372495,,,,,,,,,,,,,,,,,,,,,,,,
1701475200000,2023-12-02 23:59:59.999,SUPER,1d,0.37367,0.45509,0.47331,0.36557,1449192.0,2112,SUPER,0.47331,0.33698,0.405145,,,,,,,,,,,,,,,,,,,,,,,,
1701561600000,2023-12-03 23:59:59.999,SUPER,1d,0.45377,0.53793,0.5667,0.42399,3275021.0,3038,SUPER,0.5667,0.34351,0.455105,,,,,,,,,,,,,,,,,,,,,,,,
1701648000000,2023-12-04 23:59:59.999,SUPER,1d,0.53873,0.7147,0.73967,0.51067,2881099.0,3024,SUPER,0.73967,0.34351,0.54159,,,,,,,,,,,,,,,,,,,,,,,,
1701734400000,2023-12-05 23:59:59.999,SUPER,1d,0.7148,0.66745,0.74006,0.639,2186812.0,2275,SUPER,0.74006,0.35503,0.5475450000000001,0.74006,0.31499,0.527525,,,,,,,,,,,,,,,,,,,,,
1701820800000,2023-12-06 23:59:59.999,SUPER,1d,0.66713,0.59726,0.69968,0.57567,1800848.0,2019,SUPER,0.74006,0.36557,0.5528150000000001,0.74006,0.31499,0.527525,,,,,,,,,,,,,,,,,,,,,
1701907200000,2023-12-07 23:59:59.999,SUPER,1d,0.60054,0.56885,0.64724,0.56707,1516662.0,1963,SUPER,0.74006,0.42399,0.582025,0.74006,0.33698,0.53852,,,,,,,,,,,,,,,,,,,,,
1701993600000,2023-12-08 23:59:59.999,SUPER,1d,0.57199,0.61948,0.64915,0.56334,1213995.0,2083,SUPER,0.74006,0.51067,0.625365,0.74006,0.34351,0.541785,,,,,,,,,,,,,,,,,,,,,
1702080000000,2023-12-09 23:59:59.999,SUPER,1d,0.61712,0.60401,0.66,0.5993,2547380.0,2212,SUPER,0.74006,0.56334,0.6517,0.74006,0.34351,0.541785,,,,,,,,,,,,,,,,,,,,,
1702166400000,2023-12-10 23:59:59.999,SUPER,1d,0.60682,0.6129,0.65749,0.60605,1152718.0,1930,SUPER,0.69968,0.56334,0.63151,0.74006,0.35503,0.5475450000000001,,,,,,,,,,,,,,,,,,,,,
1702252800000,2023-12-11 23:59:59.999,SUPER,1d,0.61316,0.56445,0.62505,0.53895,6631118.0,2910,SUPER,0.66,0.53895,0.599475,0.74006,0.36557,0.5528150000000001,,,,,,,,,,,,,,,,,,,,,
1702339200000,2023-12-12 23:59:59.999,SUPER,1d,0.5648,0.55314,0.57902,0.52581,1395488.0,1930,SUPER,0.66,0.52581,0.592905,0.74006,0.42399,0.582025,,,,,,,,,,,,,,,,,,,,,
1702425600000,2023-12-13 23:59:59.999,SUPER,1d,0.55514,0.60916,0.64953,0.49537,2289920.0,2072,SUPER,0.66,0.49537,0.577685,0.74006,0.49537,0.617715,,,,,,,,,,,,,,,,,,,,,
1702512000000,2023-12-14 23:59:59.999,SUPER,1d,0.60975,0.63655,0.63963,0.59424,3807023.0,2787,SUPER,0.65749,0.49537,0.57643,0.74006,0.49537,0.617715,,,,,,,,,,,,,,,,,,,,,
1702598400000,2023-12-15 23:59:59.999,SUPER,1d,0.63664,0.56459,0.643,0.56322,998531.0,2029,SUPER,0.64953,0.49537,0.57245,0.69968,0.49537,0.597525,0.74006,0.31499,0.527525,,,,,,,,,,,,,,,,,,
1702684800000,2023-12-16 23:59:59.999,SUPER,1d,0.56557,0.58896,0.63742,0.56022,684469.0,2013,SUPER,0.64953,0.49537,0.57245,0.66,0.49537,0.577685,0.74006,0.31499,0.527525,,,,,,,,,,,,,,,,,,
1702771200000,2023-12-17 23:59:59.999,SUPER,1d,0.58943,0.5573,0.59667,0.556,731216.0,1931,SUPER,0.64953,0.49537,0.57245,0.66,0.49537,0.577685,0.74006,0.33698,0.53852,,,,,,,,,,,,,,,,,,
1702857600000,2023-12-18 23:59:59.999,SUPER,1d,0.55754,0.57463,0.57582,0.50773,1889345.0,2295,SUPER,0.643,0.50773,0.575365,0.66,0.49537,0.577685,0.74006,0.34351,0.541785,,,,,,,,,,,,,,,,,,
1702944000000,2023-12-19 23:59:59.999,SUPER,1d,0.57437,0.57895,0.63652,0.56631,1605410.0,2112,SUPER,0.643,0.50773,0.575365,0.65749,0.49537,0.57643,0.74006,0.34351,0.541785,,,,,,,,,,,,,,,,,,
1703030400000,2023-12-20 23:59:59.999,SUPER,1d,0.57839,0.5967,0.63573,0.56759,1409311.0,2139,SUPER,0.63742,0.50773,0.5725750000000001,0.64953,0.49537,0.57245,0.74006,0.35503,0.5475450000000001,,,,,,,,,,,,,,,,,,
1703116800000,2023-12-21 23:59:59.999,SUPER,1d,0.59717,0.58388,0.60859,0.5757,525256.0,1927,SUPER,0.63652,0.50773,0.572125,0.64953,0.49537,0.57245,0.74006,0.36557,0.5528150000000001,,,,,,,,,,,,,,,,,,
1703203200000,2023-12-22 23:59:59.999,SUPER,1d,0.58636,0.6966,0.72554,0.58248,1804306.0,2830,SUPER,0.72554,0.50773,0.616635,0.72554,0.49537,0.610455,0.74006,0.42399,0.582025,,,,,,,,,,,,,,,,,,
1703289600000,2023-12-23 23:59:59.999,SUPER,1d,0.69713,0.67334,0.78192,0.65292,1796854.0,2742,SUPER,0.78192,0.56631,0.674115,0.78192,0.50773,0.644825,0.78192,0.49537,0.6386449999999999,,,,,,,,,,,,,,,,,,
1703376000000,2023-12-24 23:59:59.999,SUPER,1d,0.67384,0.68826,0.71605,0.65388,708285.0,1951,SUPER,0.78192,0.56759,0.674755,0.78192,0.50773,0.644825,0.78192,0.49537,0.6386449999999999,,,,,,,,,,,,,,,,,,
1703462400000,2023-12-25 23:59:59.999,SUPER,1d,0.68865,0.69372,0.71201,0.66848,684958.0,2038,SUPER,0.78192,0.5757,0.6788099999999999,0.78192,0.50773,0.644825,0.78192,0.49537,0.6386449999999999,0.78192,0.31499,0.5484549999999999,,,,,,,,,,,,,,,
1703548800000,2023-12-26 23:59:59.999,SUPER,1d,0.69413,0.68792,0.73081,0.58675,1039509.0,2211,SUPER,0.78192,0.58248,0.6821999999999999,0.78192,0.50773,0.644825,0.78192,0.49537,0.6386449999999999,0.78192,0.31499,0.5484549999999999,,,,,,,,,,,,,,,
1703635200000,2023-12-27 23:59:59.999,SUPER,1d,0.68495,0.67748,0.71474,0.66932,481482.0,1934,SUPER,0.78192,0.58675,0.6843349999999999,0.78192,0.50773,0.644825,0.78192,0.49537,0.6386449999999999,0.78192,0.33698,0.55945,,,,,,,,,,,,,,,
1703721600000,2023-12-28 23:59:59.999,SUPER,1d,0.67746,0.66986,0.69688,0.64804,530446.0,1927,SUPER,0.73081,0.58675,0.6587799999999999,0.78192,0.56631,0.674115,0.78192,0.49537,0.6386449999999999,0.78192,0.34351,0.562715,,,,,,,,,,,,,,,
1703808000000,2023-12-29 23:59:59.999,SUPER,1d,0.66953,0.64809,0.68452,0.63844,537890.0,1951,SUPER,0.73081,0.58675,0.6587799999999999,0.78192,0.56759,0.674755,0.78192,0.49537,0.6386449999999999,0.78192,0.34351,0.562715,,,,,,,,,,,,,,,
1703894400000,2023-12-30 23:59:59.999,SUPER,1d,0.64735,0.62197,0.66498,0.62109,269291.0,1913,SUPER,0.73081,0.58675,0.6587799999999999,0.78192,0.5757,0.6788099999999999,0.78192,0.49537,0.6386449999999999,0.78192,0.35503,0.568475,,,,,,,,,,,,,,,
1703980800000,2023-12-31 23:59:59.999,SUPER,1d,0.62222,0.6088,0.63647,0.59483,324926.0,1919,SUPER,0.71474,0.59483,0.654785,0.78192,0.58248,0.6821999999999999,0.78192,0.49537,0.6386449999999999,0.78192,0.36557,0.573745,,,,,,,,,,,,,,,
1704067200000,2024-01-01 23:59:59.999,SUPER,1d,0.6089,0.6673,0.67207,0.60241,352637.0,1951,SUPER,0.69688,0.59483,0.6458550000000001,0.78192,0.58675,0.6843349999999999,0.78192,0.49537,0.6386449999999999,0.78192,0.42399,0.6029549999999999,,,,,,,,,,,,,,,
1704153600000,2024-01-02 23:59:59.999,SUPER,1d,0.66755,0.66416,0.67482,0.63793,622025.0,1914,SUPER,0.68452,0.59483,0.639675,0.73081,0.58675,0.6587799999999999,0.78192,0.50773,0.644825,0.78192,0.49537,0.6386449999999999,,,,,,,,,,,,,,,
1704240000000,2024-01-03 23:59:59.999,SUPER,1d,0.66477,0.61109,0.675,0.48006,1682331.0,2579,SUPER,0.675,0.48006,0.57753,0.73081,0.48006,0.605435,0.78192,0.48006,0.6309899999999999,0.78192,0.48006,0.6309899999999999,,,,,,,,,,,,,,,
1704326400000,2024-01-04 23:59:59.999,SUPER,1d,0.60959,0.61751,0.64061,0.5889,871956.0,1989,SUPER,0.675,0.48006,0.57753,0.73081,0.48006,0.605435,0.78192,0.48006,0.6309899999999999,0.78192,0.48006,0.6309899999999999,,,,,,,,,,,,,,,
1704412800000,2024-01-05 23:59:59.999,SUPER,1d,0.6174,0.59023,0.63279,0.55624,1113729.0,2232,SUPER,0.675,0.48006,0.57753,0.71474,0.48006,0.5974,0.78192,0.48006,0.6309899999999999,0.78192,0.48006,0.6309899999999999,,,,,,,,,,,,,,,
1704499200000,2024-01-06 23:59:59.999,SUPER,1d,0.58899,0.55036,0.58899,0.52949,554410.0,2107,SUPER,0.675,0.48006,0.57753,0.69688,0.48006,0.58847,0.78192,0.48006,0.6309899999999999,0.78192,0.48006,0.6309899999999999,,,,,,,,,,,,,,,
1704585600000,2024-01-07 23:59:59.999,SUPER,1d,0.54877,0.5128,0.56654,0.5088,543366.0,2059,SUPER,0.675,0.48006,0.57753,0.68452,0.48006,0.58229,0.78192,0.48006,0.6309899999999999,0.78192,0.48006,0.6309899999999999,,,,,,,,,,,,,,,
1704672000000,2024-01-08 23:59:59.999,SUPER,1d,0.51294,0.54373,0.55117,0.4525,703698.0,2017,SUPER,0.64061,0.4525,0.546555,0.675,0.4525,0.56375,0.78192,0.4525,0.61721,0.78192,0.4525,0.61721,,,,,,,,,,,,,,,
1704758400000,2024-01-09 23:59:59.999,SUPER,1d,0.54238,0.50616,0.54709,0.48226,736863.0,2080,SUPER,0.63279,0.4525,0.542645,0.675,0.4525,0.56375,0.78192,0.4525,0.61721,0.78192,0.4525,0.61721,,,,,,,,,,,,,,,
1704844800000,2024-01-10 23:59:59.999,SUPER,1d,0.50641,0.57619,0.60629,0.491,740044.0,2235,SUPER,0.60629,0.4525,0.5293950000000001,0.675,0.4525,0.56375,0.78192,0.4525,0.61721,0.78192,0.4525,0.61721,,,,,,,,,,,,,,,
1704931200000,2024-01-11 23:59:59.999,SUPER,1d,0.57368,0.55891,0.59196,0.54449,891621.0,2221,SUPER,0.60629,0.4525,0.5293950000000001,0.675,0.4525,0.56375,0.78192,0.4525,0.61721,0.78192,0.4525,0.61721,,,,,,,,,,,,,,,
1705017600000,2024-01-12 23:59:59.999,SUPER,1d,0.55987,0.55952,0.60191,0.53565,1498128.0,2336,SUPER,0.60629,0.4525,0.5293950000000001,0.675,0.4525,0.56375,0.73081,0.4525,0.591655,0.78192,0.4525,0.61721,,,,,,,,,,,,,,,
1705104000000,2024-01-13 23:59:59.999,SUPER,1d,0.56,0.5607,0.57505,0.54128,826240.0,2043,SUPER,0.60629,0.48226,0.5442750000000001,0.64061,0.4525,0.546555,0.73081,0.4525,0.591655,0.78192,0.4525,0.61721,,,,,,,,,,,,,,,
1705190400000,2024-01-14 23:59:59.999,SUPER,1d,0.56141,0.55535,0.58208,0.5376,507221.0,2057,SUPER,0.60629,0.491,0.548645,0.63279,0.4525,0.542645,0.73081,0.4525,0.591655,0.78192,0.4525,0.61721,,,,,,,,,,,,,,,
1705276800000,2024-01-15 23:59:59.999,SUPER,1d,0.55423,0.61546,0.68258,0.55423,3022227.0,3201,SUPER,0.68258,0.53565,0.609115,0.68258,0.4525,0.5675399999999999,0.71474,0.4525,0.58362,0.78192,0.4525,0.61721,,,,,,,,,,,,,,,
1705363200000,2024-01-16 23:59:59.999,SUPER,1d,0.61629,0.62082,0.62878,0.57644,977911.0,2228,SUPER,0.68258,0.53565,0.609115,0.68258,0.4525,0.5675399999999999,0.69688,0.4525,0.57469,0.78192,0.4525,0.61721,,,,,,,,,,,,,,,
1705449600000,2024-01-17 23:59:59.999,SUPER,1d,0.6209,0.65587,0.65881,0.59616,1826071.0,2414,SUPER,0.68258,0.5376,0.61009,0.68258,0.4525,0.5675399999999999,0.68452,0.4525,0.5685100000000001,0.78192,0.4525,0.61721,,,,,,,,,,,,,,,
1705536000000,2024-01-18 23:59:59.999,SUPER,1d,0.65461,0.61186,0.69414,0.60986,1987423.0,2701,SUPER,0.69414,0.5376,0.6158699999999999,0.69414,0.48226,0.5882000000000001,0.69414,0.4525,0.57332,0.78192,0.4525,0.61721,,,,,,,,,,,,,,,
1705622400000,2024-01-19 23:59:59.999,SUPER,1d,0.61274,0.60969,0.6339,0.5777,1186987.0,2353,SUPER,0.69414,0.55423,0.624185,0.69414,0.491,0.59257,0.69414,0.4525,0.57332,0.78192,0.4525,0.61721,,,,,,,,,,,,,,,
1705708800000,2024-01-20 23:59:59.999,SUPER,1d,0.60859,0.62723,0.64753,0.60253,532648.0,2160,SUPER,0.69414,0.57644,0.6352899999999999,0.69414,0.53565,0.614895,0.69414,0.4525,0.57332,0.78192,0.4525,0.61721,,,,,,,,,,,,,,,
1705795200000,2024-01-21 23:59:59.999,SUPER,1d,0.62578,0.61397,0.64483,0.61168,509822.0,2097,SUPER,0.69414,0.5777,0.63592,0.69414,0.53565,0.614895,0.69414,0.4525,0.57332,0.78192,0.4525,0.61721,,,,,,,,,,,,,,,
1705881600000,2024-01-22 23:59:59.999,SUPER,1d,0.6141,0.57544,0.6185,0.56771,503417.0,2150,SUPER,0.69414,0.56771,0.630925,0.69414,0.5376,0.6158699999999999,0.69414,0.4525,0.57332,0.73081,0.4525,0.591655,,,,,,,,,,,,,,,
1705968000000,2024-01-23 23:59:59.999,SUPER,1d,0.5756,0.56739,0.58838,0.51865,436558.0,2046,SUPER,0.64753,0.51865,0.5830900000000001,0.69414,0.51865,0.606395,0.69414,0.4525,0.57332,0.73081,0.4525,0.591655,,,,,,,,,,,,,,,
1706054400000,2024-01-24 23:59:59.999,SUPER,1d,0.56755,0.61061,0.61721,0.55061,382877.0,2020,SUPER,0.64753,0.51865,0.5830900000000001,0.69414,0.51865,0.606395,0.69414,0.4525,0.57332,0.73081,0.4525,0.591655,0.78192,0.31499,0.5484549999999999,,,,,,,,,,,,
1706140800000,2024-01-25 23:59:59.999,SUPER,1d,0.61103,0.56518,0.61103,0.55417,368617.0,1969,SUPER,0.64483,0.51865,0.58174,0.69414,0.51865,0.606395,0.69414,0.4525,0.57332,0.71474,0.4525,0.58362,0.78192,0.31499,0.5484549999999999,,,,,,,,,,,,
1706227200000,2024-01-26 23:59:59.999,SUPER,1d,0.56427,0.66441,0.67466,0.55769,836538.0,2328,SUPER,0.67466,0.51865,0.596655,0.69414,0.51865,0.606395,0.69414,0.4525,0.57332,0.69688,0.4525,0.57469,0.78192,0.33698,0.55945,,,,,,,,,,,,
1706313600000,2024-01-27 23:59:59.999,SUPER,1d,0.66532,0.63732,0.70044,0.61926,922299.0,2353,SUPER,0.70044,0.51865,0.609545,0.70044,0.51865,0.609545,0.70044,0.4525,0.57647,0.70044,0.4525,0.57647,0.78192,0.34351,0.562715,,,,,,,,,,,,
1706400000000,2024-01-28 23:59:59.999,SUPER,1d,0.63772,0.62466,0.65372,0.61752,418106.0,2148,SUPER,0.70044,0.55061,0.625525,0.70044,0.51865,0.609545,0.70044,0.48226,0.59135,0.70044,0.4525,0.57647,0.78192,0.34351,0.562715,,,,,,,,,,,,
1706486400000,2024-01-29 23:59:59.999,SUPER,1d,0.62208,0.71124,0.73269,0.62057,1099723.0,2244,SUPER,0.73269,0.55417,0.64343,0.73269,0.51865,0.62567,0.73269,0.491,0.611845,0.73269,0.4525,0.592595,0.78192,0.35503,0.568475,,,,,,,,,,,,
1706572800000,2024-01-30 23:59:59.999,SUPER,1d,0.71097,0.63998,0.73937,0.6321,1151437.0,2421,SUPER,0.73937,0.55769,0.64853,0.73937,0.51865,0.6290100000000001,0.73937,0.51865,0.6290100000000001,0.73937,0.4525,0.595935,0.78192,0.36557,0.573745,,,,,,,,,,,,
1706659200000,2024-01-31 23:59:59.999,SUPER,1d,0.63966,0.57107,0.64127,0.56797,1663430.0,2538,SUPER,0.73937,0.56797,0.65367,0.73937,0.51865,0.6290100000000001,0.73937,0.51865,0.6290100000000001,0.73937,0.4525,0.595935,0.78192,0.42399,0.6029549999999999,,,,,,,,,,,,
1706745600000,2024-02-01 23:59:59.999,SUPER,1d,0.57152,0.60714,0.61094,0.55307,1368174.0,2573,SUPER,0.73937,0.55307,0.64622,0.73937,0.51865,0.6290100000000001,0.73937,0.51865,0.6290100000000001,0.73937,0.4525,0.595935,0.78192,0.4525,0.61721,,,,,,,,,,,,
1706832000000,2024-02-02 23:59:59.999,SUPER,1d,0.60709,0.59543,0.61365,0.58282,929288.0,2204,SUPER,0.73937,0.55307,0.64622,0.73937,0.55061,0.64499,0.73937,0.51865,0.6290100000000001,0.73937,0.4525,0.595935,0.78192,0.4525,0.61721,,,,,,,,,,,,
1706918400000,2024-02-03 23:59:59.999,SUPER,1d,0.5961,0.58763,0.60304,0.58069,509738.0,2096,SUPER,0.73937,0.55307,0.64622,0.73937,0.55307,0.64622,0.73937,0.51865,0.6290100000000001,0.73937,0.4525,0.595935,0.78192,0.4525,0.61721,,,,,,,,,,,,
1707004800000,2024-02-04 23:59:59.999,SUPER,1d,0.58742,0.57031,0.58782,0.56833,470791.0,2004,SUPER,0.64127,0.55307,0.59717,0.73937,0.55307,0.64622,0.73937,0.51865,0.6290100000000001,0.73937,0.4525,0.595935,0.78192,0.4525,0.61721,,,,,,,,,,,,
1707091200000,2024-02-05 23:59:59.999,SUPER,1d,0.57039,0.57544,0.58505,0.55987,573479.0,2174,SUPER,0.61365,0.55307,0.58336,0.73937,0.55307,0.64622,0.73937,0.51865,0.6290100000000001,0.73937,0.4525,0.595935,0.78192,0.4525,0.61721,,,,,,,,,,,,
1707177600000,2024-02-06 23:59:59.999,SUPER,1d,0.5768,0.59731,0.60242,0.56732,427836.0,2099,SUPER,0.61365,0.55987,0.58676,0.73937,0.55307,0.64622,0.73937,0.51865,0.6290100000000001,0.73937,0.4525,0.595935,0.78192,0.4525,0.61721,,,,,,,,,,,,
1707264000000,2024-02-07 23:59:59.999,SUPER,1d,0.59754,0.62831,0.65333,0.58901,995623.0,2314,SUPER,0.65333,0.55987,0.6066,0.73937,0.55307,0.64622,0.73937,0.51865,0.6290100000000001,0.73937,0.48226,0.610815,0.78192,0.4525,0.61721,,,,,,,,,,,,
1707350400000,2024-02-08 23:59:59.999,SUPER,1d,0.6285,0.63956,0.65479,0.62662,628023.0,2143,SUPER,0.65479,0.55987,0.6073299999999999,0.73937,0.55307,0.64622,0.73937,0.51865,0.6290100000000001,0.73937,0.491,0.615185,0.78192,0.4525,0.61721,,,,,,,,,,,,
1707436800000,2024-02-09 23:59:59.999,SUPER,1d,0.63984,0.69385,0.74453,0.6395,1012261.0,2349,SUPER,0.74453,0.55987,0.6522,0.74453,0.55307,0.6488,0.74453,0.51865,0.6315900000000001,0.74453,0.51865,0.6315900000000001,0.78192,0.4525,0.61721,,,,,,,,,,,,
1707523200000,2024-02-10 23:59:59.999,SUPER,1d,0.69472,0.84825,0.97743,0.69472,3643299.0,6181,SUPER,0.97743,0.56732,0.772375,0.97743,0.55307,0.76525,0.97743,0.51865,0.74804,0.97743,0.51865,0.74804,0.97743,0.4525,0.7149650000000001,,,,,,,,,,,,
1707609600000,2024-02-11 23:59:59.999,SUPER,1d,0.84997,0.87824,0.97216,0.8264,2596059.0,4181,SUPER,0.97743,0.58901,0.78322,0.97743,0.55987,0.76865,0.97743,0.51865,0.74804,0.97743,0.51865,0.74804,0.97743,0.4525,0.7149650000000001,,,,,,,,,,,,
1707696000000,2024-02-12 23:59:59.999,SUPER,1d,0.87809,0.90827,0.99875,0.83762,1759274.0,3795,SUPER,0.99875,0.62662,0.812685,0.99875,0.55987,0.77931,0.99875,0.55061,0.77468,0.99875,0.51865,0.7587,0.99875,0.4525,0.725625,,,,,,,,,,,,
1707782400000,2024-02-13 23:59:59.999,SUPER,1d,0.90533,1.0817,1.1171,0.90533,3839590.0,6246,SUPER,1.1171,0.6395,0.8783,1.1171,0.55987,0.8384849999999999,1.1171,0.55307,0.835085,1.1171,0.51865,0.817875,1.1171,0.4525,0.7847999999999999,,,,,,,,,,,,
1707868800000,2024-02-14 23:59:59.999,SUPER,1d,1.083,1.1199,1.1916,1.0356,599802.0,2755,SUPER,1.1916,0.69472,0.94316,1.1916,0.55987,0.8757349999999999,1.1916,0.55307,0.872335,1.1916,0.51865,0.855125,1.1916,0.4525,0.82205,,,,,,,,,,,,
1707955200000,2024-02-15 23:59:59.999,SUPER,1d,1.1185,1.1065,1.1791,1.0593,657418.0,2700,SUPER,1.1916,0.8264,1.009,1.1916,0.56732,0.87946,1.1916,0.55307,0.872335,1.1916,0.51865,0.855125,1.1916,0.4525,0.82205,,,,,,,,,,,,
1708041600000,2024-02-16 23:59:59.999,SUPER,1d,1.106,1.0482,1.1246,1.0082,601801.0,2572,SUPER,1.1916,0.83762,1.01461,1.1916,0.58901,0.890305,1.1916,0.55307,0.872335,1.1916,0.51865,0.855125,1.1916,0.4525,0.82205,,,,,,,,,,,,
