t,timestamp,s,i,open,close,high,low,volume,n,asset,donchian_high_5,donchian_low_5,donchian_mid_5,donchian_high_10,donchian_low_10,donchian_mid_10,donchian_high_20,donchian_low_20,donchian_mid_20,donchian_high_30,donchian_low_30,donchian_mid_30,donchian_high_60,donchian_low_60,donchian_mid_60,donchian_high_90,donchian_low_90,donchian_mid_90,donchian_high_150,donchian_low_150,donchian_mid_150,donchian_high_250,donchian_low_250,donchian_mid_250,donchian_high_360,donchian_low_360,donchian_mid_360
1688774400000,2023-07-08 23:59:59.999,SUSHI,1d,0.6491,0.6352,0.654,0.6211,0.0,0,SUSHI,,,,,,,,,,,,,,,,,,,,,,,,,,,
1688860800000,2023-07-09 23:59:59.999,SUSHI,1d,0.6353,0.633,0.646,0.6307,0.0,0,SUSHI,,,,,,,,,,,,,,,,,,,,,,,,,,,
1688947200000,2023-07-10 23:59:59.999,SUSHI,1d,0.6332,0.6326,0.6482,0.6086,0.0,0,SUSHI,,,,,,,,,,,,,,,,,,,,,,,,,,,
1689033600000,2023-07-11 23:59:59.999,SUSHI,1d,0.6326,0.6368,0.6387,0.6263,0.0,0,SUSHI,,,,,,,,,,,,,,,,,,,,,,,,,,,
1689120000000,2023-07-12 23:59:59.999,SUSHI,1d,0.6368,0.6334,0.6517,0.6212,0.0,0,SUSHI,0.654,0.6086,0.6313,,,,,,,,,,,,,,,,,,,,,,,,
1689206400000,2023-07-13 23:59:59.999,SUSHI,1d,0.6333,0.7126,0.7152,0.6231,0.0,0,SUSHI,0.7152,0.6086,0.6618999999999999,,,,,,,,,,,,,,,,,,,,,,,,
1689292800000,2023-07-14 23:59:59.999,SUSHI,1d,0.7126,0.6853,0.73,0.6606,0.0,0,SUSHI,0.73,0.6086,0.6693,,,,,,,,,,,,,,,,,,,,,,,,
1689379200000,2023-07-15 23:59:59.999,SUSHI,1d,0.6854,0.6782,0.6936,0.6702,0.0,0,SUSHI,0.73,0.6212,0.6756,,,,,,,,,,,,,,,,,,,,,,,,
1689465600000,2023-07-16 23:59:59.999,SUSHI,1d,0.6781,0.68,0.715,0.6604,0.0,0,SUSHI,0.73,0.6212,0.6756,,,,,,,,,,,,,,,,,,,,,,,,
1689552000000,2023-07-17 23:59:59.999,SUSHI,1d,0.68,0.7409,0.8149,0.6778,0.0,0,SUSHI,0.8149,0.6231,0.719,0.8149,0.6086,0.71175,,,,,,,,,,,,,,,,,,,,,
1689638400000,2023-07-18 23:59:59.999,SUSHI,1d,0.741,0.7224,0.7658,0.7,0.0,0,SUSHI,0.8149,0.6604,0.7376499999999999,0.8149,0.6086,0.71175,,,,,,,,,,,,,,,,,,,,,
1689724800000,2023-07-19 23:59:59.999,SUSHI,1d,0.7224,0.7064,0.7434,0.7007,0.0,0,SUSHI,0.8149,0.6604,0.7376499999999999,0.8149,0.6086,0.71175,,,,,,,,,,,,,,,,,,,,,
1689811200000,2023-07-20 23:59:59.999,SUSHI,1d,0.7063,0.7378,0.7544,0.6995,0.0,0,SUSHI,0.8149,0.6604,0.7376499999999999,0.8149,0.6212,0.71805,,,,,,,,,,,,,,,,,,,,,
1689897600000,2023-07-21 23:59:59.999,SUSHI,1d,0.7377,0.7204,0.7562,0.7173,0.0,0,SUSHI,0.8149,0.6778,0.74635,0.8149,0.6212,0.71805,,,,,,,,,,,,,,,,,,,,,
1689984000000,2023-07-22 23:59:59.999,SUSHI,1d,0.7204,0.6927,0.7244,0.6831,0.0,0,SUSHI,0.7658,0.6831,0.72445,0.8149,0.6231,0.719,,,,,,,,,,,,,,,,,,,,,
1690070400000,2023-07-23 23:59:59.999,SUSHI,1d,0.6926,0.7014,0.7148,0.6887,0.0,0,SUSHI,0.7562,0.6831,0.71965,0.8149,0.6604,0.7376499999999999,,,,,,,,,,,,,,,,,,,,,
1690156800000,2023-07-24 23:59:59.999,SUSHI,1d,0.7013,0.6617,0.7077,0.6187,0.0,0,SUSHI,0.7562,0.6187,0.68745,0.8149,0.6187,0.7168,,,,,,,,,,,,,,,,,,,,,
1690243200000,2023-07-25 23:59:59.999,SUSHI,1d,0.6619,0.6545,0.6686,0.6505,0.0,0,SUSHI,0.7562,0.6187,0.68745,0.8149,0.6187,0.7168,,,,,,,,,,,,,,,,,,,,,
1690329600000,2023-07-26 23:59:59.999,SUSHI,1d,0.6545,0.6576,0.6671,0.6425,0.0,0,SUSHI,0.7244,0.6187,0.6715500000000001,0.8149,0.6187,0.7168,,,,,,,,,,,,,,,,,,,,,
1690416000000,2023-07-27 23:59:59.999,SUSHI,1d,0.6577,0.6557,0.6763,0.6515,0.0,0,SUSHI,0.7148,0.6187,0.66675,0.7658,0.6187,0.69225,0.8149,0.6086,0.71175,,,,,,,,,,,,,,,,,,
1690502400000,2023-07-28 23:59:59.999,SUSHI,1d,0.6558,0.6635,0.6652,0.6454,0.0,0,SUSHI,0.7077,0.6187,0.6632,0.7562,0.6187,0.68745,0.8149,0.6086,0.71175,,,,,,,,,,,,,,,,,,
1690588800000,2023-07-29 23:59:59.999,SUSHI,1d,0.6634,0.6839,0.685,0.659,0.0,0,SUSHI,0.685,0.6425,0.6637500000000001,0.7562,0.6187,0.68745,0.8149,0.6086,0.71175,,,,,,,,,,,,,,,,,,
1690675200000,2023-07-30 23:59:59.999,SUSHI,1d,0.684,0.6719,0.7063,0.6512,0.0,0,SUSHI,0.7063,0.6425,0.6744,0.7562,0.6187,0.68745,0.8149,0.6187,0.7168,,,,,,,,,,,,,,,,,,
1690761600000,2023-07-31 23:59:59.999,SUSHI,1d,0.6719,0.6847,0.7186,0.6676,0.0,0,SUSHI,0.7186,0.6454,0.6819999999999999,0.7244,0.6187,0.6715500000000001,0.8149,0.6187,0.7168,,,,,,,,,,,,,,,,,,
1690848000000,2023-08-01 23:59:59.999,SUSHI,1d,0.6847,0.7229,0.7251,0.6481,0.0,0,SUSHI,0.7251,0.6454,0.6852499999999999,0.7251,0.6187,0.6718999999999999,0.8149,0.6187,0.7168,,,,,,,,,,,,,,,,,,
1690934400000,2023-08-02 23:59:59.999,SUSHI,1d,0.7229,0.7157,0.7498,0.7021,0.0,0,SUSHI,0.7498,0.6481,0.69895,0.7498,0.6187,0.68425,0.8149,0.6187,0.7168,,,,,,,,,,,,,,,,,,
1691020800000,2023-08-03 23:59:59.999,SUSHI,1d,0.7157,0.701,0.7297,0.6924,0.0,0,SUSHI,0.7498,0.6481,0.69895,0.7498,0.6425,0.69615,0.8149,0.6187,0.7168,,,,,,,,,,,,,,,,,,
1691107200000,2023-08-04 23:59:59.999,SUSHI,1d,0.701,0.6959,0.7077,0.6835,0.0,0,SUSHI,0.7498,0.6481,0.69895,0.7498,0.6425,0.69615,0.8149,0.6187,0.7168,,,,,,,,,,,,,,,,,,
1691193600000,2023-08-05 23:59:59.999,SUSHI,1d,0.6959,0.6764,0.7034,0.6751,0.0,0,SUSHI,0.7498,0.6481,0.69895,0.7498,0.6454,0.6976,0.8149,0.6187,0.7168,,,,,,,,,,,,,,,,,,
1691280000000,2023-08-06 23:59:59.999,SUSHI,1d,0.6765,0.6862,0.6932,0.6722,0.0,0,SUSHI,0.7498,0.6722,0.7110000000000001,0.7498,0.6454,0.6976,0.7658,0.6187,0.69225,0.8149,0.6086,0.71175,,,,,,,,,,,,,,,
1691366400000,2023-08-07 23:59:59.999,SUSHI,1d,0.6864,0.7117,0.7153,0.6761,0.0,0,SUSHI,0.7297,0.6722,0.70095,0.7498,0.6481,0.69895,0.7562,0.6187,0.68745,0.8149,0.6086,0.71175,,,,,,,,,,,,,,,
1691452800000,2023-08-08 23:59:59.999,SUSHI,1d,0.7116,0.7221,0.7347,0.6988,0.0,0,SUSHI,0.7347,0.6722,0.70345,0.7498,0.6481,0.69895,0.7562,0.6187,0.68745,0.8149,0.6086,0.71175,,,,,,,,,,,,,,,
