t,timestamp,s,i,open,close,high,low,volume,n,asset,donchian_high_5,donchian_low_5,donchian_mid_5,donchian_high_10,donchian_low_10,donchian_mid_10,donchian_high_20,donchian_low_20,donchian_mid_20,donchian_high_30,donchian_low_30,donchian_mid_30,donchian_high_60,donchian_low_60,donchian_mid_60,donchian_high_90,donchian_low_90,donchian_mid_90,donchian_high_150,donchian_low_150,donchian_mid_150,donchian_high_250,donchian_low_250,donchian_mid_250,donchian_high_360,donchian_low_360,donchian_mid_360
1736985600000,2025-01-16 23:59:59.999,S,1d,0.8,0.7831,0.822,0.7609,0.0,0,S,,,,,,,,,,,,,,,,,,,,,,,,,,,
1737072000000,2025-01-17 23:59:59.999,S,1d,0.78449,0.78023,0.84861,0.76181,2469161.0,2886,S,,,,,,,,,,,,,,,,,,,,,,,,,,,
1737158400000,2025-01-18 23:59:59.999,S,1d,0.77978,0.68153,0.78563,0.66261,3564328.0,4291,S,,,,,,,,,,,,,,,,,,,,,,,,,,,
1737244800000,2025-01-19 23:59:59.999,S,1d,0.68073,0.56511,0.687,0.55003,7947286.0,7507,S,,,,,,,,,,,,,,,,,,,,,,,,,,,
1737331200000,2025-01-20 23:59:59.999,S,1d,0.5652,0.51739,0.62577,0.50197,12726542.0,12662,S,0.84861,0.50197,0.67529,,,,,,,,,,,,,,,,,,,,,,,,
1737417600000,2025-01-21 23:59:59.999,S,1d,0.51812,0.6064,0.63369,0.50066,10603465.0,9115,S,0.84861,0.50066,0.674635,,,,,,,,,,,,,,,,,,,,,,,,
1737504000000,2025-01-22 23:59:59.999,S,1d,0.6064,0.59448,0.65684,0.582,16005316.0,12461,S,0.78563,0.50066,0.6431450000000001,,,,,,,,,,,,,,,,,,,,,,,,
1737590400000,2025-01-23 23:59:59.999,S,1d,0.59354,0.58178,0.606,0.56434,6310339.0,5515,S,0.687,0.50066,0.5938300000000001,,,,,,,,,,,,,,,,,,,,,,,,
1737676800000,2025-01-24 23:59:59.999,S,1d,0.58106,0.53571,0.58241,0.52768,5330622.0,6931,S,0.65684,0.50066,0.57875,,,,,,,,,,,,,,,,,,,,,,,,
1737763200000,2025-01-25 23:59:59.999,S,1d,0.53579,0.53816,0.54736,0.52483,3393948.0,5222,S,0.65684,0.50066,0.57875,0.84861,0.50066,0.674635,,,,,,,,,,,,,,,,,,,,,
1737849600000,2025-01-26 23:59:59.999,S,1d,0.53858,0.51514,0.55559,0.51428,3526921.0,4242,S,0.65684,0.51428,0.58556,0.84861,0.50066,0.674635,,,,,,,,,,,,,,,,,,,,,
1737936000000,2025-01-27 23:59:59.999,S,1d,0.51484,0.49454,0.52086,0.45827,5999108.0,5517,S,0.606,0.45827,0.532135,0.78563,0.45827,0.62195,,,,,,,,,,,,,,,,,,,,,
1738022400000,2025-01-28 23:59:59.999,S,1d,0.49477,0.43989,0.49555,0.43483,5598456.0,4801,S,0.58241,0.43483,0.50862,0.687,0.43483,0.560915,,,,,,,,,,,,,,,,,,,,,
1738108800000,2025-01-29 23:59:59.999,S,1d,0.43961,0.48725,0.4997,0.43898,4610979.0,4755,S,0.55559,0.43483,0.49521000000000004,0.65684,0.43483,0.545835,,,,,,,,,,,,,,,,,,,,,
1738195200000,2025-01-30 23:59:59.999,S,1d,0.48725,0.51869,0.53758,0.48583,3913339.0,4100,S,0.55559,0.43483,0.49521000000000004,0.65684,0.43483,0.545835,,,,,,,,,,,,,,,,,,,,,
1738281600000,2025-01-31 23:59:59.999,S,1d,0.51842,0.56467,0.60163,0.50289,6929823.0,6786,S,0.60163,0.43483,0.51823,0.65684,0.43483,0.545835,,,,,,,,,,,,,,,,,,,,,
1738368000000,2025-02-01 23:59:59.999,S,1d,0.56467,0.4916,0.57102,0.48646,4805293.0,3901,S,0.60163,0.43483,0.51823,0.606,0.43483,0.520415,,,,,,,,,,,,,,,,,,,,,
1738454400000,2025-02-02 23:59:59.999,S,1d,0.49143,0.4586,0.51579,0.42511,9780338.0,7527,S,0.60163,0.42511,0.51337,0.60163,0.42511,0.51337,,,,,,,,,,,,,,,,,,,,,
1738540800000,2025-02-03 23:59:59.999,S,1d,0.45869,0.469,0.48014,0.31259,21974989.0,14305,S,0.60163,0.31259,0.45711,0.60163,0.31259,0.45711,,,,,,,,,,,,,,,,,,,,,
1738627200000,2025-02-04 23:59:59.999,S,1d,0.46977,0.43616,0.47339,0.40904,8045611.0,5857,S,0.60163,0.31259,0.45711,0.60163,0.31259,0.45711,0.84861,0.31259,0.5806,,,,,,,,,,,,,,,,,,
1738713600000,2025-02-05 23:59:59.999,S,1d,0.43542,0.43944,0.46377,0.42471,5921429.0,4741,S,0.57102,0.31259,0.441805,0.60163,0.31259,0.45711,0.84861,0.31259,0.5806,,,,,,,,,,,,,,,,,,
1738800000000,2025-02-06 23:59:59.999,S,1d,0.43943,0.42495,0.47496,0.41784,9297880.0,6936,S,0.51579,0.31259,0.41418999999999995,0.60163,0.31259,0.45711,0.78563,0.31259,0.54911,,,,,,,,,,,,,,,,,,
1738886400000,2025-02-07 23:59:59.999,S,1d,0.42445,0.39439,0.44866,0.38138,5307313.0,4084,S,0.48014,0.31259,0.39636499999999997,0.60163,0.31259,0.45711,0.687,0.31259,0.499795,,,,,,,,,,,,,,,,,,
1738972800000,2025-02-08 23:59:59.999,S,1d,0.39508,0.41258,0.41839,0.37542,5726156.0,4920,S,0.47496,0.37542,0.42518999999999996,0.60163,0.31259,0.45711,0.65684,0.31259,0.484715,,,,,,,,,,,,,,,,,,
1739059200000,2025-02-09 23:59:59.999,S,1d,0.41233,0.40975,0.41822,0.3932,3490600.0,4251,S,0.47496,0.37542,0.42518999999999996,0.60163,0.31259,0.45711,0.65684,0.31259,0.484715,,,,,,,,,,,,,,,,,,
1739145600000,2025-02-10 23:59:59.999,S,1d,0.40977,0.43622,0.4467,0.39811,4091852.0,3580,S,0.47496,0.37542,0.42518999999999996,0.57102,0.31259,0.441805,0.65684,0.31259,0.484715,,,,,,,,,,,,,,,,,,
1739232000000,2025-02-11 23:59:59.999,S,1d,0.43602,0.45349,0.48101,0.4351,9675945.0,6302,S,0.48101,0.37542,0.428215,0.51579,0.31259,0.41418999999999995,0.606,0.31259,0.459295,,,,,,,,,,,,,,,,,,
1739318400000,2025-02-12 23:59:59.999,S,1d,0.45314,0.55621,0.56152,0.4505,13974882.0,10254,S,0.56152,0.37542,0.46847,0.56152,0.31259,0.43705499999999997,0.60163,0.31259,0.45711,,,,,,,,,,,,,,,,,,
1739404800000,2025-02-13 23:59:59.999,S,1d,0.55589,0.53338,0.58716,0.52398,16575699.0,11531,S,0.58716,0.3932,0.49018,0.58716,0.37542,0.48129,0.60163,0.31259,0.45711,,,,,,,,,,,,,,,,,,
1739491200000,2025-02-14 23:59:59.999,S,1d,0.53373,0.54878,0.55898,0.52959,6214123.0,6090,S,0.58716,0.39811,0.49263500000000005,0.58716,0.37542,0.48129,0.60163,0.31259,0.45711,0.84861,0.31259,0.5806,,,,,,,,,,,,,,,
1739577600000,2025-02-15 23:59:59.999,S,1d,0.54902,0.5148,0.56153,0.50869,6834080.0,6006,S,0.58716,0.4351,0.51113,0.58716,0.37542,0.48129,0.60163,0.31259,0.45711,0.84861,0.31259,0.5806,,,,,,,,,,,,,,,
1739664000000,2025-02-16 23:59:59.999,S,1d,0.51406,0.52944,0.53739,0.50761,6505585.0,5183,S,0.58716,0.4505,0.51883,0.58716,0.37542,0.48129,0.60163,0.31259,0.45711,0.78563,0.31259,0.54911,,,,,,,,,,,,,,,
1739750400000,2025-02-17 23:59:59.999,S,1d,0.52944,0.60912,0.62454,0.52944,32191281.0,28020,S,0.62454,0.50761,0.566075,0.62454,0.37542,0.49998,0.62454,0.31259,0.468565,0.687,0.31259,0.499795,,,,,,,,,,,,,,,
1739836800000,2025-02-18 23:59:59.999,S,1d,0.60736,0.59741,0.62966,0.56533,30299995.0,22853,S,0.62966,0.50761,0.568635,0.62966,0.3932,0.51143,0.62966,0.31259,0.471125,0.65684,0.31259,0.484715,,,,,,,,,,,,,,,
1739923200000,2025-02-19 23:59:59.999,S,1d,0.59745,0.71189,0.73683,0.59191,30427818.0,30304,S,0.73683,0.50761,0.62222,0.73683,0.39811,0.56747,0.73683,0.31259,0.52471,0.73683,0.31259,0.52471,,,,,,,,,,,,,,,
1740009600000,2025-02-20 23:59:59.999,S,1d,0.71185,0.8675,0.90163,0.69665,52454573.0,54201,S,0.90163,0.50761,0.70462,0.90163,0.4351,0.668365,0.90163,0.31259,0.60711,0.90163,0.31259,0.60711,,,,,,,,,,,,,,,
1740096000000,2025-02-21 23:59:59.999,S,1d,0.86728,0.85568,0.9924,0.82751,93724539.0,103556,S,0.9924,0.52944,0.76092,0.9924,0.4505,0.7214499999999999,0.9924,0.31259,0.6524949999999999,0.9924,0.31259,0.6524949999999999,,,,,,,,,,,,,,,
