t,timestamp,s,i,open,close,high,low,volume,n,asset,donchian_high_5,donchian_low_5,donchian_mid_5,donchian_high_10,donchian_low_10,donchian_mid_10,donchian_high_20,donchian_low_20,donchian_mid_20,donchian_high_30,donchian_low_30,donchian_mid_30,donchian_high_60,donchian_low_60,donchian_mid_60,donchian_high_90,donchian_low_90,donchian_mid_90,donchian_high_150,donchian_low_150,donchian_mid_150,donchian_high_250,donchian_low_250,donchian_mid_250,donchian_high_360,donchian_low_360,donchian_mid_360
1708300800000,2024-02-19 23:59:59.999,TAO,1d,645.44,641.11,648.94,597.87,2082.697,1854,TAO,,,,,,,,,,,,,,,,,,,,,,,,,,,
1708387200000,2024-02-20 23:59:59.999,TAO,1d,643.84,627.82,655.18,555.0,3344.983,2810,TAO,,,,,,,,,,,,,,,,,,,,,,,,,,,
1708473600000,2024-02-21 23:59:59.999,TAO,1d,620.0,629.54,648.96,560.5,2601.349,2496,TAO,,,,,,,,,,,,,,,,,,,,,,,,,,,
1708560000000,2024-02-22 23:59:59.999,TAO,1d,632.18,596.42,650.18,570.33,15727.378,6161,TAO,,,,,,,,,,,,,,,,,,,,,,,,,,,
1708646400000,2024-02-23 23:59:59.999,TAO,1d,593.08,584.18,611.51,573.19,5293.084,4225,TAO,655.18,555.0,605.0899999999999,,,,,,,,,,,,,,,,,,,,,,,,
1708732800000,2024-02-24 23:59:59.999,TAO,1d,585.02,560.13,602.44,559.88,1742.917,2290,TAO,655.18,555.0,605.0899999999999,,,,,,,,,,,,,,,,,,,,,,,,
1708819200000,2024-02-25 23:59:59.999,TAO,1d,561.47,572.51,595.6,550.0,14406.691,5064,TAO,650.18,550.0,600.0899999999999,,,,,,,,,,,,,,,,,,,,,,,,
1708905600000,2024-02-26 23:59:59.999,TAO,1d,569.15,593.0,630.43,564.77,7946.096,4767,TAO,650.18,550.0,600.0899999999999,,,,,,,,,,,,,,,,,,,,,,,,
1708992000000,2024-02-27 23:59:59.999,TAO,1d,601.32,606.49,646.46,569.53,8229.238,4552,TAO,646.46,550.0,598.23,,,,,,,,,,,,,,,,,,,,,,,,
1709078400000,2024-02-28 23:59:59.999,TAO,1d,606.54,609.53,670.0,474.64,12037.369,4468,TAO,670.0,474.64,572.3199999999999,670.0,474.64,572.3199999999999,,,,,,,,,,,,,,,,,,,,,
1709164800000,2024-02-29 23:59:59.999,TAO,1d,611.15,616.53,649.82,601.3,3746.421,2910,TAO,670.0,474.64,572.3199999999999,670.0,474.64,572.3199999999999,,,,,,,,,,,,,,,,,,,,,
1709251200000,2024-03-01 23:59:59.999,TAO,1d,631.15,672.51,733.33,612.8,13264.502,5986,TAO,733.33,474.64,603.985,733.33,474.64,603.985,,,,,,,,,,,,,,,,,,,,,
1709337600000,2024-03-02 23:59:59.999,TAO,1d,681.0,645.07,705.69,638.11,4840.483,5014,TAO,733.33,474.64,603.985,733.33,474.64,603.985,,,,,,,,,,,,,,,,,,,,,
1709424000000,2024-03-03 23:59:59.999,TAO,1d,656.66,635.97,664.37,622.41,4085.069,2744,TAO,733.33,474.64,603.985,733.33,474.64,603.985,,,,,,,,,,,,,,,,,,,,,
1709510400000,2024-03-04 23:59:59.999,TAO,1d,630.43,647.9,672.32,622.06,5013.898,3650,TAO,733.33,601.3,667.315,733.33,474.64,603.985,,,,,,,,,,,,,,,,,,,,,
1709596800000,2024-03-05 23:59:59.999,TAO,1d,647.08,680.72,728.32,610.56,5590.6,3531,TAO,733.33,610.56,671.9449999999999,733.33,474.64,603.985,,,,,,,,,,,,,,,,,,,,,
1709683200000,2024-03-06 23:59:59.999,TAO,1d,679.53,716.31,756.93,660.0,4586.898,3980,TAO,756.93,610.56,683.7449999999999,756.93,474.64,615.785,,,,,,,,,,,,,,,,,,,,,
1709769600000,2024-03-07 23:59:59.999,TAO,1d,716.4,731.62,768.34,685.51,11112.462,10665,TAO,768.34,610.56,689.45,768.34,474.64,621.49,,,,,,,,,,,,,,,,,,,,,
1709856000000,2024-03-08 23:59:59.999,TAO,1d,732.22,694.46,745.61,670.78,4751.637,3348,TAO,768.34,610.56,689.45,768.34,474.64,621.49,,,,,,,,,,,,,,,,,,,,,
1709942400000,2024-03-09 23:59:59.999,TAO,1d,694.74,719.24,742.5,681.4,5559.343,4966,TAO,768.34,610.56,689.45,768.34,601.3,684.8199999999999,768.34,474.64,621.49,,,,,,,,,,,,,,,,,,
1710028800000,2024-03-10 23:59:59.999,TAO,1d,718.5,685.13,724.81,672.97,3599.633,3805,TAO,768.34,660.0,714.1700000000001,768.34,610.56,689.45,768.34,474.64,621.49,,,,,,,,,,,,,,,,,,
1710115200000,2024-03-11 23:59:59.999,TAO,1d,692.08,690.31,713.45,650.72,4052.338,2825,TAO,768.34,650.72,709.53,768.34,610.56,689.45,768.34,474.64,621.49,,,,,,,,,,,,,,,,,,
1710201600000,2024-03-12 23:59:59.999,TAO,1d,690.44,681.91,700.02,665.82,4106.061,2257,TAO,745.61,650.72,698.165,768.34,610.56,689.45,768.34,474.64,621.49,,,,,,,,,,,,,,,,,,
1710288000000,2024-03-13 23:59:59.999,TAO,1d,681.72,645.0,705.5,640.05,6219.613,4819,TAO,742.5,640.05,691.275,768.34,610.56,689.45,768.34,474.64,621.49,,,,,,,,,,,,,,,,,,
1710374400000,2024-03-14 23:59:59.999,TAO,1d,646.88,634.54,657.66,607.65,8056.783,5827,TAO,724.81,607.65,666.23,768.34,607.65,687.995,768.34,474.64,621.49,,,,,,,,,,,,,,,,,,
1710460800000,2024-03-15 23:59:59.999,TAO,1d,636.04,622.3,651.09,550.0,6417.076,4529,TAO,713.45,550.0,631.725,768.34,550.0,659.1700000000001,768.34,474.64,621.49,,,,,,,,,,,,,,,,,,
1710547200000,2024-03-16 23:59:59.999,TAO,1d,622.29,604.55,660.88,575.35,5240.113,3145,TAO,705.5,550.0,627.75,768.34,550.0,659.1700000000001,768.34,474.64,621.49,,,,,,,,,,,,,,,,,,
1710633600000,2024-03-17 23:59:59.999,TAO,1d,604.4,696.48,716.24,595.0,4794.651,3122,TAO,716.24,550.0,633.12,745.61,550.0,647.8050000000001,768.34,474.64,621.49,,,,,,,,,,,,,,,,,,
1710720000000,2024-03-18 23:59:59.999,TAO,1d,696.77,721.26,766.09,659.54,3790.109,3266,TAO,766.09,550.0,658.0450000000001,766.09,550.0,658.0450000000001,768.34,474.64,621.49,,,,,,,,,,,,,,,,,,
1710806400000,2024-03-19 23:59:59.999,TAO,1d,720.62,609.97,732.02,601.26,5712.28,4463,TAO,766.09,550.0,658.0450000000001,766.09,550.0,658.0450000000001,768.34,550.0,659.1700000000001,768.34,474.64,621.49,,,,,,,,,,,,,,,
1710892800000,2024-03-20 23:59:59.999,TAO,1d,612.55,687.0,728.95,603.08,2226.539,2531,TAO,766.09,575.35,670.72,766.09,550.0,658.0450000000001,768.34,550.0,659.1700000000001,768.34,474.64,621.49,,,,,,,,,,,,,,,
1710979200000,2024-03-21 23:59:59.999,TAO,1d,686.59,609.6,723.0,603.83,3265.097,2652,TAO,766.09,595.0,680.5450000000001,766.09,550.0,658.0450000000001,768.34,550.0,659.1700000000001,768.34,474.64,621.49,,,,,,,,,,,,,,,
1711065600000,2024-03-22 23:59:59.999,TAO,1d,610.26,578.54,643.0,560.74,3527.816,3160,TAO,766.09,560.74,663.415,766.09,550.0,658.0450000000001,768.34,550.0,659.1700000000001,768.34,474.64,621.49,,,,,,,,,,,,,,,
