t,timestamp,s,i,open,close,high,low,volume,n,asset
1712534400000,2024-04-08 23:59:59.999,TNSR,1d,1.6803,1.658,1.7068,1.573,676460.0,701,TNSR
1712620800000,2024-04-09 23:59:59.999,TNSR,1d,1.666,1.8252,2.1084,1.6473,2813766.7,6817,TNSR
1712707200000,2024-04-10 23:59:59.999,TNSR,1d,1.8207,1.6395,1.8454,1.5474,1700242.7,3985,TNSR
1712793600000,2024-04-11 23:59:59.999,TNSR,1d,1.6291,1.401,1.6291,1.3695,2012527.0,3919,TNSR
1712880000000,2024-04-12 23:59:59.999,TNSR,1d,1.4162,1.0769,1.4451,0.95753,3637036.8,6027,TNSR
1712966400000,2024-04-13 23:59:59.999,TNSR,1d,1.0678,0.90206,1.1145,0.75213,1750398.8,3331,TNSR
1713052800000,2024-04-14 23:59:59.999,TNSR,1d,0.90719,1.0287,1.0551,0.85781,1726336.1,3587,TNSR
1713139200000,2024-04-15 23:59:59.999,TNSR,1d,1.0224,0.89257,1.0224,0.84654,961240.6,2490,TNSR
1713225600000,2024-04-16 23:59:59.999,TNSR,1d,0.8948,0.86695,0.91886,0.80701,1320440.9,2692,TNSR
1713312000000,2024-04-17 23:59:59.999,TNSR,1d,0.86546,0.87825,0.91699,0.75595,2331502.3,4458,TNSR
1713398400000,2024-04-18 23:59:59.999,TNSR,1d,0.87727,0.85201,0.89799,0.74655,3068401.7,4874,TNSR
1713484800000,2024-04-19 23:59:59.999,TNSR,1d,0.852,0.90669,0.96906,0.766,1562943.5,4916,TNSR
1713571200000,2024-04-20 23:59:59.999,TNSR,1d,0.9059,1.1046,1.1183,0.87157,1986421.6,3936,TNSR
1713657600000,2024-04-21 23:59:59.999,TNSR,1d,1.1028,1.0483,1.1053,0.98066,2869982.0,5077,TNSR
1713744000000,2024-04-22 23:59:59.999,TNSR,1d,1.0475,1.1822,1.2305,1.0114,2146144.6,4357,TNSR
1713830400000,2024-04-23 23:59:59.999,TNSR,1d,1.1781,1.144,1.2899,1.0855,2526239.9,5102,TNSR
1713916800000,2024-04-24 23:59:59.999,TNSR,1d,1.1427,1.0371,1.1781,1.0212,2317382.4,3973,TNSR
1714003200000,2024-04-25 23:59:59.999,TNSR,1d,1.0377,1.0053,1.0566,0.98488,749837.0,2537,TNSR
1714089600000,2024-04-26 23:59:59.999,TNSR,1d,1.0054,0.94162,1.0085,0.93343,1051006.0,3395,TNSR
1714176000000,2024-04-27 23:59:59.999,TNSR,1d,0.94134,0.93478,0.9609,0.87778,611808.2,2174,TNSR
1714262400000,2024-04-28 23:59:59.999,TNSR,1d,0.93473,0.8998,0.98397,0.89477,370767.6,2282,TNSR
