t,timestamp,s,i,open,close,high,low,volume,n,asset,donchian_high_5,donchian_low_5,donchian_mid_5,donchian_high_10,donchian_low_10,donchian_mid_10,donchian_high_20,donchian_low_20,donchian_mid_20,donchian_high_30,donchian_low_30,donchian_mid_30,donchian_high_60,donchian_low_60,donchian_mid_60,donchian_high_90,donchian_low_90,donchian_mid_90,donchian_high_150,donchian_low_150,donchian_mid_150,donchian_high_250,donchian_low_250,donchian_mid_250,donchian_high_360,donchian_low_360,donchian_mid_360
1697932800000,2023-10-22 23:59:59.999,TON,1d,2.1308,2.1922,2.2085,2.1155,183047.1,1640,TON,,,,,,,,,,,,,,,,,,,,,,,,,,,
1698019200000,2023-10-23 23:59:59.999,TON,1d,2.1925,2.1815,2.2383,2.1249,359305.9,1656,TON,,,,,,,,,,,,,,,,,,,,,,,,,,,
1698105600000,2023-10-24 23:59:59.999,TON,1d,2.1793,2.1302,2.2667,2.1025,344078.0,2106,TON,,,,,,,,,,,,,,,,,,,,,,,,,,,
1698192000000,2023-10-25 23:59:59.999,TON,1d,2.1311,2.143,2.1637,2.1128,267882.1,2040,TON,,,,,,,,,,,,,,,,,,,,,,,,,,,
1698278400000,2023-10-26 23:59:59.999,TON,1d,2.1465,2.13,2.1912,2.0642,265458.3,2069,TON,2.2667,2.0642,2.16545,,,,,,,,,,,,,,,,,,,,,,,,
1698364800000,2023-10-27 23:59:59.999,TON,1d,2.13,2.0578,2.13,2.023,219119.5,2111,TON,2.2667,2.023,2.14485,,,,,,,,,,,,,,,,,,,,,,,,
1698451200000,2023-10-28 23:59:59.999,TON,1d,2.0583,2.0389,2.0718,2.03,83550.8,1950,TON,2.2667,2.023,2.14485,,,,,,,,,,,,,,,,,,,,,,,,
1698537600000,2023-10-29 23:59:59.999,TON,1d,2.0386,2.0744,2.0895,2.022,51391.9,1932,TON,2.1912,2.022,2.1066,,,,,,,,,,,,,,,,,,,,,,,,
1698624000000,2023-10-30 23:59:59.999,TON,1d,2.0743,2.1247,2.134,2.0539,147589.5,1979,TON,2.1912,2.022,2.1066,,,,,,,,,,,,,,,,,,,,,,,,
1698710400000,2023-10-31 23:59:59.999,TON,1d,2.1241,2.227,2.2787,2.1207,227651.5,1957,TON,2.2787,2.022,2.15035,2.2787,2.022,2.15035,,,,,,,,,,,,,,,,,,,,,
1698796800000,2023-11-01 23:59:59.999,TON,1d,2.2265,2.2153,2.2406,2.1228,259602.8,1966,TON,2.2787,2.022,2.15035,2.2787,2.022,2.15035,,,,,,,,,,,,,,,,,,,,,
1698883200000,2023-11-02 23:59:59.999,TON,1d,2.2159,2.2377,2.2876,2.1648,288598.9,2003,TON,2.2876,2.022,2.1548,2.2876,2.022,2.1548,,,,,,,,,,,,,,,,,,,,,
1698969600000,2023-11-03 23:59:59.999,TON,1d,2.2408,2.2675,2.2711,2.1838,203172.2,1987,TON,2.2876,2.0539,2.17075,2.2876,2.022,2.1548,,,,,,,,,,,,,,,,,,,,,
1699056000000,2023-11-04 23:59:59.999,TON,1d,2.2687,2.2452,2.2809,2.219,150289.0,2035,TON,2.2876,2.1207,2.20415,2.2876,2.022,2.1548,,,,,,,,,,,,,,,,,,,,,
1699142400000,2023-11-05 23:59:59.999,TON,1d,2.2452,2.2746,2.3007,2.2381,147370.4,1983,TON,2.3007,2.1228,2.21175,2.3007,2.022,2.1613499999999997,,,,,,,,,,,,,,,,,,,,,
1699228800000,2023-11-06 23:59:59.999,TON,1d,2.2746,2.4466,2.4832,2.2737,646085.9,2209,TON,2.4832,2.1648,2.324,2.4832,2.022,2.2526,,,,,,,,,,,,,,,,,,,,,
1699315200000,2023-11-07 23:59:59.999,TON,1d,2.4464,2.5507,2.6043,2.3753,642259.5,2138,TON,2.6043,2.1838,2.39405,2.6043,2.022,2.31315,,,,,,,,,,,,,,,,,,,,,
1699401600000,2023-11-08 23:59:59.999,TON,1d,2.542,2.6678,2.7795,2.5374,218539.6,1965,TON,2.7795,2.219,2.49925,2.7795,2.0539,2.4167,,,,,,,,,,,,,,,,,,,,,
1699488000000,2023-11-09 23:59:59.999,TON,1d,2.6716,2.4733,2.7247,2.3482,340188.3,1912,TON,2.7795,2.2381,2.5088,2.7795,2.1207,2.4501,,,,,,,,,,,,,,,,,,,,,
1699574400000,2023-11-10 23:59:59.999,TON,1d,2.4712,2.473,2.6003,2.4066,196300.0,1923,TON,2.7795,2.2737,2.5266,2.7795,2.1228,2.45115,2.7795,2.022,2.40075,,,,,,,,,,,,,,,,,,
1699660800000,2023-11-11 23:59:59.999,TON,1d,2.4742,2.3715,2.4876,2.3605,84715.5,1924,TON,2.7795,2.3482,2.56385,2.7795,2.1648,2.47215,2.7795,2.022,2.40075,,,,,,,,,,,,,,,,,,
1699747200000,2023-11-12 23:59:59.999,TON,1d,2.3757,2.4899,2.5078,2.3327,121822.2,1945,TON,2.7795,2.3327,2.5561,2.7795,2.1838,2.48165,2.7795,2.022,2.40075,,,,,,,,,,,,,,,,,,
1699833600000,2023-11-13 23:59:59.999,TON,1d,2.4852,2.3398,2.5182,2.3398,56054.8,1962,TON,2.7247,2.3327,2.5286999999999997,2.7795,2.219,2.49925,2.7795,2.022,2.40075,,,,,,,,,,,,,,,,,,
1699920000000,2023-11-14 23:59:59.999,TON,1d,2.3417,2.2574,2.3895,2.2424,139619.8,1952,TON,2.6003,2.2424,2.42135,2.7795,2.2381,2.5088,2.7795,2.022,2.40075,,,,,,,,,,,,,,,,,,
1700006400000,2023-11-15 23:59:59.999,TON,1d,2.2528,2.4027,2.4137,2.241,153392.8,1998,TON,2.5182,2.241,2.3796,2.7795,2.241,2.51025,2.7795,2.022,2.40075,,,,,,,,,,,,,,,,,,
1700092800000,2023-11-16 23:59:59.999,TON,1d,2.4037,2.2809,2.4977,2.2496,194813.1,1964,TON,2.5182,2.241,2.3796,2.7795,2.241,2.51025,2.7795,2.022,2.40075,,,,,,,,,,,,,,,,,,
1700179200000,2023-11-17 23:59:59.999,TON,1d,2.2787,2.3334,2.3507,2.216,123776.7,1926,TON,2.5182,2.216,2.3671,2.7795,2.216,2.49775,2.7795,2.022,2.40075,,,,,,,,,,,,,,,,,,
1700265600000,2023-11-18 23:59:59.999,TON,1d,2.3353,2.3736,2.3881,2.225,65464.8,2034,TON,2.4977,2.216,2.35685,2.7247,2.216,2.47035,2.7795,2.0539,2.4167,,,,,,,,,,,,,,,,,,
1700352000000,2023-11-19 23:59:59.999,TON,1d,2.3743,2.3735,2.3913,2.3397,56321.9,2048,TON,2.4977,2.216,2.35685,2.6003,2.216,2.40815,2.7795,2.1207,2.4501,,,,,,,,,,,,,,,,,,
1700438400000,2023-11-20 23:59:59.999,TON,1d,2.3757,2.3287,2.3804,2.3227,121043.8,2055,TON,2.4977,2.216,2.35685,2.5182,2.216,2.3671,2.7795,2.1228,2.45115,2.7795,2.022,2.40075,,,,,,,,,,,,,,,
1700524800000,2023-11-21 23:59:59.999,TON,1d,2.3286,2.3162,2.385,2.3119,815263.1,2210,TON,2.3913,2.216,2.30365,2.5182,2.216,2.3671,2.7795,2.1648,2.47215,2.7795,2.022,2.40075,,,,,,,,,,,,,,,
1700611200000,2023-11-22 23:59:59.999,TON,1d,2.3153,2.4,2.4439,2.3142,56779.8,1985,TON,2.4439,2.225,2.3344500000000004,2.5182,2.216,2.3671,2.7795,2.1838,2.48165,2.7795,2.022,2.40075,,,,,,,,,,,,,,,
1700697600000,2023-11-23 23:59:59.999,TON,1d,2.4009,2.4233,2.441,2.3773,65265.8,2011,TON,2.4439,2.3119,2.3779000000000003,2.4977,2.216,2.35685,2.7795,2.216,2.49775,2.7795,2.022,2.40075,,,,,,,,,,,,,,,
1700784000000,2023-11-24 23:59:59.999,TON,1d,2.4238,2.3945,2.4637,2.3835,96628.1,1971,TON,2.4637,2.3119,2.3878,2.4977,2.216,2.35685,2.7795,2.216,2.49775,2.7795,2.022,2.40075,,,,,,,,,,,,,,,
1700870400000,2023-11-25 23:59:59.999,TON,1d,2.3957,2.3693,2.4133,2.3306,84365.0,2029,TON,2.4637,2.3119,2.3878,2.4977,2.216,2.35685,2.7795,2.216,2.49775,2.7795,2.022,2.40075,,,,,,,,,,,,,,,
1700956800000,2023-11-26 23:59:59.999,TON,1d,2.3697,2.3925,2.3974,2.3349,148496.7,2095,TON,2.4637,2.3142,2.38895,2.4637,2.216,2.33985,2.7795,2.216,2.49775,2.7795,2.022,2.40075,,,,,,,,,,,,,,,
1701043200000,2023-11-27 23:59:59.999,TON,1d,2.3935,2.4536,2.4595,2.3439,106406.9,1947,TON,2.4637,2.3306,2.39715,2.4637,2.225,2.34435,2.7795,2.216,2.49775,2.7795,2.022,2.40075,,,,,,,,,,,,,,,
1701129600000,2023-11-28 23:59:59.999,TON,1d,2.4547,2.4428,2.4833,2.4072,70958.3,1980,TON,2.4833,2.3306,2.40695,2.4833,2.3119,2.3975999999999997,2.7247,2.216,2.47035,2.7795,2.0539,2.4167,,,,,,,,,,,,,,,
1701216000000,2023-11-29 23:59:59.999,TON,1d,2.4448,2.4335,2.4624,2.4077,80397.2,2034,TON,2.4833,2.3306,2.40695,2.4833,2.3119,2.3975999999999997,2.6003,2.216,2.40815,2.7795,2.1207,2.4501,,,,,,,,,,,,,,,
1701302400000,2023-11-30 23:59:59.999,TON,1d,2.4322,2.4158,2.4493,2.4031,44762.1,2103,TON,2.4833,2.3349,2.4091,2.4833,2.3119,2.3975999999999997,2.5182,2.216,2.3671,2.7795,2.1228,2.45115,,,,,,,,,,,,,,,
1701388800000,2023-12-01 23:59:59.999,TON,1d,2.4135,2.4271,2.4398,2.4053,50431.4,2059,TON,2.4833,2.3439,2.4135999999999997,2.4833,2.3142,2.3987499999999997,2.5182,2.216,2.3671,2.7795,2.1648,2.47215,,,,,,,,,,,,,,,
1701475200000,2023-12-02 23:59:59.999,TON,1d,2.4268,2.4386,2.4608,2.4197,119179.8,2099,TON,2.4833,2.4031,2.4432,2.4833,2.3306,2.40695,2.5182,2.216,2.3671,2.7795,2.1838,2.48165,,,,,,,,,,,,,,,
1701561600000,2023-12-03 23:59:59.999,TON,1d,2.4386,2.4187,2.4574,2.4038,255224.7,2056,TON,2.4624,2.4031,2.43275,2.4833,2.3306,2.40695,2.4977,2.216,2.35685,2.7795,2.216,2.49775,,,,,,,,,,,,,,,
1701648000000,2023-12-04 23:59:59.999,TON,1d,2.4195,2.4029,2.475,2.3598,293916.7,2206,TON,2.475,2.3598,2.4173999999999998,2.4833,2.3306,2.40695,2.4977,2.216,2.35685,2.7795,2.216,2.49775,,,,,,,,,,,,,,,
1701734400000,2023-12-05 23:59:59.999,TON,1d,2.4032,2.4317,2.4508,2.3563,188747.7,2032,TON,2.475,2.3563,2.4156500000000003,2.4833,2.3349,2.4091,2.4977,2.216,2.35685,2.7795,2.216,2.49775,,,,,,,,,,,,,,,
1701820800000,2023-12-06 23:59:59.999,TON,1d,2.4271,2.2896,2.4388,2.2706,285335.8,2059,TON,2.475,2.2706,2.3728,2.4833,2.2706,2.37695,2.4833,2.216,2.34965,2.7795,2.216,2.49775,,,,,,,,,,,,,,,
1701907200000,2023-12-07 23:59:59.999,TON,1d,2.2908,2.2744,2.3162,2.2293,447264.9,2146,TON,2.475,2.2293,2.35215,2.4833,2.2293,2.3563,2.4833,2.225,2.3541499999999997,2.7795,2.216,2.49775,,,,,,,,,,,,,,,
1701993600000,2023-12-08 23:59:59.999,TON,1d,2.2717,2.3365,2.3398,2.2589,203964.3,2164,TON,2.475,2.2293,2.35215,2.475,2.2293,2.35215,2.4833,2.2293,2.3563,2.7247,2.216,2.47035,,,,,,,,,,,,,,,
1702080000000,2023-12-09 23:59:59.999,TON,1d,2.338,2.3084,2.375,2.2966,597475.8,2270,TON,2.4508,2.2293,2.3400499999999997,2.475,2.2293,2.35215,2.4833,2.2293,2.3563,2.6003,2.216,2.40815,,,,,,,,,,,,,,,
1702166400000,2023-12-10 23:59:59.999,TON,1d,2.3092,2.3271,2.352,2.2997,219386.2,2169,TON,2.4388,2.2293,2.33405,2.475,2.2293,2.35215,2.4833,2.2293,2.3563,2.5182,2.216,2.3671,,,,,,,,,,,,,,,
1702252800000,2023-12-11 23:59:59.999,TON,1d,2.328,2.1422,2.3299,1.8959,1642185.8,2846,TON,2.375,1.8959,2.13545,2.475,1.8959,2.18545,2.4833,1.8959,2.1896,2.5182,1.8959,2.20705,,,,,,,,,,,,,,,
1702339200000,2023-12-12 23:59:59.999,TON,1d,2.1463,2.1205,2.1848,2.0636,409047.2,2299,TON,2.375,1.8959,2.13545,2.475,1.8959,2.18545,2.4833,1.8959,2.1896,2.5182,1.8959,2.20705,,,,,,,,,,,,,,,
1702425600000,2023-12-13 23:59:59.999,TON,1d,2.1205,2.2254,2.2254,2.0406,619971.2,1606,TON,2.375,1.8959,2.13545,2.475,1.8959,2.18545,2.4833,1.8959,2.1896,2.4977,1.8959,2.1968,,,,,,,,,,,,,,,
1702512000000,2023-12-14 23:59:59.999,TON,1d,2.214,2.2082,2.2342,2.1504,516974.0,2399,TON,2.352,1.8959,2.12395,2.4508,1.8959,2.17335,2.4833,1.8959,2.1896,2.4977,1.8959,2.1968,,,,,,,,,,,,,,,
1702598400000,2023-12-15 23:59:59.999,TON,1d,2.2039,2.1531,2.2176,2.1504,220244.8,2185,TON,2.3299,1.8959,2.1129,2.4388,1.8959,2.16735,2.4833,1.8959,2.1896,2.4977,1.8959,2.1968,,,,,,,,,,,,,,,
1702684800000,2023-12-16 23:59:59.999,TON,1d,2.15,2.1924,2.3058,2.1286,157254.3,2005,TON,2.3058,2.0406,2.1732,2.375,1.8959,2.13545,2.4833,1.8959,2.1896,2.4833,1.8959,2.1896,,,,,,,,,,,,,,,
1702771200000,2023-12-17 23:59:59.999,TON,1d,2.1925,2.1503,2.1952,2.1323,146988.7,2099,TON,2.3058,2.0406,2.1732,2.375,1.8959,2.13545,2.4833,1.8959,2.1896,2.4833,1.8959,2.1896,,,,,,,,,,,,,,,
