t,timestamp,s,i,open,close,high,low,volume,n,asset,donchian_high_5,donchian_low_5,donchian_mid_5,donchian_high_10,donchian_low_10,donchian_mid_10,donchian_high_20,donchian_low_20,donchian_mid_20,donchian_high_30,donchian_low_30,donchian_mid_30,donchian_high_60,donchian_low_60,donchian_mid_60,donchian_high_90,donchian_low_90,donchian_mid_90,donchian_high_150,donchian_low_150,donchian_mid_150,donchian_high_250,donchian_low_250,donchian_mid_250,donchian_high_360,donchian_low_360,donchian_mid_360
1737158400000,2025-01-18 23:59:59.999,TRUMP,1d,8.7494,28.433,35.0,8.6541,69452445.6,904123,TRUMP,,,,,,,,,,,,,,,,,,,,,,,,,,,
1737244800000,2025-01-19 23:59:59.999,TRUMP,1d,28.433,46.632,88.8,24.01,97010247.1,2051402,TRUMP,,,,,,,,,,,,,,,,,,,,,,,,,,,
1737331200000,2025-01-20 23:59:59.999,TRUMP,1d,46.644,36.47,64.239,34.5,51310790.5,1426154,TRUMP,,,,,,,,,,,,,,,,,,,,,,,,,,,
1737417600000,2025-01-21 23:59:59.999,TRUMP,1d,36.48,43.808,48.536,30.331,41349756.6,936482,TRUMP,,,,,,,,,,,,,,,,,,,,,,,,,,,
1737504000000,2025-01-22 23:59:59.999,TRUMP,1d,43.809,36.848,44.56,36.092,12954739.9,369163,TRUMP,88.8,8.6541,48.72705,,,,,,,,,,,,,,,,,,,,,,,,
1737590400000,2025-01-23 23:59:59.999,TRUMP,1d,36.871,34.705,39.672,34.098,15706224.1,264843,TRUMP,88.8,24.01,56.405,,,,,,,,,,,,,,,,,,,,,,,,
1737676800000,2025-01-24 23:59:59.999,TRUMP,1d,34.7,30.172,35.473,29.094,8634000.0,141578,TRUMP,64.239,29.094,46.6665,,,,,,,,,,,,,,,,,,,,,,,,
1737763200000,2025-01-25 23:59:59.999,TRUMP,1d,30.192,28.894,30.648,25.715,16387296.8,222232,TRUMP,48.536,25.715,37.1255,,,,,,,,,,,,,,,,,,,,,,,,
1737849600000,2025-01-26 23:59:59.999,TRUMP,1d,28.903,27.402,32.357,27.075,10629667.8,162503,TRUMP,44.56,25.715,35.1375,,,,,,,,,,,,,,,,,,,,,,,,
1737936000000,2025-01-27 23:59:59.999,TRUMP,1d,27.388,28.043,28.262,24.65,11765255.8,150473,TRUMP,39.672,24.65,32.161,88.8,8.6541,48.72705,,,,,,,,,,,,,,,,,,,,,
1738022400000,2025-01-28 23:59:59.999,TRUMP,1d,28.044,27.331,30.544,26.272,10789439.1,177681,TRUMP,35.473,24.65,30.0615,88.8,24.01,56.405,,,,,,,,,,,,,,,,,,,,,
1738108800000,2025-01-29 23:59:59.999,TRUMP,1d,27.328,27.253,28.701,26.3,4819148.2,79517,TRUMP,32.357,24.65,28.5035,64.239,24.65,44.444500000000005,,,,,,,,,,,,,,,,,,,,,
1738195200000,2025-01-30 23:59:59.999,TRUMP,1d,27.263,26.06,28.325,25.797,3185240.9,64743,TRUMP,32.357,24.65,28.5035,48.536,24.65,36.593,,,,,,,,,,,,,,,,,,,,,
1738281600000,2025-01-31 23:59:59.999,TRUMP,1d,26.051,24.137,26.666,23.639,4456491.9,69596,TRUMP,30.544,23.639,27.0915,44.56,23.639,34.0995,,,,,,,,,,,,,,,,,,,,,
1738368000000,2025-02-01 23:59:59.999,TRUMP,1d,24.134,19.68,25.042,18.519,11164878.7,117163,TRUMP,30.544,18.519,24.5315,39.672,18.519,29.095499999999998,,,,,,,,,,,,,,,,,,,,,
1738454400000,2025-02-02 23:59:59.999,TRUMP,1d,19.677,21.004,22.626,19.364,11825561.6,150058,TRUMP,28.701,18.519,23.61,35.473,18.519,26.996,,,,,,,,,,,,,,,,,,,,,
1738540800000,2025-02-03 23:59:59.999,TRUMP,1d,21.017,19.672,21.199,15.881,15171672.5,178231,TRUMP,28.325,15.881,22.103,32.357,15.881,24.119,,,,,,,,,,,,,,,,,,,,,
1738627200000,2025-02-04 23:59:59.999,TRUMP,1d,19.673,17.197,19.791,16.326,7039800.9,90526,TRUMP,26.666,15.881,21.2735,32.357,15.881,24.119,,,,,,,,,,,,,,,,,,,,,
1738713600000,2025-02-05 23:59:59.999,TRUMP,1d,17.196,18.155,20.647,17.196,6966791.8,90753,TRUMP,25.042,15.881,20.4615,30.544,15.881,23.2125,,,,,,,,,,,,,,,,,,,,,
1738800000000,2025-02-06 23:59:59.999,TRUMP,1d,18.166,17.087,19.509,16.799,4615670.0,60579,TRUMP,22.626,15.881,19.253500000000003,30.544,15.881,23.2125,88.8,8.6541,48.72705,,,,,,,,,,,,,,,,,,
1738886400000,2025-02-07 23:59:59.999,TRUMP,1d,17.088,16.571,18.259,16.15,4575001.9,60998,TRUMP,21.199,15.881,18.54,28.701,15.881,22.291,88.8,15.881,52.3405,,,,,,,,,,,,,,,,,,
1738972800000,2025-02-08 23:59:59.999,TRUMP,1d,16.559,17.24,17.482,16.194,2068734.7,26520,TRUMP,20.647,16.15,18.3985,28.325,15.881,22.103,64.239,15.881,40.06,,,,,,,,,,,,,,,,,,
1739059200000,2025-02-09 23:59:59.999,TRUMP,1d,17.248,15.874,17.932,15.322,3219083.0,38544,TRUMP,20.647,15.322,17.984499999999997,26.666,15.322,20.994,48.536,15.322,31.929000000000002,,,,,,,,,,,,,,,,,,
1739145600000,2025-02-10 23:59:59.999,TRUMP,1d,15.862,15.903,16.546,14.344,3163858.2,40294,TRUMP,19.509,14.344,16.9265,25.042,14.344,19.693,44.56,14.344,29.452,,,,,,,,,,,,,,,,,,
1739232000000,2025-02-11 23:59:59.999,TRUMP,1d,15.914,15.351,16.794,15.211,1457214.9,21178,TRUMP,18.259,14.344,16.3015,22.626,14.344,18.485,39.672,14.344,27.008,,,,,,,,,,,,,,,,,,
1739318400000,2025-02-12 23:59:59.999,TRUMP,1d,15.331,15.452,15.561,14.459,2021647.3,29696,TRUMP,17.932,14.344,16.137999999999998,21.199,14.344,17.7715,35.473,14.344,24.9085,,,,,,,,,,,,,,,,,,
1739404800000,2025-02-13 23:59:59.999,TRUMP,1d,15.446,16.292,17.946,15.289,4224811.7,58121,TRUMP,17.946,14.344,16.145,20.647,14.344,17.4955,32.357,14.344,23.3505,,,,,,,,,,,,,,,,,,
