t,timestamp,s,i,open,close,high,low,volume,n,asset,donchian_high_5,donchian_low_5,donchian_mid_5,donchian_high_10,donchian_low_10,donchian_mid_10,donchian_high_20,donchian_low_20,donchian_mid_20,donchian_high_30,donchian_low_30,donchian_mid_30,donchian_high_60,donchian_low_60,donchian_mid_60,donchian_high_90,donchian_low_90,donchian_mid_90,donchian_high_150,donchian_low_150,donchian_mid_150,donchian_high_250,donchian_low_250,donchian_mid_250,donchian_high_360,donchian_low_360,donchian_mid_360
1688774400000,2023-07-08 23:59:59.999,TRX,1d,0.07878,0.08004,0.08008,0.07861,0.0,0,TRX,,,,,,,,,,,,,,,,,,,,,,,,,,,
1688860800000,2023-07-09 23:59:59.999,TRX,1d,0.08003,0.07744,0.08044,0.07727,0.0,0,TRX,,,,,,,,,,,,,,,,,,,,,,,,,,,
1688947200000,2023-07-10 23:59:59.999,TRX,1d,0.07744,0.07747,0.07802,0.0761,0.0,0,TRX,,,,,,,,,,,,,,,,,,,,,,,,,,,
1689033600000,2023-07-11 23:59:59.999,TRX,1d,0.07748,0.0773,0.07753,0.07666,0.0,0,TRX,,,,,,,,,,,,,,,,,,,,,,,,,,,
1689120000000,2023-07-12 23:59:59.999,TRX,1d,0.07729,0.07778,0.07813,0.07696,0.0,0,TRX,0.08044,0.0761,0.07827,,,,,,,,,,,,,,,,,,,,,,,,
1689206400000,2023-07-13 23:59:59.999,TRX,1d,0.07778,0.08172,0.08269,0.07759,0.0,0,TRX,0.08269,0.0761,0.079395,,,,,,,,,,,,,,,,,,,,,,,,
1689292800000,2023-07-14 23:59:59.999,TRX,1d,0.08172,0.07984,0.08278,0.0785,0.0,0,TRX,0.08278,0.0761,0.07944000000000001,,,,,,,,,,,,,,,,,,,,,,,,
1689379200000,2023-07-15 23:59:59.999,TRX,1d,0.07984,0.0808,0.08158,0.07982,0.0,0,TRX,0.08278,0.07666,0.07972000000000001,,,,,,,,,,,,,,,,,,,,,,,,
1689465600000,2023-07-16 23:59:59.999,TRX,1d,0.0808,0.07975,0.08093,0.0789,0.0,0,TRX,0.08278,0.07696,0.07987,,,,,,,,,,,,,,,,,,,,,,,,
1689552000000,2023-07-17 23:59:59.999,TRX,1d,0.07976,0.07993,0.08052,0.0789,0.0,0,TRX,0.08278,0.07759,0.080185,0.08278,0.0761,0.07944000000000001,,,,,,,,,,,,,,,,,,,,,
1689638400000,2023-07-18 23:59:59.999,TRX,1d,0.07994,0.07974,0.08093,0.07873,0.0,0,TRX,0.08278,0.0785,0.08064,0.08278,0.0761,0.07944000000000001,,,,,,,,,,,,,,,,,,,,,
1689724800000,2023-07-19 23:59:59.999,TRX,1d,0.07975,0.08025,0.0805,0.07925,0.0,0,TRX,0.08158,0.07873,0.080155,0.08278,0.0761,0.07944000000000001,,,,,,,,,,,,,,,,,,,,,
1689811200000,2023-07-20 23:59:59.999,TRX,1d,0.08025,0.08068,0.08125,0.07984,0.0,0,TRX,0.08125,0.07873,0.07999,0.08278,0.07666,0.07972000000000001,,,,,,,,,,,,,,,,,,,,,
1689897600000,2023-07-21 23:59:59.999,TRX,1d,0.08069,0.08036,0.08152,0.08036,0.0,0,TRX,0.08152,0.07873,0.080125,0.08278,0.07696,0.07987,,,,,,,,,,,,,,,,,,,,,
1689984000000,2023-07-22 23:59:59.999,TRX,1d,0.08037,0.08384,0.09409,0.08018,0.0,0,TRX,0.09409,0.07873,0.08640999999999999,0.09409,0.07759,0.08584,,,,,,,,,,,,,,,,,,,,,
1690070400000,2023-07-23 23:59:59.999,TRX,1d,0.08384,0.08332,0.0852,0.0827,0.0,0,TRX,0.09409,0.07925,0.08667,0.09409,0.0785,0.086295,,,,,,,,,,,,,,,,,,,,,
1690156800000,2023-07-24 23:59:59.999,TRX,1d,0.08332,0.08142,0.08335,0.08013,0.0,0,TRX,0.09409,0.07984,0.08696499999999999,0.09409,0.07873,0.08640999999999999,,,,,,,,,,,,,,,,,,,,,
1690243200000,2023-07-25 23:59:59.999,TRX,1d,0.08143,0.08186,0.0823,0.0801,0.0,0,TRX,0.09409,0.0801,0.087095,0.09409,0.07873,0.08640999999999999,,,,,,,,,,,,,,,,,,,,,
1690329600000,2023-07-26 23:59:59.999,TRX,1d,0.08185,0.08237,0.0825,0.08042,0.0,0,TRX,0.09409,0.0801,0.087095,0.09409,0.07873,0.08640999999999999,,,,,,,,,,,,,,,,,,,,,
1690416000000,2023-07-27 23:59:59.999,TRX,1d,0.08236,0.08261,0.08299,0.082,0.0,0,TRX,0.0852,0.0801,0.08265,0.09409,0.07873,0.08640999999999999,0.09409,0.0761,0.085095,,,,,,,,,,,,,,,,,,
