t,timestamp,s,i,open,close,high,low,volume,n,asset,donchian_high_5,donchian_low_5,donchian_mid_5,donchian_high_10,donchian_low_10,donchian_mid_10,donchian_high_20,donchian_low_20,donchian_mid_20,donchian_high_30,donchian_low_30,donchian_mid_30,donchian_high_60,donchian_low_60,donchian_mid_60,donchian_high_90,donchian_low_90,donchian_mid_90,donchian_high_150,donchian_low_150,donchian_mid_150,donchian_high_250,donchian_low_250,donchian_mid_250,donchian_high_360,donchian_low_360,donchian_mid_360
1717027200000,2024-05-30 23:59:59.999,TURBO,1d,0.006898,0.006075,0.00706,0.005986,0.0,0,TURBO,,,,,,,,,,,,,,,,,,,,,,,,,,,
1717113600000,2024-05-31 23:59:59.999,TURBO,1d,0.008173,0.007785,0.00855,0.007577,69540241.0,879,TURBO,,,,,,,,,,,,,,,,,,,,,,,,,,,
1717200000000,2024-06-01 23:59:59.999,TURBO,1d,0.00778,0.006977,0.007956,0.006925,154266106.0,2405,TURBO,,,,,,,,,,,,,,,,,,,,,,,,,,,
1717286400000,2024-06-02 23:59:59.999,TURBO,1d,0.007006,0.00662,0.007916,0.006501,144296944.0,2245,TURBO,,,,,,,,,,,,,,,,,,,,,,,,,,,
1717372800000,2024-06-03 23:59:59.999,TURBO,1d,0.006631,0.006358,0.0068,0.006189,173169666.0,2277,TURBO,0.00855,0.005986,0.007268,,,,,,,,,,,,,,,,,,,,,,,,
1717459200000,2024-06-04 23:59:59.999,TURBO,1d,0.006356,0.006455,0.006937,0.006019,124116853.0,2250,TURBO,0.00855,0.006019,0.0072845,,,,,,,,,,,,,,,,,,,,,,,,
1717545600000,2024-06-05 23:59:59.999,TURBO,1d,0.006446,0.006045,0.006476,0.005841,165718194.0,2263,TURBO,0.007956,0.005841,0.0068985,,,,,,,,,,,,,,,,,,,,,,,,
1717632000000,2024-06-06 23:59:59.999,TURBO,1d,0.006023,0.006186,0.006487,0.005926,151593471.0,2307,TURBO,0.007916,0.005841,0.006878499999999999,,,,,,,,,,,,,,,,,,,,,,,,
1717718400000,2024-06-07 23:59:59.999,TURBO,1d,0.006176,0.005191,0.006294,0.004544,120489359.0,2661,TURBO,0.006937,0.004544,0.0057405,,,,,,,,,,,,,,,,,,,,,,,,
1717804800000,2024-06-08 23:59:59.999,TURBO,1d,0.005179,0.005126,0.005456,0.005056,116945008.0,3130,TURBO,0.006937,0.004544,0.0057405,0.00855,0.004544,0.006547000000000001,,,,,,,,,,,,,,,,,,,,,
1717891200000,2024-06-09 23:59:59.999,TURBO,1d,0.005129,0.006575,0.006835,0.005008,154747086.0,3346,TURBO,0.006835,0.004544,0.0056895,0.00855,0.004544,0.006547000000000001,,,,,,,,,,,,,,,,,,,,,
1717977600000,2024-06-10 23:59:59.999,TURBO,1d,0.006558,0.005732,0.006572,0.00561,147232513.0,2549,TURBO,0.006835,0.004544,0.0056895,0.007956,0.004544,0.00625,,,,,,,,,,,,,,,,,,,,,
1718064000000,2024-06-11 23:59:59.999,TURBO,1d,0.005736,0.005323,0.00584,0.00515,123918255.0,2515,TURBO,0.006835,0.004544,0.0056895,0.007916,0.004544,0.006229999999999999,,,,,,,,,,,,,,,,,,,,,
1718150400000,2024-06-12 23:59:59.999,TURBO,1d,0.005314,0.005141,0.005689,0.004906,109316174.0,2115,TURBO,0.006835,0.004906,0.0058705,0.006937,0.004544,0.0057405,,,,,,,,,,,,,,,,,,,,,
1718236800000,2024-06-13 23:59:59.999,TURBO,1d,0.005137,0.004733,0.005138,0.004592,112481134.0,2126,TURBO,0.006835,0.004592,0.0057135,0.006937,0.004544,0.0057405,,,,,,,,,,,,,,,,,,,,,
