t,timestamp,s,i,open,close,high,low,volume,n,asset
1688601600000,2023-07-06 23:59:59.999,UMA,1d,1.593,1.559,1.646,1.556,0.0,0,UMA
1688688000000,2023-07-07 23:59:59.999,UMA,1d,1.56,1.587,1.589,1.544,0.0,0,UMA
1688774400000,2023-07-08 23:59:59.999,UMA,1d,1.587,1.603,1.619,1.574,0.0,0,UMA
1688860800000,2023-07-09 23:59:59.999,UMA,1d,1.603,1.576,1.616,1.576,0.0,0,UMA
1688947200000,2023-07-10 23:59:59.999,UMA,1d,1.577,1.566,1.58,1.522,0.0,0,UMA
1689033600000,2023-07-11 23:59:59.999,UMA,1d,1.566,1.616,1.662,1.548,0.0,0,UMA
1689120000000,2023-07-12 23:59:59.999,UMA,1d,1.616,1.596,1.632,1.566,0.0,0,UMA
1689206400000,2023-07-13 23:59:59.999,UMA,1d,1.597,1.689,1.697,1.585,0.0,0,UMA
1689292800000,2023-07-14 23:59:59.999,UMA,1d,1.689,1.661,1.763,1.605,0.0,0,UMA
1689379200000,2023-07-15 23:59:59.999,UMA,1d,1.662,1.644,1.685,1.631,0.0,0,UMA
1689465600000,2023-07-16 23:59:59.999,UMA,1d,1.645,1.594,1.653,1.587,0.0,0,UMA
1689552000000,2023-07-17 23:59:59.999,UMA,1d,1.595,1.629,1.64,1.574,0.0,0,UMA
1689638400000,2023-07-18 23:59:59.999,UMA,1d,1.628,1.568,1.64,1.546,0.0,0,UMA
1689724800000,2023-07-19 23:59:59.999,UMA,1d,1.569,1.564,1.598,1.539,0.0,0,UMA
1689811200000,2023-07-20 23:59:59.999,UMA,1d,1.563,1.64,1.692,1.561,0.0,0,UMA
1689897600000,2023-07-21 23:59:59.999,UMA,1d,1.64,1.626,1.669,1.614,0.0,0,UMA
1689984000000,2023-07-22 23:59:59.999,UMA,1d,1.626,1.594,1.657,1.572,0.0,0,UMA
1690070400000,2023-07-23 23:59:59.999,UMA,1d,1.594,1.626,1.642,1.583,0.0,0,UMA
1690156800000,2023-07-24 23:59:59.999,UMA,1d,1.626,1.561,1.647,1.52,0.0,0,UMA
1690243200000,2023-07-25 23:59:59.999,UMA,1d,1.562,1.552,1.569,1.535,0.0,0,UMA
1690329600000,2023-07-26 23:59:59.999,UMA,1d,1.553,1.552,1.565,1.522,0.0,0,UMA
1690416000000,2023-07-27 23:59:59.999,UMA,1d,1.551,1.65,1.665,1.541,0.0,0,UMA
1690502400000,2023-07-28 23:59:59.999,UMA,1d,1.65,1.605,1.767,1.591,0.0,0,UMA
1690588800000,2023-07-29 23:59:59.999,UMA,1d,1.604,1.624,1.643,1.598,0.0,0,UMA
1690675200000,2023-07-30 23:59:59.999,UMA,1d,1.624,1.598,1.658,1.538,0.0,0,UMA
1690761600000,2023-07-31 23:59:59.999,UMA,1d,1.599,1.599,1.637,1.578,0.0,0,UMA
1690848000000,2023-08-01 23:59:59.999,UMA,1d,1.599,1.607,1.618,1.551,0.0,0,UMA
1690934400000,2023-08-02 23:59:59.999,UMA,1d,1.607,1.602,1.614,1.571,0.0,0,UMA
1691020800000,2023-08-03 23:59:59.999,UMA,1d,1.602,1.572,1.619,1.567,0.0,0,UMA
1691107200000,2023-08-04 23:59:59.999,UMA,1d,1.573,1.572,1.595,1.544,0.0,0,UMA
1691193600000,2023-08-05 23:59:59.999,UMA,1d,1.572,1.587,1.606,1.554,0.0,0,UMA
1691280000000,2023-08-06 23:59:59.999,UMA,1d,1.587,1.63,1.643,1.584,0.0,0,UMA
