t,timestamp,s,i,open,close,high,low,volume,n,asset,donchian_high_5,donchian_low_5,donchian_mid_5,donchian_high_10,donchian_low_10,donchian_mid_10,donchian_high_20,donchian_low_20,donchian_mid_20,donchian_high_30,donchian_low_30,donchian_mid_30,donchian_high_60,donchian_low_60,donchian_mid_60,donchian_high_90,donchian_low_90,donchian_mid_90,donchian_high_150,donchian_low_150,donchian_mid_150,donchian_high_250,donchian_low_250,donchian_mid_250,donchian_high_360,donchian_low_360,donchian_mid_360
1688774400000,2023-07-08 23:59:59.999,UNIBOT,1d,37.317,39.106,41.059,30.367,0.0,0,UNIBOT,,,,,,,,,,,,,,,,,,,,,,,,,,,
1688860800000,2023-07-09 23:59:59.999,UNIBOT,1d,39.106,36.859,41.61,34.984,0.0,0,UNIBOT,,,,,,,,,,,,,,,,,,,,,,,,,,,
1688947200000,2023-07-10 23:59:59.999,UNIBOT,1d,36.859,35.4,42.53,33.081,0.0,0,UNIBOT,,,,,,,,,,,,,,,,,,,,,,,,,,,
1689033600000,2023-07-11 23:59:59.999,UNIBOT,1d,35.4,41.938,45.396,34.205,0.0,0,UNIBOT,,,,,,,,,,,,,,,,,,,,,,,,,,,
1689120000000,2023-07-12 23:59:59.999,UNIBOT,1d,41.938,51.685,53.688,41.093,0.0,0,UNIBOT,53.688,30.367,42.0275,,,,,,,,,,,,,,,,,,,,,,,,
1689206400000,2023-07-13 23:59:59.999,UNIBOT,1d,51.685,53.202,64.207,37.822,0.0,0,UNIBOT,64.207,33.081,48.644,,,,,,,,,,,,,,,,,,,,,,,,
1689292800000,2023-07-14 23:59:59.999,UNIBOT,1d,53.201,56.74,59.51,45.569,0.0,0,UNIBOT,64.207,33.081,48.644,,,,,,,,,,,,,,,,,,,,,,,,
1689379200000,2023-07-15 23:59:59.999,UNIBOT,1d,56.74,57.354,61.914,47.513,0.0,0,UNIBOT,64.207,34.205,49.205999999999996,,,,,,,,,,,,,,,,,,,,,,,,
1689465600000,2023-07-16 23:59:59.999,UNIBOT,1d,57.354,63.747,66.319,55.447,0.0,0,UNIBOT,66.319,37.822,52.0705,,,,,,,,,,,,,,,,,,,,,,,,
1689552000000,2023-07-17 23:59:59.999,UNIBOT,1d,63.747,65.249,73.783,55.4,0.0,0,UNIBOT,73.783,37.822,55.8025,73.783,30.367,52.075,,,,,,,,,,,,,,,,,,,,,
