t,timestamp,s,i,open,close,high,low,volume,n,asset,donchian_high_5,donchian_low_5,donchian_mid_5,donchian_high_10,donchian_low_10,donchian_mid_10,donchian_high_20,donchian_low_20,donchian_mid_20,donchian_high_30,donchian_low_30,donchian_mid_30,donchian_high_60,donchian_low_60,donchian_mid_60,donchian_high_90,donchian_low_90,donchian_mid_90,donchian_high_150,donchian_low_150,donchian_mid_150,donchian_high_250,donchian_low_250,donchian_mid_250,donchian_high_360,donchian_low_360,donchian_mid_360
1688774400000,2023-07-08 23:59:59.999,UNI,1d,5.476,5.246,5.486,5.169,0.0,0,UNI,,,,,,,,,,,,,,,,,,,,,,,,,,,
1688860800000,2023-07-09 23:59:59.999,UNI,1d,5.247,5.225,5.333,5.194,0.0,0,UNI,,,,,,,,,,,,,,,,,,,,,,,,,,,
1688947200000,2023-07-10 23:59:59.999,UNI,1d,5.226,5.234,5.359,5.06,0.0,0,UNI,,,,,,,,,,,,,,,,,,,,,,,,,,,
1689033600000,2023-07-11 23:59:59.999,UNI,1d,5.233,5.259,5.307,5.183,0.0,0,UNI,,,,,,,,,,,,,,,,,,,,,,,,,,,
1689120000000,2023-07-12 23:59:59.999,UNI,1d,5.258,5.272,5.378,5.176,0.0,0,UNI,5.486,5.06,5.273,,,,,,,,,,,,,,,,,,,,,,,,
1689206400000,2023-07-13 23:59:59.999,UNI,1d,5.271,5.873,5.88,5.214,0.0,0,UNI,5.88,5.06,5.47,,,,,,,,,,,,,,,,,,,,,,,,
1689292800000,2023-07-14 23:59:59.999,UNI,1d,5.873,5.87,6.166,5.689,0.0,0,UNI,6.166,5.06,5.6129999999999995,,,,,,,,,,,,,,,,,,,,,,,,
1689379200000,2023-07-15 23:59:59.999,UNI,1d,5.87,5.812,5.932,5.756,0.0,0,UNI,6.166,5.176,5.671,,,,,,,,,,,,,,,,,,,,,,,,
1689465600000,2023-07-16 23:59:59.999,UNI,1d,5.812,5.718,5.866,5.65,0.0,0,UNI,6.166,5.176,5.671,,,,,,,,,,,,,,,,,,,,,,,,
1689552000000,2023-07-17 23:59:59.999,UNI,1d,5.717,5.908,6.139,5.674,0.0,0,UNI,6.166,5.214,5.69,6.166,5.06,5.6129999999999995,,,,,,,,,,,,,,,,,,,,,
1689638400000,2023-07-18 23:59:59.999,UNI,1d,5.909,5.906,6.275,5.856,0.0,0,UNI,6.275,5.65,5.9625,6.275,5.06,5.6675,,,,,,,,,,,,,,,,,,,,,
1689724800000,2023-07-19 23:59:59.999,UNI,1d,5.906,5.871,6.049,5.804,0.0,0,UNI,6.275,5.65,5.9625,6.275,5.06,5.6675,,,,,,,,,,,,,,,,,,,,,
1689811200000,2023-07-20 23:59:59.999,UNI,1d,5.871,6.013,6.162,5.812,0.0,0,UNI,6.275,5.65,5.9625,6.275,5.176,5.7255,,,,,,,,,,,,,,,,,,,,,
1689897600000,2023-07-21 23:59:59.999,UNI,1d,6.013,6.201,6.386,5.939,0.0,0,UNI,6.386,5.674,6.03,6.386,5.176,5.781000000000001,,,,,,,,,,,,,,,,,,,,,
1689984000000,2023-07-22 23:59:59.999,UNI,1d,6.202,5.988,6.256,5.95,0.0,0,UNI,6.386,5.804,6.095000000000001,6.386,5.214,5.800000000000001,,,,,,,,,,,,,,,,,,,,,
1690070400000,2023-07-23 23:59:59.999,UNI,1d,5.988,6.134,6.228,5.969,0.0,0,UNI,6.386,5.804,6.095000000000001,6.386,5.65,6.018000000000001,,,,,,,,,,,,,,,,,,,,,
1690156800000,2023-07-24 23:59:59.999,UNI,1d,6.134,5.776,6.18,5.707,0.0,0,UNI,6.386,5.707,6.0465,6.386,5.65,6.018000000000001,,,,,,,,,,,,,,,,,,,,,
1690243200000,2023-07-25 23:59:59.999,UNI,1d,5.775,5.788,5.811,5.688,0.0,0,UNI,6.386,5.688,6.037,6.386,5.65,6.018000000000001,,,,,,,,,,,,,,,,,,,,,
1690329600000,2023-07-26 23:59:59.999,UNI,1d,5.788,5.84,5.899,5.718,0.0,0,UNI,6.256,5.688,5.9719999999999995,6.386,5.674,6.03,,,,,,,,,,,,,,,,,,,,,
1690416000000,2023-07-27 23:59:59.999,UNI,1d,5.84,5.87,5.976,5.795,0.0,0,UNI,6.228,5.688,5.958,6.386,5.688,6.037,6.386,5.06,5.723,,,,,,,,,,,,,,,,,,
1690502400000,2023-07-28 23:59:59.999,UNI,1d,5.869,6.008,6.02,5.861,0.0,0,UNI,6.18,5.688,5.933999999999999,6.386,5.688,6.037,6.386,5.06,5.723,,,,,,,,,,,,,,,,,,
1690588800000,2023-07-29 23:59:59.999,UNI,1d,6.009,6.321,6.355,6.001,0.0,0,UNI,6.355,5.688,6.0215,6.386,5.688,6.037,6.386,5.06,5.723,,,,,,,,,,,,,,,,,,
