t,timestamp,s,i,open,close,high,low,volume,n,asset,donchian_high_5,donchian_low_5,donchian_mid_5,donchian_high_10,donchian_low_10,donchian_mid_10,donchian_high_20,donchian_low_20,donchian_mid_20,donchian_high_30,donchian_low_30,donchian_mid_30,donchian_high_60,donchian_low_60,donchian_mid_60,donchian_high_90,donchian_low_90,donchian_mid_90,donchian_high_150,donchian_low_150,donchian_mid_150,donchian_high_250,donchian_low_250,donchian_mid_250,donchian_high_360,donchian_low_360,donchian_mid_360
1788825600000,2026-09-08 23:59:59.999,USELESS,1d,0.30348,0.28489,0.3102,0.2657,20541353.0,18719,USELESS,,,,,,,,,,,,,,,,,,,,,,,,,,,
1788912000000,2026-09-09 23:59:59.999,USELESS,1d,0.28499,0.28459,0.30087,0.27927,6088498.0,8109,USELESS,,,,,,,,,,,,,,,,,,,,,,,,,,,
1788998400000,2026-09-10 23:59:59.999,USELESS,1d,0.2255,0.23589,0.23795,0.21682,7985168.0,14022,USELESS,,,,,,,,,,,,,,,,,,,,,,,,,,,
1789084800000,2026-09-11 23:59:59.999,USELESS,1d,0.23088,0.21617,0.23585,0.20319,9499273.0,8038,USELESS,,,,,,,,,,,,,,,,,,,,,,,,,,,
1789171200000,2026-09-12 23:59:59.999,USELESS,1d,0.21411,0.22225,0.22952,0.21177,2002537.0,2641,USELESS,0.3102,0.20319,0.256695,,,,,,,,,,,,,,,,,,,,,,,,
1789257600000,2026-09-13 23:59:59.999,USELESS,1d,0.23217,0.23266,0.24183,0.22769,2391983.0,4290,USELESS,0.30087,0.20319,0.25203000000000003,,,,,,,,,,,,,,,,,,,,,,,,
1789344000000,2026-09-14 23:59:59.999,USELESS,1d,0.21388,0.20507,0.21725,0.20093,5396951.0,3104,USELESS,0.24183,0.20093,0.22138,,,,,,,,,,,,,,,,,,,,,,,,
1789430400000,2026-09-15 23:59:59.999,USELESS,1d,0.19649,0.20469,0.20639,0.19534,2430801.0,2767,USELESS,0.24183,0.19534,0.218585,,,,,,,,,,,,,,,,,,,,,,,,
1789516800000,2026-09-16 23:59:59.999,USELESS,1d,0.21554,0.23049,0.2306,0.2153,3552890.0,5243,USELESS,0.24183,0.19534,0.218585,,,,,,,,,,,,,,,,,,,,,,,,
1789603200000,2026-09-17 23:59:59.999,USELESS,1d,0.23114,0.26937,0.27142,0.22851,10605845.0,7732,USELESS,0.27142,0.19534,0.23338,0.3102,0.19534,0.25277,,,,,,,,,,,,,,,,,,,,,
