t,timestamp,s,i,open,close,high,low,volume,n,asset,donchian_high_5,donchian_low_5,donchian_mid_5,donchian_high_10,donchian_low_10,donchian_mid_10,donchian_high_20,donchian_low_20,donchian_mid_20,donchian_high_30,donchian_low_30,donchian_mid_30,donchian_high_60,donchian_low_60,donchian_mid_60,donchian_high_90,donchian_low_90,donchian_mid_90,donchian_high_150,donchian_low_150,donchian_mid_150,donchian_high_250,donchian_low_250,donchian_mid_250,donchian_high_360,donchian_low_360,donchian_mid_360
1701043200000,2023-11-27 23:59:59.999,USTC,1d,0.070886,0.045394,0.07392,0.030352,18748656.0,863,USTC,,,,,,,,,,,,,,,,,,,,,,,,,,,
1701129600000,2023-11-28 23:59:59.999,USTC,1d,0.045438,0.042152,0.04651,0.035636,56313158.0,2825,USTC,,,,,,,,,,,,,,,,,,,,,,,,,,,
1701216000000,2023-11-29 23:59:59.999,USTC,1d,0.041938,0.051656,0.059844,0.0404,57070678.0,3991,USTC,,,,,,,,,,,,,,,,,,,,,,,,,,,
1701302400000,2023-11-30 23:59:59.999,USTC,1d,0.051468,0.051764,0.058532,0.049334,51086624.0,2830,USTC,,,,,,,,,,,,,,,,,,,,,,,,,,,
1701388800000,2023-12-01 23:59:59.999,USTC,1d,0.051792,0.052681,0.055513,0.050417,34433995.0,2312,USTC,0.07392,0.030352,0.052136,,,,,,,,,,,,,,,,,,,,,,,,
1701475200000,2023-12-02 23:59:59.999,USTC,1d,0.053031,0.053918,0.057346,0.052621,15866396.0,2055,USTC,0.059844,0.035636,0.047740000000000005,,,,,,,,,,,,,,,,,,,,,,,,
1701561600000,2023-12-03 23:59:59.999,USTC,1d,0.053906,0.061237,0.069111,0.053246,27552158.0,2842,USTC,0.069111,0.0404,0.0547555,,,,,,,,,,,,,,,,,,,,,,,,
1701648000000,2023-12-04 23:59:59.999,USTC,1d,0.061358,0.057942,0.06969,0.053204,32164689.0,2614,USTC,0.06969,0.049334,0.059512,,,,,,,,,,,,,,,,,,,,,,,,
1701734400000,2023-12-05 23:59:59.999,USTC,1d,0.058121,0.052141,0.058121,0.050412,22374077.0,2054,USTC,0.06969,0.050412,0.060051,,,,,,,,,,,,,,,,,,,,,,,,
1701820800000,2023-12-06 23:59:59.999,USTC,1d,0.052319,0.046143,0.053723,0.043832,24181833.0,2175,USTC,0.06969,0.043832,0.056761000000000006,0.07392,0.030352,0.052136,,,,,,,,,,,,,,,,,,,,,
1701907200000,2023-12-07 23:59:59.999,USTC,1d,0.046161,0.042517,0.047409,0.04185,29650577.0,2238,USTC,0.06969,0.04185,0.05577,0.06969,0.035636,0.052663,,,,,,,,,,,,,,,,,,,,,
1701993600000,2023-12-08 23:59:59.999,USTC,1d,0.042706,0.044272,0.047552,0.042473,10007036.0,1982,USTC,0.06969,0.04185,0.05577,0.06969,0.0404,0.055045,,,,,,,,,,,,,,,,,,,,,
1702080000000,2023-12-09 23:59:59.999,USTC,1d,0.044362,0.040886,0.046021,0.040523,38058984.0,2317,USTC,0.058121,0.040523,0.049322000000000005,0.06969,0.040523,0.0551065,,,,,,,,,,,,,,,,,,,,,
1702166400000,2023-12-10 23:59:59.999,USTC,1d,0.041048,0.048592,0.052609,0.040763,36573919.0,2493,USTC,0.053723,0.040523,0.047123,0.06969,0.040523,0.0551065,,,,,,,,,,,,,,,,,,,,,
1702252800000,2023-12-11 23:59:59.999,USTC,1d,0.048735,0.04115,0.049326,0.038984,126292104.0,3329,USTC,0.052609,0.038984,0.045796500000000004,0.06969,0.038984,0.054336999999999996,,,,,,,,,,,,,,,,,,,,,
1702339200000,2023-12-12 23:59:59.999,USTC,1d,0.041096,0.040042,0.04278,0.03828,26422651.0,2103,USTC,0.052609,0.03828,0.0454445,0.06969,0.03828,0.053985000000000005,,,,,,,,,,,,,,,,,,,,,
1702425600000,2023-12-13 23:59:59.999,USTC,1d,0.040315,0.04112,0.041426,0.036857,46725966.0,2274,USTC,0.052609,0.036857,0.044733,0.06969,0.036857,0.0532735,,,,,,,,,,,,,,,,,,,,,
1702512000000,2023-12-14 23:59:59.999,USTC,1d,0.041143,0.040341,0.041813,0.039127,44299559.0,2424,USTC,0.052609,0.036857,0.044733,0.058121,0.036857,0.047489,,,,,,,,,,,,,,,,,,,,,
1702598400000,2023-12-15 23:59:59.999,USTC,1d,0.040274,0.037193,0.044195,0.037013,21150313.0,1984,USTC,0.049326,0.036857,0.043091500000000005,0.053723,0.036857,0.04529,,,,,,,,,,,,,,,,,,,,,
1702684800000,2023-12-16 23:59:59.999,USTC,1d,0.037163,0.037393,0.039369,0.036598,7848719.0,1957,USTC,0.044195,0.036598,0.0403965,0.052609,0.036598,0.044603500000000004,0.07392,0.030352,0.052136,,,,,,,,,,,,,,,,,,
1702771200000,2023-12-17 23:59:59.999,USTC,1d,0.037366,0.035725,0.037876,0.035376,12702981.0,2033,USTC,0.044195,0.035376,0.0397855,0.052609,0.035376,0.043992500000000004,0.06969,0.035376,0.052532999999999996,,,,,,,,,,,,,,,,,,
