t,timestamp,s,i,open,close,high,low,volume,n,asset
1733788800000,2024-12-10 23:59:59.999,VIRTUAL,1d,1.4101,1.5622,1.74,1.4101,0.0,0,VIRTUAL
1733875200000,2024-12-11 23:59:59.999,VIRTUAL,1d,1.5624,1.9109,1.9606,1.497,0.0,0,VIRTUAL
1733961600000,2024-12-12 23:59:59.999,VIRTUAL,1d,1.9116,2.1771,2.1815,1.8185,0.0,0,VIRTUAL
1734048000000,2024-12-13 23:59:59.999,VIRTUAL,1d,2.1777,2.4601,2.6255,2.1028,0.0,0,VIRTUAL
1734134400000,2024-12-14 23:59:59.999,VIRTUAL,1d,2.46,2.4497,2.6514,2.4132,0.0,0,VIRTUAL
1734220800000,2024-12-15 23:59:59.999,VIRTUAL,1d,2.4498,2.7157,2.78,2.3263,0.0,0,VIRTUAL
1734307200000,2024-12-16 23:59:59.999,VIRTUAL,1d,2.772,2.9638,3.34,2.7235,4769476.9,16030,VIRTUAL
1734393600000,2024-12-17 23:59:59.999,VIRTUAL,1d,2.9592,2.5828,3.016,2.532,5640611.6,17764,VIRTUAL
1734480000000,2024-12-18 23:59:59.999,VIRTUAL,1d,2.5826,2.5353,2.9757,2.5181,7965856.9,21960,VIRTUAL
1734566400000,2024-12-19 23:59:59.999,VIRTUAL,1d,2.5404,2.2727,2.7274,2.1063,9535675.3,16303,VIRTUAL
1734652800000,2024-12-20 23:59:59.999,VIRTUAL,1d,2.2724,2.8182,2.842,2.004,9686300.5,21497,VIRTUAL
1734739200000,2024-12-21 23:59:59.999,VIRTUAL,1d,2.8328,2.5028,2.8518,2.4531,3745634.6,13562,VIRTUAL
1734825600000,2024-12-22 23:59:59.999,VIRTUAL,1d,2.5031,2.3387,2.5637,2.2302,4756918.0,10774,VIRTUAL
1734912000000,2024-12-23 23:59:59.999,VIRTUAL,1d,2.3339,3.0372,3.061,2.2575,7302505.599999999,20696,VIRTUAL
1734998400000,2024-12-24 23:59:59.999,VIRTUAL,1d,3.0277,3.0396,3.2821,2.9734,6246062.1,21748,VIRTUAL
1735084800000,2024-12-25 23:59:59.999,VIRTUAL,1d,3.0356,3.1782,3.2972,2.9,4363975.5,18576,VIRTUAL
