t,timestamp,s,i,open,close,high,low,volume,n,asset,donchian_high_5,donchian_low_5,donchian_mid_5,donchian_high_10,donchian_low_10,donchian_mid_10,donchian_high_20,donchian_low_20,donchian_mid_20,donchian_high_30,donchian_low_30,donchian_mid_30,donchian_high_60,donchian_low_60,donchian_mid_60,donchian_high_90,donchian_low_90,donchian_mid_90,donchian_high_150,donchian_low_150,donchian_mid_150,donchian_high_250,donchian_low_250,donchian_mid_250,donchian_high_360,donchian_low_360,donchian_mid_360
1738022400000,2025-01-28 23:59:59.999,VVV,1d,21.445,9.2141,22.613,8.73,4503160.56,71927,VVV,,,,,,,,,,,,,,,,,,,,,,,,,,,
1738108800000,2025-01-29 23:59:59.999,VVV,1d,9.2311,9.4047,12.086,8.438,3107507.81,52810,VVV,,,,,,,,,,,,,,,,,,,,,,,,,,,
1738195200000,2025-01-30 23:59:59.999,VVV,1d,9.4016,6.5203,9.4277,6.5143,1703365.18,21115,VVV,,,,,,,,,,,,,,,,,,,,,,,,,,,
1738281600000,2025-01-31 23:59:59.999,VVV,1d,6.57,5.6641,6.7802,5.3,3305635.11,23266,VVV,,,,,,,,,,,,,,,,,,,,,,,,,,,
1738368000000,2025-02-01 23:59:59.999,VVV,1d,5.6472,3.9708,6.5854,3.7894,3644347.55,21497,VVV,22.613,3.7894,13.2012,,,,,,,,,,,,,,,,,,,,,,,,
1738454400000,2025-02-02 23:59:59.999,VVV,1d,3.969,3.3712,4.384,3.0606,6156572.05,27188,VVV,12.086,3.0606,7.5733,,,,,,,,,,,,,,,,,,,,,,,,
1738540800000,2025-02-03 23:59:59.999,VVV,1d,3.3712,5.503,5.8752,2.3018,9860087.14,41460,VVV,9.4277,2.3018,5.86475,,,,,,,,,,,,,,,,,,,,,,,,
1738627200000,2025-02-04 23:59:59.999,VVV,1d,5.5065,5.1687,5.7535,3.7199,7726187.91,38101,VVV,6.7802,2.3018,4.541,,,,,,,,,,,,,,,,,,,,,,,,
1738713600000,2025-02-05 23:59:59.999,VVV,1d,5.1715,6.097,6.3496,5.1597,6083662.19,43062,VVV,6.5854,2.3018,4.4436,,,,,,,,,,,,,,,,,,,,,,,,
1738800000000,2025-02-06 23:59:59.999,VVV,1d,6.1144,5.147,6.4503,4.9871,4322588.71,34764,VVV,6.4503,2.3018,4.37605,22.613,2.3018,12.4574,,,,,,,,,,,,,,,,,,,,,
