t,timestamp,s,i,open,close,high,low,volume,n,asset,donchian_high_5,donchian_low_5,donchian_mid_5,donchian_high_10,donchian_low_10,donchian_mid_10,donchian_high_20,donchian_low_20,donchian_mid_20,donchian_high_30,donchian_low_30,donchian_mid_30,donchian_high_60,donchian_low_60,donchian_mid_60,donchian_high_90,donchian_low_90,donchian_mid_90,donchian_high_150,donchian_low_150,donchian_mid_150,donchian_high_250,donchian_low_250,donchian_mid_250,donchian_high_360,donchian_low_360,donchian_mid_360
1744675200000,2025-04-15 23:59:59.999,WCT,1d,0.33506,0.28423,0.36471,0.275,9895863.0,6329,WCT,,,,,,,,,,,,,,,,,,,,,,,,,,,
1744761600000,2025-04-16 23:59:59.999,WCT,1d,0.2861,0.43168,0.54769,0.28244,56455752.0,32533,WCT,,,,,,,,,,,,,,,,,,,,,,,,,,,
1744848000000,2025-04-17 23:59:59.999,WCT,1d,0.43148,0.39947,0.44554,0.3729,20777095.0,14415,WCT,,,,,,,,,,,,,,,,,,,,,,,,,,,
1744934400000,2025-04-18 23:59:59.999,WCT,1d,0.3982,0.35141,0.40602,0.33375,10007106.0,7661,WCT,,,,,,,,,,,,,,,,,,,,,,,,,,,
1745020800000,2025-04-19 23:59:59.999,WCT,1d,0.35084,0.50638,0.51826,0.33921,15915376.0,9867,WCT,0.54769,0.275,0.411345,,,,,,,,,,,,,,,,,,,,,,,,
1745107200000,2025-04-20 23:59:59.999,WCT,1d,0.47249,0.48186,0.5162,0.45492,3611181.0,4426,WCT,0.54769,0.28244,0.415065,,,,,,,,,,,,,,,,,,,,,,,,
1745193600000,2025-04-21 23:59:59.999,WCT,1d,0.48164,0.44193,0.51918,0.43653,4652924.0,5808,WCT,0.51918,0.33375,0.426465,,,,,,,,,,,,,,,,,,,,,,,,
1745280000000,2025-04-22 23:59:59.999,WCT,1d,0.44211,0.41683,0.45391,0.38707,3945802.0,4633,WCT,0.51918,0.33375,0.426465,,,,,,,,,,,,,,,,,,,,,,,,
1745366400000,2025-04-23 23:59:59.999,WCT,1d,0.41721,0.38496,0.43541,0.37636,5997857.0,5243,WCT,0.51918,0.33921,0.429195,,,,,,,,,,,,,,,,,,,,,,,,
1745452800000,2025-04-24 23:59:59.999,WCT,1d,0.38475,0.39825,0.39885,0.37406,1690729.0,2623,WCT,0.51918,0.37406,0.44662,0.54769,0.275,0.411345,,,,,,,,,,,,,,,,,,,,,
1745539200000,2025-04-25 23:59:59.999,WCT,1d,0.39652,0.39799,0.41502,0.38527,3288963.0,3541,WCT,0.51918,0.37406,0.44662,0.54769,0.28244,0.415065,,,,,,,,,,,,,,,,,,,,,
1745625600000,2025-04-26 23:59:59.999,WCT,1d,0.39796,0.43387,0.44107,0.39728,1785274.0,2541,WCT,0.45391,0.37406,0.413985,0.51918,0.33375,0.426465,,,,,,,,,,,,,,,,,,,,,
1745712000000,2025-04-27 23:59:59.999,WCT,1d,0.43835,0.43841,0.43999,0.4043,1257816.0,2341,WCT,0.44107,0.37406,0.407565,0.51918,0.33375,0.426465,,,,,,,,,,,,,,,,,,,,,
1745798400000,2025-04-28 23:59:59.999,WCT,1d,0.43781,0.42438,0.44527,0.41064,1695234.0,2873,WCT,0.44527,0.37406,0.409665,0.51918,0.33921,0.429195,,,,,,,,,,,,,,,,,,,,,
