t,timestamp,s,i,open,close,high,low,volume,n,asset
1703203200000,2023-12-22 23:59:59.999,WIF,1d,0.27259,0.22146,0.28227,0.22087,1964000.0,197,WIF
1703289600000,2023-12-23 23:59:59.999,WIF,1d,0.22286,0.24473,0.24925,0.1237,3750062.0,698,WIF
1703376000000,2023-12-24 23:59:59.999,WIF,1d,0.23065,0.14415,0.23743,0.14028,3665648.0,463,WIF
1703462400000,2023-12-25 23:59:59.999,WIF,1d,0.14,0.19577,0.26621,0.12786,2833186.0,385,WIF
1703548800000,2023-12-26 23:59:59.999,WIF,1d,0.19698,0.17257,0.20298,0.123,2565747.0,351,WIF
1703635200000,2023-12-27 23:59:59.999,WIF,1d,0.17543,0.18205,0.19234,0.12934,2047558.0,239,WIF
1703721600000,2023-12-28 23:59:59.999,WIF,1d,0.17813,0.18776,0.19962,0.13483,1736149.0,248,WIF
1703808000000,2023-12-29 23:59:59.999,WIF,1d,0.18297,0.17577,0.224,0.16563,5267129.0,460,WIF
1703894400000,2023-12-30 23:59:59.999,WIF,1d,0.17821,0.166,0.19622,0.14603,2783021.0,255,WIF
1703980800000,2023-12-31 23:59:59.999,WIF,1d,0.16656,0.153,0.18673,0.14277,2322550.0,151,WIF
1704067200000,2024-01-01 23:59:59.999,WIF,1d,0.15366,0.17222,0.17222,0.14966,2001390.0,232,WIF
1704153600000,2024-01-02 23:59:59.999,WIF,1d,0.17444,0.14076,0.1825,0.13,2396664.0,255,WIF
1704240000000,2024-01-03 23:59:59.999,WIF,1d,0.15095,0.087386,0.15095,0.067678,9187433.0,1355,WIF
1704326400000,2024-01-04 23:59:59.999,WIF,1d,0.087227,0.13565,0.14223,0.087227,3681691.0,1271,WIF
1704412800000,2024-01-05 23:59:59.999,WIF,1d,0.13461,0.11608,0.13503,0.097401,1566163.0,583,WIF
1704499200000,2024-01-06 23:59:59.999,WIF,1d,0.11601,0.093124,0.11634,0.083008,1878712.0,883,WIF
1704585600000,2024-01-07 23:59:59.999,WIF,1d,0.093974,0.088408,0.10203,0.085273,953718.0,466,WIF
1704672000000,2024-01-08 23:59:59.999,WIF,1d,0.090075,0.1281,0.14008,0.066,4427732.0,1254,WIF
1704758400000,2024-01-09 23:59:59.999,WIF,1d,0.12878,0.13016,0.15395,0.097619,3288265.0,627,WIF
1704844800000,2024-01-10 23:59:59.999,WIF,1d,0.13083,0.17755,0.25,0.10986,3663974.0,1028,WIF
1704931200000,2024-01-11 23:59:59.999,WIF,1d,0.17061,0.28081,0.3445,0.16243,9835508.0,8298,WIF
1705017600000,2024-01-12 23:59:59.999,WIF,1d,0.28124,0.21603,0.28941,0.18472,9171365.0,8202,WIF
1705104000000,2024-01-13 23:59:59.999,WIF,1d,0.21389,0.27454,0.28774,0.18484,8350588.0,6019,WIF
1705190400000,2024-01-14 23:59:59.999,WIF,1d,0.27487,0.32222,0.38942,0.24698,11428070.0,10404,WIF
1705276800000,2024-01-15 23:59:59.999,WIF,1d,0.32661,0.29222,0.385,0.18366,11036861.0,9896,WIF
1705363200000,2024-01-16 23:59:59.999,WIF,1d,0.29196,0.29462,0.34394,0.24904,9751707.0,8145,WIF
1705449600000,2024-01-17 23:59:59.999,WIF,1d,0.29563,0.42992,0.45789,0.2901,7297451.0,7251,WIF
1705536000000,2024-01-18 23:59:59.999,WIF,1d,0.42819,0.36303,0.55042,0.34928,17026280.0,10858,WIF
1705622400000,2024-01-19 23:59:59.999,WIF,1d,0.35979,0.40236,0.41836,0.32261,18216236.0,9591,WIF
1705708800000,2024-01-20 23:59:59.999,WIF,1d,0.40277,0.33743,0.41004,0.33116,10417438.0,7245,WIF
1705795200000,2024-01-21 23:59:59.999,WIF,1d,0.33758,0.30324,0.3477,0.2942,14191524.0,7001,WIF
1705881600000,2024-01-22 23:59:59.999,WIF,1d,0.30206,0.23388,0.30856,0.228,24282689.0,12730,WIF
1705968000000,2024-01-23 23:59:59.999,WIF,1d,0.23335,0.28024,0.28811,0.20682,22098039.0,9641,WIF
1706054400000,2024-01-24 23:59:59.999,WIF,1d,0.28034,0.35032,0.35863,0.27419,19852020.0,12950,WIF
1706140800000,2024-01-25 23:59:59.999,WIF,1d,0.35024,0.3851,0.40829,0.32471,27533765.0,13021,WIF
1706227200000,2024-01-26 23:59:59.999,WIF,1d,0.38366,0.35152,0.39041,0.34133,64234482.0,17302,WIF
1706313600000,2024-01-27 23:59:59.999,WIF,1d,0.35195,0.34485,0.36484,0.29942,22126641.0,9589,WIF
1706400000000,2024-01-28 23:59:59.999,WIF,1d,0.3453,0.32938,0.37391,0.29862,13432759.0,8864,WIF
1706486400000,2024-01-29 23:59:59.999,WIF,1d,0.32943,0.31478,0.33223,0.29386,17693675.0,10801,WIF
1706572800000,2024-01-30 23:59:59.999,WIF,1d,0.31427,0.28373,0.3439,0.27,16744187.0,8229,WIF
1706659200000,2024-01-31 23:59:59.999,WIF,1d,0.28346,0.25136,0.28622,0.24502,14864077.0,9150,WIF
1706745600000,2024-02-01 23:59:59.999,WIF,1d,0.2514,0.22903,0.25261,0.20958,20183977.0,9896,WIF
1706832000000,2024-02-02 23:59:59.999,WIF,1d,0.22902,0.26137,0.2743,0.19575,19515079.0,10261,WIF
1706918400000,2024-02-03 23:59:59.999,WIF,1d,0.26137,0.24298,0.28475,0.23546,22473349.0,10069,WIF
1707004800000,2024-02-04 23:59:59.999,WIF,1d,0.2428,0.21167,0.24288,0.20936,15350845.0,8000,WIF
1707091200000,2024-02-05 23:59:59.999,WIF,1d,0.21134,0.21309,0.22426,0.20206,17514159.0,9195,WIF
1707177600000,2024-02-06 23:59:59.999,WIF,1d,0.21279,0.19065,0.21555,0.18192,26107310.0,11931,WIF
1707264000000,2024-02-07 23:59:59.999,WIF,1d,0.19127,0.21706,0.23338,0.17036,25041830.0,11089,WIF
1707350400000,2024-02-08 23:59:59.999,WIF,1d,0.21689,0.21893,0.24693,0.20929,23572529.0,11693,WIF
1707436800000,2024-02-09 23:59:59.999,WIF,1d,0.2188,0.2523,0.26507,0.2141,13676685.0,8526,WIF
1707523200000,2024-02-10 23:59:59.999,WIF,1d,0.2523,0.3181,0.33847,0.25221,15226299.0,9822,WIF
1707609600000,2024-02-11 23:59:59.999,WIF,1d,0.31886,0.29751,0.34398,0.29639,10613305.0,5825,WIF
1707696000000,2024-02-12 23:59:59.999,WIF,1d,0.29807,0.36967,0.37625,0.28115,31017968.0,18190,WIF
1707782400000,2024-02-13 23:59:59.999,WIF,1d,0.36998,0.37109,0.40758,0.36571,26658798.0,15101,WIF
1707868800000,2024-02-14 23:59:59.999,WIF,1d,0.37157,0.43908,0.47639,0.35692,33403560.0,11960,WIF
1707955200000,2024-02-15 23:59:59.999,WIF,1d,0.4399,0.40628,0.47471,0.39941,40924671.0,17405,WIF
1708041600000,2024-02-16 23:59:59.999,WIF,1d,0.40638,0.37311,0.41927,0.35357,18606796.0,9118,WIF
1708128000000,2024-02-17 23:59:59.999,WIF,1d,0.37205,0.38637,0.39226,0.34176,7584521.0,7203,WIF
1708214400000,2024-02-18 23:59:59.999,WIF,1d,0.38678,0.4112,0.44958,0.36927,7745848.0,7217,WIF
1708300800000,2024-02-19 23:59:59.999,WIF,1d,0.41094,0.37909,0.41631,0.37583,7344733.0,5404,WIF
1708387200000,2024-02-20 23:59:59.999,WIF,1d,0.37951,0.39913,0.40807,0.31192,16812459.0,15748,WIF
1708473600000,2024-02-21 23:59:59.999,WIF,1d,0.40014,0.35107,0.40014,0.31488,28527072.0,9212,WIF
1708560000000,2024-02-22 23:59:59.999,WIF,1d,0.35107,0.30737,0.35182,0.29442,34924273.0,15070,WIF
1708646400000,2024-02-23 23:59:59.999,WIF,1d,0.30697,0.29828,0.31711,0.28318,13809919.0,8185,WIF
1708732800000,2024-02-24 23:59:59.999,WIF,1d,0.29992,0.34182,0.34935,0.28692,9352043.0,6557,WIF
1708819200000,2024-02-25 23:59:59.999,WIF,1d,0.34224,0.34978,0.36549,0.3121,9948238.0,6702,WIF
1708905600000,2024-02-26 23:59:59.999,WIF,1d,0.35127,0.47057,0.49415,0.34603,15156086.0,12466,WIF
1708992000000,2024-02-27 23:59:59.999,WIF,1d,0.47054,0.61128,0.69862,0.4674,36864986.0,31819,WIF
1709078400000,2024-02-28 23:59:59.999,WIF,1d,0.61269,0.87962,0.957,0.445,48371547.0,37732,WIF
1709164800000,2024-02-29 23:59:59.999,WIF,1d,0.88042,0.83508,0.94534,0.71141,14250661.0,17250,WIF
1709251200000,2024-03-01 23:59:59.999,WIF,1d,0.83557,1.2486,1.3888,0.8076,32257096.0,21374,WIF
1709337600000,2024-03-02 23:59:59.999,WIF,1d,1.2484,1.3996,1.4301,1.1376,18522276.0,23834,WIF
1709424000000,2024-03-03 23:59:59.999,WIF,1d,1.3665,1.6181,1.7999,1.3113,9553399.0,13326,WIF
1709510400000,2024-03-04 23:59:59.999,WIF,1d,1.6306,1.4803,1.9381,1.3369,15127442.0,25332,WIF
1709596800000,2024-03-05 23:59:59.999,WIF,1d,1.4821,1.552,1.9879,0.9543,27268891.0,53898,WIF
1709683200000,2024-03-06 23:59:59.999,WIF,1d,1.5492,1.8544,2.2833,1.4399,15034663.0,32284,WIF
1709769600000,2024-03-07 23:59:59.999,WIF,1d,1.8482,1.7127,1.8977,1.6526,12166944.0,27211,WIF
1709856000000,2024-03-08 23:59:59.999,WIF,1d,1.7135,2.1608,2.44,1.7037,15707460.0,36105,WIF
1709942400000,2024-03-09 23:59:59.999,WIF,1d,2.1601,2.1796,2.2634,2.0272,7526624.0,16146,WIF
1710028800000,2024-03-10 23:59:59.999,WIF,1d,2.1781,2.1406,2.7356,2.03,12894966.0,27915,WIF
1710115200000,2024-03-11 23:59:59.999,WIF,1d,2.1406,2.1144,2.2989,2.0154,8345973.0,18844,WIF
1710201600000,2024-03-12 23:59:59.999,WIF,1d,2.1133,2.1701,2.2,1.802,11169383.0,43484,WIF
1710288000000,2024-03-13 23:59:59.999,WIF,1d,2.1708,2.6498,2.7815,2.1176,8053485.0,26626,WIF
1710374400000,2024-03-14 23:59:59.999,WIF,1d,2.6468,3.1618,3.478,2.6465,10676538.0,37648,WIF
1710460800000,2024-03-15 23:59:59.999,WIF,1d,3.1656,2.8254,3.5803,2.7076,10807218.0,30489,WIF
1710547200000,2024-03-16 23:59:59.999,WIF,1d,2.8198,2.2269,2.945,2.0657,6914793.0,21280,WIF
1710633600000,2024-03-17 23:59:59.999,WIF,1d,2.2303,3.0407,3.1549,2.1766,8068019.0,22296,WIF
1710720000000,2024-03-18 23:59:59.999,WIF,1d,3.0387,2.5534,3.2982,2.5088,8269231.0,31407,WIF
1710806400000,2024-03-19 23:59:59.999,WIF,1d,2.5555,2.3284,2.7557,2.112,10504343.0,29738,WIF
1710892800000,2024-03-20 23:59:59.999,WIF,1d,2.3252,2.6113,2.7521,1.9555,7973667.0,23385,WIF
1710979200000,2024-03-21 23:59:59.999,WIF,1d,2.6084,2.2893,2.6289,2.2299,3999720.0,10054,WIF
1711065600000,2024-03-22 23:59:59.999,WIF,1d,2.2882,2.2349,2.4958,2.1169,4114522.0,8901,WIF
1711152000000,2024-03-23 23:59:59.999,WIF,1d,2.2329,2.2833,2.4818,2.1418,3646685.0,11510,WIF
1711238400000,2024-03-24 23:59:59.999,WIF,1d,2.2824,2.8208,2.8574,2.2226,4966787.0,11278,WIF
1711324800000,2024-03-25 23:59:59.999,WIF,1d,2.8214,2.6881,3.0051,2.6376,7408631.0,23456,WIF
1711411200000,2024-03-26 23:59:59.999,WIF,1d,2.6875,3.2609,3.41,2.6693,7165583.0,21825,WIF
1711497600000,2024-03-27 23:59:59.999,WIF,1d,3.2588,3.0518,3.4695,2.991,6040048.0,20379,WIF
1711584000000,2024-03-28 23:59:59.999,WIF,1d,3.0544,3.7567,3.99,2.9275,6247148.0,20199,WIF
1711670400000,2024-03-29 23:59:59.999,WIF,1d,3.7588,3.92,4.2199,3.5151,5532216.0,22116,WIF
1711756800000,2024-03-30 23:59:59.999,WIF,1d,3.9357,4.2768,4.6755,3.9235,5984716.0,28905,WIF
1711843200000,2024-03-31 23:59:59.999,WIF,1d,4.2764,4.5928,4.8826,4.1926,3458198.0,23985,WIF
1711929600000,2024-04-01 23:59:59.999,WIF,1d,4.5882,4.2299,4.6551,3.9772,3748200.0,22966,WIF
1712016000000,2024-04-02 23:59:59.999,WIF,1d,4.229,3.8539,4.2544,3.6764,4026923.0,18241,WIF
1712102400000,2024-04-03 23:59:59.999,WIF,1d,3.8512,3.6341,4.1759,3.6158,4232379.0,15282,WIF
1712188800000,2024-04-04 23:59:59.999,WIF,1d,3.6322,3.5493,4.0377,3.4707,3158926.0,12635,WIF
1712275200000,2024-04-05 23:59:59.999,WIF,1d,3.5478,3.2204,3.6096,3.1903,5144660.0,17710,WIF
1712361600000,2024-04-06 23:59:59.999,WIF,1d,3.2182,3.5678,3.5896,3.1918,2776874.0,8681,WIF
1712448000000,2024-04-07 23:59:59.999,WIF,1d,3.5695,3.7654,3.9083,3.4536,3506317.0,12847,WIF
1712534400000,2024-04-08 23:59:59.999,WIF,1d,3.7707,4.2126,4.3493,3.636,5245512.0,18365,WIF
1712620800000,2024-04-09 23:59:59.999,WIF,1d,4.2128,3.5928,4.2192,3.5347,3226258.0,11506,WIF
1712707200000,2024-04-10 23:59:59.999,WIF,1d,3.5914,3.6282,3.7131,3.2835,3714760.0,14383,WIF
1712793600000,2024-04-11 23:59:59.999,WIF,1d,3.6234,3.457,3.8632,3.4371,3939926.0,18081,WIF
1712880000000,2024-04-12 23:59:59.999,WIF,1d,3.457,2.6594,3.5645,2.3195,9471700.0,26781,WIF
1712966400000,2024-04-13 23:59:59.999,WIF,1d,2.657,2.3282,2.8835,1.8573,10871781.0,33672,WIF
1713052800000,2024-04-14 23:59:59.999,WIF,1d,2.3273,3.062,3.0999,2.2474,9744766.0,30568,WIF
1713139200000,2024-04-15 23:59:59.999,WIF,1d,3.0456,2.7508,3.1432,2.4618,13391430.0,33968,WIF
1713225600000,2024-04-16 23:59:59.999,WIF,1d,2.7534,2.6832,2.798,2.4105,10381209.0,24650,WIF
1713312000000,2024-04-17 23:59:59.999,WIF,1d,2.6813,2.4213,2.8003,2.3218,5823985.0,19490,WIF
1713398400000,2024-04-18 23:59:59.999,WIF,1d,2.4113,2.568,2.6998,2.2462,6819091.0,21878,WIF
1713484800000,2024-04-19 23:59:59.999,WIF,1d,2.5668,2.9155,3.0751,2.2488,8801602.0,24552,WIF
1713571200000,2024-04-20 23:59:59.999,WIF,1d,2.9186,3.0327,3.0952,2.7195,3810090.0,13528,WIF
1713657600000,2024-04-21 23:59:59.999,WIF,1d,3.0327,2.9329,3.2145,2.8961,3852010.0,17126,WIF
1713744000000,2024-04-22 23:59:59.999,WIF,1d,2.929,2.9119,3.0845,2.7777,5545391.0,20076,WIF
1713830400000,2024-04-23 23:59:59.999,WIF,1d,2.9108,3.0148,3.1249,2.7447,5121591.0,21706,WIF
1713916800000,2024-04-24 23:59:59.999,WIF,1d,3.012,3.099,3.5654,2.9814,10397148.0,35704,WIF
1714003200000,2024-04-25 23:59:59.999,WIF,1d,3.099,3.1485,3.3565,2.847,7399957.0,30165,WIF
1714089600000,2024-04-26 23:59:59.999,WIF,1d,3.1485,2.8432,3.1832,2.8186,3052494.0,14459,WIF
1714176000000,2024-04-27 23:59:59.999,WIF,1d,2.8427,2.7647,2.8557,2.5931,3018732.0,13969,WIF
1714262400000,2024-04-28 23:59:59.999,WIF,1d,2.7665,2.6482,2.8394,2.628,1483490.0,8923,WIF
1714348800000,2024-04-29 23:59:59.999,WIF,1d,2.6498,2.7686,2.8115,2.5514,2845827.0,11537,WIF
1714435200000,2024-04-30 23:59:59.999,WIF,1d,2.7707,2.503,2.8028,2.3417,4572852.0,14590,WIF
1714521600000,2024-05-01 23:59:59.999,WIF,1d,2.5027,2.6147,2.72,2.2659,6552931.0,15540,WIF
1714608000000,2024-05-02 23:59:59.999,WIF,1d,2.6153,2.7358,2.8431,2.5027,3253007.0,9207,WIF
1714694400000,2024-05-03 23:59:59.999,WIF,1d,2.7338,3.1085,3.1609,2.7236,4148635.0,13028,WIF
1714780800000,2024-05-04 23:59:59.999,WIF,1d,3.112,3.3954,3.4822,3.0839,3412237.0,10998,WIF
1714867200000,2024-05-05 23:59:59.999,WIF,1d,3.4009,3.2217,3.5021,3.1776,1851600.0,7076,WIF
1714953600000,2024-05-06 23:59:59.999,WIF,1d,3.2216,3.3674,3.6816,3.2108,4195307.0,16088,WIF
1715040000000,2024-05-07 23:59:59.999,WIF,1d,3.3655,2.9996,3.5862,2.9936,3441135.0,14051,WIF
1715126400000,2024-05-08 23:59:59.999,WIF,1d,2.9998,2.7818,3.0198,2.7387,2606246.0,10117,WIF
1715212800000,2024-05-09 23:59:59.999,WIF,1d,2.7777,3.1232,3.1869,2.7777,2652788.0,8339,WIF
1715299200000,2024-05-10 23:59:59.999,WIF,1d,3.1208,2.9785,3.2562,2.9081,3142737.0,11505,WIF
1715385600000,2024-05-11 23:59:59.999,WIF,1d,2.9784,3.0094,3.1517,2.9784,1152367.0,4168,WIF
1715472000000,2024-05-12 23:59:59.999,WIF,1d,3.0096,2.9717,3.0656,2.9343,649956.0,3152,WIF
1715558400000,2024-05-13 23:59:59.999,WIF,1d,2.9727,3.011,3.3655,2.7591,4501960.0,13331,WIF
1715644800000,2024-05-14 23:59:59.999,WIF,1d,3.0117,2.7884,3.1617,2.7714,3860060.0,13187,WIF
1715731200000,2024-05-15 23:59:59.999,WIF,1d,2.7886,3.0501,3.0951,2.7558,6751588.0,16753,WIF
1715817600000,2024-05-16 23:59:59.999,WIF,1d,3.0515,2.8421,3.1491,2.7522,5957578.0,16389,WIF
1715904000000,2024-05-17 23:59:59.999,WIF,1d,2.8402,2.7929,2.9593,2.7748,5808540.0,11272,WIF
1715990400000,2024-05-18 23:59:59.999,WIF,1d,2.793,2.56,2.8376,2.5086,5124593.0,11495,WIF
