t,timestamp,s,i,open,close,high,low,volume,n,asset,donchian_high_5,donchian_low_5,donchian_mid_5,donchian_high_10,donchian_low_10,donchian_mid_10,donchian_high_20,donchian_low_20,donchian_mid_20,donchian_high_30,donchian_low_30,donchian_mid_30,donchian_high_60,donchian_low_60,donchian_mid_60,donchian_high_90,donchian_low_90,donchian_mid_90,donchian_high_150,donchian_low_150,donchian_mid_150,donchian_high_250,donchian_low_250,donchian_mid_250,donchian_high_360,donchian_low_360,donchian_mid_360
1690156800000,2023-07-24 23:59:59.999,WLD,1d,2.5691,2.1657,2.5876,2.0005,565923.1,2143,WLD,,,,,,,,,,,,,,,,,,,,,,,,,,,
1690243200000,2023-07-25 23:59:59.999,WLD,1d,2.1575,2.26,2.4486,1.9003,848046.6,4219,WLD,,,,,,,,,,,,,,,,,,,,,,,,,,,
1690329600000,2023-07-26 23:59:59.999,WLD,1d,2.2469,2.2503,2.5593,2.1474,612882.0,4243,WLD,,,,,,,,,,,,,,,,,,,,,,,,,,,
1690416000000,2023-07-27 23:59:59.999,WLD,1d,2.2503,2.0964,2.3138,2.0811,676762.4,3186,WLD,,,,,,,,,,,,,,,,,,,,,,,,,,,
1690502400000,2023-07-28 23:59:59.999,WLD,1d,2.0637,2.2197,2.2324,2.0563,630914.6,3043,WLD,2.5876,1.9003,2.24395,,,,,,,,,,,,,,,,,,,,,,,,
1690588800000,2023-07-29 23:59:59.999,WLD,1d,2.2151,2.3459,2.3774,2.1739,572839.5,3017,WLD,2.5593,1.9003,2.2298,,,,,,,,,,,,,,,,,,,,,,,,
1690675200000,2023-07-30 23:59:59.999,WLD,1d,2.3411,2.2896,2.4768,2.2222,665330.4,2994,WLD,2.5593,2.0563,2.3078,,,,,,,,,,,,,,,,,,,,,,,,
1690761600000,2023-07-31 23:59:59.999,WLD,1d,2.2875,2.3164,2.3712,2.2473,578571.5,2948,WLD,2.4768,2.0563,2.2665499999999996,,,,,,,,,,,,,,,,,,,,,,,,
1690848000000,2023-08-01 23:59:59.999,WLD,1d,2.3219,2.4263,2.4458,2.2021,487904.3,3045,WLD,2.4768,2.0563,2.2665499999999996,,,,,,,,,,,,,,,,,,,,,,,,
1690934400000,2023-08-02 23:59:59.999,WLD,1d,2.4346,2.3599,2.5236,2.3121,548656.0,3013,WLD,2.5236,2.1739,2.34875,2.5876,1.9003,2.24395,,,,,,,,,,,,,,,,,,,,,
